#PeakID(python identify_motif.py ./ENCODE_processed_files/ZEB2_idr.fa ZEB2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
466_10388	chr1	203007030	203007430	+	1000	53.0	[11.465191]	[141]	[6.672127]	[170]	[203007248]	[203007277]
466_10389	chr1	222455098	222455498	+	1000	53.0	[6.53501]	[130]	[]	[]	[222455307]	[]
466_10400	chr10	63132845	63133245	+	1000	53.0	[6.9489045]	[138]	[6.9489045]	[138]	[63133082]	[63133082]
466_10405	chr11	46075159	46075559	+	985	53.0	[6.9489045]	[115]	[6.9489045]	[115]	[46075366]	[46075366]
466_10412	chr11	69498598	69498998	+	1000	53.0	[]	[]	[6.53501, 6.975399, 11.465191, 6.975399, 6.975399, 11.465191, 6.975399, 6.53501]	[108, 122, 128, 142, 148, 168, 182, 188]	[]	[69498768, 69498782, 69498788, 69498802, 69498808, 69498828, 69498842, 69498848]
466_10417	chr12	54286684	54287084	+	1000	53.0	[]	[]	[6.975399]	[95]	[]	[54286862]
466_10426	chr12	132237260	132237660	+	1000	53.0	[11.465191, 11.465191, 6.975399, 11.465191, 6.975399, 11.465191, 11.465191]	[83, 103, 113, 133, 143, 153, 173]	[]	[]	[132237412, 132237432, 132237442, 132237462, 132237472, 132237482, 132237502]	[]
466_10427	chr13	42992186	42992586	+	1000	53.0	[]	[]	[11.465191]	[143]	[]	[42992417]
466_10434	chr15	66387676	66388076	+	1000	53.0	[11.465191]	[130]	[]	[]	[66387885]	[]
466_10456	chr18	812433	812833	+	1000	53.0	[6.672127]	[125]	[]	[]	[812655]	[]
466_10459	chr19	5690118	5690518	+	1000	53.0	[]	[]	[6.975399]	[130]	[]	[5690325]
466_10487	chr2	112275257	112275657	+	1000	53.0	[]	[]	[11.465191]	[183]	[]	[112275472]
466_10496	chr20	33992896	33993296	+	1000	53.0	[]	[]	[6.53501]	[86]	[]	[33993066]
466_10514	chr3	14178690	14179090	+	1000	53.0	[]	[]	[6.975399]	[174]	[]	[14178879]
466_10519	chr3	150384822	150385222	+	1000	53.0	[6.9489045]	[124]	[6.9489045]	[124]	[150385029]	[150385029]
466_10526	chr4	26787902	26788302	+	1000	53.0	[]	[]	[11.465191]	[150]	[]	[26788147]
466_10527	chr4	55733909	55734309	+	1000	53.0	[6.975399]	[99]	[]	[]	[55734063]	[]
466_10531	chr5	42583245	42583645	+	1000	53.0	[11.465191]	[102]	[]	[]	[42583442]	[]
466_10534	chr5	96932761	96933161	+	1000	53.0	[]	[]	[6.672127]	[155]	[]	[96933012]
466_10541	chr6	26309710	26310110	+	1000	53.0	[]	[]	[6.53501]	[136]	[]	[26309925]
466_10545	chr6	31366861	31367261	+	1000	53.0	[11.465191]	[146]	[]	[]	[31367070]	[]
466_10548	chr6	37172195	37172595	+	1000	53.0	[6.9489045]	[170]	[6.9489045]	[170]	[37172418]	[37172418]
466_1056	chr2	69997257	69997657	+	1000	138.0	[11.465191]	[126]	[]	[]	[69997481]	[]
466_10578	chr7	128737891	128738291	+	1000	53.0	[6.975399]	[85]	[]	[]	[128738045]	[]
466_10588	chr8	123038271	123038671	+	1000	53.0	[11.465191]	[91]	[]	[]	[123038445]	[]
466_10602	chrX	151633158	151633558	+	1000	53.0	[11.465191]	[96]	[]	[]	[151633343]	[]
466_10615	chr1	35031542	35031942	+	1000	52.5	[11.465191, 6.9489045]	[120, 152]	[6.9489045]	[152]	[35031726, 35031758]	[35031758]
466_10616	chr1	37692129	37692529	+	1000	52.5	[]	[]	[6.672127]	[120]	[]	[37692296]
466_10619	chr1	55192079	55192479	+	1000	52.5	[11.465191]	[154]	[]	[]	[55192287]	[]
466_1062	chr6	109187861	109188261	+	1000	138.0	[]	[]	[6.975399]	[114]	[]	[109188067]
466_10623	chr1	109263574	109263974	+	1000	52.5	[]	[]	[11.465191]	[115]	[]	[109263775]
466_10640	chr1	247330972	247331372	+	1000	52.5	[6.672127, 11.465191]	[74, 136]	[]	[]	[247331130, 247331192]	[]
466_10641	chr10	14954097	14954497	+	1000	52.5	[]	[]	[11.465191]	[124]	[]	[14954291]
466_10643	chr10	18651520	18651920	+	1000	52.5	[11.465191]	[153]	[]	[]	[18651768]	[]
466_10646	chr10	46247838	46248238	+	1000	52.5	[11.465191]	[170]	[]	[]	[46248081]	[]
466_10649	chr10	87862958	87863358	+	1000	52.5	[]	[]	[6.975399]	[83]	[]	[87863111]
466_10669	chr12	56151584	56151984	+	1000	52.5	[]	[]	[11.465191]	[141]	[]	[56151813]
466_1067	chr19	9858772	9859172	+	1000	137.5	[11.465191, 11.465191, 11.465191, 6.975399, 11.465191]	[77, 98, 119, 140, 161]	[]	[]	[9858924, 9858945, 9858966, 9858987, 9859008]	[]
466_10683	chr15	41115497	41115897	+	1000	52.5	[6.9489045, 11.465191, 6.9489045]	[99, 105, 126]	[6.9489045, 6.9489045, 11.465191]	[99, 126, 153]	[41115669, 41115675, 41115696]	[41115669, 41115696, 41115723]
466_1069	chr22	22342842	22343242	+	1000	137.5	[11.465191]	[77]	[]	[]	[22343011]	[]
466_10694	chr17	48457112	48457512	+	1000	52.5	[]	[]	[11.465191]	[186]	[]	[48457312]
466_1070	chr22	22692776	22693176	+	1000	137.5	[6.975399, 11.465191]	[105, 118]	[]	[]	[22692974, 22692987]	[]
466_10700	chr18	58221231	58221631	+	1000	52.5	[]	[]	[6.672127]	[83]	[]	[58221408]
466_10707	chr19	40578446	40578846	+	1000	52.5	[]	[]	[6.672127]	[95]	[]	[40578616]
466_10714	chr19	54115439	54115839	+	1000	52.5	[]	[]	[11.465191]	[173]	[]	[54115647]
466_10719	chr2	30146315	30146715	+	1000	52.5	[6.975399]	[85]	[]	[]	[30146485]	[]
466_10731	chr2	191846294	191846694	+	1000	52.5	[11.465191]	[174]	[]	[]	[191846509]	[]
466_10732	chr2	197851478	197851878	+	1000	52.5	[11.465191]	[145]	[]	[]	[197851706]	[]
466_10745	chr20	53621521	53621921	+	1000	52.5	[6.975399]	[149]	[]	[]	[53621744]	[]
466_10761	chr4	39366203	39366603	+	1000	52.5	[]	[]	[11.465191]	[156]	[]	[39366441]
466_10763	chr4	82900137	82900537	+	1000	52.5	[6.53501, 6.672127]	[124, 194]	[]	[]	[82900299, 82900369]	[]
466_1077	chr1	228490479	228490879	+	1000	137.0	[11.465191]	[101]	[11.465191]	[125]	[228490670]	[228490694]
466_10779	chr5	154754855	154755255	+	1000	52.5	[6.9489045]	[145]	[6.9489045]	[145]	[154755100]	[154755100]
466_10791	chr6	44268000	44268400	+	1000	52.5	[]	[]	[11.465191]	[82]	[]	[44268164]
466_10794	chr6	81938337	81938737	+	1000	52.5	[]	[]	[11.465191]	[139]	[]	[81938544]
466_10797	chr6	149746342	149746742	+	1000	52.5	[]	[]	[6.975399]	[76]	[]	[149746513]
466_10800	chr6	157774378	157774778	+	1000	52.5	[6.9489045, 11.465191]	[66, 116]	[6.9489045]	[66]	[157774538, 157774588]	[157774538]
466_10802	chr7	12729183	12729583	+	1000	52.5	[6.975399]	[134]	[]	[]	[12729412]	[]
466_10818	chr7	150286141	150286541	+	1000	52.5	[]	[]	[6.672127]	[141]	[]	[150286370]
466_1082	chr9	135563188	135563588	+	1000	137.0	[]	[]	[11.465191, 11.465191, 6.53501, 11.465191, 11.465191, 6.53501, 11.465191, 11.465191, 6.53501, 11.465191, 11.465191, 6.53501]	[78, 86, 94, 102, 110, 118, 134, 142, 150, 158, 166, 174]	[]	[135563339, 135563347, 135563355, 135563363, 135563371, 135563379, 135563395, 135563403, 135563411, 135563419, 135563427, 135563435]
466_10826	chr9	114484864	114485264	+	1000	52.5	[6.9489045]	[102]	[6.9489045]	[102]	[114485065]	[114485065]
466_10842	chr1	2046450	2046850	+	1000	52.0	[6.53501, 11.465191]	[137, 150]	[]	[]	[2046680, 2046693]	[]
466_10861	chr1	154405028	154405428	+	1000	52.0	[]	[]	[11.465191]	[93]	[]	[154405216]
466_10862	chr1	154955084	154955484	+	1000	52.0	[]	[]	[11.465191]	[102]	[]	[154955276]
466_10874	chr1	219926466	219926866	+	1000	52.0	[6.53501]	[157]	[]	[]	[219926669]	[]
466_1090	chr1	209770550	209770950	+	1000	136.0	[]	[]	[11.465191, 11.465191, 11.465191]	[122, 142, 162]	[]	[209770712, 209770732, 209770752]
466_10900	chr12	57583149	57583549	+	1000	52.0	[11.465191]	[219]	[]	[]	[57583374]	[]
466_10909	chr14	87993163	87993563	+	1000	52.0	[11.465191]	[165]	[]	[]	[87993404]	[]
466_10918	chr16	30355209	30355609	+	1000	52.0	[6.9489045]	[153]	[6.9489045]	[153]	[30355437]	[30355437]
466_10922	chr16	87464606	87465006	+	1000	52.0	[6.9489045]	[205]	[6.9489045]	[205]	[87464828]	[87464828]
466_10938	chr18	26226096	26226496	+	1000	52.0	[6.9489045]	[67]	[6.9489045]	[67]	[26226262]	[26226262]
466_10947	chr19	19489145	19489545	+	1000	52.0	[6.975399]	[76]	[]	[]	[19489309]	[]
466_10966	chr2	172102882	172103282	+	1000	52.0	[]	[]	[11.465191]	[98]	[]	[172103073]
466_10989	chr3	178319008	178319408	+	1000	52.0	[]	[]	[6.53501]	[174]	[]	[178319252]
466_10992	chr4	2418942	2419342	+	1000	52.0	[]	[]	[11.465191]	[162]	[]	[2419108]
466_10994	chr4	72569710	72570110	+	1000	52.0	[6.672127]	[86]	[]	[]	[72569873]	[]
466_10996	chr4	78938657	78939057	+	1000	52.0	[]	[]	[6.975399]	[121]	[]	[78938870]
466_11000	chr5	60700136	60700536	+	1000	52.0	[6.53501]	[120]	[11.465191]	[128]	[60700331]	[60700339]
466_11006	chr5	141923487	141923887	+	1000	52.0	[11.465191]	[95]	[]	[]	[141923647]	[]
466_11025	chr6	33289061	33289461	+	1000	52.0	[]	[]	[6.975399, 6.53501]	[173, 189]	[]	[33289278, 33289294]
466_11030	chr6	42971067	42971467	+	1000	52.0	[]	[]	[6.53501]	[134]	[]	[42971260]
466_11048	chr8	11862426	11862826	+	1000	52.0	[]	[]	[11.465191]	[135]	[]	[11862615]
466_11065	chr9	137236408	137236808	+	1000	52.0	[]	[]	[11.465191]	[134]	[]	[137236594]
466_1107	chr19	54172988	54173388	+	1000	135.5	[6.975399]	[117]	[6.975399, 11.465191, 11.465191]	[87, 109, 128]	[54173195]	[54173165, 54173187, 54173206]
466_11088	chr1	156692889	156693289	+	1000	51.5	[11.465191]	[193]	[11.465191]	[165]	[156693101]	[156693073]
466_1110	chr3	193592977	193593377	+	1000	135.5	[]	[]	[6.672127]	[131]	[]	[193593196]
466_11108	chr10	50660108	50660508	+	1000	51.5	[]	[]	[6.53501]	[164]	[]	[50660334]
466_11129	chr12	50025240	50025640	+	1000	51.5	[11.465191]	[84]	[]	[]	[50025415]	[]
466_1113	chrX	154373511	154373911	+	1000	135.5	[]	[]	[11.465191]	[158]	[]	[154373760]
466_11133	chr12	71839529	71839929	+	1000	51.5	[6.9489045]	[189]	[6.9489045]	[189]	[71839738]	[71839738]
466_11135	chr12	98671492	98671892	+	1000	51.5	[6.975399]	[135]	[]	[]	[98671706]	[]
466_11146	chr15	43514295	43514695	+	1000	51.5	[6.53501]	[131]	[]	[]	[43514519]	[]
466_11148	chr15	65869414	65869814	+	1000	51.5	[6.672127]	[127]	[]	[]	[65869591]	[]
466_11157	chr16	31700360	31700760	+	1000	51.5	[]	[]	[11.465191]	[191]	[]	[31700606]
466_11164	chr16	87393027	87393427	+	1000	51.5	[]	[]	[6.53501, 11.465191]	[122, 150]	[]	[87393206, 87393234]
466_11168	chr17	28912349	28912749	+	1000	51.5	[6.672127]	[143]	[6.672127]	[147]	[28912564]	[28912568]
466_11174	chr17	56834730	56835130	+	1000	51.5	[]	[]	[6.672127]	[184]	[]	[56834975]
466_11180	chr17	82037361	82037761	+	1000	51.5	[6.975399]	[103]	[]	[]	[82037545]	[]
466_11190	chr19	16588342	16588742	+	1000	51.5	[11.465191]	[168]	[]	[]	[16588530]	[]
466_11193	chr19	42387122	42387522	+	1000	51.5	[11.465191]	[179]	[]	[]	[42387337]	[]
466_1120	chr17	29176564	29176964	+	1000	135.0	[6.9489045]	[162]	[6.672127, 11.465191, 6.9489045]	[87, 128, 162]	[29176813]	[29176738, 29176779, 29176813]
466_11211	chr2	32356607	32357007	+	1000	51.5	[6.53501]	[154]	[]	[]	[32356817]	[]
466_11230	chr21	37087143	37087543	+	1000	51.5	[6.9489045]	[146]	[6.9489045]	[146]	[37087321]	[37087321]
466_11238	chr22	49917902	49918302	+	1000	51.5	[]	[]	[11.465191, 6.975399]	[92, 130]	[]	[49918070, 49918108]
466_11272	chr6	2246196	2246596	+	1000	51.5	[]	[]	[11.465191]	[113]	[]	[2246408]
466_11303	chr7	44044412	44044812	+	1000	51.5	[]	[]	[6.672127]	[96]	[]	[44044593]
466_11324	chr7	157011070	157011470	+	1000	51.5	[]	[]	[11.465191]	[137]	[]	[157011305]
466_11325	chr7	159088225	159088625	+	1000	51.5	[11.465191, 11.465191, 11.465191, 11.465191]	[141, 149, 163, 171]	[]	[]	[159088432, 159088440, 159088454, 159088462]	[]
466_11343	chr1	3900427	3900827	+	1000	51.0	[11.465191]	[92]	[]	[]	[3900605]	[]
466_11402	chr11	64230116	64230516	+	1000	51.0	[]	[]	[11.465191]	[102]	[]	[64230317]
466_11409	chr12	32115630	32116030	+	1000	51.0	[6.975399]	[97]	[]	[]	[32115819]	[]
466_11416	chr12	93745442	93745842	+	1000	51.0	[]	[]	[11.465191]	[168]	[]	[93745643]
466_11421	chr13	20993550	20993950	+	1000	51.0	[11.465191]	[80]	[]	[]	[20993730]	[]
466_11423	chr13	91017318	91017718	+	1000	51.0	[11.465191]	[140]	[]	[]	[91017529]	[]
466_1143	chr16	3112336	3112736	+	1000	133.5	[6.672127]	[66]	[]	[]	[3112489]	[]
466_11432	chr15	40098649	40099049	+	1000	51.0	[]	[]	[11.465191]	[133]	[]	[40098863]
466_11435	chr15	80059062	80059462	+	1000	51.0	[6.975399]	[152]	[11.465191]	[79]	[80059302]	[80059229]
466_1144	chr16	31074194	31074594	+	1000	133.5	[6.53501]	[113]	[]	[]	[31074397]	[]
466_11452	chr17	42618532	42618932	+	1000	51.0	[]	[]	[11.465191, 11.465191]	[81, 120]	[]	[42618699, 42618738]
466_11454	chr17	48149384	48149784	+	1000	51.0	[11.465191]	[139]	[]	[]	[48149619]	[]
466_11457	chr17	58985447	58985847	+	1000	51.0	[11.465191]	[135]	[]	[]	[58985676]	[]
466_1146	chr17	78840908	78841308	+	1000	133.5	[11.465191]	[117]	[]	[]	[78841119]	[]
466_11467	chr19	861696	862096	+	1000	51.0	[11.465191]	[92]	[]	[]	[861872]	[]
466_11473	chr19	17248403	17248803	+	1000	51.0	[11.465191, 11.465191]	[102, 126]	[11.465191]	[110]	[17248566, 17248590]	[17248574]
466_11512	chr22	42269540	42269940	+	1000	51.0	[6.975399]	[100]	[]	[]	[42269740]	[]
466_11517	chr3	9749767	9750167	+	1000	51.0	[]	[]	[6.53501]	[70]	[]	[9749918]
466_11522	chr3	125491417	125491817	+	1000	51.0	[6.975399]	[129]	[]	[]	[125491640]	[]
466_11525	chr3	172391501	172391901	+	1000	51.0	[6.975399]	[138]	[]	[]	[172391736]	[]
466_11533	chr4	80336578	80336978	+	1000	51.0	[11.465191]	[84]	[]	[]	[80336745]	[]
466_11537	chr4	184386150	184386550	+	1000	51.0	[6.9489045]	[152]	[6.9489045]	[152]	[184386392]	[184386392]
466_11538	chr4	185209121	185209521	+	1000	51.0	[11.465191, 11.465191]	[104, 136]	[]	[]	[185209322, 185209354]	[]
466_11542	chr5	39138113	39138513	+	1000	51.0	[]	[]	[11.465191]	[162]	[]	[39138323]
466_11561	chr6	32153972	32154372	+	1000	51.0	[]	[]	[6.672127]	[201]	[]	[32154215]
466_11568	chr6	135073888	135074288	+	1000	51.0	[6.53501]	[120]	[]	[]	[135074086]	[]
466_11579	chr7	50262853	50263253	+	1000	51.0	[]	[]	[6.53501]	[95]	[]	[50263046]
466_11591	chr7	131513467	131513867	+	1000	51.0	[6.53501]	[159]	[]	[]	[131513710]	[]
466_11595	chr8	53843052	53843452	+	1000	51.0	[6.9489045, 6.9489045]	[174, 188]	[6.975399, 6.9489045, 6.9489045]	[124, 174, 188]	[53843286, 53843300]	[53843236, 53843286, 53843300]
466_11596	chr8	67066218	67066618	+	1000	51.0	[11.465191]	[150]	[]	[]	[67066461]	[]
466_1162	chr9	136791639	136792039	+	1000	133.0	[11.465191]	[123]	[11.465191, 11.465191]	[52, 133]	[136791861]	[136791790, 136791871]
466_11626	chr1	111747252	111747652	+	1000	50.5	[6.53501]	[165]	[]	[]	[111747488]	[]
466_11634	chr1	176207531	176207931	+	1000	50.5	[]	[]	[11.465191, 6.53501]	[87, 111]	[]	[176207712, 176207736]
466_11639	chr1	203795280	203795680	+	1000	50.5	[6.9489045]	[151]	[6.9489045]	[151]	[203795510]	[203795510]
466_1165	chr17	78137860	78138260	+	1000	132.5	[11.465191]	[154]	[]	[]	[78138107]	[]
466_11661	chr11	5522352	5522752	+	1000	50.5	[11.465191]	[148]	[]	[]	[5522585]	[]
466_11665	chr11	47848217	47848617	+	1000	50.5	[]	[]	[11.465191]	[169]	[]	[47848409]
466_11674	chr11	118608613	118609013	+	1000	50.5	[6.672127]	[174]	[]	[]	[118608847]	[]
466_11676	chr11	129923141	129923541	+	1000	50.5	[6.9489045]	[151]	[6.9489045]	[151]	[129923389]	[129923389]
466_11677	chr11	130002409	130002809	+	1000	50.5	[6.672127]	[131]	[]	[]	[130002562]	[]
466_11679	chr12	11706434	11706834	+	1000	50.5	[11.465191]	[129]	[6.53501]	[106]	[11706623]	[11706600]
466_11689	chr12	95217799	95218199	+	1000	50.5	[]	[]	[6.672127]	[87]	[]	[95217979]
466_1169	chr6	33905171	33905571	+	1000	132.5	[6.672127]	[77]	[]	[]	[33905340]	[]
466_11695	chr13	41960958	41961358	+	1000	50.5	[6.53501]	[74]	[]	[]	[41961116]	[]
466_1170	chr1	26500385	26500785	+	1000	132.0	[6.9489045]	[106]	[6.9489045]	[106]	[26500571]	[26500571]
466_11705	chr15	48332103	48332503	+	1000	50.5	[6.672127]	[154]	[]	[]	[48332271]	[]
466_11709	chr15	75758307	75758707	+	1000	50.5	[6.9489045]	[177]	[6.9489045]	[177]	[75758539]	[75758539]
466_11710	chr15	79923714	79924114	+	1000	50.5	[]	[]	[11.465191]	[63]	[]	[79923870]
466_11715	chr16	3983024	3983424	+	1000	50.5	[6.975399]	[129]	[]	[]	[3983229]	[]
466_11727	chr17	38752472	38752872	+	1000	50.5	[6.975399]	[167]	[]	[]	[38752654]	[]
466_11730	chr17	43839706	43840106	+	1000	50.5	[]	[]	[11.465191]	[198]	[]	[43839946]
466_11732	chr17	49788443	49788843	+	1000	50.5	[]	[]	[11.465191]	[112]	[]	[49788621]
466_11735	chr17	59297086	59297486	+	1000	50.5	[6.975399]	[103]	[]	[]	[59297247]	[]
466_11746	chr19	11597363	11597763	+	1000	50.5	[11.465191]	[204]	[]	[]	[11597611]	[]
466_11751	chr19	35757995	35758395	+	1000	50.5	[]	[]	[11.465191]	[147]	[]	[35758224]
466_11767	chr2	127811102	127811502	+	1000	50.5	[]	[]	[6.53501]	[76]	[]	[127811257]
466_11774	chr20	53869739	53870139	+	1000	50.5	[6.53501]	[148]	[]	[]	[53869960]	[]
466_11775	chr21	15731237	15731637	+	1000	50.5	[6.975399]	[149]	[]	[]	[15731477]	[]
466_11776	chr21	34086897	34087297	+	1000	50.5	[]	[]	[6.53501]	[120]	[]	[34087083]
466_1178	chr18	60053740	60054140	+	1000	132.0	[]	[]	[6.53501]	[158]	[]	[60053987]
466_11788	chr3	37242871	37243271	+	1000	50.5	[]	[]	[11.465191]	[89]	[]	[37243033]
466_11802	chr4	102344244	102344644	+	1000	50.5	[6.975399]	[129]	[]	[]	[102344441]	[]
466_11812	chr5	79237361	79237761	+	1000	50.5	[6.975399, 11.465191]	[126, 146]	[11.465191]	[171]	[79237524, 79237544]	[79237569]
466_11826	chr6	10099047	10099447	+	1000	50.5	[11.465191]	[177]	[]	[]	[10099251]	[]
466_11829	chr6	13908908	13909308	+	1000	50.5	[]	[]	[11.465191]	[111]	[]	[13909106]
466_11830	chr6	16183125	16183525	+	1000	50.5	[6.53501]	[69]	[]	[]	[16183284]	[]
466_11844	chr6	105522662	105523062	+	1000	50.5	[6.975399]	[157]	[]	[]	[105522906]	[]
466_1185	chr10	1571556	1571956	+	1000	131.5	[]	[]	[11.465191, 11.465191, 11.465191, 11.465191, 11.465191, 11.465191, 11.465191]	[61, 85, 97, 109, 121, 133, 156]	[]	[1571707, 1571731, 1571743, 1571755, 1571767, 1571779, 1571802]
466_11851	chr7	1138052	1138452	+	1000	50.5	[6.53501]	[86]	[6.975399]	[143]	[1138215]	[1138272]
