#PeakID(python identify_motif.py ./ENCODE_processed_files/BACH1_idr.fa BACH1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
593_105	chr2	191950482	191950882	+	1000	305.0	[16.412586]	[109]	[9.57195, 6.6792603]	[85, 107]	[191950685]	[191950661, 191950683]
593_1056	chr19	13880185	13880585	+	1000	80.0	[10.945392, 7.647107]	[111, 125]	[11.6737585]	[109]	[13880394, 13880408]	[13880392]
593_1057	chr2	55048940	55049340	+	1000	80.0	[]	[]	[6.3953323]	[114]	[]	[55049143]
593_1059	chr20	50338413	50338813	+	1000	80.0	[13.902448]	[94]	[16.412586]	[92]	[50338607]	[50338605]
593_1063	chr3	126607103	126607503	+	1000	80.0	[13.902448, 7.9979124]	[104, 155]	[9.716079, 6.3859158]	[102, 153]	[126607303, 126607354]	[126607301, 126607352]
593_107	chr7	139915991	139916391	+	1000	302.0	[16.412586]	[99]	[10.772233, 7.2059402]	[87, 97]	[139916183]	[139916171, 139916181]
593_1076	chr10	31278554	31278954	+	1000	79.0	[13.902448]	[108]	[9.5834875]	[106]	[31278741]	[31278739]
593_1077	chr10	96320124	96320524	+	1000	79.0	[7.2059402]	[94]	[16.412586]	[92]	[96320316]	[96320314]
593_1079	chr11	124481385	124481785	+	1000	79.0	[7.0733485]	[183]	[16.412586]	[181]	[124481633]	[124481631]
593_108	chr16	16022039	16022439	+	1000	301.0	[8.899031, 12.540544]	[89, 131]	[16.412586, 6.9785185, 7.2059402]	[79, 87, 129]	[16022218, 16022260]	[16022208, 16022216, 16022258]
593_1080	chr12	47155833	47156233	+	1000	79.0	[]	[]	[6.86587, 7.668964]	[103, 132]	[]	[47156012, 47156041]
593_1086	chr2	69017123	69017523	+	1000	79.0	[9.189399]	[92]	[13.902448]	[90]	[69017315]	[69017313]
593_1087	chr2	87629390	87629790	+	1000	79.0	[16.412586]	[135]	[7.2059402, 7.668964]	[133, 142]	[87629621]	[87629619, 87629628]
593_1090	chr3	142976617	142977017	+	1000	79.0	[9.716079]	[109]	[13.902448]	[107]	[142976811]	[142976809]
593_1099	chr9	109098144	109098544	+	1000	79.0	[16.412586]	[120]	[6.6792603]	[118]	[109098346]	[109098344]
593_1100	chrX	15493096	15493496	+	1000	79.0	[16.412586]	[125]	[]	[]	[15493299]	[]
593_1101	chr1	31705141	31705541	+	1000	78.0	[13.902448]	[97]	[16.412586]	[95]	[31705331]	[31705329]
593_1103	chr1	67686634	67687034	+	1000	78.0	[13.902448]	[93]	[8.4563675]	[91]	[67686824]	[67686822]
593_1105	chr12	64452125	64452525	+	1000	78.0	[10.030405]	[91]	[16.412586]	[89]	[64452298]	[64452296]
593_1108	chr16	30065297	30065697	+	1000	78.0	[]	[]	[16.412586]	[83]	[]	[30065475]
593_1112	chr19	1248870	1249270	+	1000	78.0	[12.32841]	[126]	[13.902448]	[124]	[1249095]	[1249093]
593_1114	chr2	64644305	64644705	+	1000	78.0	[12.235088]	[102]	[]	[]	[64644503]	[]
593_1115	chr2	69816881	69817281	+	1000	78.0	[16.412586]	[93]	[10.030405]	[91]	[69817071]	[69817069]
593_1116	chr2	161123197	161123597	+	1000	78.0	[7.2059402]	[143]	[16.412586]	[141]	[161123413]	[161123411]
593_1118	chr3	33807330	33807730	+	1000	78.0	[16.412586]	[111]	[9.818272]	[109]	[33807526]	[33807524]
593_1119	chr3	120678509	120678909	+	1000	78.0	[]	[]	[16.412586]	[108]	[]	[120678716]
593_1124	chr7	129720290	129720690	+	1000	78.0	[7.904591]	[99]	[]	[]	[129720487]	[]
593_1127	chr9	131178272	131178672	+	1000	78.0	[6.1601887]	[115]	[]	[]	[131178430]	[]
593_1128	chr1	161621094	161621494	+	1000	77.0	[13.902448]	[89]	[9.5834875]	[87]	[161621282]	[161621280]
593_1134	chr12	48296457	48296857	+	1000	77.0	[6.682951, 13.902448, 8.790712]	[88, 92, 105]	[12.146455]	[90]	[48296638, 48296642, 48296655]	[48296640]
593_1137	chr14	61662484	61662884	+	1000	77.0	[8.177104, 7.2059402]	[94, 107]	[16.412586]	[105]	[61662661, 61662674]	[61662672]
593_114	chr3	9976962	9977362	+	1000	291.0	[]	[]	[12.082088, 16.412586]	[73, 150]	[]	[9977124, 9977201]
593_1144	chr20	59709629	59710029	+	1000	77.0	[16.412586, 10.030405]	[94, 117]	[9.163619, 16.412586]	[92, 115]	[59709819, 59709842]	[59709817, 59709840]
593_115	chr2	111168476	111168876	+	1000	287.0	[16.412586]	[100]	[7.0733485]	[98]	[111168673]	[111168671]
593_1155	chr11	100863210	100863610	+	1000	76.0	[]	[]	[16.412586]	[102]	[]	[100863408]
593_1156	chr12	49060616	49061016	+	1000	76.0	[11.296419]	[115]	[]	[]	[49060827]	[]
593_116	chr1	225428671	225429071	+	1000	285.0	[7.2059402, 7.1237097]	[107, 123]	[16.412586]	[105]	[225428866, 225428882]	[225428864]
593_1160	chr19	51553219	51553619	+	1000	76.0	[]	[]	[6.6765213]	[72]	[]	[51553381]
593_1161	chr2	1856924	1857324	+	1000	76.0	[12.146455, 16.412586]	[54, 130]	[10.162996]	[52]	[1857078, 1857154]	[1857076]
593_1162	chr2	53969263	53969663	+	1000	76.0	[10.945392, 6.5257025, 6.3787093]	[95, 102, 111]	[12.673135]	[93]	[53969452, 53969459, 53969468]	[53969450]
593_1177	chr1	78003272	78003672	+	1000	75.0	[9.042406]	[121]	[11.977605]	[119]	[78003478]	[78003476]
593_1178	chr1	117368752	117369152	+	1000	75.0	[13.902448]	[116]	[8.062279]	[114]	[117368964]	[117368962]
593_1180	chr1	220267618	220268018	+	1000	75.0	[]	[]	[16.412586]	[134]	[]	[220267829]
593_1182	chr11	70419929	70420329	+	1000	75.0	[]	[]	[9.72495]	[104]	[]	[70420125]
593_1184	chr15	39127858	39128258	+	1000	75.0	[13.902448]	[72]	[9.716079, 8.342637]	[70, 123]	[39128019]	[39128017, 39128070]
593_1196	chr7	129843959	129844359	+	1000	75.0	[]	[]	[16.412586]	[102]	[]	[129844155]
593_1198	chrX	154002150	154002550	+	1000	75.0	[16.412586]	[92]	[]	[]	[154002339]	[]
593_12	chr11	6568450	6568850	+	1000	664.0	[16.412586, 16.412586]	[91, 124]	[13.902448, 13.902448]	[89, 122]	[6568638, 6568671]	[6568636, 6568669]
593_1206	chr12	91778933	91779333	+	1000	74.0	[6.803663]	[103]	[7.2059402]	[156]	[91779131]	[91779184]
593_1207	chr13	36345422	36345822	+	1000	74.0	[8.343984]	[69]	[6.8680296, 11.300851]	[67, 97]	[36345582]	[36345580, 36345610]
593_1208	chr15	50235819	50236219	+	1000	74.0	[12.235088, 7.209631]	[103, 129]	[]	[]	[50236021, 50236047]	[]
593_1215	chr19	3671015	3671415	+	1000	74.0	[6.5575905, 16.412586]	[65, 116]	[9.818272]	[114]	[3671176, 3671227]	[3671225]
593_1218	chr2	127064727	127065127	+	1000	74.0	[12.673135]	[101]	[8.624022, 12.540544]	[66, 119]	[127064925]	[127064890, 127064943]
593_1221	chr20	56386321	56386721	+	1000	74.0	[]	[]	[16.412586]	[105]	[]	[56386488]
593_1228	chr7	3146816	3147216	+	1000	74.0	[7.0733485]	[103]	[12.540544, 7.904591]	[101, 137]	[3147019]	[3147017, 3147053]
593_123	chr11	1772505	1772905	+	1000	275.0	[9.818272]	[96]	[16.412586, 16.412586]	[94, 138]	[1772687]	[1772685, 1772729]
593_1237	chr10	117007072	117007472	+	1000	73.0	[10.945392, 9.189399]	[70, 80]	[13.45553, 10.162996]	[68, 78]	[117007240, 117007250]	[117007238, 117007248]
593_1239	chr11	65899199	65899599	+	1000	73.0	[16.412586, 11.409169, 11.409169]	[89, 103, 117]	[9.818272]	[87]	[65899386, 65899400, 65899414]	[65899384]
593_1240	chr11	124224830	124225230	+	1000	73.0	[16.412586]	[100]	[7.2059402]	[98]	[124225024]	[124225022]
593_1241	chr12	104958447	104958847	+	1000	73.0	[9.716079]	[115]	[7.2059402]	[113]	[104958633]	[104958631]
593_1244	chr16	83952938	83953338	+	1000	73.0	[8.588959]	[122]	[13.902448]	[120]	[83953143]	[83953141]
593_1248	chr2	235347643	235348043	+	1000	73.0	[10.945392, 16.412586]	[102, 137]	[13.45553]	[100]	[235347825, 235347860]	[235347823]
593_1249	chr20	50790650	50791050	+	1000	73.0	[]	[]	[6.7210364]	[106]	[]	[50790844]
593_125	chr18	11947233	11947633	+	1000	274.0	[16.412586]	[108]	[7.2059402]	[106]	[11947439]	[11947437]
593_1251	chr21	37087149	37087549	+	1000	73.0	[16.412586]	[138]	[]	[]	[37087376]	[]
593_1254	chr22	42615305	42615705	+	1000	73.0	[8.11366]	[108]	[]	[]	[42615493]	[]
593_1255	chr3	46987748	46988148	+	1000	73.0	[11.296419]	[120]	[]	[]	[46987937]	[]
593_1265	chr1	244834669	244835069	+	1000	72.0	[]	[]	[8.601364]	[184]	[]	[244834916]
593_1267	chr10	49165977	49166377	+	1000	72.0	[]	[]	[7.5900736]	[135]	[]	[49166210]
593_1270	chr11	86743352	86743752	+	1000	72.0	[8.062279, 10.162996]	[128, 154]	[12.146455, 9.818272, 9.716079]	[111, 126, 152]	[86743574, 86743600]	[86743557, 86743572, 86743598]
593_1272	chr14	37655451	37655851	+	1000	72.0	[11.85311, 16.412586]	[78, 88]	[9.57195, 7.2059402]	[76, 86]	[37655624, 37655634]	[37655622, 37655632]
593_1275	chr16	58495027	58495427	+	1000	72.0	[11.999462]	[132]	[8.105562]	[130]	[58495234]	[58495232]
593_128	chr6	125202133	125202533	+	1000	270.0	[16.412586]	[97]	[10.945392]	[95]	[125202325]	[125202323]
593_1284	chr8	58104613	58105013	+	1000	72.0	[16.412586]	[86]	[7.2059402]	[84]	[58104790]	[58104788]
593_1288	chrX	134622213	134622613	+	1000	72.0	[6.3859158, 13.902448]	[71, 94]	[7.3432603, 16.412586]	[69, 92]	[134622381, 134622404]	[134622379, 134622402]
593_1289	chr1	9717600	9718000	+	1000	71.0	[]	[]	[6.8315253]	[151]	[]	[9717823]
593_1294	chr10	121910643	121911043	+	1000	71.0	[16.412586]	[108]	[6.9288945, 6.6792603]	[64, 106]	[121910850]	[121910806, 121910848]
593_1298	chr12	31954927	31955327	+	1000	71.0	[7.8001075, 12.235088]	[64, 88]	[7.904591]	[122]	[31955088, 31955112]	[31955146]
593_1305	chr2	189549012	189549412	+	1000	71.0	[8.210046, 16.412586]	[86, 106]	[7.2059402]	[104]	[189549189, 189549209]	[189549207]
593_1307	chr6	7847451	7847851	+	1000	71.0	[8.085031]	[142]	[7.0302877, 16.412586]	[86, 106]	[7847686]	[7847630, 7847650]
593_1311	chr8	73737971	73738371	+	1000	71.0	[10.162996]	[113]	[13.45553, 10.521743]	[111, 143]	[73738180]	[73738178, 73738210]
593_1321	chr11	124207280	124207680	+	1000	70.0	[16.412586]	[122]	[7.2059402]	[120]	[124207475]	[124207473]
593_1326	chr13	113216649	113217049	+	1000	70.0	[16.412586]	[124]	[10.162996]	[122]	[113216871]	[113216869]
593_133	chr5	77893510	77893910	+	1000	266.0	[7.0733485, 12.673135, 7.668964]	[97, 108, 121]	[16.412586]	[95]	[77893702, 77893713, 77893726]	[77893700]
593_1333	chr22	20021413	20021813	+	1000	70.0	[]	[]	[11.13416]	[113]	[]	[20021623]
593_1334	chr22	24510613	24511013	+	1000	70.0	[13.902448]	[100]	[16.412586]	[98]	[24510801]	[24510799]
593_1339	chr6	32970034	32970434	+	1000	70.0	[]	[]	[12.235088]	[117]	[]	[32970238]
593_134	chr7	7099620	7100020	+	1000	265.0	[16.412586]	[115]	[13.902448]	[113]	[7099835]	[7099833]
593_1341	chr7	43572513	43572913	+	1000	70.0	[9.716079]	[80]	[10.162996]	[78]	[43572689]	[43572687]
593_1343	chr8	125271357	125271757	+	1000	70.0	[10.945392, 7.711474]	[108, 123]	[16.412586, 11.999462]	[106, 121]	[125271547, 125271562]	[125271545, 125271560]
593_135	chr18	60053690	60054090	+	1000	263.0	[7.2059402]	[78]	[13.45553, 16.412586]	[76, 86]	[60053860]	[60053858, 60053868]
593_1350	chr9	133004128	133004528	+	1000	70.0	[11.977605]	[108]	[7.915286]	[106]	[133004302]	[133004300]
593_1351	chr1	10388021	10388421	+	1000	69.0	[16.412586]	[94]	[]	[]	[10388210]	[]
593_1358	chr12	6532490	6532890	+	1000	69.0	[9.818272]	[91]	[16.412586]	[89]	[6532673]	[6532671]
593_1359	chr12	104286716	104287116	+	1000	69.0	[7.5569677]	[129]	[7.904591]	[117]	[104286942]	[104286930]
593_1367	chr2	111321015	111321415	+	1000	69.0	[7.668964, 7.2059402]	[139, 148]	[16.412586]	[146]	[111321210, 111321219]	[111321217]
593_1372	chr3	13352712	13353112	+	1000	69.0	[16.412586]	[113]	[7.0523825]	[107]	[13352911]	[13352905]
593_1374	chr5	14237707	14238107	+	1000	69.0	[13.45553]	[112]	[7.2059402]	[110]	[14237895]	[14237893]
593_1379	chr9	37902712	37903112	+	1000	69.0	[13.902448]	[155]	[12.540544]	[153]	[37902939]	[37902937]
593_1381	chr1	14745780	14746180	+	1000	68.0	[16.412586]	[107]	[7.0733485]	[105]	[14745981]	[14745979]
593_1385	chr14	36976525	36976925	+	1000	68.0	[]	[]	[16.412586]	[112]	[]	[36976694]
593_1386	chr15	44297138	44297538	+	1000	68.0	[8.062279, 7.6381135]	[74, 107]	[7.0733485, 9.72495]	[72, 105]	[44297309, 44297342]	[44297307, 44297340]
593_1393	chr2	144359193	144359593	+	1000	68.0	[11.85311]	[135]	[]	[]	[144359401]	[]
593_1394	chr22	21657314	21657714	+	1000	68.0	[]	[]	[7.3720512]	[153]	[]	[21657528]
593_1396	chr22	41512777	41513177	+	1000	68.0	[10.162996]	[100]	[16.412586]	[98]	[41512969]	[41512967]
593_1397	chr3	144114727	144115127	+	1000	68.0	[10.945392]	[99]	[16.412586]	[97]	[144114923]	[144114921]
593_1402	chr6	16157899	16158299	+	1000	68.0	[]	[]	[12.235088]	[101]	[]	[16158083]
593_1406	chr7	157940430	157940830	+	1000	68.0	[7.1189213, 7.1189213, 7.1189213]	[74, 103, 134]	[]	[]	[157940595, 157940624, 157940655]	[]
593_1408	chr9	123003437	123003837	+	1000	68.0	[16.412586]	[100]	[9.818272]	[98]	[123003637]	[123003635]
593_1409	chrX	155334551	155334951	+	1000	68.0	[13.902448]	[119]	[9.716079]	[117]	[155334755]	[155334753]
593_1417	chr12	120539295	120539695	+	1000	67.0	[11.999462]	[118]	[]	[]	[120539496]	[]
593_1430	chr5	96259234	96259634	+	1000	67.0	[12.540544, 12.082088]	[108, 140]	[7.2059402, 7.58698]	[106, 129]	[96259420, 96259452]	[96259418, 96259441]
593_1432	chr6	105810524	105810924	+	1000	67.0	[6.9001904, 9.716079]	[86, 123]	[13.902448]	[121]	[105810690, 105810727]	[105810725]
593_1433	chr7	26234063	26234463	+	1000	67.0	[11.300851]	[127]	[]	[]	[26234279]	[]
593_144	chr21	37455335	37455735	+	1000	255.0	[6.6792603]	[92]	[16.412586]	[90]	[37455525]	[37455523]
593_1443	chr11	67583550	67583950	+	1000	66.0	[16.412586]	[103]	[]	[]	[67583746]	[]
593_1446	chr12	47705999	47706399	+	1000	66.0	[12.082088]	[116]	[]	[]	[47706206]	[]
593_1447	chr12	69657754	69658154	+	1000	66.0	[]	[]	[8.78628]	[97]	[]	[69657946]
593_1448	chr12	119457218	119457618	+	1000	66.0	[16.412586, 7.394709]	[110, 153]	[10.162996]	[108]	[119457418, 119457461]	[119457416]
593_1449	chr12	131896300	131896700	+	1000	66.0	[6.3896065]	[122]	[9.342972]	[97]	[131896514]	[131896489]
593_1454	chr16	89319896	89320296	+	1000	66.0	[9.716079]	[96]	[13.902448]	[94]	[89320090]	[89320088]
593_1455	chr17	1589934	1590334	+	1000	66.0	[8.342637, 16.412586]	[108, 118]	[6.3859158, 13.902448]	[106, 116]	[1590142, 1590152]	[1590140, 1590150]
593_1456	chr17	28735294	28735694	+	1000	66.0	[7.2059402]	[75]	[16.412586]	[73]	[28735464]	[28735462]
593_1463	chr20	24634755	24635155	+	1000	66.0	[16.412586]	[81]	[]	[]	[24634932]	[]
593_1469	chr3	33900761	33901161	+	1000	66.0	[11.296419]	[101]	[8.036991]	[99]	[33900944]	[33900942]
593_147	chr6	105522679	105523079	+	1000	253.0	[7.2059402, 7.407627, 9.189399]	[57, 64, 99]	[16.412586, 7.2059402, 13.902448]	[55, 62, 97]	[105522833, 105522840, 105522875]	[105522831, 105522838, 105522873]
593_1472	chr4	6855986	6856386	+	1000	66.0	[6.6792603]	[91]	[16.412586]	[89]	[6856165]	[6856163]
593_1474	chr6	28922088	28922488	+	1000	66.0	[10.945392, 11.195025]	[80, 114]	[9.189399]	[78]	[28922250, 28922284]	[28922248]
593_1480	chr1	8879991	8880391	+	1000	65.0	[16.412586]	[106]	[7.2059402, 6.7600446]	[104, 116]	[8880190]	[8880188, 8880200]
593_1482	chr1	45521768	45522168	+	1000	65.0	[11.409169]	[152]	[]	[]	[45522017]	[]
593_1484	chr1	167548377	167548777	+	1000	65.0	[]	[]	[11.977605]	[94]	[]	[167548550]
593_1486	chr11	65422698	65423098	+	1000	65.0	[6.682951]	[190]	[6.255612]	[192]	[65422889]	[65422891]
593_1487	chr11	70382251	70382651	+	1000	65.0	[9.189399]	[101]	[13.902448]	[99]	[70382414]	[70382412]
593_1491	chr16	84730383	84730783	+	1000	65.0	[9.716079]	[104]	[13.902448]	[102]	[84730585]	[84730583]
593_1495	chr2	112692491	112692891	+	1000	65.0	[9.716079]	[92]	[13.902448]	[90]	[112692680]	[112692678]
593_1499	chr21	35461691	35462091	+	1000	65.0	[]	[]	[16.412586]	[120]	[]	[35461906]
593_15	chr16	113441	113841	+	1000	638.0	[12.146455, 10.945392]	[84, 117]	[7.2059402, 16.412586]	[82, 115]	[113622, 113655]	[113620, 113653]
593_1501	chr22	49084274	49084674	+	1000	65.0	[10.945392, 10.945392]	[103, 137]	[16.412586, 16.412586, 10.995752]	[101, 135, 169]	[49084456, 49084490]	[49084454, 49084488, 49084522]
593_1503	chr5	31470650	31471050	+	1000	65.0	[16.412586]	[142]	[10.030405]	[140]	[31470878]	[31470876]
593_1504	chr5	141564152	141564552	+	1000	65.0	[9.278032]	[147]	[]	[]	[141564365]	[]
593_1507	chr6	143227679	143228079	+	1000	65.0	[16.412586]	[109]	[]	[]	[143227886]	[]
593_1512	chr1	148264695	148265095	+	1000	64.0	[11.977605]	[126]	[9.042406]	[124]	[148264891]	[148264889]
593_1513	chr1	148334128	148334528	+	1000	64.0	[7.256301]	[141]	[6.614336]	[128]	[148334298]	[148334285]
593_1519	chr16	46976567	46976967	+	1000	64.0	[6.8557186]	[84]	[16.412586]	[104]	[46976749]	[46976769]
593_1520	chr17	12348472	12348872	+	1000	64.0	[16.412586, 10.521743]	[87, 127]	[]	[]	[12348656, 12348696]	[]
593_1522	chr17	75124250	75124650	+	1000	64.0	[16.412586, 12.673135]	[110, 129]	[10.945392]	[108]	[75124447, 75124466]	[75124445]
593_1524	chr2	11744059	11744459	+	1000	64.0	[]	[]	[16.412586, 10.949082]	[107, 118]	[]	[11744259, 11744270]
593_1525	chr2	191038385	191038785	+	1000	64.0	[13.45553]	[102]	[13.902448]	[100]	[191038582]	[191038580]
593_1528	chr3	186057540	186057940	+	1000	64.0	[9.818272]	[110]	[16.412586]	[108]	[186057739]	[186057737]
593_153	chr1	109792144	109792544	+	1000	248.0	[16.412586]	[109]	[10.945392]	[107]	[109792351]	[109792349]
593_1532	chr5	136020893	136021293	+	1000	64.0	[7.522613]	[133]	[]	[]	[136021117]	[]
593_1542	chr7	73715611	73716011	+	1000	64.0	[9.125032, 10.162996]	[82, 126]	[16.412586]	[124]	[73715791, 73715835]	[73715833]
593_1544	chr8	9172445	9172845	+	1000	64.0	[]	[]	[11.13416]	[112]	[]	[9172646]
593_1547	chrX	16826169	16826569	+	1000	64.0	[16.412586]	[125]	[]	[]	[16826393]	[]
593_1549	chr1	40383458	40383858	+	1000	63.0	[7.078671]	[117]	[6.682951]	[86]	[40383654]	[40383623]
593_1552	chr1	75786207	75786607	+	1000	63.0	[11.85311]	[140]	[]	[]	[75786424]	[]
593_1555	chr1	185484148	185484548	+	1000	63.0	[8.438943]	[146]	[16.412586]	[108]	[185484390]	[185484352]
593_1556	chr11	67374284	67374684	+	1000	63.0	[7.4399867, 16.412586]	[110, 160]	[9.818272]	[158]	[67374472, 67374522]	[67374520]
593_1557	chr11	118911879	118912279	+	1000	63.0	[10.162996]	[103]	[16.412586, 13.45553]	[86, 101]	[118912072]	[118912055, 118912070]
593_156	chr5	34867075	34867475	+	1000	246.0	[12.673135]	[85]	[9.636316, 12.235088]	[83, 105]	[34867257]	[34867255, 34867277]
593_1564	chr2	177625735	177626135	+	1000	63.0	[9.342972]	[105]	[]	[]	[177625925]	[]
593_1568	chr3	152857035	152857435	+	1000	63.0	[8.342637, 9.716079]	[70, 112]	[13.902448]	[110]	[152857197, 152857239]	[152857237]
593_1572	chr5	34587624	34588024	+	1000	63.0	[8.339362, 7.6381135]	[69, 137]	[6.256924]	[124]	[34587781, 34587849]	[34587836]
593_1574	chr6	146876192	146876592	+	1000	63.0	[9.189399, 7.2059402, 7.9689574]	[106, 181, 190]	[6.6792603, 16.412586]	[104, 179]	[146876358, 146876433, 146876442]	[146876356, 146876431]
593_1577	chr9	105681677	105682077	+	1000	63.0	[12.673135, 10.949082, 12.235088]	[74, 100, 112]	[7.0733485]	[72]	[105681846, 105681872, 105681884]	[105681844]
593_1581	chr1	156122820	156123220	+	1000	62.0	[7.2059402]	[122]	[16.412586]	[120]	[156123026]	[156123024]
593_1583	chr1	172933878	172934278	+	1000	62.0	[7.2059402]	[93]	[13.45553, 16.412586]	[75, 91]	[172934067]	[172934049, 172934065]
593_1587	chr12	122400461	122400861	+	1000	62.0	[8.4563675, 12.082088]	[104, 144]	[10.945392]	[102]	[122400644, 122400684]	[122400642]
593_1592	chr17	35063548	35063948	+	1000	62.0	[8.588959]	[159]	[13.902448]	[157]	[35063782]	[35063780]
593_1601	chr3	124812784	124813184	+	1000	62.0	[9.716079]	[83]	[7.8159575, 7.2059402]	[65, 81]	[124812966]	[124812948, 124812964]
593_1602	chr3	195921306	195921706	+	1000	62.0	[13.45553]	[107]	[10.945392]	[105]	[195921505]	[195921503]
593_1606	chr5	95773737	95774137	+	1000	62.0	[16.412586]	[113]	[6.919791, 10.945392]	[91, 111]	[95773947]	[95773925, 95773945]
593_1608	chr5	133510590	133510990	+	1000	62.0	[13.902448]	[113]	[12.32841]	[111]	[133510789]	[133510787]
593_161	chr11	10490559	10490959	+	1000	243.0	[7.2059402]	[114]	[8.150912, 16.412586, 6.594735, 10.854122]	[64, 112, 141, 156]	[10490764]	[10490714, 10490762, 10490791, 10490806]
593_1610	chr6	138944451	138944851	+	1000	62.0	[9.716079]	[111]	[13.902448]	[109]	[138944648]	[138944646]
593_1612	chrX	9352601	9353001	+	1000	62.0	[11.409169]	[102]	[]	[]	[9352793]	[]
593_1613	chrX	154799063	154799463	+	1000	62.0	[8.210046, 8.210046]	[61, 104]	[6.3859158, 6.3859158]	[59, 102]	[154799216, 154799259]	[154799214, 154799257]
593_1625	chr12	58310760	58311160	+	1000	61.0	[7.0733485, 6.6792603]	[100, 137]	[11.6737585, 16.412586]	[98, 135]	[58310940, 58310977]	[58310938, 58310975]
593_1626	chr12	66210861	66211261	+	1000	61.0	[]	[]	[12.082088]	[138]	[]	[66211064]
593_1628	chr12	122399868	122400268	+	1000	61.0	[]	[]	[12.235088]	[84]	[]	[122400047]
593_163	chr19	48963738	48964138	+	1000	242.0	[16.412586]	[106]	[7.2059402]	[104]	[48963942]	[48963940]
593_1630	chr16	3283289	3283689	+	1000	61.0	[]	[]	[6.6750875]	[162]	[]	[3283528]
593_1633	chr2	158505572	158505972	+	1000	61.0	[16.412586]	[95]	[]	[]	[158505734]	[]
593_1643	chr5	124596906	124597306	+	1000	61.0	[11.6737585]	[109]	[7.2059402]	[107]	[124597111]	[124597109]
593_1644	chr6	68657363	68657763	+	1000	61.0	[11.85311]	[150]	[6.6148934]	[148]	[68657601]	[68657599]
593_1646	chr6	166409318	166409718	+	1000	61.0	[10.162996]	[159]	[10.854122, 16.412586]	[137, 157]	[166409547]	[166409525, 166409545]
593_1647	chr7	1458753	1459153	+	1000	61.0	[16.412586]	[111]	[12.673135, 10.030405]	[98, 109]	[1458956]	[1458943, 1458954]
593_1648	chr7	106365187	106365587	+	1000	61.0	[7.4962606]	[122]	[6.1916084]	[91]	[106365397]	[106365366]
593_1651	chr8	128556678	128557078	+	1000	61.0	[16.412586]	[104]	[7.2059402]	[102]	[128556859]	[128556857]
