#PeakID(python identify_motif.py ./ENCODE_processed_files/TCF12_idr.fa TCF12 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
368_10165	chr6	45156037	45156437	+	885	78.0	[8.320784]	[189]	[]	[]	[45156272]	[]
368_10184	chr1	202462325	202462725	+	1000	77.5	[12.567606]	[144]	[]	[]	[202462565]	[]
368_10189	chr10	95493328	95493728	+	839	77.5	[7.7957826]	[123]	[]	[]	[95493551]	[]
368_10195	chr12	68038624	68039024	+	1000	77.5	[]	[]	[12.567606]	[133]	[]	[68038817]
368_10205	chr17	37609189	37609589	+	1000	77.5	[7.549868]	[82]	[8.891774]	[117]	[37609365]	[37609400]
368_10211	chr2	10133212	10133612	+	1000	77.5	[8.320784]	[120]	[]	[]	[10133430]	[]
368_10220	chr22	42959683	42960083	+	1000	77.5	[8.02331]	[94]	[]	[]	[42959842]	[]
368_1023	chr11	10456432	10456832	+	1000	457.0	[]	[]	[7.7957826]	[123]	[]	[10456643]
368_10234	chr8	22219797	22220197	+	1000	77.5	[8.779576]	[168]	[]	[]	[22219983]	[]
368_10244	chr10	22666455	22666855	+	1000	77.0	[8.527855]	[138]	[8.891774]	[52]	[22666693]	[22666607]
368_10255	chr14	23932529	23932929	+	1000	77.0	[]	[]	[8.001244]	[105]	[]	[23932729]
368_10259	chr15	81940680	81941080	+	1000	77.0	[]	[]	[8.779576]	[141]	[]	[81940920]
368_10263	chr17	40076491	40076891	+	945	77.0	[8.228404]	[115]	[]	[]	[40076688]	[]
368_10272	chr2	205089942	205090342	+	1000	77.0	[]	[]	[8.090539]	[120]	[]	[205090128]
368_10282	chr4	150321168	150321568	+	1000	77.0	[]	[]	[8.069409]	[107]	[]	[150321371]
368_10296	chr8	9363379	9363779	+	1000	77.0	[]	[]	[8.228404]	[170]	[]	[9363541]
368_103	chr1	40820871	40821271	+	1000	738.5	[7.7957826]	[123]	[]	[]	[40821087]	[]
368_10302	chrX	153206467	153206867	+	909	77.0	[8.891774]	[183]	[8.891774]	[182]	[153206646]	[153206645]
368_10314	chr17	30104805	30105205	+	1000	76.5	[]	[]	[8.228404]	[107]	[]	[30104991]
368_10324	chr3	9976981	9977381	+	1000	76.5	[]	[]	[9.473919]	[139]	[]	[9977181]
368_10342	chr7	23697139	23697539	+	1000	76.5	[8.779576]	[133]	[]	[]	[23697309]	[]
368_10344	chr7	76327696	76328096	+	1000	76.5	[8.779576]	[118]	[]	[]	[76327908]	[]
368_10353	chr1	204859911	204860311	+	1000	76.0	[8.891774]	[113]	[8.891774]	[112]	[204860066]	[204860065]
368_10360	chr11	78285061	78285461	+	949	76.0	[]	[]	[12.567606]	[89]	[]	[78285249]
368_10379	chr19	45881923	45882323	+	1000	76.0	[7.7957826, 8.228404, 8.527855]	[155, 178, 193]	[]	[]	[45882122, 45882145, 45882160]	[]
368_1038	chr2	144582806	144583206	+	1000	453.0	[]	[]	[8.891774, 7.549868]	[122, 147]	[]	[144583011, 144583036]
368_10380	chr19	55259083	55259483	+	1000	76.0	[8.494345]	[131]	[]	[]	[55259240]	[]
368_10392	chr3	37996782	37997182	+	1000	76.0	[8.090539]	[79]	[]	[]	[37996956]	[]
368_104	chr11	64335021	64335421	+	1000	738.5	[]	[]	[8.182954]	[98]	[]	[64335214]
368_10405	chr5	163283782	163284182	+	1000	76.0	[8.891774]	[126]	[]	[]	[163283975]	[]
368_10406	chr6	10747366	10747766	+	904	76.0	[]	[]	[12.567606]	[129]	[]	[10747553]
368_1041	chrX	11367586	11367986	+	1000	453.0	[8.001244]	[135]	[]	[]	[11367816]	[]
368_10413	chr7	92755004	92755404	+	1000	76.0	[]	[]	[8.001244, 8.891774]	[104, 184]	[]	[92755167, 92755247]
368_10424	chr9	131235411	131235811	+	1000	76.0	[]	[]	[8.090539]	[221]	[]	[131235617]
368_10427	chr1	91578680	91579080	+	1000	75.5	[8.069409]	[89]	[]	[]	[91578860]	[]
368_10432	chr1	175171513	175171913	+	1000	75.5	[8.527855]	[160]	[8.228404]	[126]	[175171716]	[175171682]
368_10441	chr11	112285963	112286363	+	673	75.5	[]	[]	[8.182954]	[121]	[]	[112286150]
368_10446	chr12	98671471	98671871	+	939	75.5	[]	[]	[8.069409]	[127]	[]	[98671681]
368_10450	chr17	6450878	6451278	+	1000	75.5	[8.494345]	[125]	[]	[]	[6451080]	[]
368_10458	chr2	15591476	15591876	+	1000	75.5	[8.001244]	[134]	[]	[]	[15591633]	[]
368_10462	chr2	99154642	99155042	+	1000	75.5	[8.069409]	[218]	[9.473919]	[249]	[99154843]	[99154874]
368_10468	chr21	37338690	37339090	+	1000	75.5	[]	[]	[8.090539]	[201]	[]	[37338896]
368_10469	chr22	30698005	30698405	+	638	75.5	[]	[]	[8.090539, 12.567606]	[88, 134]	[]	[30698171, 30698217]
368_10487	chr8	42761121	42761521	+	1000	75.5	[]	[]	[8.228404]	[172]	[]	[42761364]
368_10490	chr1	213296581	213296981	+	1000	75.0	[]	[]	[8.069409]	[75]	[]	[213296733]
368_10495	chr10	72254841	72255241	+	1000	75.0	[8.228404]	[73]	[]	[]	[72255003]	[]
368_10511	chr19	980423	980823	+	1000	75.0	[8.228404]	[123]	[]	[]	[980614]	[]
368_10513	chr19	48918961	48919361	+	1000	75.0	[]	[]	[8.320784]	[131]	[]	[48919190]
368_10520	chr22	30881467	30881867	+	1000	75.0	[9.473919]	[153]	[]	[]	[30881712]	[]
368_10527	chr5	90640791	90641191	+	1000	75.0	[8.320784]	[120]	[]	[]	[90640987]	[]
368_10528	chr5	136679156	136679556	+	1000	75.0	[9.473919]	[162]	[]	[]	[136679404]	[]
368_10530	chr6	6749883	6750283	+	1000	75.0	[8.891774]	[83]	[]	[]	[6750040]	[]
368_10532	chr6	39222154	39222554	+	796	75.0	[]	[]	[8.069409]	[113]	[]	[39222337]
368_10539	chr8	61760164	61760564	+	1000	75.0	[8.182954]	[214]	[]	[]	[61760383]	[]
368_10550	chr10	111127437	111127837	+	1000	74.5	[8.228404]	[79]	[]	[]	[111127610]	[]
368_10566	chr18	55786828	55787228	+	1000	74.5	[8.228404]	[83]	[]	[]	[55786983]	[]
368_1057	chr8	23508709	23509109	+	1000	450.5	[]	[]	[8.001244]	[102]	[]	[23508909]
368_10570	chr2	168798375	168798775	+	1000	74.5	[8.090539]	[135]	[]	[]	[168798575]	[]
368_10577	chr3	130462031	130462431	+	1000	74.5	[8.805163]	[90]	[]	[]	[130462206]	[]
368_10582	chr4	152265025	152265425	+	1000	74.5	[]	[]	[8.891774]	[80]	[]	[152265176]
368_10593	chr6	143747320	143747720	+	959	74.5	[12.567606]	[135]	[]	[]	[143747501]	[]
368_10594	chr7	87004476	87004876	+	1000	74.5	[8.090539, 8.891774]	[125, 156]	[7.7957826]	[130]	[87004677, 87004708]	[87004682]
368_10616	chr10	103908274	103908674	+	1000	74.0	[8.891774, 8.320784]	[108, 202]	[]	[]	[103908428, 103908522]	[]
368_10619	chr12	95181133	95181533	+	601	74.0	[7.549868]	[105]	[]	[]	[95181313]	[]
368_10623	chr15	57312297	57312697	+	1000	74.0	[]	[]	[8.320784]	[242]	[]	[57312543]
368_10631	chr17	48623661	48624061	+	1000	74.0	[8.069409]	[169]	[]	[]	[48623892]	[]
368_1065	chr2	173891254	173891654	+	1000	448.5	[]	[]	[8.779576]	[234]	[]	[173891494]
368_10658	chr5	14272522	14272922	+	1000	74.0	[]	[]	[8.527855]	[115]	[]	[14272708]
368_10674	chr8	143333796	143334196	+	1000	74.0	[]	[]	[8.891774]	[102]	[]	[143333966]
368_10678	chr1	152035117	152035517	+	1000	73.5	[8.228404]	[313]	[]	[]	[152035362]	[]
368_10685	chr11	68839932	68840332	+	1000	73.5	[8.891774]	[126]	[]	[]	[68840148]	[]
368_10695	chr15	87731716	87732116	+	1000	73.5	[]	[]	[8.069409]	[175]	[]	[87731951]
368_10707	chr22	46241326	46241726	+	1000	73.5	[]	[]	[7.7957826]	[140]	[]	[46241556]
368_10712	chr6	4164038	4164438	+	997	73.5	[]	[]	[12.567606, 8.891774]	[149, 171]	[]	[4164242, 4164264]
368_10725	chrX	115259533	115259933	+	1000	73.5	[]	[]	[7.549868, 8.527855]	[71, 139]	[]	[115259692, 115259760]
368_10749	chr15	90213516	90213916	+	1000	73.0	[]	[]	[8.320784, 8.02331]	[158, 178]	[]	[90213707, 90213727]
368_1075	chr1	228290482	228290882	+	1000	446.0	[12.567606]	[144]	[]	[]	[228290717]	[]
368_10757	chr17	75849331	75849731	+	1000	73.0	[8.182954]	[151]	[]	[]	[75849557]	[]
368_10762	chr19	40702785	40703185	+	905	73.0	[8.090539]	[228]	[]	[]	[40703031]	[]
368_10765	chr20	34004219	34004619	+	1000	73.0	[]	[]	[8.779576]	[125]	[]	[34004443]
368_10772	chr4	76803397	76803797	+	1000	73.0	[8.320784, 8.891774]	[104, 179]	[]	[]	[76803563, 76803638]	[]
368_10775	chr4	173208370	173208770	+	1000	73.0	[8.968127]	[133]	[]	[]	[173208541]	[]
368_1078	chr1	156958332	156958732	+	1000	445.5	[12.567606]	[144]	[]	[]	[156958568]	[]
368_10789	chr7	150955876	150956276	+	1000	73.0	[9.473919]	[193]	[]	[]	[150956107]	[]
368_10797	chr1	193568440	193568840	+	786	72.5	[8.527855]	[127]	[]	[]	[193568647]	[]
368_108	chr3	196988514	196988914	+	1000	736.5	[8.069409]	[84]	[8.494345]	[107]	[196988697]	[196988720]
368_10813	chr17	7627037	7627437	+	1000	72.5	[8.001244]	[78]	[]	[]	[7627212]	[]
368_1082	chr19	14006939	14007339	+	1000	445.5	[]	[]	[9.473919]	[113]	[]	[14007137]
368_10823	chr21	43973125	43973525	+	1000	72.5	[]	[]	[8.891774, 7.7957826]	[130, 133]	[]	[43973347, 43973350]
368_10824	chr22	19940836	19941236	+	1000	72.5	[8.228404]	[279]	[]	[]	[19941066]	[]
368_10836	chr4	103076757	103077157	+	934	72.5	[8.891774, 12.567606]	[143, 232]	[]	[]	[103076916, 103077005]	[]
368_10839	chr5	87184505	87184905	+	1000	72.5	[8.182954]	[134]	[]	[]	[87184733]	[]
368_10858	chr10	3835631	3836031	+	1000	72.0	[]	[]	[8.069409]	[249]	[]	[3835852]
368_10862	chr10	133278493	133278893	+	1000	72.0	[7.549868]	[87]	[]	[]	[133278665]	[]
368_1087	chr1	25279724	25280124	+	1000	444.5	[]	[]	[8.891774]	[155]	[]	[25279902]
368_10871	chr15	92400885	92401285	+	1000	72.0	[]	[]	[8.891774]	[66]	[]	[92401043]
368_10874	chr19	5585863	5586263	+	808	72.0	[]	[]	[8.968127, 12.567606]	[106, 151]	[]	[5586064, 5586109]
368_10878	chr2	43810426	43810826	+	1000	72.0	[8.001244]	[162]	[]	[]	[43810659]	[]
368_10880	chr2	216619384	216619784	+	988	72.0	[8.320784]	[130]	[]	[]	[216619595]	[]
368_10882	chr22	25741845	25742245	+	1000	72.0	[8.891774]	[156]	[]	[]	[25742086]	[]
368_10888	chr3	182715035	182715435	+	718	72.0	[]	[]	[8.779576]	[143]	[]	[182715251]
368_1089	chr11	6563264	6563664	+	1000	444.5	[]	[]	[12.567606]	[54]	[]	[6563417]
368_10896	chr6	13273142	13273542	+	883	72.0	[]	[]	[8.891774]	[118]	[]	[13273336]
368_109	chr6	37460197	37460597	+	1000	735.5	[]	[]	[8.001244, 8.891774]	[116, 147]	[]	[37460412, 37460443]
368_10904	chr7	75937887	75938287	+	1000	72.0	[9.473919, 8.891774]	[103, 155]	[8.891774]	[154]	[75938079, 75938131]	[75938130]
368_10906	chr7	130025993	130026393	+	1000	72.0	[8.527855]	[119]	[]	[]	[130026155]	[]
368_10924	chr10	17115743	17116143	+	744	71.5	[7.549868]	[198]	[]	[]	[17115972]	[]
368_10931	chr13	51957493	51957893	+	1000	71.5	[]	[]	[7.7957826, 12.567606]	[115, 158]	[]	[51957698, 51957741]
368_1096	chr5	150481973	150482373	+	1000	443.5	[8.001244]	[145]	[]	[]	[150482193]	[]
368_10960	chr22	29096923	29097323	+	883	71.5	[8.069409]	[135]	[]	[]	[29097154]	[]
368_10964	chr4	3167981	3168381	+	857	71.5	[]	[]	[8.891774]	[125]	[]	[3168172]
368_10985	chr1	174999153	174999553	+	1000	71.0	[8.182954]	[280]	[]	[]	[174999389]	[]
368_10992	chr11	65477314	65477714	+	1000	71.0	[8.228404, 8.968127]	[237, 253]	[8.228404, 8.968127]	[207, 244]	[65477542, 65477558]	[65477512, 65477549]
368_11020	chr5	42586629	42587029	+	1000	71.0	[]	[]	[8.805163]	[131]	[]	[42586857]
368_11023	chr5	142508636	142509036	+	830	71.0	[8.069409]	[110]	[]	[]	[142508845]	[]
368_11030	chr6	88964480	88964880	+	1000	71.0	[8.001244]	[171]	[]	[]	[88964710]	[]
368_11031	chr6	105035250	105035650	+	823	71.0	[]	[]	[8.069409]	[174]	[]	[105035484]
368_11035	chr7	23347038	23347438	+	778	71.0	[8.182954]	[165]	[]	[]	[23347205]	[]
368_1104	chr2	157899111	157899511	+	1000	441.0	[8.891774]	[230]	[8.891774]	[229]	[157899349]	[157899348]
368_11067	chr15	22942805	22943205	+	1000	70.5	[]	[]	[12.567606]	[126]	[]	[22943019]
368_1107	chr1	92957018	92957418	+	1000	440.5	[]	[]	[12.567606]	[126]	[]	[92957229]
368_11087	chr22	20469237	20469637	+	1000	70.5	[]	[]	[12.567606, 8.891774]	[95, 158]	[]	[20469396, 20469459]
368_11093	chr4	173160966	173161366	+	714	70.5	[]	[]	[7.7957826]	[199]	[]	[173161206]
368_111	chr1	231160115	231160515	+	1000	734.5	[]	[]	[8.001244]	[135]	[]	[231160340]
368_11100	chr6	30687330	30687730	+	1000	70.5	[8.891774]	[163]	[8.320784, 8.891774]	[75, 162]	[30687572]	[30687484, 30687571]
368_11105	chr6	134029912	134030312	+	882	70.5	[]	[]	[8.069409]	[240]	[]	[134030140]
368_11113	chr8	143271091	143271491	+	810	70.5	[]	[]	[8.069409]	[72]	[]	[143271257]
368_11129	chr11	15969298	15969698	+	1000	70.0	[8.891774]	[247]	[]	[]	[15969525]	[]
368_11131	chr11	86484252	86484652	+	1000	70.0	[8.001244]	[95]	[]	[]	[86484410]	[]
368_11140	chr15	64205123	64205523	+	1000	70.0	[]	[]	[8.320784]	[128]	[]	[64205345]
368_11162	chr21	19850171	19850571	+	993	70.0	[]	[]	[8.779576]	[130]	[]	[19850374]
368_11172	chr4	2843164	2843564	+	1000	70.0	[8.968127]	[136]	[7.7957826]	[112]	[2843341]	[2843317]
368_11175	chr6	511763	512163	+	850	70.0	[]	[]	[8.001244]	[103]	[]	[511940]
368_11193	chr10	60350447	60350847	+	1000	69.5	[]	[]	[8.891774]	[100]	[]	[60350638]
368_11202	chr11	119172566	119172966	+	604	69.5	[8.320784]	[74]	[]	[]	[119172730]	[]
368_11213	chr16	79863837	79864237	+	1000	69.5	[8.001244]	[186]	[]	[]	[79863999]	[]
368_11217	chr17	17913923	17914323	+	1000	69.5	[8.228404]	[89]	[8.320784]	[106]	[17914105]	[17914122]
368_11240	chr6	43714520	43714920	+	883	69.5	[8.182954]	[181]	[8.891774]	[142]	[43714752]	[43714713]
368_11244	chr6	136501537	136501937	+	1000	69.5	[8.090539]	[137]	[]	[]	[136501774]	[]
368_11259	chr1	185317446	185317846	+	888	69.0	[8.779576]	[129]	[]	[]	[185317628]	[]
368_11267	chr11	13110912	13111312	+	1000	69.0	[]	[]	[8.891774]	[100]	[]	[13111090]
368_11269	chr11	65355519	65355919	+	975	69.0	[8.069409]	[103]	[]	[]	[65355722]	[]
368_11270	chr11	130042316	130042716	+	1000	69.0	[8.182954, 12.567606, 8.069409]	[112, 140, 146]	[]	[]	[130042492, 130042520, 130042526]	[]
368_11279	chr16	70436977	70437377	+	1000	69.0	[8.228404]	[183]	[]	[]	[70437205]	[]
368_11282	chr17	47275242	47275642	+	1000	69.0	[]	[]	[12.567606]	[158]	[]	[47275473]
368_11283	chr17	57375782	57376182	+	1000	69.0	[8.891774]	[93]	[8.891774]	[92]	[57375970]	[57375969]
368_1132	chr4	138671504	138671904	+	1000	436.5	[7.7957826]	[146]	[]	[]	[138671726]	[]
368_11320	chr6	50973497	50973897	+	762	69.0	[8.891774]	[121]	[8.001244, 7.549868]	[98, 147]	[50973713]	[50973690, 50973739]
368_11322	chr6	119170754	119171154	+	854	69.0	[8.182954]	[95]	[]	[]	[119170931]	[]
368_11326	chr7	137882257	137882657	+	894	69.0	[]	[]	[8.779576]	[111]	[]	[137882410]
368_11329	chr8	92607748	92608148	+	1000	69.0	[]	[]	[9.473919]	[78]	[]	[92607923]
368_11353	chr1	227429671	227430071	+	877	68.5	[8.182954]	[91]	[]	[]	[227429824]	[]
368_11355	chr10	126013542	126013942	+	1000	68.5	[8.891774]	[150]	[8.891774, 8.891774]	[104, 149]	[126013787]	[126013741, 126013786]
368_11358	chr11	123629303	123629703	+	986	68.5	[8.069409]	[111]	[]	[]	[123629505]	[]
368_11360	chr12	108123435	108123835	+	894	68.5	[8.320784]	[181]	[]	[]	[108123674]	[]
368_11361	chr14	57060578	57060978	+	755	68.5	[]	[]	[8.968127]	[145]	[]	[57060805]
368_11362	chr15	27124438	27124838	+	859	68.5	[]	[]	[8.228404]	[162]	[]	[27124679]
368_11383	chr20	42370067	42370467	+	1000	68.5	[7.7957826]	[148]	[8.891774]	[98]	[42370290]	[42370240]
368_11394	chr3	130093960	130094360	+	1000	68.5	[]	[]	[12.567606]	[169]	[]	[130094181]
368_11399	chr4	25088582	25088982	+	874	68.5	[]	[]	[8.001244]	[74]	[]	[25088751]
368_11413	chr8	36559254	36559654	+	852	68.5	[8.228404]	[201]	[]	[]	[36559464]	[]
368_11416	chr9	69044614	69045014	+	683	68.5	[8.320784]	[154]	[7.7957826]	[127]	[69044809]	[69044782]
368_11432	chr12	1614272	1614672	+	995	68.0	[12.567606]	[108]	[8.182954]	[137]	[1614465]	[1614494]
368_11441	chr16	2209212	2209612	+	882	68.0	[]	[]	[8.001244, 8.001244]	[101, 119]	[]	[2209395, 2209413]
368_11444	chr17	42609835	42610235	+	1000	68.0	[8.228404]	[176]	[9.473919]	[115]	[42610084]	[42610023]
368_11459	chr2	203366742	203367142	+	1000	68.0	[]	[]	[8.001244]	[143]	[]	[203366978]
368_11463	chr22	23249903	23250303	+	986	68.0	[]	[]	[8.090539]	[109]	[]	[23250112]
368_11472	chr6	116060230	116060630	+	975	68.0	[]	[]	[8.891774]	[187]	[]	[116060463]
368_11479	chr8	23171654	23172054	+	989	68.0	[8.891774]	[80]	[]	[]	[23171826]	[]
368_11486	chr1	151311553	151311953	+	1000	67.5	[7.549868]	[249]	[]	[]	[151311727]	[]
368_11487	chr1	225769137	225769537	+	957	67.5	[]	[]	[8.320784]	[163]	[]	[225769333]
368_11490	chr11	73983209	73983609	+	1000	67.5	[]	[]	[8.779576]	[255]	[]	[73983408]
368_115	chr11	2303616	2304016	+	1000	729.5	[]	[]	[8.090539]	[137]	[]	[2303847]
368_11507	chr2	58098984	58099384	+	1000	67.5	[]	[]	[8.001244]	[145]	[]	[58099215]
368_11516	chr22	36329248	36329648	+	861	67.5	[8.228404]	[136]	[]	[]	[36329474]	[]
368_11517	chr22	40202561	40202961	+	969	67.5	[]	[]	[12.567606]	[175]	[]	[40202786]
368_11525	chr5	132773973	132774373	+	981	67.5	[]	[]	[8.228404]	[181]	[]	[132774182]
368_11532	chr6	118536493	118536893	+	1000	67.5	[8.001244]	[86]	[]	[]	[118536658]	[]
368_11553	chr11	95652177	95652577	+	774	67.0	[8.968127]	[121]	[]	[]	[95652380]	[]
368_11564	chr17	73201279	73201679	+	980	67.0	[]	[]	[8.001244, 8.069409]	[141, 158]	[]	[73201508, 73201525]
368_11570	chr19	43773683	43774083	+	969	67.0	[]	[]	[7.549868]	[84]	[]	[43773853]
368_11573	chr2	73071570	73071970	+	1000	67.0	[8.891774]	[125]	[]	[]	[73071764]	[]
368_11581	chr3	14439463	14439863	+	781	67.0	[]	[]	[8.968127]	[182]	[]	[14439686]
368_11594	chr6	50825615	50826015	+	848	67.0	[8.228404, 12.567606]	[105, 127]	[]	[]	[50825803, 50825825]	[]
368_11596	chr6	129440629	129441029	+	1000	67.0	[8.001244, 8.891774]	[74, 90]	[]	[]	[129440803, 129440819]	[]
368_11613	chr1	64006614	64007014	+	1000	66.5	[12.567606]	[102]	[]	[]	[64006774]	[]
368_1162	chr6	7165150	7165550	+	1000	431.0	[8.090539]	[231]	[]	[]	[7165393]	[]
368_11624	chr13	46183576	46183976	+	954	66.5	[]	[]	[7.7957826]	[173]	[]	[46183777]
368_11629	chr16	11112881	11113281	+	999	66.5	[]	[]	[8.779576]	[134]	[]	[11113076]
368_1164	chr1	89823567	89823967	+	1000	430.5	[]	[]	[8.069409]	[69]	[]	[89823718]
368_11644	chr2	134195357	134195757	+	1000	66.5	[]	[]	[12.567606]	[185]	[]	[134195554]
368_1166	chr11	117224250	117224650	+	1000	430.0	[]	[]	[8.891774]	[61]	[]	[117224405]
368_11666	chr6	143555146	143555546	+	893	66.5	[]	[]	[8.182954]	[201]	[]	[143555382]
368_11691	chr11	69448473	69448873	+	1000	66.0	[]	[]	[8.320784]	[181]	[]	[69448705]
368_11694	chr12	56010113	56010513	+	983	66.0	[8.891774]	[175]	[]	[]	[56010352]	[]
368_11701	chr16	12002506	12002906	+	972	66.0	[8.891774]	[65]	[8.069409]	[78]	[12002665]	[12002678]
368_11702	chr16	21643779	21644179	+	799	66.0	[12.567606]	[132]	[]	[]	[21643980]	[]
368_11732	chr5	179766457	179766857	+	989	66.0	[]	[]	[8.891774]	[103]	[]	[179766645]
368_11736	chr6	47149560	47149960	+	992	66.0	[8.891774, 8.891774]	[98, 174]	[]	[]	[47149730, 47149806]	[]
368_11738	chr7	138001947	138002347	+	1000	66.0	[8.891774, 8.182954]	[268, 280]	[]	[]	[138002098, 138002110]	[]
368_11745	chr9	136107054	136107454	+	985	66.0	[]	[]	[8.001244]	[136]	[]	[136107281]
368_11758	chr1	228340975	228341375	+	1000	65.5	[8.320784]	[163]	[]	[]	[228341179]	[]
368_11769	chr12	56721212	56721612	+	989	65.5	[]	[]	[8.069409]	[65]	[]	[56721375]
368_11789	chr22	41832524	41832924	+	922	65.5	[]	[]	[8.891774, 12.567606]	[101, 158]	[]	[41832704, 41832761]
368_118	chr4	144019290	144019690	+	1000	726.5	[]	[]	[8.779576]	[144]	[]	[144019529]
368_11800	chr5	139774894	139775294	+	1000	65.5	[]	[]	[8.182954]	[240]	[]	[139775114]
368_11804	chr6	106894964	106895364	+	935	65.5	[]	[]	[8.779576]	[146]	[]	[106895194]
368_11828	chr1	209747661	209748061	+	960	65.0	[12.567606, 7.7957826]	[157, 165]	[]	[]	[209747873, 209747881]	[]
368_11841	chr17	50934861	50935261	+	944	65.0	[]	[]	[8.001244]	[161]	[]	[50935089]
368_11850	chr2	98378982	98379382	+	901	65.0	[8.001244]	[155]	[8.891774]	[144]	[98379194]	[98379183]
368_11856	chr22	20157109	20157509	+	1000	65.0	[]	[]	[8.228404]	[202]	[]	[20157336]
368_11866	chr4	168568957	168569357	+	873	65.0	[8.02331]	[78]	[]	[]	[168569122]	[]
368_11880	chr8	47659745	47660145	+	647	65.0	[8.090539]	[188]	[]	[]	[47659973]	[]
368_11883	chr9	33377127	33377527	+	956	65.0	[7.7957826, 8.891774, 8.069409]	[103, 120, 138]	[]	[]	[33377309, 33377326, 33377344]	[]
368_11886	chr9	129737693	129738093	+	1000	65.0	[]	[]	[7.549868]	[195]	[]	[129737859]
368_1190	chr14	101678023	101678423	+	1000	427.0	[]	[]	[8.779576, 9.473919]	[78, 118]	[]	[101678191, 101678231]
368_11903	chr12	26274750	26275150	+	998	64.5	[8.228404]	[123]	[]	[]	[26274908]	[]
368_11909	chr16	15482407	15482807	+	962	64.5	[8.779576]	[104]	[]	[]	[15482588]	[]
368_11912	chr16	85607330	85607730	+	932	64.5	[]	[]	[8.891774]	[84]	[]	[85607485]
368_11927	chr3	38264731	38265131	+	1000	64.5	[]	[]	[8.02331]	[85]	[]	[38264882]
368_11929	chr4	150572604	150573004	+	881	64.5	[8.02331]	[173]	[]	[]	[150572831]	[]
368_11934	chr6	72580313	72580713	+	994	64.5	[8.001244]	[175]	[]	[]	[72580536]	[]
368_11945	chr8	100900436	100900836	+	920	64.5	[]	[]	[8.001244]	[65]	[]	[100900592]
368_11954	chr1	31939752	31940152	+	944	64.0	[]	[]	[8.320784]	[203]	[]	[31940001]
368_11956	chr1	61091570	61091970	+	992	64.0	[]	[]	[8.805163]	[66]	[]	[61091721]
368_11958	chr1	168466170	168466570	+	980	64.0	[8.182954, 8.090539]	[210, 225]	[]	[]	[168466394, 168466409]	[]
368_11960	chr10	11684672	11685072	+	744	64.0	[]	[]	[8.494345]	[171]	[]	[11684840]
368_11962	chr10	34001214	34001614	+	762	64.0	[]	[]	[8.001244]	[133]	[]	[34001429]
