#PeakID(python identify_motif.py ./ENCODE_processed_files/ETS1_idr.fa ETS1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
503_10262	chr9	14322419	14322819	+	1000	43.0	[]	[]	[8.404206]	[302]	[]	[14322633]
503_1027	chr8	37736439	37736839	+	1000	122.0	[7.7103596, 6.6215615]	[63, 67]	[]	[]	[37736592, 37736596]	[]
503_10281	chrX	49167238	49167638	+	1000	43.0	[]	[]	[7.475481]	[102]	[]	[49167428]
503_10299	chr1	26363775	26364175	+	1000	42.0	[]	[]	[7.896186]	[99]	[]	[26363957]
503_10300	chr1	27137134	27137534	+	1000	42.0	[]	[]	[9.834179, 7.8463583]	[145, 163]	[]	[27137361, 27137379]
503_10301	chr1	27529120	27529520	+	1000	42.0	[6.993913]	[118]	[]	[]	[27529330]	[]
503_10302	chr1	27659973	27660373	+	1000	42.0	[9.005733, 8.445345]	[80, 135]	[]	[]	[27660142, 27660197]	[]
503_1031	chr9	128160180	128160580	+	1000	122.0	[]	[]	[7.659544]	[69]	[]	[128160332]
503_10310	chr1	47515445	47515845	+	1000	42.0	[10.421151]	[95]	[]	[]	[47515634]	[]
503_10315	chr1	107057328	107057728	+	1000	42.0	[]	[]	[10.421151]	[147]	[]	[107057536]
503_10318	chr1	150926135	150926535	+	1000	42.0	[]	[]	[9.975595]	[127]	[]	[150926353]
503_1032	chr9	137578774	137579174	+	1000	122.0	[]	[]	[7.7103596, 11.354753]	[95, 117]	[]	[137578926, 137578948]
503_10324	chr1	196933599	196933999	+	1000	42.0	[]	[]	[11.405568]	[90]	[]	[196933766]
503_10342	chr10	87094693	87095093	+	1000	42.0	[]	[]	[8.880239]	[94]	[]	[87094879]
503_10345	chr10	119207209	119207609	+	1000	42.0	[]	[]	[6.993913]	[92]	[]	[119207360]
503_10347	chr10	132329843	132330243	+	1000	42.0	[11.819135]	[77]	[]	[]	[132330008]	[]
503_1036	chr11	65720628	65721028	+	1000	121.0	[7.57576, 7.2925353, 8.722507]	[113, 136, 159]	[]	[]	[65720829, 65720852, 65720875]	[]
503_10375	chr12	79934653	79935053	+	1000	42.0	[8.00715]	[111]	[]	[]	[79934849]	[]
503_10379	chr12	117190173	117190573	+	1000	42.0	[10.796905]	[60]	[7.4201775]	[116]	[117190330]	[117190386]
503_10388	chr14	22872472	22872872	+	1000	42.0	[11.405568]	[141]	[]	[]	[22872641]	[]
503_10390	chr14	51989191	51989591	+	1000	42.0	[7.4008026]	[90]	[]	[]	[51989381]	[]
503_10397	chr15	45166738	45167138	+	1000	42.0	[]	[]	[6.924771]	[170]	[]	[45166974]
503_10415	chr16	66604576	66604976	+	1000	42.0	[]	[]	[9.913131]	[89]	[]	[66604736]
503_10432	chr17	45019218	45019618	+	1000	42.0	[]	[]	[7.5145535]	[114]	[]	[45019407]
503_10433	chr17	45949072	45949472	+	1000	42.0	[6.993913]	[149]	[]	[]	[45949309]	[]
503_10436	chr17	57420657	57421057	+	1000	42.0	[]	[]	[6.8936343]	[93]	[]	[57420836]
503_10437	chr17	59209803	59210203	+	1000	42.0	[11.206739]	[127]	[]	[]	[59210021]	[]
503_10448	chr17	81119384	81119784	+	1000	42.0	[6.7055626]	[113]	[]	[]	[81119548]	[]
503_1046	chr1	19210118	19210518	+	1000	120.0	[9.834179]	[102]	[]	[]	[19210316]	[]
503_10461	chr19	6516815	6517215	+	1000	42.0	[9.933497]	[66]	[]	[]	[6516978]	[]
503_10473	chr19	32669939	32670339	+	1000	42.0	[8.631947]	[79]	[]	[]	[32670109]	[]
503_10493	chr2	15558004	15558404	+	1000	42.0	[12.327155]	[115]	[]	[]	[15558208]	[]
503_105	chr5	138465363	138465763	+	1000	267.0	[]	[]	[8.404206]	[101]	[]	[138465537]
503_10512	chr2	130340078	130340478	+	1000	42.0	[]	[]	[7.259386]	[114]	[]	[130340279]
503_10523	chr20	45910798	45911198	+	1000	42.0	[]	[]	[9.676489]	[120]	[]	[45911005]
503_10555	chr22	31159955	31160355	+	1000	42.0	[12.885004]	[94]	[10.835977]	[81]	[31160147]	[31160134]
503_10559	chr22	43187569	43187969	+	1000	42.0	[10.327956, 7.7103596]	[69, 92]	[]	[]	[43187730, 43187753]	[]
503_1056	chr19	17215139	17215539	+	1000	120.0	[7.7103596]	[101]	[8.303927, 9.834179]	[94, 122]	[17215327]	[17215320, 17215348]
503_10602	chr6	10146899	10147299	+	1000	42.0	[7.4008026]	[150]	[]	[]	[10147121]	[]
503_10604	chr6	14397141	14397541	+	1000	42.0	[]	[]	[8.372218]	[83]	[]	[14397308]
503_10616	chr6	53348679	53349079	+	1000	42.0	[8.303927]	[195]	[]	[]	[53348900]	[]
503_10621	chr6	136234526	136234926	+	1000	42.0	[8.5297]	[155]	[8.423885]	[88]	[136234756]	[136234689]
503_10624	chr6	156779250	156779650	+	1000	42.0	[]	[]	[8.404206]	[204]	[]	[156779496]
503_10626	chr7	2771245	2771645	+	1000	42.0	[]	[]	[6.615002]	[142]	[]	[2771466]
503_10632	chr7	105401588	105401988	+	1000	42.0	[6.993913]	[108]	[12.327155]	[149]	[105401777]	[105401818]
503_10642	chr8	41822601	41823001	+	1000	42.0	[7.2925353]	[177]	[]	[]	[41822842]	[]
503_10647	chr8	85106987	85107387	+	1000	42.0	[]	[]	[9.975595]	[178]	[]	[85107218]
503_10659	chr9	130740883	130741283	+	1000	42.0	[]	[]	[6.6002345]	[193]	[]	[130741107]
503_10676	chrX	3713453	3713853	+	1000	42.0	[8.404206]	[84]	[]	[]	[3713636]	[]
503_10679	chrX	16869640	16870040	+	1000	42.0	[11.580525]	[151]	[]	[]	[16869844]	[]
503_10690	chr1	9495274	9495674	+	1000	41.0	[8.880239]	[91]	[]	[]	[9495432]	[]
503_10693	chr1	19315328	19315728	+	1000	41.0	[]	[]	[8.638506]	[115]	[]	[19315493]
503_10698	chr1	27112079	27112479	+	1000	41.0	[10.897183]	[123]	[7.57576]	[182]	[27112264]	[27112323]
503_10725	chr1	206563005	206563405	+	1000	41.0	[7.208534]	[154]	[]	[]	[206563250]	[]
503_10747	chr11	14891429	14891829	+	1000	41.0	[8.423885]	[135]	[]	[]	[14891651]	[]
503_10749	chr11	45355196	45355596	+	1000	41.0	[]	[]	[7.4008026, 9.975595]	[135, 161]	[]	[45355416, 45355442]
503_10762	chr11	75352215	75352615	+	1000	41.0	[7.8463583]	[169]	[]	[]	[75352448]	[]
503_10768	chr11	124673673	124674073	+	1000	41.0	[8.503526]	[239]	[]	[]	[124673917]	[]
503_10791	chr14	35045970	35046370	+	1000	41.0	[7.915865, 11.455031]	[153, 214]	[6.993913]	[138]	[35046139, 35046200]	[35046124]
503_10809	chr16	2485008	2485408	+	1000	41.0	[]	[]	[9.975595]	[112]	[]	[2485199]
503_10812	chr16	8963679	8964079	+	1000	41.0	[]	[]	[6.9994493]	[164]	[]	[8963907]
503_10816	chr16	66608520	66608920	+	1000	41.0	[7.081232]	[153]	[]	[]	[66608766]	[]
503_10818	chr16	84423641	84424041	+	1000	41.0	[]	[]	[9.005733]	[182]	[]	[84423858]
503_1082	chr2	156400595	156400995	+	1000	119.0	[7.915865]	[59]	[]	[]	[156400747]	[]
503_10833	chr17	43545575	43545975	+	1000	41.0	[]	[]	[7.896186]	[150]	[]	[43545795]
503_10840	chr17	74748271	74748671	+	1000	41.0	[]	[]	[9.005733]	[65]	[]	[74748430]
503_10847	chr19	1194489	1194889	+	1000	41.0	[11.433704]	[158]	[]	[]	[1194728]	[]
503_10853	chr19	8580736	8581136	+	1000	41.0	[9.834179]	[140]	[]	[]	[8580925]	[]
503_10878	chr2	9331673	9332073	+	1000	41.0	[8.445345]	[141]	[]	[]	[9331907]	[]
503_10886	chr2	85587574	85587974	+	1000	41.0	[9.276331]	[85]	[]	[]	[85587736]	[]
503_1089	chr6	36985947	36986347	+	1000	119.0	[]	[]	[11.405568]	[111]	[]	[36986151]
503_10894	chr2	207960131	207960531	+	1000	41.0	[7.57576, 7.57576]	[82, 129]	[]	[]	[207960298, 207960345]	[]
503_10902	chr20	769807	770207	+	1000	41.0	[]	[]	[10.389162]	[160]	[]	[770055]
503_10903	chr20	32570406	32570806	+	1000	41.0	[]	[]	[8.830775]	[95]	[]	[32570601]
503_10904	chr20	35277497	35277897	+	1000	41.0	[8.830775]	[167]	[8.77996]	[141]	[35277720]	[35277694]
503_10915	chr22	19753955	19754355	+	1000	41.0	[6.862329]	[178]	[]	[]	[19754154]	[]
503_1094	chr8	43056059	43056459	+	1000	119.0	[12.327155]	[129]	[]	[]	[43056273]	[]
503_10940	chr22	29152625	29153025	+	1000	41.0	[6.615002]	[144]	[]	[]	[29152833]	[]
503_10943	chr22	37608445	37608845	+	1000	41.0	[6.6393065]	[134]	[9.276331]	[108]	[37608639]	[37608613]
503_10962	chr3	165918579	165918979	+	1000	41.0	[6.4371176]	[101]	[]	[]	[165918769]	[]
503_10964	chr3	171428231	171428631	+	1000	41.0	[]	[]	[8.880239]	[135]	[]	[171428452]
503_10967	chr3	194137571	194137971	+	1000	41.0	[]	[]	[10.897183]	[151]	[]	[194137758]
503_10969	chr4	2933948	2934348	+	1000	41.0	[8.372218]	[89]	[]	[]	[2934118]	[]
503_10987	chr5	173331940	173332340	+	1000	41.0	[]	[]	[6.612075]	[122]	[]	[173332091]
503_10996	chr6	28566105	28566505	+	1000	41.0	[7.259386]	[71]	[]	[]	[28566272]	[]
503_110	chr11	86301947	86302347	+	1000	260.0	[9.467575]	[79]	[]	[]	[86302123]	[]
503_11011	chr7	2019566	2019966	+	1000	41.0	[9.92478]	[164]	[]	[]	[2019809]	[]
503_11012	chr7	5549260	5549660	+	1000	41.0	[12.327155]	[134]	[]	[]	[5549472]	[]
503_11013	chr7	5558864	5559264	+	1000	41.0	[11.941725]	[205]	[]	[]	[5559106]	[]
503_11014	chr7	6637082	6637482	+	1000	41.0	[14.901949]	[102]	[14.901949]	[154]	[6637266]	[6637318]
503_11035	chr9	4662119	4662519	+	1000	41.0	[7.099728, 7.7851515]	[116, 122]	[]	[]	[4662296, 4662302]	[]
503_11038	chr9	34150066	34150466	+	1000	41.0	[7.896186]	[188]	[]	[]	[34150316]	[]
503_11055	chr9	130987714	130988114	+	1000	41.0	[8.880239]	[146]	[]	[]	[130987939]	[]
503_11060	chr9	131076477	131076877	+	1000	41.0	[10.796905]	[164]	[]	[]	[131076649]	[]
503_11061	chr9	131237241	131237641	+	1000	41.0	[]	[]	[9.276331]	[183]	[]	[131237479]
503_11072	chrX	3814939	3815339	+	1000	41.0	[7.896186]	[118]	[]	[]	[3815137]	[]
503_1108	chr15	34101798	34102198	+	1000	118.0	[9.834179, 9.834179]	[119, 130]	[6.406941]	[149]	[34102004, 34102015]	[34102034]
503_11081	chr1	1599502	1599902	+	1000	40.0	[7.2925353]	[53]	[]	[]	[1599655]	[]
503_11091	chr1	27607269	27607669	+	1000	40.0	[10.389162]	[58]	[]	[]	[27607426]	[]
503_11102	chr1	62688020	62688420	+	1000	40.0	[10.846732]	[153]	[]	[]	[62688214]	[]
503_11103	chr1	65309221	65309621	+	1000	40.0	[]	[]	[9.975595]	[134]	[]	[65309400]
503_11113	chr1	116909661	116910061	+	1000	40.0	[7.659544]	[149]	[]	[]	[116909880]	[]
503_11117	chr1	150999132	150999532	+	1000	40.0	[8.322755]	[107]	[]	[]	[150999322]	[]
503_1112	chr19	45079032	45079432	+	1000	118.0	[9.834179]	[115]	[]	[]	[45079245]	[]
503_11134	chr1	235108227	235108627	+	1000	40.0	[]	[]	[9.366932]	[117]	[]	[235108427]
503_11136	chr10	6203318	6203718	+	1000	40.0	[9.467575]	[137]	[]	[]	[6203541]	[]
503_11137	chr10	12221839	12222239	+	1000	40.0	[]	[]	[6.4858923]	[58]	[]	[12221991]
503_1114	chr20	31675799	31676199	+	1000	118.0	[7.208534]	[106]	[]	[]	[31675998]	[]
503_11141	chr10	30818002	30818402	+	1000	40.0	[7.259386]	[91]	[]	[]	[30818173]	[]
503_11147	chr10	77971186	77971586	+	1000	40.0	[]	[]	[12.327155]	[110]	[]	[77971378]
503_11150	chr10	92591434	92591834	+	1000	40.0	[7.4201775]	[183]	[8.322755]	[100]	[92591672]	[92591589]
503_11161	chr11	1336339	1336739	+	1000	40.0	[9.975595]	[113]	[]	[]	[1336511]	[]
503_11173	chr11	64355049	64355449	+	1000	40.0	[7.896186]	[129]	[6.4858923]	[148]	[64355272]	[64355291]
503_11186	chr12	1690764	1691164	+	1000	40.0	[]	[]	[13.471976]	[71]	[]	[1690919]
503_11187	chr12	1804460	1804860	+	1000	40.0	[]	[]	[11.405568]	[156]	[]	[1804704]
503_11188	chr12	6961685	6962085	+	1000	40.0	[11.455031]	[123]	[]	[]	[6961885]	[]
503_11198	chr12	121659002	121659402	+	1000	40.0	[]	[]	[8.123926]	[148]	[]	[121659236]
503_11205	chr13	95274217	95274617	+	1000	40.0	[7.4008026]	[132]	[]	[]	[95274426]	[]
503_11206	chr13	95301249	95301649	+	1000	40.0	[]	[]	[9.975595]	[140]	[]	[95301456]
503_11208	chr14	23551613	23552013	+	1000	40.0	[6.406941]	[154]	[]	[]	[23551833]	[]
503_11231	chr16	726693	727093	+	1000	40.0	[]	[]	[7.4008026]	[102]	[]	[726874]
503_11233	chr16	2027293	2027693	+	1000	40.0	[7.377296]	[186]	[]	[]	[2027520]	[]
503_1124	chr8	142403064	142403464	+	1000	118.0	[11.455031]	[133]	[]	[]	[142403289]	[]
503_11245	chr16	85303284	85303684	+	1000	40.0	[8.880239]	[66]	[]	[]	[85303438]	[]
503_11247	chr16	85574288	85574688	+	1000	40.0	[12.327155]	[202]	[]	[]	[85574539]	[]
503_11256	chr17	16398607	16399007	+	1000	40.0	[]	[]	[10.796905]	[145]	[]	[16398851]
503_11258	chr17	19004656	19005056	+	1000	40.0	[11.455031]	[121]	[]	[]	[19004849]	[]
503_11266	chr17	45221655	45222055	+	1000	40.0	[]	[]	[8.880239, 7.259386]	[93, 141]	[]	[45221838, 45221886]
503_11267	chr17	46795454	46795854	+	1000	40.0	[]	[]	[6.612075]	[138]	[]	[46795666]
503_11270	chr17	50661815	50662215	+	1000	40.0	[8.76831]	[91]	[]	[]	[50661985]	[]
503_11272	chr17	55264741	55265141	+	1000	40.0	[9.92478]	[152]	[]	[]	[55264989]	[]
503_11277	chr18	49486979	49487379	+	1000	40.0	[6.4167504]	[149]	[]	[]	[49487214]	[]
503_1128	chr1	155140370	155140770	+	1000	117.0	[9.875317, 11.580525]	[59, 73]	[6.924771]	[101]	[155140522, 155140536]	[155140564]
503_11287	chr19	4057903	4058303	+	1000	40.0	[]	[]	[6.615002]	[176]	[]	[4058143]
503_113	chr7	150992710	150993110	+	1000	258.0	[6.406941]	[82]	[]	[]	[150992887]	[]
503_11305	chr19	19105382	19105782	+	1000	40.0	[]	[]	[7.7103596]	[111]	[]	[19105565]
503_11307	chr19	35380506	35380906	+	1000	40.0	[]	[]	[6.862329]	[137]	[]	[35380729]
503_11314	chr19	45515146	45515546	+	1000	40.0	[]	[]	[12.327155, 7.3587046]	[158, 170]	[]	[45515350, 45515362]
503_11335	chr2	86204444	86204844	+	1000	40.0	[]	[]	[8.620302]	[111]	[]	[86204642]
503_11339	chr2	174059367	174059767	+	1000	40.0	[6.655864]	[143]	[8.76831]	[134]	[174059594]	[174059585]
503_11376	chr22	21602177	21602577	+	1000	40.0	[]	[]	[9.276331]	[139]	[]	[21602405]
503_11377	chr22	21669079	21669479	+	1000	40.0	[]	[]	[6.615002]	[135]	[]	[21669253]
503_11384	chr22	22996515	22996915	+	1000	40.0	[7.57576]	[142]	[]	[]	[22996750]	[]
503_11386	chr22	23068934	23069334	+	1000	40.0	[7.3383374]	[100]	[]	[]	[23069092]	[]
503_11402	chr3	4531418	4531818	+	1000	40.0	[]	[]	[6.6215615]	[133]	[]	[4531650]
503_11408	chr3	49166089	49166489	+	1000	40.0	[12.885004]	[156]	[]	[]	[49166339]	[]
503_11414	chr3	130893735	130894135	+	1000	40.0	[11.851124]	[160]	[9.834179]	[108]	[130893974]	[130893922]
503_11416	chr4	24584348	24584748	+	1000	40.0	[6.486581]	[97]	[7.099728]	[155]	[24584519]	[24584577]
503_11420	chr4	44678207	44678607	+	1000	40.0	[]	[]	[7.750857, 10.150553]	[147, 157]	[]	[44678443, 44678453]
503_11421	chr4	74364934	74365334	+	1000	40.0	[]	[]	[7.915865]	[192]	[]	[74365156]
503_11422	chr4	123599999	123600399	+	1000	40.0	[]	[]	[7.3005238]	[76]	[]	[123600163]
503_11425	chr5	321391	321791	+	1000	40.0	[9.676489]	[99]	[7.499129]	[109]	[321564]	[321574]
503_11427	chr5	37672180	37672580	+	1000	40.0	[9.276331]	[78]	[]	[]	[37672342]	[]
503_11454	chr6	33815864	33816264	+	1000	40.0	[10.897183]	[114]	[]	[]	[33816063]	[]
503_11456	chr6	36441383	36441783	+	1000	40.0	[11.405568]	[99]	[]	[]	[36441559]	[]
503_11457	chr6	37050182	37050582	+	822	40.0	[8.123926]	[81]	[]	[]	[37050351]	[]
503_11484	chr7	128361757	128362157	+	1000	40.0	[6.892782]	[181]	[]	[]	[128361969]	[]
503_11487	chr7	129091528	129091928	+	1000	40.0	[13.471976]	[120]	[]	[]	[129091747]	[]
503_11504	chr8	106060344	106060744	+	1000	40.0	[]	[]	[13.371697]	[83]	[]	[106060519]
503_11505	chr8	129992659	129993059	+	959	40.0	[]	[]	[7.4008026]	[159]	[]	[129992898]
503_1151	chr16	23453039	23453439	+	1000	116.0	[11.580525]	[78]	[7.5145535]	[75]	[23453208]	[23453205]
503_11514	chr9	99074175	99074575	+	1000	40.0	[]	[]	[6.6393065]	[105]	[]	[99074362]
503_11515	chr9	101840774	101841174	+	1000	40.0	[9.80219]	[195]	[]	[]	[101840976]	[]
503_11531	chr9	131072847	131073247	+	1000	40.0	[7.7460794]	[110]	[]	[]	[131072999]	[]
503_11533	chr9	131105954	131106354	+	1000	40.0	[]	[]	[7.259386]	[167]	[]	[131106175]
503_11539	chr9	137411686	137412086	+	1000	40.0	[6.993913]	[76]	[7.8463583]	[122]	[137411838]	[137411884]
503_11546	chrX	104166371	104166771	+	1000	40.0	[8.404206]	[137]	[]	[]	[104166537]	[]
503_11553	chrX	154490385	154490785	+	1000	40.0	[6.406941]	[153]	[7.885317]	[94]	[154490635]	[154490576]
503_11562	chr1	14784014	14784414	+	1000	39.0	[]	[]	[7.108255]	[114]	[]	[14784192]
503_11565	chr1	30778328	30778728	+	1000	39.0	[]	[]	[6.993913]	[98]	[]	[30778498]
503_11570	chr1	112904003	112904403	+	1000	39.0	[]	[]	[8.830775]	[104]	[]	[112904206]
503_11600	chr10	73908986	73909386	+	1000	39.0	[6.751365]	[152]	[]	[]	[73909152]	[]
503_11605	chr10	87863429	87863829	+	1000	39.0	[6.8419666]	[73]	[]	[]	[87863586]	[]
503_11611	chr11	796280	796680	+	1000	39.0	[]	[]	[8.322755]	[176]	[]	[796516]
503_11619	chr11	63574412	63574812	+	1000	39.0	[6.4858923]	[124]	[]	[]	[63574625]	[]
503_11627	chr11	76782923	76783323	+	1000	39.0	[8.880239]	[98]	[]	[]	[76783089]	[]
503_11637	chr12	6335624	6336024	+	1000	39.0	[11.405568]	[123]	[]	[]	[6335837]	[]
503_1166	chr5	181191555	181191955	+	1000	116.0	[]	[]	[6.7005134]	[124]	[]	[181191767]
503_11669	chr15	51622611	51623011	+	1000	39.0	[8.02168, 9.875317]	[97, 107]	[]	[]	[51622763, 51622773]	[]
503_11670	chr15	63109881	63110281	+	1000	39.0	[]	[]	[6.4858923]	[135]	[]	[63110109]
503_1168	chr6	26312987	26313387	+	1000	116.0	[]	[]	[10.421151]	[91]	[]	[26313174]
503_11683	chr16	9068313	9068713	+	1000	39.0	[]	[]	[8.130486]	[144]	[]	[9068498]
503_11690	chr16	58733449	58733849	+	1000	39.0	[9.467575]	[108]	[]	[]	[58733648]	[]
503_1170	chr6	158559867	158560267	+	1000	116.0	[]	[]	[6.924771]	[99]	[]	[158560055]
503_11700	chr17	7561700	7562100	+	771	39.0	[]	[]	[6.993913]	[198]	[]	[7561943]
503_11720	chr18	21735512	21735912	+	1000	39.0	[12.885004]	[184]	[6.8739552]	[125]	[21735755]	[21735696]
503_1174	chr1	1471521	1471921	+	1000	115.0	[]	[]	[8.6883335]	[115]	[]	[1471736]
503_11763	chr19	49717504	49717904	+	1000	39.0	[]	[]	[8.631947, 8.722507, 10.389162]	[114, 136, 147]	[]	[49717697, 49717719, 49717730]
503_11769	chr19	55580750	55581150	+	1000	39.0	[9.467575, 11.455031]	[81, 134]	[]	[]	[55580931, 55580984]	[]
503_11770	chr1_KI270713v1_random	28575	28975	+	1000	39.0	[]	[]	[11.206739]	[120]	[]	[28782]
503_11774	chr2	17122853	17123253	+	1000	39.0	[7.259386]	[101]	[10.150553]	[70]	[17123045]	[17123014]
503_11775	chr2	24920458	24920858	+	1000	39.0	[]	[]	[7.7103596]	[63]	[]	[24920621]
503_1178	chr1	46340586	46340986	+	1000	115.0	[]	[]	[8.503526]	[108]	[]	[46340791]
503_11783	chr2	187003183	187003583	+	1000	39.0	[]	[]	[6.824492]	[161]	[]	[187003397]
503_11792	chr20	61521631	61522031	+	1000	39.0	[]	[]	[11.819135]	[154]	[]	[61521875]
503_11793	chr20	62804671	62805071	+	1000	39.0	[]	[]	[8.404206]	[94]	[]	[62804823]
503_1182	chr12	112418600	112419000	+	1000	115.0	[7.2925353, 10.310211]	[171, 178]	[]	[]	[112418837, 112418844]	[]
503_11828	chr22	23130800	23131200	+	1000	39.0	[7.4008026]	[148]	[]	[]	[23131004]	[]
503_11831	chr22	23258202	23258602	+	1000	39.0	[]	[]	[6.606036]	[135]	[]	[23258421]
503_11835	chr22	41544279	41544679	+	1000	39.0	[7.0065327]	[186]	[10.150553]	[183]	[41544497]	[41544494]
503_11849	chr3	123082344	123082744	+	1000	39.0	[]	[]	[6.615002]	[146]	[]	[123082582]
503_11851	chr3	156816831	156817231	+	1000	39.0	[7.4008026, 8.404206]	[78, 105]	[]	[]	[156816992, 156817019]	[]
503_11855	chr3	196639576	196639976	+	1000	39.0	[]	[]	[7.2583613, 8.155915]	[115, 128]	[]	[196639729, 196639742]
503_11857	chr4	2393596	2393996	+	1000	39.0	[]	[]	[11.405568, 7.3587046]	[98, 159]	[]	[2393784, 2393845]
503_11867	chr4	83010766	83011166	+	1000	39.0	[8.638506]	[155]	[]	[]	[83011006]	[]
503_11876	chr5	91314319	91314719	+	1000	39.0	[]	[]	[6.615002]	[168]	[]	[91314551]
503_11879	chr5	131996675	131997075	+	1000	39.0	[10.310211]	[133]	[]	[]	[131996908]	[]
503_11885	chr5	170331138	170331538	+	1000	39.0	[14.901949]	[124]	[]	[]	[170331334]	[]
503_11887	chr5	177310767	177311167	+	1000	39.0	[6.591707]	[160]	[]	[]	[177310982]	[]
503_11894	chr6	7173812	7174212	+	1000	39.0	[]	[]	[9.834179]	[90]	[]	[7173993]
503_11897	chr6	26052786	26053186	+	1000	39.0	[]	[]	[11.455031]	[100]	[]	[26052947]
503_11907	chr6	33314505	33314905	+	1000	39.0	[8.77996]	[140]	[6.406941]	[95]	[33314703]	[33314658]
503_11908	chr6	33633423	33633823	+	1000	39.0	[6.406941]	[147]	[]	[]	[33633639]	[]
503_11921	chr7	97130404	97130804	+	1000	39.0	[]	[]	[10.897183]	[110]	[]	[97130605]
503_11927	chr7	117020073	117020473	+	1000	39.0	[]	[]	[8.382879]	[80]	[]	[117020250]
503_1193	chr19	45439810	45440210	+	1000	115.0	[8.155915]	[105]	[9.975595]	[95]	[45440009]	[45439999]
503_11938	chr8	22658681	22659081	+	1000	39.0	[6.615002]	[132]	[]	[]	[22658913]	[]
503_11945	chr8	127800754	127801154	+	1000	39.0	[8.423885]	[206]	[]	[]	[127800996]	[]
503_11948	chr8	143950691	143951091	+	1000	39.0	[]	[]	[6.406941]	[170]	[]	[143950924]
503_11954	chr9	121234217	121234617	+	1000	39.0	[]	[]	[7.885317]	[160]	[]	[121234404]
503_11975	chrX	2325076	2325476	+	799	39.0	[]	[]	[7.3395963]	[102]	[]	[2325277]
503_12001	chr1	22039772	22040172	+	1000	38.0	[8.880239]	[137]	[]	[]	[22039986]	[]
503_12004	chr1	25861210	25861610	+	1000	38.0	[7.0065327, 9.467575]	[113, 149]	[]	[]	[25861418, 25861454]	[]
