#PeakID(python scan_motif.py ./ENCODE_processed_files/RUNX1_idr.fa RUNX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
39_10107	chr17	62065769	62066169	+	1000	39.0	[]	[]	[8.892592]	[94]	[]	[62065943]
39_10108	chr17	62170331	62170731	+	1000	39.0	[9.738007]	[155]	[]	[]	[62170568]	[]
39_10109	chr17	62172604	62173004	+	1000	39.0	[8.017088]	[153]	[]	[]	[62172835]	[]
39_10114	chr17	76385421	76385821	+	1000	39.0	[7.7944894]	[209]	[]	[]	[76385660]	[]
39_10117	chr17	78176499	78176899	+	1000	39.0	[8.260495]	[95]	[]	[]	[78176693]	[]
39_10123	chr17	81309293	81309693	+	1000	39.0	[]	[]	[8.017088]	[219]	[]	[81309539]
39_10127	chr17	82292564	82292964	+	1000	39.0	[]	[]	[8.502309]	[123]	[]	[82292765]
39_10128	chr18	3594237	3594637	+	1000	39.0	[8.892592]	[93]	[]	[]	[3594428]	[]
39_10146	chr19	10569025	10569425	+	1000	39.0	[7.2151175]	[108]	[]	[]	[10569220]	[]
39_10148	chr19	11143109	11143509	+	1000	39.0	[]	[]	[8.260495]	[127]	[]	[11143269]
39_10151	chr19	13958032	13958432	+	1000	39.0	[9.738007]	[64]	[10.586677]	[83]	[13958187]	[13958206]
39_10159	chr19	40750229	40750629	+	1000	39.0	[9.738007]	[74]	[7.397283]	[122]	[40750381]	[40750429]
39_10165	chr19	50368555	50368955	+	1000	39.0	[8.260495]	[145]	[8.892592]	[129]	[50368757]	[50368741]
39_1017	chr6	44225716	44226116	+	1000	75.0	[7.151105]	[156]	[]	[]	[44225947]	[]
39_10170	chr19	58407764	58408164	+	1000	39.0	[8.892592]	[187]	[]	[]	[58407991]	[]
39_10172	chr2	10448577	10448977	+	1000	39.0	[7.151105]	[69]	[]	[]	[10448736]	[]
39_10174	chr2	27321093	27321493	+	1000	39.0	[]	[]	[10.370103, 8.329008]	[56, 78]	[]	[27321244, 27321266]
39_10178	chr2	42827605	42828005	+	1000	39.0	[]	[]	[8.909202, 8.892592]	[80, 146]	[]	[42827779, 42827845]
39_10180	chr2	47078988	47079388	+	1000	39.0	[]	[]	[12.064187]	[86]	[]	[47079157]
39_10181	chr2	58688830	58689230	+	1000	39.0	[8.260495]	[129]	[]	[]	[58689053]	[]
39_10182	chr2	62304998	62305398	+	1000	39.0	[8.044104, 9.738007]	[66, 145]	[]	[]	[62305157, 62305236]	[]
39_10183	chr2	65382669	65383069	+	1000	39.0	[9.738007]	[91]	[]	[]	[65382857]	[]
39_10196	chr2	157838441	157838841	+	1000	39.0	[7.151105]	[86]	[7.151105, 10.370103]	[135, 149]	[157838621]	[157838670, 157838684]
39_10198	chr2	170324529	170324929	+	1000	39.0	[7.2151175]	[125]	[]	[]	[170324725]	[]
39_102	chr4	184684784	184685184	+	1000	175.0	[7.397283]	[83]	[10.586677]	[113]	[184684966]	[184684996]
39_10204	chr2	227451280	227451680	+	1000	39.0	[]	[]	[7.7944894]	[91]	[]	[227451471]
39_10214	chr20	35269261	35269661	+	1000	39.0	[8.892592]	[142]	[]	[]	[35269461]	[]
39_10215	chr20	37335881	37336281	+	1000	39.0	[]	[]	[7.397283, 8.892592]	[122, 159]	[]	[37336090, 37336127]
39_10216	chr20	37527776	37528176	+	1000	39.0	[]	[]	[10.370103]	[187]	[]	[37528013]
39_10218	chr20	39048015	39048415	+	1000	39.0	[]	[]	[8.892592]	[131]	[]	[39048240]
39_1022	chr7	112573708	112574108	+	1000	75.0	[8.017088]	[118]	[]	[]	[112573923]	[]
39_10221	chr20	47040715	47041115	+	1000	39.0	[]	[]	[7.397283]	[86]	[]	[47040870]
39_10223	chr20	50197400	50197800	+	1000	39.0	[8.909202, 10.370103]	[112, 131]	[]	[]	[50197600, 50197619]	[]
39_10225	chr20	62386801	62387201	+	1000	39.0	[8.329008]	[189]	[]	[]	[62387026]	[]
39_10227	chr20	63942119	63942519	+	1000	39.0	[7.2151175]	[113]	[]	[]	[63942329]	[]
39_1023	chr7	129769057	129769457	+	1000	75.0	[]	[]	[10.370103, 12.064187]	[118, 143]	[]	[129769271, 129769296]
39_10230	chr21	38476486	38476886	+	977	39.0	[]	[]	[7.748347]	[217]	[]	[38476725]
39_10237	chr22	19142210	19142610	+	1000	39.0	[8.892592]	[160]	[]	[]	[19142439]	[]
39_10239	chr22	19233058	19233458	+	1000	39.0	[7.397283]	[162]	[]	[]	[19233277]	[]
39_10243	chr22	19404089	19404489	+	1000	39.0	[7.748347]	[177]	[]	[]	[19404337]	[]
39_10245	chr22	19528027	19528427	+	1000	39.0	[]	[]	[8.044104]	[225]	[]	[19528266]
39_10246	chr22	19577467	19577867	+	1000	39.0	[8.892592, 8.017088]	[104, 114]	[]	[]	[19577636, 19577646]	[]
39_10247	chr22	19861330	19861730	+	1000	39.0	[]	[]	[9.738007]	[92]	[]	[19861511]
39_10249	chr22	19888109	19888509	+	1000	39.0	[]	[]	[9.738007]	[229]	[]	[19888359]
39_10251	chr22	20089244	20089644	+	1000	39.0	[]	[]	[8.892592]	[193]	[]	[20089482]
39_10253	chr22	20212427	20212827	+	1000	39.0	[8.260495, 9.738007]	[94, 108]	[]	[]	[20212588, 20212602]	[]
39_10256	chr22	20297649	20298049	+	1000	39.0	[]	[]	[8.892592]	[178]	[]	[20297848]
39_1026	chr7	154676405	154676805	+	1000	75.0	[7.2151175, 10.370103]	[133, 142]	[9.738007, 10.370103]	[81, 154]	[154676622, 154676631]	[154676570, 154676643]
39_10260	chr22	20421411	20421811	+	1000	39.0	[8.017088, 8.017088]	[147, 156]	[]	[]	[20421652, 20421661]	[]
39_10264	chr22	20648630	20649030	+	1000	39.0	[8.329008, 10.586677]	[67, 83]	[]	[]	[20648792, 20648808]	[]
39_1027	chr9	127451282	127451682	+	1000	75.0	[8.260495]	[143]	[]	[]	[127451512]	[]
39_10273	chr22	21717804	21718204	+	1000	39.0	[10.586677]	[121]	[]	[]	[21718007]	[]
39_10279	chr22	21970096	21970496	+	1000	39.0	[10.586677]	[151]	[]	[]	[21970274]	[]
39_1028	chr9	130834588	130834988	+	1000	75.0	[9.738007]	[66]	[]	[]	[130834748]	[]
39_10283	chr22	22158799	22159199	+	1000	39.0	[8.260495]	[135]	[]	[]	[22159023]	[]
39_10287	chr22	22528794	22529194	+	1000	39.0	[10.370103, 10.370103]	[57, 86]	[]	[]	[22528948, 22528977]	[]
39_10288	chr22	22535690	22536090	+	1000	39.0	[10.586677]	[79]	[]	[]	[22535845]	[]
39_10291	chr22	22608066	22608466	+	1000	39.0	[]	[]	[8.260495]	[140]	[]	[22608269]
39_10294	chr22	22699771	22700171	+	1000	39.0	[10.370103]	[133]	[]	[]	[22700004]	[]
39_10295	chr22	22762851	22763251	+	1000	39.0	[7.2151175]	[110]	[]	[]	[22763033]	[]
39_103	chr16	88491630	88492030	+	1000	174.0	[]	[]	[9.738007]	[124]	[]	[88491840]
39_10301	chr22	22960799	22961199	+	1000	39.0	[]	[]	[12.064187]	[76]	[]	[22960974]
39_10302	chr22	22968381	22968781	+	1000	39.0	[10.370103, 10.370103]	[96, 148]	[]	[]	[22968573, 22968625]	[]
39_10306	chr22	30183866	30184266	+	1000	39.0	[9.738007, 8.502309]	[98, 141]	[12.064187]	[129]	[30184041, 30184084]	[30184072]
39_10307	chr22	31937327	31937727	+	1000	39.0	[10.370103, 10.586677]	[91, 97]	[]	[]	[31937509, 31937515]	[]
39_10308	chr22	37657587	37657987	+	1000	39.0	[12.064187]	[145]	[]	[]	[37657793]	[]
39_10309	chr22	38266113	38266513	+	1000	39.0	[]	[]	[12.064187]	[123]	[]	[38266312]
39_10314	chr3	5188744	5189144	+	1000	39.0	[8.892592]	[141]	[]	[]	[5188916]	[]
39_10315	chr3	9645859	9646259	+	1000	39.0	[7.7944894]	[58]	[]	[]	[9646016]	[]
39_10316	chr3	10116117	10116517	+	1000	39.0	[]	[]	[7.397283]	[161]	[]	[10116295]
39_10320	chr3	13657825	13658225	+	1000	39.0	[]	[]	[7.7944894, 10.586677]	[93, 102]	[]	[13658001, 13658010]
39_10328	chr3	37855350	37855750	+	1000	39.0	[8.892592]	[116]	[10.586677]	[103]	[37855554]	[37855541]
39_10331	chr3	45092238	45092638	+	1000	39.0	[]	[]	[9.738007]	[132]	[]	[45092452]
39_10332	chr3	45667933	45668333	+	1000	39.0	[]	[]	[8.260495]	[112]	[]	[45668142]
39_10333	chr3	45842095	45842495	+	1000	39.0	[8.892592]	[140]	[]	[]	[45842332]	[]
39_10336	chr3	51539427	51539827	+	1000	39.0	[12.064187]	[118]	[]	[]	[51539619]	[]
39_10337	chr3	58899476	58899876	+	1000	39.0	[12.064187]	[117]	[]	[]	[58899668]	[]
39_1034	chr1	32133411	32133811	+	1000	74.0	[10.586677]	[72]	[]	[]	[32133567]	[]
39_10342	chr3	129413738	129414138	+	1000	39.0	[10.586677]	[113]	[]	[]	[129413950]	[]
39_10344	chr3	143119098	143119498	+	1000	39.0	[]	[]	[10.370103]	[95]	[]	[143119251]
39_10345	chr3	168116216	168116616	+	1000	39.0	[10.586677]	[120]	[]	[]	[168116406]	[]
39_10349	chr3	185585795	185586195	+	1000	39.0	[8.892592, 8.260495]	[164, 171]	[]	[]	[185586012, 185586019]	[]
39_10350	chr3	185660435	185660835	+	1000	39.0	[]	[]	[8.260495]	[85]	[]	[185660606]
39_10356	chr4	1882940	1883340	+	1000	39.0	[]	[]	[7.748347]	[140]	[]	[1883146]
39_10361	chr4	48340958	48341358	+	1000	39.0	[]	[]	[8.260495]	[137]	[]	[48341164]
39_10366	chr4	74682675	74683075	+	1000	39.0	[]	[]	[8.329008]	[135]	[]	[74682871]
39_10370	chr4	109815213	109815613	+	1000	39.0	[]	[]	[7.3683157]	[153]	[]	[109815398]
39_10372	chr4	138671478	138671878	+	1000	39.0	[]	[]	[10.586677]	[167]	[]	[138671721]
39_10380	chr5	12615146	12615546	+	1000	39.0	[]	[]	[7.3683157, 8.502309]	[77, 82]	[]	[12615308, 12615313]
39_10381	chr5	34007729	34008129	+	1000	39.0	[]	[]	[8.909202]	[161]	[]	[34007924]
39_10389	chr5	82278178	82278578	+	1000	39.0	[]	[]	[10.370103]	[131]	[]	[82278373]
39_10390	chr5	95773122	95773522	+	1000	39.0	[8.329008]	[125]	[]	[]	[95773304]	[]
39_10392	chr5	109703794	109704194	+	1000	39.0	[]	[]	[10.586677]	[157]	[]	[109704022]
39_10393	chr5	112973923	112974323	+	1000	39.0	[]	[]	[7.2151175]	[119]	[]	[112974111]
39_10398	chr5	137754148	137754548	+	1000	39.0	[]	[]	[8.329008]	[123]	[]	[137754350]
39_10399	chr5	139635754	139636154	+	1000	39.0	[]	[]	[12.064187]	[100]	[]	[139635946]
39_104	chr1	21904961	21905361	+	1000	173.0	[]	[]	[9.738007]	[119]	[]	[21905169]
39_1040	chr1	206924065	206924465	+	1000	74.0	[10.370103, 8.329008, 10.370103]	[102, 140, 147]	[]	[]	[206924244, 206924282, 206924289]	[]
39_10401	chr5	142186894	142187294	+	1000	39.0	[7.748347, 10.586677]	[95, 115]	[]	[]	[142187071, 142187091]	[]
39_10404	chr5	154373713	154374113	+	1000	39.0	[8.909202]	[197]	[]	[]	[154373962]	[]
39_10406	chr5	172150505	172150905	+	1000	39.0	[10.586677]	[122]	[10.370103]	[96]	[172150715]	[172150689]
39_10408	chr5	173324041	173324441	+	1000	39.0	[7.151105]	[127]	[]	[]	[173324223]	[]
39_1041	chr1	208219920	208220320	+	1000	74.0	[7.397283, 8.502309]	[84, 159]	[]	[]	[208220089, 208220164]	[]
39_10415	chr5	181188276	181188676	+	1000	39.0	[]	[]	[9.738007]	[131]	[]	[181188487]
39_10417	chr6	311824	312224	+	1000	39.0	[9.738007]	[130]	[]	[]	[311986]	[]
39_10418	chr6	7140627	7141027	+	1000	39.0	[8.329008]	[119]	[]	[]	[7140834]	[]
39_1042	chr1	211630220	211630620	+	1000	74.0	[]	[]	[7.2151175]	[114]	[]	[211630433]
39_10425	chr6	28687480	28687880	+	1000	39.0	[]	[]	[8.044104]	[70]	[]	[28687641]
39_10428	chr6	31741404	31741804	+	1000	39.0	[8.017088]	[98]	[]	[]	[31741555]	[]
39_1043	chr1	223788924	223789324	+	1000	74.0	[]	[]	[8.017088]	[112]	[]	[223789096]
39_10434	chr6	34745215	34745615	+	1000	39.0	[9.738007, 8.017088, 8.017088]	[138, 144, 152]	[12.064187, 8.044104]	[176, 182]	[34745388, 34745394, 34745402]	[34745426, 34745432]
39_10435	chr6	36444023	36444423	+	1000	39.0	[]	[]	[10.586677]	[111]	[]	[36444225]
39_10436	chr6	36599780	36600180	+	1000	39.0	[7.3683157]	[119]	[7.3683157]	[166]	[36599972]	[36600019]
39_1044	chr11	34105345	34105745	+	1000	74.0	[]	[]	[8.502309]	[120]	[]	[34105496]
39_1045	chr11	65498857	65499257	+	1000	74.0	[]	[]	[8.502309]	[159]	[]	[65499103]
39_10454	chr6	146770988	146771388	+	1000	39.0	[12.064187, 8.017088]	[97, 156]	[]	[]	[146771151, 146771210]	[]
39_10459	chr6	157980865	157981265	+	1000	39.0	[]	[]	[8.892592]	[119]	[]	[157981067]
39_10462	chr6	161379832	161380232	+	629	39.0	[10.370103, 8.892592]	[85, 133]	[8.892592]	[136]	[161380013, 161380061]	[161380064]
39_10465	chr6	168035762	168036162	+	1000	39.0	[]	[]	[12.064187]	[160]	[]	[168036008]
39_10468	chr7	4738689	4739089	+	1000	39.0	[8.260495]	[104]	[]	[]	[4738869]	[]
39_10469	chr7	5822891	5823291	+	1000	39.0	[10.370103]	[113]	[]	[]	[5823081]	[]
39_10472	chr7	22433848	22434248	+	1000	39.0	[]	[]	[7.151105]	[142]	[]	[22434057]
39_10474	chr7	38341251	38341651	+	1000	39.0	[7.2151175]	[89]	[]	[]	[38341438]	[]
39_10475	chr7	50355673	50356073	+	1000	39.0	[]	[]	[8.892592, 7.2151175]	[85, 136]	[]	[50355841, 50355892]
39_10476	chr7	66996659	66997059	+	1000	39.0	[]	[]	[8.260495]	[102]	[]	[66996850]
39_10482	chr7	75642873	75643273	+	1000	39.0	[8.044104]	[155]	[10.586677]	[147]	[75643118]	[75643110]
39_10483	chr7	75741018	75741418	+	1000	39.0	[8.017088]	[177]	[]	[]	[75741209]	[]
39_10491	chr7	100602127	100602527	+	1000	39.0	[]	[]	[8.260495]	[119]	[]	[100602330]
39_10494	chr7	101126711	101127111	+	1000	39.0	[7.7944894]	[83]	[]	[]	[101126874]	[]
39_10498	chr7	128459275	128459675	+	1000	39.0	[12.064187]	[154]	[]	[]	[128459502]	[]
39_105	chr4	78691913	78692313	+	1000	172.0	[]	[]	[12.064187]	[142]	[]	[78692144]
39_1050	chr16	84952718	84953118	+	1000	74.0	[8.892592]	[124]	[]	[]	[84952929]	[]
39_10503	chr7	131110645	131111045	+	1000	39.0	[]	[]	[8.329008]	[110]	[]	[131110827]
39_10506	chr7	139091574	139091974	+	1000	39.0	[]	[]	[8.329008]	[178]	[]	[139091824]
39_10511	chr7	151003480	151003880	+	1000	39.0	[]	[]	[8.329008]	[150]	[]	[151003683]
39_10512	chr7	151109202	151109602	+	1000	39.0	[8.260495]	[192]	[]	[]	[151109404]	[]
39_10514	chr7	155292660	155293060	+	1000	39.0	[]	[]	[10.586677]	[186]	[]	[155292902]
39_10518	chr8	22561828	22562228	+	1000	39.0	[]	[]	[10.586677]	[88]	[]	[22562009]
39_10520	chr8	23221391	23221791	+	1000	39.0	[]	[]	[10.586677]	[162]	[]	[23221635]
39_10521	chr8	27774167	27774567	+	1000	39.0	[9.738007]	[101]	[]	[]	[27774362]	[]
39_10523	chr8	37736377	37736777	+	1000	39.0	[10.586677]	[128]	[]	[]	[37736549]	[]
39_10524	chr8	37762259	37762659	+	1000	39.0	[]	[]	[8.044104]	[90]	[]	[37762443]
39_10525	chr8	38996274	38996674	+	1000	39.0	[]	[]	[12.064187, 7.7944894]	[98, 104]	[]	[38996472, 38996478]
39_10529	chr8	56013846	56014246	+	1000	39.0	[7.151105]	[61]	[]	[]	[56013997]	[]
39_10530	chr8	60807786	60808186	+	1000	39.0	[12.064187]	[132]	[]	[]	[60807962]	[]
39_10531	chr8	94553528	94553928	+	1000	39.0	[7.397283]	[98]	[]	[]	[94553698]	[]
39_10534	chr8	127735517	127735917	+	1000	39.0	[8.502309]	[207]	[]	[]	[127735760]	[]
39_10535	chr8	127911739	127912139	+	1000	39.0	[10.370103]	[134]	[8.044104, 8.329008]	[80, 85]	[127911961]	[127911907, 127911912]
39_10537	chr8	143379579	143379979	+	1000	39.0	[]	[]	[7.2151175]	[175]	[]	[143379811]
39_10539	chr8	143956577	143956977	+	1000	39.0	[]	[]	[8.892592]	[149]	[]	[143956824]
39_1054	chr19	40822868	40823268	+	1000	74.0	[8.502309]	[120]	[]	[]	[40823076]	[]
39_10542	chr9	4799715	4800115	+	1000	39.0	[]	[]	[7.2151175]	[164]	[]	[4799954]
39_10544	chr9	37485835	37486235	+	1000	39.0	[10.370103, 7.151105]	[75, 99]	[]	[]	[37485999, 37486023]	[]
39_10548	chr9	98340421	98340821	+	1000	39.0	[]	[]	[12.064187]	[88]	[]	[98340588]
39_10550	chr9	121646981	121647381	+	1000	39.0	[8.329008, 12.064187]	[67, 132]	[]	[]	[121647142, 121647207]	[]
39_10554	chr9	127555984	127556384	+	1000	39.0	[]	[]	[8.892592]	[184]	[]	[127556232]
39_10557	chr9	128148973	128149373	+	1000	39.0	[]	[]	[8.260495]	[135]	[]	[128149191]
39_10560	chr9	129803695	129804095	+	1000	39.0	[7.2151175]	[194]	[]	[]	[129803946]	[]
39_10562	chr9	130773421	130773821	+	1000	39.0	[8.260495, 7.7944894, 7.7944894]	[164, 223, 231]	[]	[]	[130773603, 130773662, 130773670]	[]
39_10565	chr9	131007061	131007461	+	1000	39.0	[]	[]	[7.2151175]	[151]	[]	[131007312]
39_10571	chr9	136342747	136343147	+	1000	39.0	[8.260495]	[86]	[8.017088]	[150]	[136342928]	[136342992]
39_10572	chr9	136631310	136631710	+	1000	39.0	[]	[]	[8.329008]	[188]	[]	[136631502]
39_10574	chr9	137236452	137236852	+	1000	39.0	[8.017088]	[152]	[]	[]	[137236679]	[]
39_10578	chrX	46545202	46545602	+	1000	39.0	[]	[]	[8.044104]	[118]	[]	[46545390]
39_10580	chrX	48597847	48598247	+	1000	39.0	[7.2151175, 8.329008]	[79, 149]	[]	[]	[48598007, 48598077]	[]
39_10582	chrX	130165975	130166375	+	1000	39.0	[7.3683157]	[130]	[]	[]	[130166142]	[]
39_10587	chr1	7975202	7975602	+	1000	38.0	[]	[]	[8.909202]	[150]	[]	[7975444]
39_10588	chr1	7982351	7982751	+	1000	38.0	[]	[]	[10.370103]	[231]	[]	[7982597]
39_10596	chr1	15948289	15948689	+	1000	38.0	[7.7944894]	[318]	[]	[]	[15948519]	[]
39_10598	chr1	16073688	16074088	+	1000	38.0	[]	[]	[12.064187]	[180]	[]	[16073882]
39_106	chr13	107942087	107942487	+	1000	169.0	[]	[]	[10.586677]	[133]	[]	[107942316]
39_10609	chr1	23958894	23959294	+	1000	38.0	[8.892592, 9.738007]	[106, 123]	[10.370103]	[142]	[23959090, 23959107]	[23959126]
39_10610	chr1	25818683	25819083	+	1000	38.0	[]	[]	[8.017088]	[161]	[]	[25818863]
39_10613	chr1	27395385	27395785	+	1000	38.0	[]	[]	[7.7944894]	[147]	[]	[27395622]
39_10614	chr1	30708082	30708482	+	1000	38.0	[8.892592]	[114]	[]	[]	[30708293]	[]
39_10617	chr1	31705143	31705543	+	1000	38.0	[10.586677]	[149]	[7.7944894]	[119]	[31705373]	[31705343]
39_10619	chr1	31928753	31929153	+	1000	38.0	[8.260495]	[143]	[]	[]	[31928975]	[]
39_10620	chr1	31937317	31937717	+	1000	38.0	[]	[]	[8.909202, 8.909202]	[78, 153]	[]	[31937487, 31937562]
39_10622	chr1	33433786	33434186	+	1000	38.0	[8.017088, 8.329008]	[135, 147]	[]	[]	[33434012, 33434024]	[]
39_10627	chr1	37689531	37689931	+	1000	38.0	[]	[]	[8.502309]	[162]	[]	[37689711]
39_1063	chr22	23217932	23218332	+	1000	74.0	[7.7944894]	[136]	[]	[]	[23218159]	[]
39_10630	chr1	39575525	39575925	+	1000	38.0	[8.260495]	[178]	[]	[]	[39575737]	[]
39_10636	chr1	44037073	44037473	+	1000	38.0	[10.370103, 10.370103]	[58, 69]	[]	[]	[44037224, 44037235]	[]
39_10638	chr1	45340941	45341341	+	1000	38.0	[8.892592]	[161]	[]	[]	[45341160]	[]
39_10639	chr1	46437746	46438146	+	1000	38.0	[12.064187]	[152]	[]	[]	[46437969]	[]
39_10645	chr1	63367661	63368061	+	1000	38.0	[9.738007]	[104]	[]	[]	[63367855]	[]
39_1065	chr3	13007529	13007929	+	1000	74.0	[8.502309, 7.151105]	[134, 143]	[]	[]	[13007756, 13007765]	[]
39_10650	chr1	101071357	101071757	+	1000	38.0	[]	[]	[8.329008]	[107]	[]	[101071555]
39_10653	chr1	111747268	111747668	+	1000	38.0	[7.397283]	[184]	[]	[]	[111747511]	[]
39_10656	chr1	114088426	114088826	+	1000	38.0	[]	[]	[7.2151175]	[81]	[]	[114088606]
39_10659	chr1	116666752	116667152	+	1000	38.0	[]	[]	[8.017088]	[154]	[]	[116666964]
39_1066	chr3	183884686	183885086	+	1000	74.0	[]	[]	[7.7944894]	[112]	[]	[183884884]
39_10661	chr1	117613932	117614332	+	1000	38.0	[8.017088, 8.892592]	[74, 105]	[]	[]	[117614092, 117614123]	[]
39_1067	chr3	194572331	194572731	+	1000	74.0	[10.586677]	[155]	[]	[]	[194572578]	[]
39_10689	chr1	183567509	183567909	+	1000	38.0	[10.586677]	[99]	[]	[]	[183567703]	[]
39_10698	chr1	208132185	208132585	+	1000	38.0	[]	[]	[10.370103]	[75]	[]	[208132350]
39_10699	chr1	208210158	208210558	+	1000	38.0	[]	[]	[8.892592]	[91]	[]	[208210343]
39_107	chr3	15052663	15053063	+	1000	168.0	[]	[]	[8.329008, 7.2151175, 8.260495]	[90, 132, 145]	[]	[15052840, 15052882, 15052895]
39_1070	chr5	138469582	138469982	+	1000	74.0	[8.892592]	[89]	[]	[]	[138469765]	[]
39_10709	chr1	230917155	230917555	+	1000	38.0	[8.260495]	[181]	[]	[]	[230917363]	[]
39_10710	chr1	230985058	230985458	+	1000	38.0	[7.151105]	[140]	[7.151105]	[79]	[230985297]	[230985236]
39_10711	chr1	231529927	231530327	+	1000	38.0	[7.2151175]	[132]	[12.064187]	[183]	[231530102]	[231530153]
39_10713	chr1	233972824	233973224	+	1000	38.0	[]	[]	[10.586677]	[182]	[]	[233973027]
39_10714	chr1	234613206	234613606	+	966	38.0	[7.748347]	[167]	[]	[]	[234613387]	[]
39_10715	chr1	234851535	234851935	+	1000	38.0	[]	[]	[7.151105]	[132]	[]	[234851763]
39_10716	chr1	235068270	235068670	+	1000	38.0	[10.586677]	[97]	[8.017088]	[130]	[235068444]	[235068477]
39_10717	chr1	243421816	243422216	+	1000	38.0	[]	[]	[10.370103]	[142]	[]	[243422038]
39_10724	chr10	12195905	12196305	+	1000	38.0	[]	[]	[7.3683157]	[223]	[]	[12196148]
39_10729	chr10	43606277	43606677	+	1000	38.0	[10.586677]	[153]	[]	[]	[43606493]	[]
