#PeakID(python identify_motif.py ./ENCODE_processed_files/TCF3_idr.fa TCF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
203_10218	chr1	197213184	197213584	+	1000	130.0	[8.643063]	[125]	[8.643063]	[124]	[197213406]	[197213405]
203_10223	chr10	72981888	72982288	+	1000	130.0	[8.643063]	[133]	[8.643063]	[132]	[72982117]	[72982116]
203_10225	chr11	2740199	2740599	+	1000	130.0	[]	[]	[8.52607]	[117]	[]	[2740411]
203_10226	chr11	97973436	97973836	+	1000	130.0	[8.801346, 8.801346]	[113, 126]	[]	[]	[97973649, 97973662]	[]
203_10231	chr12	131407427	131407827	+	1000	130.0	[8.235647]	[135]	[]	[]	[131407662]	[]
203_10234	chr14	22870840	22871240	+	1000	130.0	[7.5855]	[106]	[]	[]	[22871037]	[]
203_10235	chr14	23164173	23164573	+	1000	130.0	[]	[]	[8.643063]	[70]	[]	[23164338]
203_10238	chr15	36932035	36932435	+	1000	130.0	[]	[]	[7.5855]	[138]	[]	[36932269]
203_10240	chr15	82086594	82086994	+	1000	130.0	[12.754859]	[94]	[]	[]	[82086778]	[]
203_10244	chr17	20207290	20207690	+	1000	130.0	[7.5855]	[105]	[]	[]	[20207488]	[]
203_10251	chr19	38304993	38305393	+	1000	130.0	[]	[]	[8.643063]	[86]	[]	[38305176]
203_10257	chr2	98034726	98035126	+	1000	130.0	[]	[]	[8.386223]	[112]	[]	[98034920]
203_10260	chr2	241451850	241452250	+	1000	130.0	[8.235647]	[108]	[]	[]	[241452049]	[]
203_10267	chr3	45105298	45105698	+	1000	130.0	[8.235647]	[107]	[]	[]	[45105504]	[]
203_10273	chr5	111083322	111083722	+	1000	130.0	[12.754859]	[88]	[]	[]	[111083504]	[]
203_10274	chr5	141298377	141298777	+	1000	130.0	[]	[]	[8.643063]	[146]	[]	[141298589]
203_10282	chr6	126103976	126104376	+	1000	130.0	[]	[]	[7.5073967, 8.332749]	[77, 125]	[]	[126104141, 126104189]
203_10289	chr8	101090890	101091290	+	1000	130.0	[]	[]	[8.272243]	[147]	[]	[101091128]
203_10294	chr1	31745549	31745949	+	1000	129.0	[8.332749]	[74]	[]	[]	[31745714]	[]
203_10297	chr1	53891019	53891419	+	1000	129.0	[]	[]	[7.8880606]	[112]	[]	[53891230]
203_10298	chr1	117655094	117655494	+	1000	129.0	[]	[]	[7.5855]	[82]	[]	[117655273]
203_1030	chr16	19487861	19488261	+	1000	513.0	[8.272243]	[74]	[9.166563]	[146]	[19488035]	[19488107]
203_10303	chr10	46020268	46020668	+	1000	129.0	[12.754859]	[57]	[]	[]	[46020422]	[]
203_10306	chr11	17002531	17002931	+	1000	129.0	[8.52607]	[65]	[8.272243]	[125]	[17002682]	[17002742]
203_10312	chr12	95204467	95204867	+	1000	129.0	[9.540733]	[131]	[8.272243]	[73]	[95204695]	[95204637]
203_10313	chr12	103804947	103805347	+	1000	129.0	[]	[]	[8.332749]	[136]	[]	[103805181]
203_10314	chr12	110262394	110262794	+	1000	129.0	[]	[]	[8.332749]	[103]	[]	[110262592]
203_10315	chr12	125105005	125105405	+	1000	129.0	[7.5855]	[113]	[]	[]	[125105213]	[]
203_10317	chr13	113219497	113219897	+	1000	129.0	[7.8923073]	[98]	[]	[]	[113219690]	[]
203_1032	chrX	123784854	123785254	+	1000	513.0	[8.332749]	[73]	[]	[]	[123785026]	[]
203_10329	chr2	74043304	74043704	+	1000	129.0	[8.643063]	[76]	[8.643063, 7.5855]	[75, 122]	[74043456]	[74043455, 74043502]
203_10334	chr20	375265	375665	+	1000	129.0	[]	[]	[8.332749]	[113]	[]	[375471]
203_10338	chr20	57536084	57536484	+	1000	129.0	[8.643063]	[105]	[8.643063]	[104]	[57536283]	[57536282]
203_10342	chr3	5121989	5122389	+	1000	129.0	[]	[]	[8.272243]	[106]	[]	[5122185]
203_10347	chr3	155014975	155015375	+	1000	129.0	[]	[]	[8.498569]	[147]	[]	[155015207]
203_10348	chr4	73675554	73675954	+	1000	129.0	[]	[]	[8.52607]	[109]	[]	[73675730]
203_1035	chr3	52912893	52913293	+	1000	512.0	[]	[]	[8.235647]	[136]	[]	[52913127]
203_10360	chr6	116631431	116631831	+	1000	129.0	[8.272243]	[131]	[]	[]	[116631639]	[]
203_10371	chr9	104982526	104982926	+	1000	129.0	[]	[]	[12.754859]	[74]	[]	[104982697]
203_10373	chrX	17919832	17920232	+	1000	129.0	[]	[]	[9.540733]	[85]	[]	[17920006]
203_10380	chr1	189212580	189212980	+	1000	128.0	[]	[]	[8.643063]	[105]	[]	[189212784]
203_10386	chr10	124693715	124694115	+	1000	128.0	[]	[]	[8.272243, 12.754859]	[78, 96]	[]	[124693892, 124693910]
203_10388	chr11	75959547	75959947	+	1000	128.0	[12.754859]	[120]	[]	[]	[75959754]	[]
203_104	chr11	62041976	62042376	+	1000	761.0	[8.272243]	[107]	[]	[]	[62042181]	[]
203_1040	chr13	37959357	37959757	+	1000	510.0	[]	[]	[8.643063]	[67]	[]	[37959524]
203_10401	chr15	66721552	66721952	+	1000	128.0	[]	[]	[8.498569]	[60]	[]	[66721703]
203_10416	chr20	49583538	49583938	+	1000	128.0	[8.643063]	[64]	[]	[]	[49583697]	[]
203_10418	chr22	17155950	17156350	+	1000	128.0	[]	[]	[8.235647]	[120]	[]	[17156159]
203_1042	chr8	140618906	140619306	+	1000	510.0	[8.643063]	[55]	[8.643063]	[54]	[140619058]	[140619057]
203_10425	chr3	46890086	46890486	+	1000	128.0	[8.235647, 12.754859]	[69, 86]	[]	[]	[46890254, 46890271]	[]
203_1043	chr9	122051368	122051768	+	1000	510.0	[8.643063]	[103]	[]	[]	[122051563]	[]
203_10430	chr3	197848021	197848421	+	1000	128.0	[8.643063]	[137]	[]	[]	[197848250]	[]
203_10435	chr5	112371009	112371409	+	1000	128.0	[]	[]	[8.643063]	[89]	[]	[112371197]
203_10438	chr6	5513464	5513864	+	1000	128.0	[]	[]	[7.5073967]	[107]	[]	[5513665]
203_1044	chr1	52614051	52614451	+	1000	509.0	[]	[]	[8.235647]	[137]	[]	[52614286]
203_10440	chr6	109237010	109237410	+	1000	128.0	[8.332749]	[73]	[]	[]	[109237167]	[]
203_10449	chr7	108211399	108211799	+	1000	128.0	[7.5073967]	[146]	[]	[]	[108211630]	[]
203_10450	chr7	127983867	127984267	+	1000	128.0	[]	[]	[7.8923073]	[116]	[]	[127984074]
203_10451	chr7	137986022	137986422	+	1000	128.0	[8.386223]	[115]	[]	[]	[137986216]	[]
203_10452	chr8	28596589	28596989	+	1000	128.0	[]	[]	[12.754859]	[98]	[]	[28596767]
203_10456	chr9	4854919	4855319	+	1000	128.0	[7.5073967]	[94]	[]	[]	[4855110]	[]
203_10473	chr10	87691475	87691875	+	1000	127.0	[]	[]	[8.386223]	[130]	[]	[87691697]
203_10485	chr12	71671825	71672225	+	1000	127.0	[]	[]	[8.643063, 7.5073967]	[79, 120]	[]	[71672001, 71672042]
203_10487	chr13	52067207	52067607	+	1000	127.0	[8.643063]	[135]	[]	[]	[52067436]	[]
203_10493	chr15	58585064	58585464	+	1000	127.0	[8.643063]	[110]	[8.643063]	[109]	[58585270]	[58585269]
203_10497	chr16	57292614	57293014	+	1000	127.0	[]	[]	[7.8923073]	[133]	[]	[57292844]
203_105	chr12	119665582	119665982	+	1000	761.0	[8.235647]	[85]	[]	[]	[119665762]	[]
203_10507	chr19	18441698	18442098	+	1000	127.0	[8.332749]	[121]	[]	[]	[18441913]	[]
203_10514	chr2	216353732	216354132	+	1000	127.0	[]	[]	[8.498569]	[97]	[]	[216353927]
203_10515	chr20	1434900	1435300	+	1000	127.0	[]	[]	[8.235647]	[93]	[]	[1435082]
203_10517	chr20	41150684	41151084	+	1000	127.0	[8.332749]	[58]	[]	[]	[41150841]	[]
203_10527	chr3	169966122	169966522	+	1000	127.0	[8.52607]	[77]	[]	[]	[169966284]	[]
203_10529	chr4	6258708	6259108	+	1000	127.0	[7.5855, 8.498569]	[60, 139]	[8.272243]	[146]	[6258860, 6258939]	[6258946]
203_10531	chr4	87403717	87404117	+	1000	127.0	[8.235647]	[85]	[]	[]	[87403876]	[]
203_10533	chr5	172178232	172178632	+	1000	127.0	[]	[]	[8.272243]	[78]	[]	[172178393]
203_10544	chr8	47213296	47213696	+	1000	127.0	[]	[]	[8.801346]	[138]	[]	[47213533]
203_10549	chrX	39616253	39616653	+	1000	127.0	[8.235647]	[94]	[]	[]	[39616442]	[]
203_10551	chr1	51222128	51222528	+	1000	126.0	[]	[]	[8.643063]	[74]	[]	[51222295]
203_10554	chr1	151921768	151922168	+	1000	126.0	[8.52607, 8.498569]	[75, 93]	[]	[]	[151921937, 151921955]	[]
203_1056	chr7	140241975	140242375	+	1000	508.0	[8.643063, 8.235647]	[68, 124]	[]	[]	[140242143, 140242199]	[]
203_10571	chr12	11897942	11898342	+	1000	126.0	[8.643063]	[128]	[]	[]	[11898170]	[]
203_10572	chr12	50039183	50039583	+	1000	126.0	[8.643063, 8.272243]	[77, 97]	[]	[]	[50039353, 50039373]	[]
203_10573	chr12	93087443	93087843	+	1000	126.0	[]	[]	[8.52607]	[72]	[]	[93087610]
203_10574	chr12	118032192	118032592	+	1000	126.0	[8.235647]	[118]	[]	[]	[118032379]	[]
203_10575	chr13	48559653	48560053	+	1000	126.0	[]	[]	[8.272243]	[105]	[]	[48559854]
203_10585	chr16	11628021	11628421	+	1000	126.0	[]	[]	[7.8880606]	[86]	[]	[11628187]
203_10587	chr16	27229012	27229412	+	1000	126.0	[12.754859]	[83]	[]	[]	[27229168]	[]
203_10592	chr17	27529230	27529630	+	1000	126.0	[8.272243]	[164]	[]	[]	[27529459]	[]
203_10599	chr19	45356636	45357036	+	1000	126.0	[]	[]	[9.540733]	[151]	[]	[45356877]
203_10600	chr19	51467959	51468359	+	1000	126.0	[]	[]	[8.332749]	[112]	[]	[51468166]
203_10602	chr2	15730457	15730857	+	1000	126.0	[]	[]	[8.235647]	[129]	[]	[15730680]
203_10606	chr2	202442800	202443200	+	1000	126.0	[]	[]	[8.332749]	[105]	[]	[202442995]
203_10608	chr22	20495880	20496280	+	1000	126.0	[8.272243]	[92]	[]	[]	[20496059]	[]
203_10609	chr22	20524012	20524412	+	1000	126.0	[8.643063]	[73]	[]	[]	[20524174]	[]
203_10616	chr3	185537416	185537816	+	1000	126.0	[]	[]	[8.272243]	[159]	[]	[185537665]
203_10618	chr3	195165791	195166191	+	1000	126.0	[]	[]	[8.52607, 7.5855]	[66, 151]	[]	[195165954, 195166039]
203_10627	chr5	31383746	31384146	+	1000	126.0	[8.643063]	[65]	[]	[]	[31383911]	[]
203_10636	chr6	42901506	42901906	+	1000	126.0	[]	[]	[8.332749]	[140]	[]	[42901740]
203_10638	chr6	147709462	147709862	+	1000	126.0	[]	[]	[7.8880606]	[109]	[]	[147709659]
203_1064	chr13	110507272	110507672	+	1000	506.0	[7.5073967]	[79]	[]	[]	[110507448]	[]
203_10646	chr8	115352146	115352546	+	1000	126.0	[8.498569]	[128]	[8.643063]	[111]	[115352366]	[115352349]
203_10648	chr9	33560198	33560598	+	1000	126.0	[]	[]	[8.498569, 7.5073967]	[79, 127]	[]	[33560375, 33560423]
203_10651	chr9	123300630	123301030	+	1000	126.0	[12.754859]	[147]	[]	[]	[123300872]	[]
203_10659	chr1	28580835	28581235	+	1000	125.0	[8.643063]	[113]	[8.643063]	[112]	[28581029]	[28581028]
203_10661	chr1	51622437	51622837	+	1000	125.0	[]	[]	[7.5855]	[125]	[]	[51622650]
203_10667	chr1	165392958	165393358	+	1000	125.0	[8.643063]	[94]	[7.5073967, 8.643063]	[73, 93]	[165393143]	[165393122, 165393142]
203_10674	chr10	74641637	74642037	+	1000	125.0	[7.5855]	[127]	[]	[]	[74641858]	[]
203_1068	chr9	70398201	70398601	+	1000	506.0	[8.498569]	[141]	[]	[]	[70398442]	[]
203_10684	chr13	49833414	49833814	+	1000	125.0	[]	[]	[12.754859, 8.643063]	[82, 122]	[]	[49833590, 49833630]
203_10701	chr19	54940814	54941214	+	1000	125.0	[8.52607]	[79]	[]	[]	[54940992]	[]
203_10713	chr20	62146141	62146541	+	1000	125.0	[9.540733]	[113]	[9.540733]	[112]	[62146339]	[62146338]
203_10717	chr22	36468015	36468415	+	1000	125.0	[8.643063]	[123]	[8.643063]	[122]	[36468223]	[36468222]
203_10720	chr22	50001875	50002275	+	1000	125.0	[]	[]	[12.754859]	[84]	[]	[50002051]
203_10727	chr4	105022704	105023104	+	1000	125.0	[7.8923073]	[79]	[]	[]	[105022877]	[]
203_10728	chr4	110088607	110089007	+	1000	125.0	[]	[]	[8.52607]	[88]	[]	[110088783]
203_10731	chr5	72606530	72606930	+	1000	125.0	[12.754859]	[67]	[]	[]	[72606690]	[]
203_10734	chr6	41976213	41976613	+	1000	125.0	[8.52607]	[76]	[]	[]	[41976389]	[]
203_10738	chr7	1508331	1508731	+	1000	125.0	[8.52607]	[77]	[]	[]	[1508492]	[]
203_1074	chr22	35211984	35212384	+	1000	505.0	[]	[]	[8.643063]	[117]	[]	[35212201]
203_10740	chr7	65558595	65558995	+	1000	125.0	[9.540733]	[65]	[]	[]	[65558757]	[]
203_10743	chr7	116489678	116490078	+	1000	125.0	[]	[]	[8.498569]	[104]	[]	[116489857]
203_10747	chr7	158582061	158582461	+	1000	125.0	[]	[]	[8.272243]	[65]	[]	[158582224]
203_10749	chr9	134908961	134909361	+	1000	125.0	[]	[]	[12.754859]	[98]	[]	[134909150]
203_10754	chr1	18443833	18444233	+	1000	124.0	[]	[]	[8.272243]	[82]	[]	[18444005]
203_10755	chr1	25272218	25272618	+	1000	124.0	[]	[]	[9.166563]	[135]	[]	[25272447]
203_10756	chr1	25410067	25410467	+	1000	124.0	[8.235647]	[88]	[]	[]	[25410255]	[]
203_10758	chr1	86991525	86991925	+	1000	124.0	[8.235647]	[108]	[]	[]	[86991719]	[]
203_1076	chr3	49238489	49238889	+	1000	505.0	[8.643063]	[57]	[8.643063]	[56]	[49238646]	[49238645]
203_10771	chr10	133390089	133390489	+	1000	124.0	[8.52607]	[153]	[]	[]	[133390315]	[]
203_10790	chr17	39134936	39135336	+	1000	124.0	[8.235647]	[127]	[8.235647]	[78]	[39135148]	[39135099]
203_10792	chr18	3916175	3916575	+	1000	124.0	[9.540733]	[67]	[9.540733]	[66]	[3916328]	[3916327]
203_10794	chr19	11384140	11384540	+	1000	124.0	[]	[]	[8.643063]	[69]	[]	[11384305]
203_1080	chr19	6652738	6653138	+	1000	504.0	[]	[]	[8.272243]	[101]	[]	[6652938]
203_10801	chr2	69744443	69744843	+	1000	124.0	[7.5073967]	[117]	[]	[]	[69744653]	[]
203_1081	chr1	58883868	58884268	+	1000	503.0	[]	[]	[12.754859]	[95]	[]	[58884057]
203_10810	chr20	46683099	46683499	+	1000	124.0	[8.643063]	[80]	[]	[]	[46683275]	[]
203_10815	chr22	39265073	39265473	+	1000	124.0	[]	[]	[8.643063]	[105]	[]	[39265273]
203_10818	chr3	37055045	37055445	+	1000	124.0	[8.52607]	[57]	[]	[]	[37055196]	[]
203_10825	chr3	171935439	171935839	+	1000	124.0	[8.498569]	[97]	[7.8923073]	[121]	[171935632]	[171935656]
203_10827	chr4	2377210	2377610	+	1000	124.0	[]	[]	[8.643063]	[125]	[]	[2377415]
203_10837	chr6	87723266	87723666	+	1000	124.0	[8.235647]	[141]	[]	[]	[87723500]	[]
203_10839	chr6	109102706	109103106	+	1000	124.0	[]	[]	[8.498569]	[138]	[]	[109102935]
203_1084	chr2	30191784	30192184	+	1000	503.0	[8.332749]	[75]	[]	[]	[30191951]	[]
203_10853	chrX	11464795	11465195	+	1000	124.0	[7.5855]	[85]	[]	[]	[11464959]	[]
203_10867	chr10	7186612	7187012	+	1000	123.0	[8.643063]	[166]	[8.643063]	[165]	[7186854]	[7186853]
203_10875	chr12	57112016	57112416	+	1000	123.0	[9.540733]	[97]	[]	[]	[57112176]	[]
203_10884	chr14	105196582	105196982	+	1000	123.0	[8.643063]	[85]	[]	[]	[105196759]	[]
203_10886	chr15	50223861	50224261	+	1000	123.0	[]	[]	[7.8923073]	[82]	[]	[50224033]
203_10887	chr16	568631	569031	+	1000	123.0	[8.643063]	[65]	[8.272243]	[99]	[568787]	[568821]
203_10889	chr17	65228603	65229003	+	1000	123.0	[]	[]	[7.8880606]	[94]	[]	[65228779]
203_10894	chr19	5165613	5166013	+	1000	123.0	[8.643063]	[111]	[]	[]	[5165801]	[]
203_10895	chr19	40416849	40417249	+	1000	123.0	[8.272243]	[105]	[]	[]	[40417045]	[]
203_109	chr19	2263599	2263999	+	1000	759.0	[]	[]	[8.235647]	[97]	[]	[2263796]
203_10901	chr20	22684631	22685031	+	1000	123.0	[8.235647, 8.498569]	[74, 115]	[]	[]	[22684797, 22684838]	[]
203_10905	chr22	41808456	41808856	+	1000	123.0	[8.332749]	[129]	[]	[]	[41808674]	[]
203_10912	chr3	123080884	123081284	+	1000	123.0	[]	[]	[9.166563]	[160]	[]	[123081128]
203_10915	chr4	2738300	2738700	+	1000	123.0	[8.643063]	[129]	[]	[]	[2738520]	[]
203_10925	chr5	149610564	149610964	+	1000	123.0	[8.643063]	[143]	[8.643063]	[142]	[149610806]	[149610805]
203_10926	chr6	20604138	20604538	+	1000	123.0	[8.235647]	[161]	[]	[]	[20604385]	[]
203_10927	chr6	41789370	41789770	+	1000	123.0	[8.52607]	[79]	[]	[]	[41789540]	[]
203_10931	chr7	27500987	27501387	+	1000	123.0	[]	[]	[8.332749, 12.754859]	[102, 132]	[]	[27501167, 27501197]
203_10933	chr7	113519420	113519820	+	1000	123.0	[]	[]	[7.5073967]	[149]	[]	[113519655]
203_10939	chr9	99076728	99077128	+	1000	123.0	[7.8923073]	[181]	[]	[]	[99076920]	[]
203_10943	chr1	16513833	16514233	+	1000	122.0	[]	[]	[8.801346]	[53]	[]	[16513985]
203_10944	chr1	24103465	24103865	+	1000	122.0	[8.643063]	[115]	[8.643063]	[114]	[24103673]	[24103672]
203_10947	chr1	42873667	42874067	+	1000	122.0	[8.235647]	[106]	[]	[]	[42873866]	[]
203_10948	chr1	95257855	95258255	+	1000	122.0	[8.272243]	[108]	[]	[]	[95258055]	[]
203_10951	chr1	151716781	151717181	+	1000	122.0	[]	[]	[8.643063]	[123]	[]	[151716978]
203_10953	chr10	56370194	56370594	+	1000	122.0	[8.235647]	[81]	[]	[]	[56370361]	[]
203_10954	chr10	96677448	96677848	+	1000	122.0	[9.540733]	[151]	[]	[]	[96677679]	[]
203_10960	chr11	13826904	13827304	+	1000	122.0	[]	[]	[8.643063, 7.5855]	[135, 155]	[]	[13827134, 13827154]
203_10963	chr12	42892726	42893126	+	1000	122.0	[8.272243]	[73]	[]	[]	[42892894]	[]
203_10969	chr14	102150802	102151202	+	1000	122.0	[8.643063]	[139]	[8.643063]	[138]	[102151040]	[102151039]
203_1097	chr1	113040103	113040503	+	1000	501.0	[8.643063]	[147]	[]	[]	[113040349]	[]
203_10970	chr15	45212479	45212879	+	1000	122.0	[]	[]	[8.52607]	[134]	[]	[45212709]
203_10973	chr15	85023992	85024392	+	1000	122.0	[]	[]	[7.8880606]	[119]	[]	[85024211]
203_10976	chr16	19135863	19136263	+	1000	122.0	[12.754859]	[69]	[]	[]	[19136017]	[]
203_10980	chr17	41521106	41521506	+	1000	122.0	[]	[]	[8.272243]	[94]	[]	[41521300]
203_10983	chr17	80457190	80457590	+	1000	122.0	[]	[]	[8.643063]	[142]	[]	[80457423]
203_10986	chr18	50806320	50806720	+	1000	122.0	[8.272243]	[96]	[8.235647]	[75]	[50806511]	[50806490]
203_1099	chr16	23907442	23907842	+	1000	501.0	[]	[]	[8.332749]	[123]	[]	[23907664]
203_10999	chr20	33459640	33460040	+	1000	122.0	[12.754859]	[116]	[]	[]	[33459848]	[]
203_11	chr8	18122663	18123063	+	1000	927.0	[]	[]	[8.235647]	[62]	[]	[18122816]
203_11003	chr21	35346675	35347075	+	1000	122.0	[8.332749]	[162]	[]	[]	[35346924]	[]
203_11009	chr3	37241898	37242298	+	1000	122.0	[]	[]	[8.332749, 8.643063]	[88, 125]	[]	[37242074, 37242111]
203_11010	chr3	53255708	53256108	+	1000	122.0	[]	[]	[8.801346]	[149]	[]	[53255949]
203_11015	chr4	126572245	126572645	+	1000	122.0	[]	[]	[8.643063]	[119]	[]	[126572462]
203_11025	chr6	49563149	49563549	+	1000	122.0	[8.643063]	[100]	[]	[]	[49563347]	[]
203_1103	chr20	32285677	32286077	+	1000	501.0	[8.235647]	[93]	[]	[]	[32285870]	[]
203_11037	chr9	92523639	92524039	+	1000	122.0	[]	[]	[7.5073967]	[93]	[]	[92523817]
203_11041	chrX	68743784	68744184	+	1000	122.0	[8.498569, 8.643063]	[66, 161]	[]	[]	[68743938, 68744033]	[]
203_11043	chr1	1858637	1859037	+	1000	121.0	[]	[]	[8.235647]	[60]	[]	[1858790]
203_11044	chr1	3807751	3808151	+	1000	121.0	[]	[]	[8.332749]	[69]	[]	[3807913]
203_11045	chr1	11973188	11973588	+	1000	121.0	[8.52607]	[92]	[]	[]	[11973372]	[]
203_11046	chr1	20185362	20185762	+	1000	121.0	[]	[]	[8.332749, 8.235647]	[113, 119]	[]	[20185531, 20185537]
203_11047	chr1	32104547	32104947	+	1000	121.0	[]	[]	[8.52607]	[93]	[]	[32104720]
203_11048	chr1	38332900	38333300	+	1000	121.0	[8.643063]	[89]	[]	[]	[38333087]	[]
203_11049	chr1	42967072	42967472	+	1000	121.0	[8.272243, 8.272243]	[69, 80]	[]	[]	[42967223, 42967234]	[]
203_11050	chr1	198598874	198599274	+	1000	121.0	[8.643063]	[93]	[7.8923073]	[123]	[198599065]	[198599095]
203_11052	chr1	207743891	207744291	+	1000	121.0	[8.643063]	[167]	[]	[]	[207744131]	[]
203_11054	chr10	19742170	19742570	+	1000	121.0	[8.643063]	[87]	[8.643063]	[86]	[19742353]	[19742352]
203_11056	chr10	73756158	73756558	+	1000	121.0	[7.5855]	[108]	[]	[]	[73756342]	[]
203_11062	chr12	123860371	123860771	+	1000	121.0	[]	[]	[8.643063]	[118]	[]	[123860575]
203_11065	chr13	108760131	108760531	+	1000	121.0	[8.498569]	[146]	[]	[]	[108760376]	[]
