#PeakID(python identify_motif.py ./ENCODE_processed_files/TFDP1_idr.fa TFDP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
964_10199	chr14	105528249	105528649	+	1000	65.0	[8.519867, 12.889068]	[114, 168]	[]	[]	[105528443, 105528497]	[]
964_102	chr3	9986699	9987099	+	1000	498.0	[12.889068]	[109]	[]	[]	[9986906]	[]
964_10205	chr16	30075139	30075539	+	1000	65.0	[12.889068]	[104]	[]	[]	[30075326]	[]
964_10208	chr17	1456101	1456501	+	1000	65.0	[8.519867]	[121]	[]	[]	[1456295]	[]
964_10209	chr17	3668193	3668593	+	1000	65.0	[8.8998375]	[108]	[7.6702986, 12.889068]	[124, 185]	[3668350]	[3668366, 3668427]
964_1021	chr18	50374854	50375254	+	1000	209.0	[8.519867]	[64]	[]	[]	[50375006]	[]
964_10210	chr17	4143497	4143897	+	1000	65.0	[7.6702986]	[130]	[]	[]	[4143716]	[]
964_10211	chr17	16438609	16439009	+	1000	65.0	[]	[]	[8.8998375]	[157]	[]	[16438836]
964_1022	chr19	6280000	6280400	+	1000	209.0	[9.4829645, 9.758087]	[57, 141]	[]	[]	[6280152, 6280236]	[]
964_10225	chr19	2042163	2042563	+	1000	65.0	[]	[]	[8.8998375]	[228]	[]	[2042410]
964_10227	chr19	6516764	6517164	+	1000	65.0	[]	[]	[12.889068, 8.8998375]	[117, 188]	[]	[6516915, 6516986]
964_10229	chr19	13164494	13164894	+	1000	65.0	[8.501586]	[168]	[9.758087]	[158]	[13164743]	[13164733]
964_1023	chr2	17753894	17754294	+	1000	209.0	[]	[]	[8.519867]	[122]	[]	[17754105]
964_10230	chr19	14381902	14382302	+	1000	65.0	[]	[]	[12.889068]	[139]	[]	[14382128]
964_10231	chr19	18202927	18203327	+	1000	65.0	[]	[]	[8.8998375]	[149]	[]	[18203164]
964_10234	chr19	35900315	35900715	+	1000	65.0	[]	[]	[7.6622133]	[156]	[]	[35900555]
964_10235	chr19	40426288	40426688	+	1000	65.0	[9.4829645]	[198]	[]	[]	[40426530]	[]
964_10237	chr19	45467418	45467818	+	1000	65.0	[]	[]	[7.5797467]	[172]	[]	[45467664]
964_10239	chr19	47256179	47256579	+	1000	65.0	[]	[]	[9.4829645]	[198]	[]	[47256421]
964_10243	chr19	55038326	55038726	+	1000	65.0	[]	[]	[8.09991]	[96]	[]	[55038497]
964_10245	chr19	58499428	58499828	+	1000	65.0	[]	[]	[7.6702986]	[79]	[]	[58499584]
964_10248	chr2	48440452	48440852	+	1000	65.0	[8.653531]	[155]	[]	[]	[48440699]	[]
964_1025	chr20	32762051	32762451	+	1000	209.0	[8.8998375]	[146]	[7.5797467, 8.8998375]	[108, 116]	[32762288]	[32762250, 32762258]
964_10250	chr2	74421326	74421726	+	1000	65.0	[]	[]	[7.5367184]	[95]	[]	[74421478]
964_10251	chr2	84290547	84290947	+	1000	65.0	[8.501586]	[63]	[]	[]	[84290698]	[]
964_10259	chr2	191836988	191837388	+	1000	65.0	[]	[]	[7.5797467]	[155]	[]	[191837219]
964_10260	chr2	201116526	201116926	+	1000	65.0	[]	[]	[7.5846877]	[138]	[]	[201116725]
964_10261	chr2	219206597	219206997	+	1000	65.0	[8.417865]	[84]	[]	[]	[219206772]	[]
964_10265	chr20	2509056	2509456	+	1000	65.0	[9.4829645]	[71]	[]	[]	[2509220]	[]
964_10269	chr20	47365006	47365406	+	1000	65.0	[7.5797467]	[201]	[]	[]	[47365255]	[]
964_1027	chr3	14232610	14233010	+	1000	209.0	[9.4829645]	[178]	[]	[]	[14232837]	[]
964_10272	chr21	32727881	32728281	+	1000	65.0	[7.5797467]	[96]	[]	[]	[32728077]	[]
964_10273	chr21	33751094	33751494	+	1000	65.0	[7.5797467]	[106]	[]	[]	[33751297]	[]
964_10274	chr22	20606225	20606625	+	1000	65.0	[]	[]	[8.519867]	[218]	[]	[20606468]
964_10279	chr22	41621350	41621750	+	1000	65.0	[7.5367184]	[63]	[]	[]	[41621511]	[]
964_10281	chr3	5330970	5331370	+	1000	65.0	[]	[]	[12.889068]	[90]	[]	[5331151]
964_10283	chr3	129013598	129013998	+	1000	65.0	[]	[]	[12.889068]	[81]	[]	[129013752]
964_10289	chr4	993416	993816	+	1000	65.0	[9.4829645]	[135]	[]	[]	[993650]	[]
964_1029	chr3	42582015	42582415	+	1000	209.0	[]	[]	[8.501586]	[97]	[]	[42582172]
964_10293	chr4	51844581	51844981	+	1000	65.0	[]	[]	[9.758087]	[146]	[]	[51844763]
964_10297	chr4	108650090	108650490	+	1000	65.0	[]	[]	[9.4829645]	[133]	[]	[108650242]
964_10298	chr4	121696993	121697393	+	1000	65.0	[]	[]	[9.758087]	[101]	[]	[121697159]
964_103	chr7	152675934	152676334	+	1000	496.0	[]	[]	[12.889068]	[91]	[]	[152676114]
964_1030	chr4	112636753	112637153	+	1000	209.0	[9.758087]	[63]	[]	[]	[112636913]	[]
964_10305	chr5	52799929	52800329	+	1000	65.0	[12.889068]	[143]	[]	[]	[52800126]	[]
964_10307	chr5	109570274	109570674	+	1000	65.0	[9.4829645]	[111]	[]	[]	[109570454]	[]
964_1031	chr6	26285358	26285758	+	1000	209.0	[8.519867]	[119]	[]	[]	[26285566]	[]
964_10310	chr5	140113887	140114287	+	1000	65.0	[7.5797467]	[180]	[]	[]	[140114099]	[]
964_10314	chr5	180803270	180803670	+	1000	65.0	[12.889068]	[102]	[]	[]	[180803432]	[]
964_10318	chr6	26171872	26172272	+	1000	65.0	[]	[]	[8.8998375]	[141]	[]	[26172101]
964_1032	chr1	53196452	53196852	+	1000	208.0	[]	[]	[12.889068]	[112]	[]	[53196655]
964_10324	chr6	28923113	28923513	+	1000	65.0	[9.4829645]	[122]	[7.817822]	[195]	[28923267]	[28923340]
964_10328	chr6	42745847	42746247	+	1000	65.0	[]	[]	[9.758087]	[153]	[]	[42746011]
964_10329	chr6	84764384	84764784	+	1000	65.0	[8.501586]	[176]	[]	[]	[84764597]	[]
964_10330	chr6	88963615	88964015	+	1000	65.0	[]	[]	[9.758087]	[69]	[]	[88963773]
964_10332	chr6	100228997	100229397	+	1000	65.0	[9.4829645]	[71]	[]	[]	[100229161]	[]
964_10337	chr7	43758506	43758906	+	1000	65.0	[8.8998375]	[162]	[8.417865]	[86]	[43758746]	[43758670]
964_10338	chr7	44581910	44582310	+	1000	65.0	[7.817822]	[137]	[]	[]	[44582145]	[]
964_1034	chr11	2992253	2992653	+	1000	208.0	[]	[]	[8.653531]	[77]	[]	[2992419]
964_10346	chr7	137996380	137996780	+	1000	65.0	[9.4829645]	[174]	[]	[]	[137996606]	[]
964_1035	chr11	18322267	18322667	+	1000	208.0	[12.889068, 7.5797467]	[101, 121]	[]	[]	[18322460, 18322480]	[]
964_10352	chr8	46617437	46617837	+	1000	65.0	[12.889068]	[163]	[]	[]	[46617657]	[]
964_10357	chr9	93184030	93184430	+	977	65.0	[9.4829645]	[114]	[]	[]	[93184201]	[]
964_1036	chr11	59550333	59550733	+	1000	208.0	[12.889068]	[110]	[]	[]	[59550529]	[]
964_10362	chr9	130172068	130172468	+	1000	65.0	[9.4829645]	[126]	[]	[]	[130172261]	[]
964_10367	chrX	47619820	47620220	+	1000	65.0	[8.519867]	[78]	[]	[]	[47619977]	[]
964_1037	chr12	104138260	104138660	+	1000	208.0	[]	[]	[8.519867]	[191]	[]	[104138485]
964_10371	chr1	923707	924107	+	1000	64.0	[9.4829645]	[129]	[8.8998375]	[213]	[923858]	[923942]
964_10375	chr1	21903619	21904019	+	1000	64.0	[7.817822]	[195]	[]	[]	[21903859]	[]
964_10378	chr1	40449751	40450151	+	1000	64.0	[]	[]	[9.4829645]	[92]	[]	[40449906]
964_1038	chr13	50081766	50082166	+	1000	208.0	[]	[]	[9.4829645]	[111]	[]	[50081950]
964_10382	chr1	54406867	54407267	+	1000	64.0	[8.653531]	[153]	[]	[]	[54407118]	[]
964_10384	chr1	120942202	120942602	+	1000	64.0	[]	[]	[8.09991]	[178]	[]	[120942434]
964_10387	chr1	156082377	156082777	+	1000	64.0	[8.8998375]	[98]	[12.889068]	[81]	[156082568]	[156082551]
964_1039	chr16	8868438	8868838	+	1000	208.0	[8.8998375, 12.889068]	[135, 144]	[9.4829645]	[113]	[8868661, 8868670]	[8868639]
964_10392	chr1	161727198	161727598	+	1000	64.0	[]	[]	[8.519867]	[165]	[]	[161727402]
964_1040	chr16	29790481	29790881	+	1000	208.0	[8.417865]	[107]	[8.169096]	[137]	[29790634]	[29790664]
964_10403	chr10	73625240	73625640	+	1000	64.0	[]	[]	[12.889068]	[75]	[]	[73625404]
964_10410	chr11	19442148	19442548	+	1000	64.0	[]	[]	[12.889068]	[109]	[]	[19442329]
964_10412	chr11	47176978	47177378	+	1000	64.0	[9.4829645, 8.8998375]	[205, 219]	[]	[]	[47177191, 47177205]	[]
964_10415	chr11	64305993	64306393	+	1000	64.0	[8.8998375]	[190]	[9.4829645]	[181]	[64306243]	[64306234]
964_10416	chr11	64742805	64743205	+	1000	64.0	[9.4829645]	[93]	[]	[]	[64742957]	[]
964_10418	chr11	66592645	66593045	+	1000	64.0	[7.5797467]	[134]	[8.417865]	[70]	[66592868]	[66592804]
964_10419	chr11	75562151	75562551	+	1000	64.0	[9.4829645]	[79]	[]	[]	[75562327]	[]
964_1042	chr18	21612289	21612689	+	1000	208.0	[12.889068]	[165]	[]	[]	[21612531]	[]
964_10421	chr11	107565555	107565955	+	1000	64.0	[9.758087]	[153]	[]	[]	[107565758]	[]
964_10429	chr12	113334776	113335176	+	1000	64.0	[8.8998375]	[102]	[]	[]	[113334970]	[]
964_1043	chr4	1249065	1249465	+	1000	208.0	[9.4829645, 12.889068]	[113, 124]	[]	[]	[1249260, 1249271]	[]
964_10431	chr12	121580390	121580790	+	1000	64.0	[7.5797467, 8.8998375, 9.4829645]	[124, 141, 178]	[]	[]	[121580580, 121580597, 121580634]	[]
964_10432	chr12	131229847	131230247	+	1000	64.0	[8.501586]	[167]	[]	[]	[131230046]	[]
964_10436	chr14	35404516	35404916	+	1000	64.0	[9.758087]	[128]	[]	[]	[35404725]	[]
964_10438	chr15	29822007	29822407	+	1000	64.0	[7.5797467, 8.519867]	[85, 110]	[]	[]	[29822178, 29822203]	[]
964_10439	chr15	40137689	40138089	+	1000	64.0	[]	[]	[7.5797467, 7.5797467]	[110, 120]	[]	[40137847, 40137857]
964_1044	chr7	87152113	87152513	+	1000	208.0	[8.169096, 9.758087]	[120, 159]	[8.653531]	[104]	[87152323, 87152362]	[87152307]
964_10440	chr15	45198370	45198770	+	1000	64.0	[]	[]	[8.501586]	[140]	[]	[45198597]
964_10442	chr15	67882464	67882864	+	1000	64.0	[7.6622133]	[86]	[]	[]	[67882635]	[]
964_10446	chr15	97960217	97960617	+	1000	64.0	[]	[]	[8.501586]	[268]	[]	[97960404]
964_10450	chr16	67393385	67393785	+	1000	64.0	[9.4829645]	[131]	[]	[]	[67393581]	[]
964_10451	chr16	68448553	68448953	+	1000	64.0	[7.6622133, 9.758087]	[106, 123]	[]	[]	[68448753, 68448770]	[]
964_10452	chr16	71883959	71884359	+	1000	64.0	[9.4829645]	[120]	[]	[]	[71884160]	[]
964_10457	chr17	35537572	35537972	+	1000	64.0	[]	[]	[7.6702986]	[117]	[]	[35537778]
964_1046	chr12	133181140	133181540	+	1000	207.0	[9.4829645]	[101]	[]	[]	[133181322]	[]
964_10462	chr17	78315734	78316134	+	1000	64.0	[]	[]	[7.5797467, 7.5797467]	[112, 182]	[]	[78315913, 78315983]
964_10463	chr17	81019459	81019859	+	1000	64.0	[8.8998375, 9.4829645]	[136, 171]	[]	[]	[81019646, 81019681]	[]
964_10464	chr17	81400331	81400731	+	1000	64.0	[]	[]	[8.417865]	[117]	[]	[81400505]
964_10465	chr17	82648232	82648632	+	1000	64.0	[8.169096]	[108]	[]	[]	[82648436]	[]
964_10466	chr18	322627	323027	+	1000	64.0	[12.889068]	[125]	[]	[]	[322840]	[]
964_10468	chr18	11947181	11947581	+	1000	64.0	[]	[]	[7.5797467]	[124]	[]	[11947400]
964_1047	chr15	75453757	75454157	+	1000	207.0	[9.4829645]	[105]	[8.8998375]	[62]	[75453957]	[75453914]
964_10470	chr19	1260810	1261210	+	1000	64.0	[8.8998375, 9.758087]	[146, 223]	[]	[]	[1260973, 1261050]	[]
964_10471	chr19	1651677	1652077	+	1000	64.0	[]	[]	[8.8998375, 9.4829645]	[120, 145]	[]	[1651851, 1651876]
964_10473	chr19	2840930	2841330	+	1000	64.0	[8.8998375]	[134]	[8.501586]	[88]	[2841136]	[2841090]
964_10474	chr19	7535511	7535911	+	1000	64.0	[]	[]	[8.519867]	[134]	[]	[7535707]
964_10476	chr19	18433029	18433429	+	1000	64.0	[]	[]	[9.4829645]	[138]	[]	[18433231]
964_10477	chr19	19394726	19395126	+	1000	64.0	[8.417865]	[111]	[]	[]	[19394879]	[]
964_10479	chr19	39996977	39997377	+	1000	64.0	[7.817822]	[159]	[]	[]	[39997140]	[]
964_10480	chr19	40602486	40602886	+	1000	64.0	[]	[]	[8.8998375]	[170]	[]	[40602728]
964_10483	chr19	45587821	45588221	+	1000	64.0	[7.5797467]	[134]	[]	[]	[45588025]	[]
964_10484	chr19	46856001	46856401	+	1000	64.0	[7.6702986]	[143]	[8.8998375]	[65]	[46856240]	[46856162]
964_10487	chr19	48898945	48899345	+	1000	64.0	[9.4829645]	[159]	[]	[]	[48899166]	[]
964_10488	chr19	52008121	52008521	+	1000	64.0	[8.519867]	[164]	[]	[]	[52008367]	[]
964_1049	chr19	10565755	10566155	+	1000	207.0	[7.6702986]	[92]	[8.169096]	[136]	[10565947]	[10565991]
964_10492	chr2	53786391	53786791	+	1000	64.0	[12.889068]	[104]	[]	[]	[53786565]	[]
964_10496	chr2	191678595	191678995	+	1000	64.0	[9.4829645]	[147]	[]	[]	[191678753]	[]
964_10502	chr21	45555760	45556160	+	1000	64.0	[]	[]	[9.4829645]	[104]	[]	[45555957]
964_10507	chr22	23767698	23768098	+	1000	64.0	[8.8998375]	[163]	[]	[]	[23767928]	[]
964_1051	chr22	19144635	19145035	+	1000	207.0	[8.8998375]	[151]	[]	[]	[19144886]	[]
964_10510	chr3	13479838	13480238	+	1000	64.0	[]	[]	[9.4829645]	[185]	[]	[13480071]
964_10512	chr3	39180854	39181254	+	1000	64.0	[]	[]	[9.4829645]	[99]	[]	[39181035]
964_10516	chr3	134250776	134251176	+	1000	64.0	[]	[]	[8.8998375]	[170]	[]	[134251008]
964_1052	chr3	14947565	14947965	+	1000	207.0	[]	[]	[8.8998375, 9.4829645]	[53, 124]	[]	[14947718, 14947789]
964_10522	chr3	182793549	182793949	+	1000	64.0	[9.758087]	[92]	[]	[]	[182793732]	[]
964_10526	chr4	473806	474206	+	1000	64.0	[]	[]	[7.6622133]	[150]	[]	[474031]
964_10528	chr4	4575312	4575712	+	1000	64.0	[9.758087]	[127]	[]	[]	[4575483]	[]
964_1053	chr4	121801172	121801572	+	1000	207.0	[]	[]	[12.889068]	[146]	[]	[121801382]
964_10530	chr4	68349853	68350253	+	1000	64.0	[7.5797467, 8.653531]	[65, 121]	[8.417865]	[131]	[68350009, 68350065]	[68350075]
964_10534	chr4	143513520	143513920	+	1000	64.0	[]	[]	[12.889068]	[76]	[]	[143513683]
964_10535	chr5	1799784	1800184	+	1000	64.0	[7.5367184]	[198]	[]	[]	[1800023]	[]
964_1054	chr6	27145943	27146343	+	1000	207.0	[]	[]	[8.653531]	[92]	[]	[27146117]
964_10542	chr5	139709031	139709431	+	1000	64.0	[8.501586]	[167]	[]	[]	[139709247]	[]
964_10543	chr5	180292199	180292599	+	1000	64.0	[8.519867, 8.8998375]	[136, 181]	[]	[]	[180292395, 180292440]	[]
964_10544	chr5	181243716	181244116	+	1000	64.0	[8.169096]	[117]	[7.6622133]	[131]	[181243922]	[181243936]
964_10552	chr6	31734775	31735175	+	1000	64.0	[8.169096]	[144]	[]	[]	[31734995]	[]
964_10553	chr6	43898790	43899190	+	1000	64.0	[]	[]	[7.5846877]	[127]	[]	[43899016]
964_1056	chrX	14872847	14873247	+	1000	207.0	[]	[]	[9.4829645]	[106]	[]	[14873047]
964_10561	chr7	1459210	1459610	+	1000	64.0	[9.758087]	[101]	[12.889068]	[70]	[1459402]	[1459371]
964_10563	chr7	7566792	7567192	+	1000	64.0	[8.169096]	[155]	[]	[]	[7567034]	[]
964_10564	chr7	32495401	32495801	+	1000	64.0	[9.4829645]	[78]	[]	[]	[32495555]	[]
964_10566	chr7	43906339	43906739	+	1000	64.0	[]	[]	[9.758087]	[64]	[]	[43906502]
964_1057	chr10	79347302	79347702	+	1000	206.0	[9.758087]	[82]	[8.8998375, 9.758087]	[133, 144]	[79347464]	[79347515, 79347526]
964_10570	chr7	100801964	100802364	+	1000	64.0	[]	[]	[8.8998375]	[155]	[]	[100802120]
964_10571	chr7	101308359	101308759	+	1000	64.0	[8.8998375, 8.8998375]	[73, 99]	[9.4829645]	[90]	[101308512, 101308538]	[101308529]
964_10572	chr7	102441564	102441964	+	1000	64.0	[8.501586]	[141]	[]	[]	[102441755]	[]
964_10573	chr7	103037858	103038258	+	1000	64.0	[]	[]	[8.501586]	[166]	[]	[103038109]
964_10575	chr7	138981348	138981748	+	721	64.0	[9.758087]	[79]	[]	[]	[138981504]	[]
964_10580	chr8	38850927	38851327	+	1000	64.0	[8.519867]	[77]	[]	[]	[38851089]	[]
964_10582	chr8	66712478	66712878	+	1000	64.0	[9.4829645]	[138]	[9.4829645]	[124]	[66712702]	[66712688]
964_10584	chr8	85245559	85245959	+	1000	64.0	[]	[]	[9.758087, 8.519867, 8.8998375, 7.817822]	[95, 115, 127, 144]	[]	[85245732, 85245752, 85245764, 85245781]
964_10586	chr8	132792454	132792854	+	1000	64.0	[]	[]	[12.889068]	[104]	[]	[132792607]
964_10587	chr8	141417569	141417969	+	1000	64.0	[]	[]	[8.8998375, 8.519867]	[83, 114]	[]	[141417751, 141417782]
964_10588	chr8	144950671	144951071	+	1000	64.0	[]	[]	[9.758087, 8.169096]	[109, 122]	[]	[144950874, 144950887]
964_1059	chr17	81222874	81223274	+	1000	206.0	[7.5367184]	[142]	[9.4829645]	[94]	[81223098]	[81223050]
964_10592	chr9	91361842	91362242	+	1000	64.0	[]	[]	[12.889068]	[78]	[]	[91362019]
964_10596	chr9	113886826	113887226	+	1000	64.0	[]	[]	[7.5797467]	[111]	[]	[113887029]
964_10597	chr9	127980831	127981231	+	1000	64.0	[]	[]	[9.4829645]	[174]	[]	[127981062]
964_10598	chr9	128689879	128690279	+	1000	64.0	[]	[]	[9.4829645, 8.653531]	[152, 169]	[]	[128690056, 128690073]
964_106	chr19	5978107	5978507	+	1000	493.0	[8.8998375, 8.519867]	[133, 145]	[9.4829645, 12.889068]	[102, 115]	[5978339, 5978351]	[5978308, 5978321]
964_1060	chr2	191020157	191020557	+	1000	206.0	[9.4829645]	[102]	[]	[]	[191020356]	[]
964_10602	chr9	135990590	135990990	+	1000	64.0	[]	[]	[7.5797467, 9.4829645, 7.5797467]	[108, 145, 155]	[]	[135990781, 135990818, 135990828]
964_10603	chr9	136093325	136093725	+	1000	64.0	[]	[]	[8.8998375, 12.889068]	[82, 90]	[]	[136093481, 136093489]
