#PeakID(python scan_motif.py ./ENCODE_processed_files/MYC_idr.fa MYC --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
640_10060	chr10	119178747	119179147	+	1000	82.0	[9.859796]	[119]	[12.820818]	[120]	[119178963]	[119178964]
640_10065	chr11	69295120	69295520	+	1000	82.0	[7.2921777]	[62]	[]	[]	[69295278]	[]
640_10066	chr11	72821908	72822308	+	1000	82.0	[8.415534]	[87]	[8.344066, 8.334265]	[88, 130]	[72822062]	[72822063, 72822105]
640_10069	chr11	108592784	108593184	+	1000	82.0	[9.957076]	[121]	[12.820818]	[122]	[108592998]	[108592999]
640_1007	chr17	81711733	81712133	+	1000	258.0	[9.859796, 7.5613456]	[100, 114]	[12.820818]	[101]	[81711926, 81711940]	[81711927]
640_10071	chr12	50039212	50039612	+	1000	82.0	[8.334265]	[64]	[7.5613456, 7.1483927]	[65, 116]	[50039372]	[50039373, 50039424]
640_10072	chr13	38349649	38350049	+	1000	82.0	[]	[]	[7.2921777]	[80]	[]	[38349819]
640_10073	chr13	114065377	114065777	+	1000	82.0	[]	[]	[9.081068]	[130]	[]	[114065602]
640_10076	chr14	54488850	54489250	+	1000	82.0	[9.957076]	[110]	[9.3206]	[111]	[54489059]	[54489060]
640_10077	chr14	100447215	100447615	+	1000	82.0	[7.3805842, 9.957076, 12.820818]	[60, 94, 152]	[9.859796, 9.859796]	[95, 153]	[100447367, 100447401, 100447459]	[100447402, 100447460]
640_1008	chr18	3603298	3603698	+	1000	258.0	[12.820818]	[107]	[9.3206]	[108]	[3603505]	[3603506]
640_10083	chr15	69167232	69167632	+	1000	82.0	[]	[]	[9.081068, 9.081068]	[65, 92]	[]	[69167395, 69167422]
640_10085	chr16	3348878	3349278	+	1000	82.0	[8.334265, 7.1483927]	[135, 162]	[]	[]	[3349098, 3349125]	[]
640_10086	chr16	24707724	24708124	+	1000	82.0	[9.859796]	[104]	[9.957076]	[105]	[24707926]	[24707927]
640_1009	chr19	4328535	4328935	+	1000	258.0	[8.415534]	[58]	[8.344066]	[59]	[4328689]	[4328690]
640_10093	chr16	86517665	86518065	+	1000	82.0	[12.820818]	[145]	[9.859796]	[146]	[86517890]	[86517891]
640_10095	chr17	7915695	7916095	+	1000	82.0	[]	[]	[7.3538165]	[77]	[]	[7915861]
640_10097	chr17	29292528	29292928	+	1000	82.0	[7.981569]	[153]	[7.3805842]	[154]	[29292776]	[29292777]
640_101	chrX	48574627	48575027	+	1000	481.0	[8.344066, 12.820818]	[92, 124]	[12.820818]	[125]	[48574811, 48574843]	[48574844]
640_1010	chr19	51547689	51548089	+	1000	258.0	[7.981569]	[78]	[]	[]	[51547866]	[]
640_10103	chr17	79818352	79818752	+	1000	82.0	[12.820818]	[139]	[12.820818]	[140]	[79818572]	[79818573]
640_10104	chr17	80856455	80856855	+	1000	82.0	[]	[]	[7.3538165]	[111]	[]	[80856659]
640_10105	chr18	73261272	73261672	+	1000	82.0	[12.820818]	[137]	[12.820818]	[138]	[73261493]	[73261494]
640_1011	chr19	55461457	55461857	+	1000	258.0	[9.859796]	[104]	[12.820818, 7.3538165]	[105, 141]	[55461651]	[55461652, 55461688]
640_10112	chr19	48835706	48836106	+	1000	82.0	[8.334265, 7.981569]	[109, 139]	[7.5613456]	[110]	[48835910, 48835940]	[48835911]
640_10117	chr2	38603401	38603801	+	1000	82.0	[]	[]	[8.415534]	[134]	[]	[38603626]
640_1012	chr20	57524890	57525290	+	1000	258.0	[7.981569, 8.415534]	[95, 104]	[]	[]	[57525084, 57525093]	[]
640_10123	chr2	74529025	74529425	+	1000	82.0	[7.3805842]	[123]	[9.081068, 9.081068]	[61, 143]	[74529242]	[74529180, 74529262]
640_10124	chr2	97112905	97113305	+	1000	82.0	[7.4328523]	[126]	[]	[]	[97113130]	[]
640_10125	chr2	109274993	109275393	+	1000	82.0	[12.820818]	[146]	[9.3206]	[147]	[109275236]	[109275237]
640_10126	chr2	120262716	120263116	+	1000	82.0	[7.5613456, 12.820818]	[77, 108]	[8.334265, 9.859796]	[78, 109]	[120262872, 120262903]	[120262873, 120262904]
640_10129	chr2	172102841	172103241	+	1000	82.0	[7.5613456]	[145]	[9.081068]	[103]	[172103072]	[172103030]
640_10131	chr2	240584397	240584797	+	1000	82.0	[]	[]	[7.5613456]	[61]	[]	[240584554]
640_10135	chr20	32570407	32570807	+	1000	82.0	[7.3805842]	[77]	[]	[]	[32570574]	[]
640_10136	chr20	34954863	34955263	+	1000	82.0	[9.957076]	[86]	[9.957076]	[87]	[34955049]	[34955050]
640_10137	chr20	46683142	46683542	+	1000	82.0	[]	[]	[7.3984704, 7.981569]	[85, 148]	[]	[46683310, 46683373]
640_1014	chr3	141738274	141738674	+	1000	258.0	[9.081068, 7.5613456]	[86, 135]	[8.415787, 7.2921777]	[87, 100]	[141738457, 141738506]	[141738458, 141738471]
640_10143	chr22	23181809	23182209	+	1000	82.0	[8.415534]	[116]	[]	[]	[23182013]	[]
640_10144	chr22	36387724	36388124	+	1000	82.0	[]	[]	[7.981569]	[74]	[]	[36387895]
640_10145	chr22	40469152	40469552	+	1000	82.0	[9.081068]	[148]	[]	[]	[40469389]	[]
640_1015	chr6	26520428	26520828	+	1000	258.0	[12.820818]	[64]	[9.957076]	[65]	[26520583]	[26520584]
640_10150	chr3	45631516	45631916	+	1000	82.0	[12.820818]	[156]	[9.3206]	[157]	[45631766]	[45631767]
640_10152	chr3	72152778	72153178	+	1000	82.0	[9.081068, 7.4328523]	[116, 149]	[]	[]	[72152978, 72153011]	[]
640_10153	chr3	100634814	100635214	+	1000	82.0	[9.859796]	[131]	[9.957076]	[132]	[100635037]	[100635038]
640_10154	chr3	128496928	128497328	+	1000	82.0	[9.859796, 8.415534]	[99, 128]	[12.820818]	[100]	[128497118, 128497147]	[128497119]
640_10156	chr4	2462352	2462752	+	1000	82.0	[9.957076]	[126]	[9.859796]	[127]	[2462566]	[2462567]
640_10157	chr4	7068799	7069199	+	1000	82.0	[8.415534, 8.415534]	[122, 200]	[8.344066]	[201]	[7068965, 7069043]	[7069044]
640_10158	chr5	8057761	8058161	+	1000	82.0	[9.957076]	[149]	[9.859796]	[150]	[8058007]	[8058008]
640_10159	chr5	10734077	10734477	+	1000	82.0	[]	[]	[7.5613456]	[156]	[]	[10734319]
640_10161	chr5	132425530	132425930	+	1000	82.0	[9.957076]	[90]	[12.820818, 7.4328523]	[91, 101]	[132425701]	[132425702, 132425712]
640_10163	chr5	168486288	168486688	+	1000	82.0	[]	[]	[7.3538165]	[115]	[]	[168486470]
640_10166	chr6	4911122	4911522	+	1000	82.0	[]	[]	[8.334265]	[84]	[]	[4911290]
640_1017	chr1	26500724	26501124	+	1000	257.0	[8.344066]	[169]	[]	[]	[26500969]	[]
640_10174	chr6	31596951	31597351	+	1000	82.0	[9.081068]	[111]	[]	[]	[31597147]	[]
640_10176	chr6	42010209	42010609	+	1000	82.0	[]	[]	[8.415787]	[113]	[]	[42010408]
640_1018	chr18	158107	158507	+	1000	257.0	[12.820818]	[103]	[12.820818]	[104]	[158302]	[158303]
640_10181	chr7	1951225	1951625	+	1000	82.0	[9.957076]	[120]	[9.3206]	[121]	[1951434]	[1951435]
640_10182	chr7	25732777	25733177	+	1000	82.0	[]	[]	[7.5613456, 8.415787]	[79, 117]	[]	[25732941, 25732979]
640_10188	chr7	139916019	139916419	+	1000	82.0	[8.415787]	[68]	[]	[]	[139916178]	[]
640_10192	chr8	38850930	38851330	+	1000	82.0	[9.3206]	[106]	[12.820818]	[107]	[38851107]	[38851108]
640_10194	chr8	62102751	62103151	+	1000	82.0	[12.820818]	[82]	[12.820818]	[83]	[62102928]	[62102929]
640_10195	chr8	123057637	123058037	+	1000	82.0	[12.820818]	[131]	[12.820818]	[132]	[123057859]	[123057860]
640_1020	chr4	158723305	158723705	+	1000	257.0	[8.415534, 8.334265]	[100, 114]	[]	[]	[158723500, 158723514]	[]
640_10201	chr9	5628794	5629194	+	1000	82.0	[8.344066]	[105]	[8.415534]	[106]	[5628990]	[5628991]
640_10204	chr9	131274654	131275054	+	1000	82.0	[]	[]	[7.3984704, 7.3984704]	[130, 184]	[]	[131274837, 131274891]
640_10207	chrX	154799098	154799498	+	1000	82.0	[]	[]	[7.1483927]	[89]	[]	[154799283]
640_10209	chr1	7783761	7784161	+	1000	81.0	[12.820818]	[64]	[12.820818]	[65]	[7783920]	[7783921]
640_1021	chr5	177370750	177371150	+	1000	257.0	[]	[]	[8.344066]	[77]	[]	[177370927]
640_10214	chr1	40477142	40477542	+	1000	81.0	[8.415534]	[92]	[8.344066]	[93]	[40477333]	[40477334]
640_10215	chr1	44786056	44786456	+	1000	81.0	[]	[]	[8.334265]	[88]	[]	[44786243]
640_10218	chr1	70675666	70676066	+	1000	81.0	[8.415787]	[64]	[9.081068]	[65]	[70675822]	[70675823]
640_10219	chr1	84505661	84506061	+	1000	81.0	[8.344066]	[94]	[8.415534]	[95]	[84505837]	[84505838]
640_1022	chr6	145735414	145735814	+	1000	257.0	[9.859796]	[114]	[9.957076, 8.415534]	[115, 148]	[145735619]	[145735620, 145735653]
640_10223	chr1	154187066	154187466	+	1000	81.0	[]	[]	[8.334265]	[146]	[]	[154187312]
640_10229	chr1	207935173	207935573	+	1000	81.0	[]	[]	[9.081068]	[138]	[]	[207935387]
640_1023	chr9	127862100	127862500	+	1000	257.0	[9.957076]	[100]	[9.859796]	[101]	[127862290]	[127862291]
640_10232	chr1	232950439	232950839	+	1000	81.0	[]	[]	[8.415534]	[67]	[]	[232950603]
640_10234	chr1	244299391	244299791	+	1000	81.0	[8.334265]	[163]	[7.5613456]	[164]	[244299633]	[244299634]
640_10238	chr10	68550776	68551176	+	1000	81.0	[]	[]	[8.415787]	[132]	[]	[68551002]
640_1024	chr1	33036061	33036461	+	1000	256.0	[12.820818]	[89]	[9.859796]	[90]	[33036249]	[33036250]
640_10244	chr10	87500635	87501035	+	1000	81.0	[]	[]	[9.081068]	[96]	[]	[87500790]
640_10246	chr10	123007805	123008205	+	1000	81.0	[12.820818]	[93]	[12.820818]	[94]	[123007980]	[123007981]
640_1025	chr1	206635209	206635609	+	1000	256.0	[8.415534, 7.4328523]	[99, 117]	[8.344066]	[100]	[206635399, 206635417]	[206635400]
640_10250	chr11	63681111	63681511	+	1000	81.0	[8.415534]	[130]	[]	[]	[63681338]	[]
640_10251	chr11	65476247	65476647	+	1000	81.0	[9.859796]	[113]	[12.820818]	[114]	[65476453]	[65476454]
640_10252	chr11	67241049	67241449	+	1000	81.0	[12.820818]	[121]	[12.820818]	[122]	[67241254]	[67241255]
640_10254	chr11	134868456	134868856	+	1000	81.0	[]	[]	[9.081068]	[88]	[]	[134868634]
640_10259	chr12	63843766	63844166	+	1000	81.0	[8.415534]	[133]	[]	[]	[63843985]	[]
640_1026	chr10	102133474	102133874	+	1000	256.0	[12.820818, 12.820818, 12.820818]	[79, 124, 149]	[12.820818, 12.820818, 12.820818]	[80, 125, 150]	[102133643, 102133688, 102133713]	[102133644, 102133689, 102133714]
640_10260	chr12	88141787	88142187	+	1000	81.0	[8.344066]	[111]	[8.415534]	[112]	[88141993]	[88141994]
640_10261	chr12	93591411	93591811	+	1000	81.0	[7.4328523]	[75]	[7.3984704]	[76]	[93591580]	[93591581]
640_10262	chr12	101279983	101280383	+	1000	81.0	[9.957076]	[137]	[9.3206]	[138]	[101280155]	[101280156]
640_10267	chr12	131000010	131000410	+	1000	81.0	[]	[]	[8.415787]	[150]	[]	[131000226]
640_10268	chr13	25380198	25380598	+	1000	81.0	[]	[]	[8.415787]	[108]	[]	[25380406]
640_10270	chr13	41019123	41019523	+	1000	81.0	[7.3538165]	[140]	[]	[]	[41019361]	[]
640_10271	chr13	99971206	99971606	+	1000	81.0	[9.081068]	[82]	[]	[]	[99971387]	[]
640_10279	chr14	49767441	49767841	+	1000	81.0	[12.820818]	[139]	[9.3206]	[140]	[49767671]	[49767672]
640_1028	chr15	92904267	92904667	+	1000	256.0	[8.415534]	[70]	[]	[]	[92904434]	[]
640_10280	chr14	54565837	54566237	+	1000	81.0	[8.415534]	[71]	[8.415787]	[162]	[54565989]	[54566080]
640_10281	chr14	54676829	54677229	+	1000	81.0	[9.081068]	[114]	[]	[]	[54677026]	[]
640_10285	chr15	40894859	40895259	+	1000	81.0	[8.415534]	[95]	[]	[]	[40895053]	[]
640_10287	chr15	66294384	66294784	+	1000	81.0	[9.957076]	[111]	[9.957076]	[112]	[66294578]	[66294579]
640_10289	chr16	1351727	1352127	+	1000	81.0	[7.3984704, 9.3206, 9.3206]	[98, 106, 122]	[7.4328523, 9.3206, 9.3206]	[99, 107, 123]	[1351910, 1351918, 1351934]	[1351911, 1351919, 1351935]
640_10290	chr16	9077399	9077799	+	1000	81.0	[]	[]	[7.981569]	[104]	[]	[9077600]
640_10294	chr16	58001090	58001490	+	1000	81.0	[8.415534]	[106]	[]	[]	[58001281]	[]
640_10295	chr16	70113999	70114399	+	1000	81.0	[12.820818]	[74]	[12.820818]	[75]	[70114172]	[70114173]
640_10298	chr17	63834832	63835232	+	1000	81.0	[7.3805842]	[71]	[7.981569]	[72]	[63834986]	[63834987]
640_103	chr1	156813759	156814159	+	1000	477.0	[12.820818]	[114]	[8.344066, 12.820818]	[88, 115]	[156813958]	[156813932, 156813959]
640_10304	chr19	916913	917313	+	1000	81.0	[8.344066]	[118]	[8.415534]	[119]	[917115]	[917116]
640_10306	chr19	1604720	1605120	+	1000	81.0	[12.820818]	[142]	[12.820818]	[143]	[1604931]	[1604932]
640_10307	chr19	2598956	2599356	+	1000	81.0	[12.820818]	[104]	[12.820818]	[105]	[2599159]	[2599160]
640_10308	chr19	5340818	5341218	+	1000	81.0	[9.3206, 9.957076, 9.859796]	[82, 117, 143]	[12.820818, 12.820818, 12.820818]	[83, 118, 144]	[5340985, 5341020, 5341046]	[5340986, 5341021, 5341047]
640_1031	chr2	206159927	206160327	+	1000	256.0	[12.820818]	[96]	[12.820818]	[97]	[206160116]	[206160117]
640_10311	chr19	41226132	41226532	+	1000	81.0	[12.820818, 7.5613456]	[83, 90]	[9.957076, 8.334265]	[84, 91]	[41226313, 41226320]	[41226314, 41226321]
640_10312	chr19	45153529	45153929	+	1000	81.0	[9.957076]	[94]	[8.415534, 9.957076]	[79, 95]	[45153722]	[45153707, 45153723]
640_10317	chr2	11465427	11465827	+	1000	81.0	[7.2921777, 9.957076]	[64, 116]	[9.3206]	[117]	[11465585, 11465637]	[11465638]
640_10319	chr2	43225772	43226172	+	1000	81.0	[9.859796]	[110]	[9.3206]	[111]	[43225981]	[43225982]
640_10320	chr2	46616757	46617157	+	1000	81.0	[7.981569]	[73]	[]	[]	[46616929]	[]
640_10328	chr2	110678007	110678407	+	1000	81.0	[]	[]	[7.4328523]	[116]	[]	[110678209]
640_10330	chr2	174059077	174059477	+	1000	81.0	[9.081068, 12.820818]	[105, 125]	[8.415787, 9.957076]	[106, 126]	[174059270, 174059290]	[174059271, 174059291]
640_10332	chr2	181892163	181892563	+	1000	81.0	[7.3805842]	[93]	[]	[]	[181892350]	[]
640_10333	chr20	381656	382056	+	1000	81.0	[]	[]	[8.334265]	[88]	[]	[381840]
640_10335	chr20	32634461	32634861	+	1000	81.0	[7.3805842]	[103]	[]	[]	[32634632]	[]
640_10337	chr21	33383017	33383417	+	1000	81.0	[]	[]	[7.981569]	[79]	[]	[33383182]
640_10339	chr21	36661875	36662275	+	1000	81.0	[7.981569]	[123]	[]	[]	[36662093]	[]
640_10341	chr21	43864331	43864731	+	1000	81.0	[9.957076]	[118]	[12.820818]	[119]	[43864548]	[43864549]
640_10343	chr22	21817195	21817595	+	1000	81.0	[9.859796]	[104]	[9.957076, 9.081068]	[105, 124]	[21817398]	[21817399, 21817418]
640_10344	chr22	21972241	21972641	+	1000	81.0	[7.981569]	[126]	[7.3805842]	[127]	[21972459]	[21972460]
640_10345	chr22	25564406	25564806	+	1000	81.0	[7.981569]	[162]	[7.3805842]	[163]	[25564639]	[25564640]
640_10346	chr22	41447705	41448105	+	1000	81.0	[8.344066]	[111]	[8.415534]	[112]	[41447909]	[41447910]
640_10347	chr22	42614327	42614727	+	1000	81.0	[7.3805842]	[133]	[7.981569]	[134]	[42614547]	[42614548]
640_10348	chr22	46754457	46754857	+	1000	81.0	[12.820818]	[107]	[9.957076]	[108]	[46754664]	[46754665]
640_1035	chr7	150322711	150323111	+	1000	256.0	[8.344066, 9.957076]	[79, 127]	[8.415534, 9.957076]	[80, 128]	[150322881, 150322929]	[150322882, 150322930]
640_10353	chr3	52410468	52410868	+	1000	81.0	[8.415534]	[144]	[]	[]	[52410629]	[]
640_10354	chr3	170703077	170703477	+	1000	81.0	[8.415787]	[125]	[]	[]	[170703298]	[]
640_10355	chr3	180881021	180881421	+	1000	81.0	[12.820818]	[124]	[9.859796]	[125]	[180881220]	[180881221]
640_10359	chr4	40194840	40195240	+	1000	81.0	[12.820818]	[140]	[12.820818]	[141]	[40195079]	[40195080]
640_1036	chr8	30743959	30744359	+	1000	256.0	[9.3206]	[166]	[12.820818]	[167]	[30744196]	[30744197]
640_10360	chr4	73104151	73104551	+	1000	81.0	[12.820818]	[116]	[12.820818]	[117]	[73104367]	[73104368]
640_10362	chr4	127782323	127782723	+	1000	81.0	[]	[]	[8.415534]	[129]	[]	[127782540]
640_10365	chr5	55712306	55712706	+	1000	81.0	[7.5613456]	[115]	[8.334265]	[116]	[55712506]	[55712507]
640_10366	chr5	103259115	103259515	+	1000	81.0	[7.3984704]	[103]	[]	[]	[103259300]	[]
640_10367	chr5	138489326	138489726	+	1000	81.0	[9.957076]	[136]	[12.820818]	[137]	[138489550]	[138489551]
640_10368	chr5	160261480	160261880	+	1000	81.0	[12.820818]	[96]	[12.820818]	[97]	[160261663]	[160261664]
640_10369	chr5	178832632	178833032	+	1000	81.0	[]	[]	[9.081068]	[131]	[]	[178832855]
640_10374	chr6	25910276	25910676	+	1000	81.0	[]	[]	[7.4328523]	[98]	[]	[25910461]
640_10377	chr6	56955830	56956230	+	1000	81.0	[8.334265]	[102]	[7.5613456]	[103]	[56956013]	[56956014]
640_10379	chr6	108575830	108576230	+	1000	81.0	[]	[]	[9.081068]	[114]	[]	[108576042]
640_10381	chr6	135180717	135181117	+	1000	81.0	[]	[]	[8.415534]	[127]	[]	[135180930]
640_10383	chr7	362705	363105	+	1000	81.0	[7.3805842, 8.344066]	[116, 135]	[7.981569]	[117]	[362902, 362921]	[362903]
640_10385	chr7	4775385	4775785	+	1000	81.0	[9.957076, 9.3206]	[106, 138]	[9.3206, 9.3206]	[107, 139]	[4775585, 4775617]	[4775586, 4775618]
640_10387	chr7	22680441	22680841	+	1000	81.0	[]	[]	[7.1483927]	[77]	[]	[22680606]
640_1039	chr1	23979827	23980227	+	1000	255.0	[8.344066, 8.344066]	[67, 106]	[8.415534, 8.415534]	[68, 107]	[23979982, 23980021]	[23979983, 23980022]
640_10392	chr7	130942092	130942492	+	1000	81.0	[]	[]	[7.5613456]	[126]	[]	[130942301]
640_10393	chr7	131327571	131327971	+	1000	81.0	[]	[]	[7.2921777]	[111]	[]	[131327725]
640_10394	chr7	150955209	150955609	+	1000	81.0	[7.3805842]	[104]	[7.981569]	[105]	[150955404]	[150955405]
640_10396	chr8	11802422	11802822	+	1000	81.0	[7.3805842]	[113]	[7.981569]	[114]	[11802633]	[11802634]
640_10399	chr8	55930513	55930913	+	1000	81.0	[9.957076]	[91]	[12.820818]	[92]	[55930702]	[55930703]
640_104	chr17	76557576	76557976	+	1000	477.0	[8.415534]	[112]	[8.344066]	[113]	[76557783]	[76557784]
640_1040	chr1	36224732	36225132	+	1000	255.0	[]	[]	[8.415787]	[98]	[]	[36224922]
640_10406	chr9	129857137	129857537	+	1000	81.0	[9.957076, 8.415787]	[118, 138]	[9.957076]	[119]	[129857336, 129857356]	[129857337]
640_1041	chr1	224434670	224435070	+	1000	255.0	[9.957076]	[131]	[9.957076]	[132]	[224434893]	[224434894]
640_10410	chrX	53255750	53256150	+	1000	81.0	[9.081068]	[118]	[8.415787]	[119]	[53255955]	[53255956]
640_10411	chrX	65697838	65698238	+	1000	81.0	[8.415534]	[115]	[]	[]	[65698050]	[]
640_10412	chr1	7372542	7372942	+	1000	80.0	[9.081068, 9.859796]	[86, 137]	[12.820818]	[138]	[7372723, 7372774]	[7372775]
640_10418	chr1	59290162	59290562	+	1000	80.0	[8.334265, 9.859796]	[97, 121]	[9.859796]	[122]	[59290357, 59290381]	[59290382]
640_10427	chr1	183916062	183916462	+	1000	80.0	[9.3206]	[78]	[9.957076]	[79]	[183916219]	[183916220]
640_10429	chr1	209673320	209673720	+	1000	80.0	[12.820818]	[114]	[9.3206]	[115]	[209673508]	[209673509]
640_1043	chr17	78840622	78841022	+	1000	255.0	[9.859796]	[116]	[9.859796]	[117]	[78840835]	[78840836]
640_10434	chr1	244273009	244273409	+	1000	80.0	[9.081068, 9.859796]	[117, 132]	[9.859796]	[133]	[244273221, 244273236]	[244273237]
640_1044	chr17	82098968	82099368	+	1000	255.0	[12.820818, 8.334265]	[111, 141]	[12.820818, 7.5613456]	[112, 142]	[82099165, 82099195]	[82099166, 82099196]
640_10440	chr10	97689627	97690027	+	1000	80.0	[9.081068]	[117]	[]	[]	[97689842]	[]
640_10441	chr10	102399463	102399863	+	1000	80.0	[8.334265]	[133]	[]	[]	[102399683]	[]
640_10443	chr11	18012803	18013203	+	1000	80.0	[]	[]	[7.3984704]	[160]	[]	[18013047]
640_10446	chr11	66592659	66593059	+	1000	80.0	[8.334265]	[71]	[7.5613456]	[72]	[66592829]	[66592830]
640_10447	chr11	67436418	67436818	+	1000	80.0	[8.334265]	[78]	[]	[]	[67436584]	[]
640_10449	chr11	74459551	74459951	+	1000	80.0	[8.415787]	[136]	[]	[]	[74459778]	[]
640_10451	chr12	1601441	1601841	+	1000	80.0	[12.820818]	[112]	[9.859796]	[113]	[1601636]	[1601637]
640_10452	chr12	46371259	46371659	+	1000	80.0	[9.3206]	[74]	[9.3206]	[75]	[46371430]	[46371431]
640_10455	chr12	91679956	91680356	+	1000	80.0	[9.957076]	[131]	[9.957076, 7.5613456]	[132, 144]	[91680160]	[91680161, 91680173]
640_10458	chr12	116759694	116760094	+	1000	80.0	[]	[]	[7.4328523]	[110]	[]	[116759896]
640_10459	chr12	117100274	117100674	+	1000	80.0	[]	[]	[9.081068]	[140]	[]	[117100498]
640_10470	chr15	55290482	55290882	+	1000	80.0	[7.981569]	[142]	[7.3805842]	[143]	[55290706]	[55290707]
640_10471	chr15	74373632	74374032	+	1000	80.0	[8.415534]	[140]	[]	[]	[74373868]	[]
640_10472	chr15	90157848	90158248	+	1000	80.0	[7.3805842]	[102]	[7.981569]	[103]	[90158005]	[90158006]
640_10473	chr16	4734652	4735052	+	1000	80.0	[7.981569]	[125]	[7.3805842]	[126]	[4734869]	[4734870]
640_10475	chr16	67660644	67661044	+	1000	80.0	[]	[]	[7.1483927]	[140]	[]	[67660863]
640_1048	chr5	112160726	112161126	+	1000	255.0	[8.415534]	[120]	[8.344066]	[121]	[112160935]	[112160936]
640_10480	chr17	28317101	28317501	+	1000	80.0	[9.957076]	[139]	[9.859796]	[140]	[28317334]	[28317335]
640_10481	chr17	39730308	39730708	+	1000	80.0	[9.957076]	[215]	[9.3206]	[216]	[39730547]	[39730548]
640_10484	chr17	43545629	43546029	+	1000	80.0	[8.334265]	[210]	[]	[]	[43545857]	[]
640_10485	chr17	47841163	47841563	+	1000	80.0	[8.334265]	[156]	[7.5613456]	[157]	[47841413]	[47841414]
640_10487	chr17	66200646	66201046	+	1000	80.0	[9.957076]	[103]	[9.957076]	[104]	[66200845]	[66200846]
640_10491	chr18	6682383	6682783	+	1000	80.0	[7.981569]	[141]	[7.3805842]	[142]	[6682621]	[6682622]
