#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPB_idr.fa CEBPB --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
878_10025	chr13	25141021	25141421	+	1000	109.0	[11.2542715]	[107]	[14.415392]	[106]	[25141224]	[25141223]
878_10026	chr13	29758787	29759187	+	1000	109.0	[]	[]	[9.059302]	[98]	[]	[29758985]
878_10027	chr13	79407345	79407745	+	1000	109.0	[12.102169]	[97]	[11.303083]	[96]	[79407541]	[79407540]
878_10030	chr15	36860791	36861191	+	1000	109.0	[12.102169]	[100]	[11.489543]	[99]	[36860988]	[36860987]
878_10031	chr15	50802691	50803091	+	1000	109.0	[9.82345]	[81]	[11.523669]	[80]	[50802872]	[50802871]
878_10032	chr15	65733643	65734043	+	1000	109.0	[8.109833]	[104]	[11.9157095]	[103]	[65733846]	[65733845]
878_10034	chr15	81948101	81948501	+	1000	109.0	[9.82345]	[102]	[11.523669]	[101]	[81948302]	[81948301]
878_10036	chr16	1611595	1611995	+	1000	109.0	[9.82345]	[121]	[11.523669]	[120]	[1611767]	[1611766]
878_1004	chr17	16380846	16381246	+	1000	400.0	[11.228718]	[102]	[6.553837, 11.1945915]	[101, 115]	[16381045]	[16381044, 16381058]
878_10040	chr18	34787947	34788347	+	1000	109.0	[11.807217]	[124]	[6.5832086, 8.219931]	[78, 123]	[34788157]	[34788111, 34788156]
878_10042	chr19	6814097	6814497	+	1000	109.0	[11.489543]	[101]	[8.722458]	[100]	[6814290]	[6814289]
878_10046	chr19	39338079	39338479	+	1000	109.0	[9.82345]	[75]	[11.523669, 6.4962]	[74, 137]	[39338246]	[39338245, 39338308]
878_10047	chr19	41159903	41160303	+	1000	109.0	[8.908765]	[94]	[9.871238]	[93]	[41160090]	[41160089]
878_10049	chr19	51438916	51439316	+	1000	109.0	[11.303083]	[100]	[12.102169]	[99]	[51439112]	[51439111]
878_1005	chr6	131068186	131068586	+	1000	400.0	[8.109833]	[99]	[8.722458]	[98]	[131068384]	[131068383]
878_10050	chr2	16553267	16553667	+	1000	109.0	[8.302869, 6.4412866]	[98, 141]	[7.401735]	[97]	[16553464, 16553507]	[16553463]
878_10051	chr2	17717704	17718104	+	1000	109.0	[6.823235]	[149]	[6.823235]	[148]	[17717939]	[17717938]
878_10052	chr2	28704624	28705024	+	1000	109.0	[8.613966]	[104]	[8.219931]	[103]	[28704828]	[28704827]
878_10053	chr2	64008613	64009013	+	1000	109.0	[]	[]	[8.194376]	[98]	[]	[64008811]
878_10054	chr2	118728980	118729380	+	1000	109.0	[8.807002]	[101]	[]	[]	[118729179]	[]
878_10056	chr21	35361981	35362381	+	1000	109.0	[6.774371, 11.489543]	[84, 97]	[12.102169]	[96]	[35362162, 35362175]	[35362174]
878_1006	chr9	122905207	122905607	+	1000	400.0	[11.222141]	[99]	[11.440731]	[98]	[122905405]	[122905404]
878_10060	chr3	7029589	7029989	+	1000	109.0	[14.601852]	[109]	[11.2542715]	[108]	[7029794]	[7029793]
878_10061	chr3	10571681	10572081	+	1000	109.0	[11.489543]	[105]	[12.102169]	[104]	[10571881]	[10571880]
878_10062	chr3	13084924	13085324	+	1000	109.0	[6.8515267]	[92]	[]	[]	[13085115]	[]
878_10063	chr3	36971191	36971591	+	1000	109.0	[11.9157095]	[120]	[11.303083]	[119]	[36971403]	[36971402]
878_10065	chr3	185753337	185753737	+	1000	109.0	[8.361012]	[105]	[8.175548]	[104]	[185753542]	[185753541]
878_10066	chr3	186633506	186633906	+	1000	109.0	[11.489543]	[109]	[12.102169]	[108]	[186633712]	[186633711]
878_10068	chr4	74330238	74330638	+	1000	109.0	[7.215275]	[103]	[8.302869]	[102]	[74330430]	[74330429]
878_1007	chr1	44677096	44677496	+	1000	399.0	[8.219931]	[98]	[11.807217]	[97]	[44677291]	[44677290]
878_10070	chr4	183026509	183026909	+	1000	109.0	[11.523669]	[101]	[9.82345]	[100]	[183026707]	[183026706]
878_10071	chr5	10541304	10541704	+	1000	109.0	[8.194376]	[101]	[]	[]	[10541502]	[]
878_10072	chr5	75522543	75522943	+	1000	109.0	[8.194376]	[104]	[]	[]	[75522732]	[]
878_10076	chr5	176540361	176540761	+	1000	109.0	[]	[]	[8.194376]	[116]	[]	[176540562]
878_10079	chr6	27864913	27865313	+	1000	109.0	[6.4412866]	[107]	[]	[]	[27865109]	[]
878_10080	chr6	28899692	28900092	+	1000	109.0	[12.102169]	[100]	[11.489543]	[99]	[28899892]	[28899891]
878_10081	chr6	43600586	43600986	+	1000	109.0	[6.740297]	[99]	[11.415177]	[98]	[43600784]	[43600783]
878_10082	chr6	135258947	135259347	+	1000	109.0	[]	[]	[6.250924]	[96]	[]	[135259141]
878_10086	chr7	2484816	2485216	+	1000	109.0	[11.9157095]	[103]	[11.489543]	[102]	[2485005]	[2485004]
878_10087	chr7	26131049	26131449	+	1000	109.0	[11.489543]	[97]	[12.102169]	[96]	[26131243]	[26131242]
878_10088	chr7	32957919	32958319	+	1000	109.0	[11.9157095]	[109]	[11.303083]	[108]	[32958121]	[32958120]
878_10089	chr7	74182449	74182849	+	1000	109.0	[12.102169]	[97]	[11.303083]	[96]	[74182641]	[74182640]
878_10090	chr7	76360173	76360573	+	1000	109.0	[9.82345]	[122]	[11.523669]	[121]	[76360393]	[76360392]
878_10091	chr7	91796128	91796528	+	1000	109.0	[11.489543]	[95]	[12.102169]	[94]	[91796322]	[91796321]
878_10092	chr7	92432207	92432607	+	1000	109.0	[11.9157095]	[93]	[8.109833]	[92]	[92432400]	[92432399]
878_10095	chr7	107078155	107078555	+	1000	109.0	[]	[]	[6.3618803]	[126]	[]	[107078365]
878_10098	chr7	137997472	137997872	+	1000	109.0	[9.359631]	[113]	[9.741591]	[112]	[137997681]	[137997680]
878_10099	chr7	158789104	158789504	+	1000	109.0	[11.473993]	[117]	[12.245977]	[116]	[158789305]	[158789304]
878_1010	chr15	82018264	82018664	+	1000	399.0	[8.194376]	[112]	[]	[]	[82018473]	[]
878_10103	chr8	133575811	133576211	+	1000	109.0	[]	[]	[8.194376]	[100]	[]	[133576002]
878_10104	chr9	70399138	70399538	+	1000	109.0	[8.007916]	[104]	[]	[]	[70399337]	[]
878_10106	chr9	78026944	78027344	+	1000	109.0	[8.007916]	[115]	[]	[]	[78027151]	[]
878_10107	chr9	109062545	109062945	+	1000	109.0	[8.061021]	[109]	[14.601852]	[108]	[109062749]	[109062748]
878_10108	chr9	121320402	121320802	+	1000	109.0	[6.740297]	[97]	[11.415177]	[96]	[121320598]	[121320597]
878_1011	chr22	24728904	24729304	+	1000	399.0	[]	[]	[11.1945915]	[100]	[]	[24729102]
878_10112	chrX	10882460	10882860	+	1000	109.0	[]	[]	[8.007916]	[95]	[]	[10882653]
878_10113	chrX	23781249	23781649	+	1000	109.0	[8.1447]	[121]	[6.554649]	[120]	[23781459]	[23781458]
878_10114	chr1	10055697	10056097	+	1000	108.0	[]	[]	[8.194376]	[74]	[]	[10055871]
878_10117	chr1	37746829	37747229	+	1000	108.0	[11.9157095]	[110]	[11.303083]	[109]	[37747037]	[37747036]
878_10119	chr1	40353067	40353467	+	1000	108.0	[8.194376]	[104]	[]	[]	[40353266]	[]
878_1012	chr1	40059467	40059867	+	1000	398.0	[11.489543]	[100]	[8.722458]	[99]	[40059666]	[40059665]
878_10120	chr1	109076485	109076885	+	1000	108.0	[11.523669]	[100]	[9.82345]	[99]	[109076683]	[109076682]
878_10123	chr1	169610866	169611266	+	1000	108.0	[8.111438]	[99]	[8.724064, 8.194376]	[98, 116]	[169611057]	[169611056, 169611074]
878_10124	chr1	176178252	176178652	+	1000	108.0	[]	[]	[8.194376]	[98]	[]	[176178443]
878_10125	chr1	207520056	207520456	+	1000	108.0	[9.025176, 8.586416]	[73, 104]	[9.0522785]	[72]	[207520214, 207520245]	[207520213]
878_10126	chr10	5528472	5528872	+	1000	108.0	[8.302869]	[92]	[7.215275]	[91]	[5528664]	[5528663]
878_10127	chr10	7146180	7146580	+	1000	108.0	[11.660454]	[112]	[12.432437]	[111]	[7146389]	[7146388]
878_10128	chr10	17199483	17199883	+	1000	108.0	[9.251139]	[93]	[]	[]	[17199676]	[]
878_10129	chr10	17464563	17464963	+	1000	108.0	[11.9157095]	[114]	[11.489543]	[113]	[17464771]	[17464770]
878_1013	chr1	148388330	148388730	+	1000	398.0	[11.381051]	[98]	[8.832556]	[97]	[148388526]	[148388525]
878_10130	chr10	22686333	22686733	+	1000	108.0	[6.491527]	[83]	[8.908765]	[82]	[22686514]	[22686513]
878_10131	chr10	24720195	24720595	+	1000	108.0	[7.9249783, 9.437598]	[86, 106]	[8.724064, 6.471978]	[85, 105]	[24720373, 24720393]	[24720372, 24720392]
878_10135	chr10	101729878	101730278	+	1000	108.0	[9.82345]	[123]	[11.523669]	[122]	[101730098]	[101730097]
878_10136	chr11	9640012	9640412	+	1000	108.0	[9.824262]	[121]	[8.439652]	[120]	[9640231]	[9640230]
878_10138	chr11	33360627	33361027	+	1000	108.0	[6.740297]	[97]	[11.228718, 8.807002]	[96, 104]	[33360818]	[33360817, 33360825]
878_10139	chr11	43270470	43270870	+	1000	108.0	[12.102169]	[113]	[11.489543]	[112]	[43270666]	[43270665]
878_10140	chr11	64472901	64473301	+	1000	108.0	[]	[]	[9.025176]	[101]	[]	[64473094]
878_10141	chr11	65769706	65770106	+	1000	108.0	[9.211636]	[98]	[9.0522785]	[97]	[65769903]	[65769902]
878_10142	chr11	72280057	72280457	+	1000	108.0	[12.102169]	[104]	[11.303083]	[103]	[72280256]	[72280255]
878_10143	chr11	72794814	72795214	+	1000	108.0	[8.439652]	[153]	[9.824262]	[152]	[72795044]	[72795043]
878_10146	chr11	87315214	87315614	+	1000	108.0	[]	[]	[8.194376]	[109]	[]	[87315415]
878_10148	chr11	95680570	95680970	+	1000	108.0	[]	[]	[8.194376]	[92]	[]	[95680762]
878_1015	chr11	73784300	73784700	+	1000	398.0	[]	[]	[6.3066726]	[137]	[]	[73784537]
878_10151	chr12	50609265	50609665	+	1000	108.0	[8.908765, 6.6504364]	[97, 157]	[9.871238]	[96]	[50609455, 50609515]	[50609454]
878_10152	chr12	54330877	54331277	+	1000	108.0	[8.219931]	[143]	[11.807217]	[142]	[54331104]	[54331103]
878_10155	chr12	121799020	121799420	+	1000	108.0	[11.222141]	[98]	[8.061021]	[97]	[121799214]	[121799213]
878_10156	chr12	121876865	121877265	+	1000	108.0	[6.553837]	[92]	[11.415177]	[91]	[121877047]	[121877046]
878_10158	chr13	95698028	95698428	+	1000	108.0	[11.489543]	[95]	[11.9157095]	[94]	[95698215]	[95698214]
878_10159	chr13	99201841	99202241	+	1000	108.0	[9.82345]	[85]	[11.523669]	[84]	[99202026]	[99202025]
878_10161	chr14	73502162	73502562	+	1000	108.0	[6.740297]	[104]	[11.415177]	[103]	[73502363]	[73502362]
878_10163	chr15	57594472	57594872	+	1000	108.0	[14.415392]	[101]	[7.053912, 11.440731]	[76, 100]	[57594670]	[57594645, 57594669]
878_10167	chr15	90901531	90901931	+	1000	108.0	[9.437598]	[60]	[7.2932425]	[88]	[90901682]	[90901710]
878_10168	chr15	96067030	96067430	+	1000	108.0	[6.8294234]	[157]	[]	[]	[96067275]	[]
878_10169	chr16	8873577	8873977	+	1000	108.0	[8.439652]	[109]	[9.637802]	[108]	[8873783]	[8873782]
878_1017	chr14	75283941	75284341	+	1000	398.0	[7.215275]	[98]	[8.302869]	[97]	[75284138]	[75284137]
878_10170	chr16	46384694	46385094	+	1000	108.0	[]	[]	[8.194376]	[73]	[]	[46384865]
878_10171	chr16	50470685	50471085	+	1000	108.0	[12.102169]	[107]	[11.489543]	[106]	[50470889]	[50470888]
878_10172	chr16	52957208	52957608	+	1000	108.0	[12.432437]	[97]	[11.660454]	[96]	[52957403]	[52957402]
878_10173	chr16	71885228	71885628	+	1000	108.0	[8.194376]	[104]	[8.729034, 6.1770263]	[141, 150]	[71885430]	[71885467, 71885476]
878_10174	chr16	72554967	72555367	+	1000	108.0	[7.215275]	[115]	[8.302869]	[114]	[72555173]	[72555172]
878_10175	chr16	87060071	87060471	+	1000	108.0	[8.722458]	[100]	[11.303083]	[99]	[87060271]	[87060270]
878_10176	chr17	1098365	1098765	+	1000	108.0	[9.637802, 9.637802]	[102, 123]	[8.253193, 8.439652]	[101, 122]	[1098558, 1098579]	[1098557, 1098578]
878_10177	chr17	8186156	8186556	+	1000	108.0	[11.33721]	[113]	[9.82345]	[112]	[8186365]	[8186364]
878_10178	chr17	27569277	27569677	+	1000	108.0	[6.634887]	[136]	[6.630858]	[135]	[27569512]	[27569511]
878_10179	chr17	41838125	41838525	+	1000	108.0	[8.194376]	[102]	[]	[]	[41838319]	[]
878_10180	chr17	45073740	45074140	+	1000	108.0	[]	[]	[8.194376]	[120]	[]	[45073949]
878_10181	chr17	64231659	64232059	+	1000	108.0	[6.3877077]	[115]	[]	[]	[64231859]	[]
878_10183	chr17	81721730	81722130	+	1000	108.0	[9.82345]	[92]	[11.523669]	[91]	[81721921]	[81721920]
878_10185	chr18	48916362	48916762	+	1000	108.0	[11.440731]	[95]	[14.601852]	[94]	[48916557]	[48916556]
878_10186	chr18	62993702	62994102	+	1000	108.0	[9.245763]	[113]	[6.960019]	[112]	[62993906]	[62993905]
878_10187	chr19	35803638	35804038	+	1000	108.0	[8.068363]	[73]	[8.227008]	[72]	[35803807]	[35803806]
878_1019	chr18	3649899	3650299	+	1000	398.0	[12.102169]	[102]	[11.303083]	[101]	[3650101]	[3650100]
878_10190	chr2	9328074	9328474	+	1000	108.0	[11.9157095]	[117]	[11.489543]	[116]	[9328279]	[9328278]
878_10191	chr2	110709218	110709618	+	1000	108.0	[8.194376]	[114]	[]	[]	[110709424]	[]
878_10192	chr2	120016787	120017187	+	1000	108.0	[6.4931326, 11.222141]	[96, 104]	[11.440731]	[103]	[120016977, 120016985]	[120016984]
878_10193	chr2	177427945	177428345	+	1000	108.0	[6.773559]	[98]	[9.245763]	[97]	[177428142]	[177428141]
878_10194	chr2	237465538	237465938	+	1000	108.0	[]	[]	[6.7891088]	[95]	[]	[237465731]
878_10196	chr20	61120580	61120980	+	1000	108.0	[]	[]	[11.365501]	[113]	[]	[61120785]
878_10197	chr21	36277875	36278275	+	1000	108.0	[14.415392]	[101]	[8.061021]	[100]	[36278071]	[36278070]
878_10198	chr3	12720063	12720463	+	1000	108.0	[]	[]	[9.555131]	[127]	[]	[12720271]
878_10199	chr3	13262756	13263156	+	1000	108.0	[11.9157095]	[137]	[11.303083]	[136]	[13262974]	[13262973]
878_1020	chr2	25991583	25991983	+	1000	398.0	[11.381051, 6.3066726, 6.3066726]	[97, 105, 125]	[8.646096]	[96]	[25991780, 25991788, 25991808]	[25991779]
878_10200	chr3	43036895	43037295	+	1000	108.0	[11.9157095]	[101]	[11.489543]	[100]	[43037094]	[43037093]
878_10202	chr3	130820959	130821359	+	1000	108.0	[8.832556, 8.111438]	[101, 119]	[8.00134]	[100]	[130821146, 130821164]	[130821145]
878_10203	chr3	195003057	195003457	+	1000	108.0	[9.0522785]	[78]	[8.194376]	[98]	[195003235]	[195003255]
878_10205	chr4	16498963	16499363	+	1000	108.0	[11.489543]	[104]	[12.102169]	[103]	[16499165]	[16499164]
878_10206	chr4	72896466	72896866	+	1000	108.0	[11.9157095]	[98]	[11.489543]	[97]	[72896663]	[72896662]
878_10208	chr4	87218879	87219279	+	1000	108.0	[14.601852, 8.365287]	[97, 138]	[8.061021]	[96]	[87219065, 87219106]	[87219064]
878_10213	chr4	183618746	183619146	+	1000	108.0	[12.432437]	[98]	[8.280743]	[97]	[183618944]	[183618943]
878_10214	chr5	23756755	23757155	+	1000	108.0	[14.601852]	[116]	[6.417001, 11.440731]	[97, 115]	[23756962]	[23756943, 23756961]
878_10215	chr5	62130097	62130497	+	1000	108.0	[14.710344]	[101]	[11.330633]	[100]	[62130296]	[62130295]
878_10221	chr6	20292185	20292585	+	1000	108.0	[8.646096]	[109]	[8.00134]	[108]	[20292387]	[20292386]
878_10223	chr6	35240821	35241221	+	1000	108.0	[11.440731]	[109]	[11.222141]	[108]	[35241027]	[35241026]
878_10226	chr6	164346685	164347085	+	1000	108.0	[]	[]	[9.251139]	[101]	[]	[164346883]
878_10227	chr7	6074964	6075364	+	1000	108.0	[11.523669, 11.381051]	[93, 136]	[10.00991]	[92]	[6075157, 6075200]	[6075156]
878_10228	chr7	12588947	12589347	+	1000	108.0	[11.551961]	[130]	[8.976364]	[129]	[12589163]	[12589162]
878_10229	chr7	12826030	12826430	+	1000	108.0	[]	[]	[8.194376]	[100]	[]	[12826224]
878_10232	chr7	114372636	114373036	+	1000	108.0	[11.2542715]	[105]	[14.601852]	[104]	[114372836]	[114372835]
878_10234	chr7	132420516	132420916	+	1000	108.0	[]	[]	[8.194376]	[160]	[]	[132420748]
878_10235	chr7	134783674	134784074	+	1000	108.0	[6.740297]	[101]	[11.415177]	[100]	[134783875]	[134783874]
878_10237	chr8	30924983	30925383	+	1000	108.0	[7.4068704]	[128]	[]	[]	[30925205]	[]
878_10238	chr8	41858113	41858513	+	1000	108.0	[]	[]	[8.194376]	[88]	[]	[41858300]
878_10239	chr8	124866479	124866879	+	1000	108.0	[9.211636]	[130]	[9.211636]	[76]	[124866699]	[124866645]
878_1024	chr9	133160904	133161304	+	1000	398.0	[9.359631]	[92]	[9.741591]	[91]	[133161093]	[133161092]
878_10240	chr9	94298884	94299284	+	1000	108.0	[11.489543]	[120]	[9.741591, 11.9157095]	[95, 119]	[94299098]	[94299073, 94299097]
878_10241	chr9	107548313	107548713	+	1000	108.0	[8.007916]	[100]	[]	[]	[107548505]	[]
878_10242	chr9	127380508	127380908	+	1000	108.0	[8.194376]	[97]	[]	[]	[127380696]	[]
878_10247	chr1	8765225	8765625	+	1000	107.0	[11.9157095, 8.881368]	[106, 140]	[11.489543, 8.881368]	[105, 139]	[8765428, 8765462]	[8765427, 8765461]
878_10249	chr1	28993402	28993802	+	1000	107.0	[8.061021]	[99]	[14.415392]	[98]	[28993599]	[28993598]
878_1025	chr1	192805835	192806235	+	1000	397.0	[11.303083, 6.417001]	[103, 112]	[11.9157095]	[102]	[192806033, 192806042]	[192806032]
878_10256	chr1	198603155	198603555	+	1000	107.0	[11.303083]	[97]	[8.943787, 12.102169, 6.2533884]	[56, 96, 147]	[198603348]	[198603307, 198603347, 198603398]
878_10257	chr1	212249154	212249554	+	1000	107.0	[]	[]	[8.007916]	[104]	[]	[212249355]
878_10258	chr1	229935134	229935534	+	1000	107.0	[9.82345]	[105]	[11.523669]	[104]	[229935335]	[229935334]
878_10259	chr1	233665463	233665863	+	1000	107.0	[9.025176]	[101]	[8.865818]	[100]	[233665660]	[233665659]
878_1026	chr14	31048493	31048893	+	1000	397.0	[6.740297]	[99]	[11.415177]	[98]	[31048692]	[31048691]
878_10264	chr10	70303734	70304134	+	1000	107.0	[11.9157095]	[102]	[11.489543]	[101]	[70303931]	[70303930]
878_10265	chr10	79001044	79001444	+	1000	107.0	[12.102169]	[99]	[11.489543]	[98]	[79001242]	[79001241]
878_10267	chr11	778024	778424	+	1000	107.0	[9.359631]	[83]	[9.555131]	[82]	[778199]	[778198]
878_10270	chr11	59545020	59545420	+	1000	107.0	[8.253193]	[136]	[9.637802]	[135]	[59545236]	[59545235]
878_10271	chr11	82793754	82794154	+	1000	107.0	[]	[]	[8.194376]	[105]	[]	[82793959]
878_10272	chr11	87281500	87281900	+	1000	107.0	[6.8515267]	[110]	[]	[]	[87281709]	[]
878_10273	chr12	18810927	18811327	+	1000	107.0	[6.740297]	[96]	[11.415177, 6.751456]	[95, 120]	[18811121]	[18811120, 18811145]
878_10278	chr13	113210825	113211225	+	1000	107.0	[11.14578]	[104]	[11.14578]	[103]	[113211028]	[113211027]
878_10280	chr15	63487890	63488290	+	1000	107.0	[11.489543, 8.355885]	[107, 114]	[11.9157095, 8.227008]	[106, 113]	[63488088, 63488095]	[63488087, 63488094]
878_10283	chr16	27235423	27235823	+	1000	107.0	[9.633099]	[111]	[6.276478]	[110]	[27235623]	[27235622]
878_10288	chr16	85006609	85007009	+	1000	107.0	[11.473993]	[96]	[12.245977]	[95]	[85006802]	[85006801]
878_10289	chr16	88606346	88606746	+	1000	107.0	[14.601852]	[119]	[8.061021]	[118]	[88606557]	[88606556]
878_1029	chr6	73522849	73523249	+	1000	397.0	[11.303083]	[96]	[12.102169]	[95]	[73523045]	[73523044]
878_10290	chr17	2282397	2282797	+	1000	107.0	[]	[]	[8.194376]	[149]	[]	[2282623]
878_10291	chr17	2524118	2524518	+	1000	107.0	[9.82345]	[95]	[11.523669]	[94]	[2524313]	[2524312]
878_10293	chr17	16593716	16594116	+	1000	107.0	[8.439652, 8.439652, 8.439652, 9.824262]	[71, 89, 107, 124]	[6.444551, 9.637802, 9.637802, 8.439652]	[70, 88, 106, 123]	[16593878, 16593896, 16593914, 16593931]	[16593877, 16593895, 16593913, 16593930]
878_10294	chr17	27354559	27354959	+	1000	107.0	[6.415165]	[109]	[8.800273]	[108]	[27354767]	[27354766]
878_10296	chr17	43001862	43002262	+	1000	107.0	[9.82345]	[107]	[11.523669]	[106]	[43002047]	[43002046]
878_10297	chr17	75092924	75093324	+	1000	107.0	[8.280743]	[99]	[12.432437]	[98]	[75093118]	[75093117]
878_1030	chr7	73885843	73886243	+	1000	397.0	[7.215275]	[99]	[8.302869]	[98]	[73886042]	[73886041]
878_10300	chr18	2390147	2390547	+	1000	107.0	[8.194376]	[111]	[]	[]	[2390350]	[]
878_10301	chr18	9608306	9608706	+	1000	107.0	[6.3877077]	[109]	[]	[]	[9608508]	[]
878_10303	chr19	2049820	2050220	+	1000	107.0	[8.537604]	[107]	[8.111438]	[106]	[2050021]	[2050020]
878_10305	chr19	13366504	13366904	+	1000	107.0	[8.908765]	[102]	[9.684778]	[101]	[13366704]	[13366703]
878_10306	chr19	19049406	19049806	+	1000	107.0	[11.303083]	[95]	[11.9157095]	[94]	[19049597]	[19049596]
878_10308	chr19	38608983	38609383	+	1000	107.0	[11.523669]	[114]	[9.82345]	[113]	[38609192]	[38609191]
878_10309	chr19	44919942	44920342	+	1000	107.0	[12.102169]	[98]	[11.303083]	[97]	[44920136]	[44920135]
878_1031	chr7	108526107	108526507	+	1000	397.0	[8.355885]	[98]	[]	[]	[108526300]	[]
878_10310	chr19	48339571	48339971	+	1000	107.0	[11.523669]	[115]	[9.82345]	[114]	[48339786]	[48339785]
878_10311	chr2	39194684	39195084	+	1000	107.0	[12.102169]	[104]	[11.303083]	[103]	[39194884]	[39194883]
878_10312	chr2	58629749	58630149	+	1000	107.0	[12.102169]	[101]	[11.489543]	[100]	[58629949]	[58629948]
878_10313	chr2	70130677	70131077	+	1000	107.0	[]	[]	[8.194376]	[104]	[]	[70130881]
878_10314	chr2	107744933	107745333	+	1000	107.0	[11.381051]	[111]	[]	[]	[107745131]	[]
878_10315	chr2	130375273	130375673	+	1000	107.0	[9.245763]	[114]	[6.960019]	[113]	[130375479]	[130375478]
878_10316	chr2	145751059	145751459	+	1000	107.0	[9.359631]	[107]	[7.9249783, 6.5419445]	[62, 127]	[145751255]	[145751210, 145751275]
878_10317	chr2	203330405	203330805	+	1000	107.0	[9.824262]	[101]	[8.439652]	[100]	[203330602]	[203330601]
878_10318	chr2	236177517	236177917	+	1000	107.0	[9.637802]	[96]	[8.439652]	[95]	[236177710]	[236177709]
878_10319	chr20	36118371	36118771	+	1000	107.0	[11.9157095]	[102]	[11.489543]	[101]	[36118571]	[36118570]
878_1032	chr1	26284270	26284670	+	1000	396.0	[11.330633]	[96]	[14.710344]	[95]	[26284466]	[26284465]
878_10321	chr20	51950920	51951320	+	1000	107.0	[11.330633]	[97]	[14.710344]	[96]	[51951117]	[51951116]
878_10326	chr22	31665537	31665937	+	1000	107.0	[9.446639]	[119]	[6.276478]	[118]	[31665755]	[31665754]
878_10327	chr22	39392327	39392727	+	1000	107.0	[6.960019]	[113]	[9.245763]	[112]	[39392531]	[39392530]
878_10329	chr3	14633860	14634260	+	1000	107.0	[6.6367755, 8.00134]	[65, 125]	[6.6367755, 8.646096]	[64, 124]	[14634013, 14634073]	[14634012, 14634072]
878_10331	chr3	47481748	47482148	+	1000	107.0	[8.722458]	[151]	[8.109833]	[150]	[47481983]	[47481982]
878_10332	chr3	108099997	108100397	+	1000	107.0	[9.105787]	[129]	[]	[]	[108100216]	[]
878_10335	chr3	171803053	171803453	+	1000	107.0	[8.646096]	[101]	[11.381051]	[100]	[171803247]	[171803246]
878_10338	chr4	145049206	145049606	+	1000	107.0	[8.194376]	[131]	[]	[]	[145049422]	[]
878_10339	chr4	174427552	174427952	+	1000	107.0	[10.00991]	[103]	[11.523669]	[102]	[174427752]	[174427751]
878_1034	chr2	69634196	69634596	+	1000	396.0	[11.415177]	[104]	[6.740297]	[103]	[69634398]	[69634397]
878_10341	chr5	10335727	10336127	+	1000	107.0	[8.194376]	[99]	[]	[]	[10335925]	[]
878_10344	chr5	73672090	73672490	+	1000	107.0	[]	[]	[6.250924]	[90]	[]	[73672279]
878_10347	chr5	159230670	159231070	+	1000	107.0	[8.194376, 6.8294234]	[96, 140]	[8.116408]	[69]	[159230866, 159230910]	[159230839]
