#PeakID(python identify_motif.py ./ENCODE_processed_files/GATA2_idr.fa GATA2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
946_10334	chr2	134195346	134195746	+	1000	76.0	[9.93833]	[89]	[]	[]	[134195532]	[]
946_10336	chr2	169034254	169034654	+	1000	76.0	[]	[]	[12.699877]	[126]	[]	[169034465]
946_10337	chr2	190352901	190353301	+	1000	76.0	[12.699877]	[131]	[]	[]	[190353110]	[]
946_10338	chr2	219498209	219498609	+	1000	76.0	[]	[]	[10.555019]	[149]	[]	[219498441]
946_10343	chr21	39184362	39184762	+	1000	76.0	[]	[]	[9.93833]	[136]	[]	[39184591]
946_1035	chr10	49300483	49300883	+	1000	240.0	[8.250492]	[131]	[]	[]	[49300706]	[]
946_10364	chr22	20933757	20934157	+	1000	76.0	[7.000952]	[172]	[7.242745]	[97]	[20933994]	[20933919]
946_10378	chr22	22041909	22042309	+	1000	76.0	[]	[]	[9.93833, 9.387603]	[111, 133]	[]	[22042113, 22042135]
946_1039	chr19	39971012	39971412	+	1000	240.0	[]	[]	[7.6269035]	[98]	[]	[39971210]
946_10393	chr3	9955130	9955530	+	1000	76.0	[]	[]	[8.065871]	[100]	[]	[9955324]
946_10394	chr3	10292726	10293126	+	1000	76.0	[9.722767]	[124]	[12.699877]	[81]	[10292931]	[10292888]
946_10399	chr3	71542665	71543065	+	1000	76.0	[]	[]	[9.722767]	[102]	[]	[71542863]
946_1040	chr2	112055122	112055522	+	1000	240.0	[7.6269035]	[127]	[]	[]	[112055336]	[]
946_10402	chr3	146496664	146497064	+	1000	76.0	[]	[]	[12.699877]	[103]	[]	[146496861]
946_10415	chr5	39187038	39187438	+	1000	76.0	[7.7934723, 7.7934723]	[109, 137]	[]	[]	[39187214, 39187242]	[]
946_1042	chr4	144019199	144019599	+	1000	240.0	[9.722767]	[107]	[]	[]	[144019378]	[]
946_10420	chr5	128038646	128039046	+	1000	76.0	[]	[]	[12.699877]	[97]	[]	[128038841]
946_10428	chr6	16002300	16002700	+	1000	76.0	[12.699877]	[145]	[]	[]	[16002539]	[]
946_1043	chr5	72597572	72597972	+	1000	240.0	[12.699877]	[79]	[8.174054]	[128]	[72597734]	[72597783]
946_10435	chr6	36766072	36766472	+	1000	76.0	[7.6269035]	[77]	[]	[]	[36766244]	[]
946_10436	chr6	50815763	50816163	+	1000	76.0	[]	[]	[7.5779095]	[145]	[]	[50816003]
946_10438	chr6	100257879	100258279	+	1000	76.0	[7.242745]	[104]	[]	[]	[100258083]	[]
946_1044	chr6	84062518	84062918	+	1000	240.0	[10.555019]	[147]	[]	[]	[84062746]	[]
946_10450	chr7	108037209	108037609	+	1000	76.0	[]	[]	[12.699877]	[60]	[]	[108037361]
946_10452	chr7	116465784	116466184	+	1000	76.0	[12.699877]	[88]	[]	[]	[116465967]	[]
946_10455	chr7	129969946	129970346	+	1000	76.0	[9.387603]	[222]	[7.373495]	[181]	[129970185]	[129970144]
946_10460	chr8	55961320	55961720	+	1000	76.0	[9.93833, 10.555019]	[148, 173]	[]	[]	[55961536, 55961561]	[]
946_10462	chr8	80020469	80020869	+	1000	76.0	[7.5779095]	[154]	[]	[]	[80020694]	[]
946_1047	chr1	234867233	234867633	+	1000	239.0	[8.065871]	[95]	[]	[]	[234867418]	[]
946_10475	chr9	136944825	136945225	+	1000	76.0	[]	[]	[12.699877, 9.722767]	[83, 113]	[]	[136944999, 136945029]
946_10477	chrX	11381398	11381798	+	1000	76.0	[8.174054]	[87]	[]	[]	[11381585]	[]
946_10481	chr1	15456498	15456898	+	1000	75.0	[8.567237]	[134]	[10.555019]	[107]	[15456713]	[15456686]
946_10485	chr1	20187842	20188242	+	1000	75.0	[12.699877]	[126]	[]	[]	[20188048]	[]
946_10498	chr1	111476708	111477108	+	1000	75.0	[7.6269035]	[86]	[]	[]	[111476883]	[]
946_1050	chr17	75267573	75267973	+	1000	239.0	[]	[]	[9.93833]	[103]	[]	[75267769]
946_10501	chr1	151013533	151013933	+	1000	75.0	[12.699877]	[167]	[]	[]	[151013766]	[]
946_10504	chr1	168372984	168373384	+	1000	75.0	[]	[]	[8.250492, 9.93833]	[97, 129]	[]	[168373135, 168373167]
946_10508	chr1	206672015	206672415	+	1000	75.0	[7.6269035]	[127]	[9.387603]	[94]	[206672226]	[206672193]
946_1051	chr18	22093931	22094331	+	1000	239.0	[]	[]	[12.699877]	[130]	[]	[22094151]
946_10515	chr10	7383509	7383909	+	1000	75.0	[7.000952]	[173]	[]	[]	[7383755]	[]
946_10517	chr10	30160603	30161003	+	1000	75.0	[9.722767, 9.387603, 12.699877]	[83, 113, 118]	[]	[]	[30160764, 30160794, 30160799]	[]
946_10531	chr11	67382584	67382984	+	1000	75.0	[12.699877]	[109]	[]	[]	[67382788]	[]
946_10532	chr11	70335516	70335916	+	1000	75.0	[]	[]	[12.699877, 9.722767]	[76, 90]	[]	[70335688, 70335702]
946_10534	chr11	110317462	110317862	+	1000	75.0	[7.7934723]	[156]	[9.387603]	[73]	[110317705]	[110317622]
946_10550	chr13	110509510	110509910	+	1000	75.0	[]	[]	[12.699877]	[122]	[]	[110509712]
946_10555	chr14	69701870	69702270	+	1000	75.0	[12.699877]	[103]	[]	[]	[69702067]	[]
946_10559	chr14	104577836	104578236	+	1000	75.0	[12.699877]	[92]	[]	[]	[104578025]	[]
946_1056	chr17	8532007	8532407	+	1000	238.0	[7.373495]	[133]	[12.699877]	[115]	[8532238]	[8532220]
946_10566	chr15	78564950	78565350	+	1000	75.0	[9.722767]	[134]	[]	[]	[78565172]	[]
946_10572	chr16	55712221	55712621	+	1000	75.0	[]	[]	[7.242745]	[144]	[]	[55712446]
946_10573	chr16	57417051	57417451	+	1000	75.0	[]	[]	[7.7934723]	[202]	[]	[57417301]
946_10575	chr16	69089032	69089432	+	1000	75.0	[]	[]	[10.555019]	[137]	[]	[69089261]
946_10584	chr17	76161841	76162241	+	1000	75.0	[]	[]	[12.699877]	[172]	[]	[76162090]
946_10588	chr18	3187296	3187696	+	1000	75.0	[]	[]	[9.722767]	[92]	[]	[3187469]
946_10591	chr18	35507685	35508085	+	1000	75.0	[9.387603]	[95]	[]	[]	[35507880]	[]
946_10599	chr19	13079256	13079656	+	1000	75.0	[]	[]	[7.6269035]	[74]	[]	[13079408]
946_10605	chr2	8004208	8004608	+	1000	75.0	[7.7934723]	[82]	[]	[]	[8004380]	[]
946_10638	chr22	19933364	19933764	+	1000	75.0	[12.699877]	[174]	[]	[]	[19933565]	[]
946_10644	chr22	20875214	20875614	+	1000	75.0	[]	[]	[8.174054]	[214]	[]	[20875444]
946_10648	chr22	21761172	21761572	+	1000	75.0	[7.169444]	[117]	[]	[]	[21761385]	[]
946_10650	chr22	21825595	21825995	+	1000	75.0	[9.387603]	[170]	[]	[]	[21825831]	[]
946_1066	chr19	6060936	6061336	+	1000	237.0	[7.6269035]	[159]	[]	[]	[6061177]	[]
946_10667	chr22	46193984	46194384	+	1000	75.0	[12.699877]	[74]	[]	[]	[46194154]	[]
946_10674	chr3	72744314	72744714	+	1000	75.0	[12.699877, 9.93833]	[69, 120]	[]	[]	[72744475, 72744526]	[]
946_10676	chr3	150733428	150733828	+	1000	75.0	[10.555019]	[105]	[]	[]	[150733628]	[]
946_10678	chr3	171156531	171156931	+	1000	75.0	[]	[]	[12.699877]	[111]	[]	[171156727]
946_10679	chr3	177358250	177358650	+	1000	75.0	[9.93833]	[91]	[]	[]	[177358441]	[]
946_1068	chr3	196108263	196108663	+	1000	237.0	[]	[]	[12.699877]	[130]	[]	[196108475]
946_10680	chr3	179615441	179615841	+	1000	75.0	[]	[]	[9.93833]	[82]	[]	[179615618]
946_10681	chr4	996057	996457	+	1000	75.0	[]	[]	[12.699877]	[116]	[]	[996268]
946_10692	chr5	96661723	96662123	+	1000	75.0	[12.699877]	[99]	[]	[]	[96661902]	[]
946_10694	chr5	138331481	138331881	+	1000	75.0	[]	[]	[7.6269035]	[61]	[]	[138331639]
946_10699	chr6	1702531	1702931	+	1000	75.0	[]	[]	[9.387603]	[231]	[]	[1702781]
946_107	chr1	26378441	26378841	+	1000	532.0	[12.699877]	[76]	[]	[]	[26378615]	[]
946_10718	chr7	1461348	1461748	+	1000	75.0	[10.555019]	[141]	[]	[]	[1461585]	[]
946_10720	chr7	13988641	13989041	+	1000	75.0	[8.567237]	[112]	[]	[]	[13988814]	[]
946_10728	chr7	104982377	104982777	+	1000	75.0	[]	[]	[9.722767]	[84]	[]	[104982553]
946_10729	chr7	108090723	108091123	+	1000	75.0	[]	[]	[12.699877]	[156]	[]	[108090957]
946_10731	chr7	128827125	128827525	+	1000	75.0	[]	[]	[9.93833, 7.6269035]	[60, 152]	[]	[128827281, 128827373]
946_10738	chr8	9108854	9109254	+	1000	75.0	[7.5779095, 9.722767]	[135, 178]	[]	[]	[9109060, 9109103]	[]
946_10747	chr9	38038859	38039259	+	1000	75.0	[8.250492, 10.555019]	[93, 100]	[]	[]	[38039024, 38039031]	[]
946_1075	chr16	75043081	75043481	+	1000	236.0	[7.7934723, 7.242745, 9.93833]	[68, 112, 136]	[]	[]	[75043248, 75043292, 75043316]	[]
946_10753	chrUn_GL000219v1	42563	42963	+	1000	75.0	[]	[]	[8.065871]	[86]	[]	[42746]
946_10754	chrX	107577930	107578330	+	1000	75.0	[]	[]	[9.93833]	[135]	[]	[107578160]
946_10757	chr1	842864	843264	+	1000	74.0	[8.567237]	[92]	[]	[]	[843056]	[]
946_1076	chr2	72901417	72901817	+	1000	236.0	[]	[]	[9.722767, 7.000952]	[117, 126]	[]	[72901631, 72901640]
946_10763	chr1	25695193	25695593	+	1000	74.0	[]	[]	[12.699877]	[130]	[]	[25695410]
946_1077	chr2	226835313	226835713	+	1000	236.0	[]	[]	[8.250492]	[75]	[]	[226835485]
946_10773	chr1	52424265	52424665	+	1000	74.0	[7.5779095]	[91]	[]	[]	[52424451]	[]
946_10779	chr1	109282859	109283259	+	1000	74.0	[12.699877]	[185]	[]	[]	[109283097]	[]
946_10781	chr1	143246801	143247201	+	1000	74.0	[]	[]	[7.242745]	[198]	[]	[143247005]
946_10786	chr1	180815240	180815640	+	1000	74.0	[7.373495, 9.93833]	[106, 110]	[9.722767]	[134]	[180815429, 180815433]	[180815457]
946_10792	chr1	205267299	205267699	+	1000	74.0	[]	[]	[8.250492]	[175]	[]	[205267549]
946_108	chr19	13102652	13103052	+	1000	532.0	[]	[]	[12.699877, 10.555019]	[102, 131]	[]	[13102851, 13102880]
946_1081	chr7	138243489	138243889	+	1000	236.0	[]	[]	[7.7934723]	[128]	[]	[138243689]
946_10811	chr10	80443507	80443907	+	1000	74.0	[]	[]	[9.93833]	[134]	[]	[80443731]
946_10815	chr11	45995422	45995822	+	1000	74.0	[]	[]	[10.555019]	[143]	[]	[45995651]
946_10819	chr11	74205195	74205595	+	1000	74.0	[]	[]	[8.174054]	[155]	[]	[74205440]
946_1083	chr12	108855831	108856231	+	1000	235.0	[7.5779095]	[105]	[]	[]	[108856028]	[]
946_10830	chr12	64456995	64457395	+	1000	74.0	[]	[]	[12.699877]	[97]	[]	[64457190]
946_10831	chr12	92075362	92075762	+	1000	74.0	[]	[]	[9.722767]	[119]	[]	[92075580]
946_10838	chr13	40974646	40975046	+	1000	74.0	[]	[]	[12.699877]	[102]	[]	[40974820]
946_10839	chr13	50189399	50189799	+	1000	74.0	[7.7934723]	[77]	[]	[]	[50189574]	[]
946_1084	chr12	111405207	111405607	+	1000	235.0	[]	[]	[10.555019]	[159]	[]	[111405447]
946_10841	chr14	22700177	22700577	+	1000	74.0	[9.93833, 7.7934723]	[103, 175]	[]	[]	[22700343, 22700415]	[]
946_10844	chr15	29067957	29068357	+	1000	74.0	[]	[]	[7.7934723]	[150]	[]	[29068184]
946_10857	chr16	84884477	84884877	+	1000	74.0	[]	[]	[7.5779095]	[107]	[]	[84884678]
946_10859	chr16	87956170	87956570	+	1000	74.0	[]	[]	[9.93833]	[115]	[]	[87956364]
946_10862	chr17	31052508	31052908	+	1000	74.0	[]	[]	[8.567237]	[121]	[]	[31052720]
946_10865	chr17	42632937	42633337	+	1000	74.0	[7.7934723, 7.373495]	[117, 128]	[]	[]	[42633124, 42633135]	[]
946_1087	chr2	54589536	54589936	+	1000	235.0	[7.5779095]	[120]	[8.065871, 9.722767]	[71, 100]	[54589755]	[54589706, 54589735]
946_10880	chr18	50358805	50359205	+	1000	74.0	[]	[]	[9.93833]	[124]	[]	[50359014]
946_10881	chr18	62664018	62664418	+	1000	74.0	[]	[]	[9.722767]	[66]	[]	[62664177]
946_10887	chr19	19225152	19225552	+	1000	74.0	[]	[]	[10.555019]	[139]	[]	[19225379]
946_1089	chr3	16304619	16305019	+	1000	235.0	[12.699877]	[100]	[8.174054]	[146]	[16304808]	[16304854]
946_10895	chr2	16413269	16413669	+	1000	74.0	[]	[]	[12.699877]	[121]	[]	[16413467]
946_109	chr10	84293670	84294070	+	1000	530.0	[8.065871]	[78]	[9.93833]	[139]	[84293840]	[84293901]
946_10900	chr2	96871155	96871555	+	1000	74.0	[]	[]	[9.387603]	[117]	[]	[96871336]
946_10901	chr2	119546361	119546761	+	1000	74.0	[12.699877]	[68]	[]	[]	[119546519]	[]
946_10902	chr2	121627535	121627935	+	1000	74.0	[]	[]	[12.699877]	[101]	[]	[121627728]
946_10903	chr2	137964570	137964970	+	1000	74.0	[]	[]	[8.567237]	[89]	[]	[137964725]
946_1091	chr7	6023957	6024357	+	1000	235.0	[9.93833]	[132]	[9.93833]	[82]	[6024182]	[6024132]
946_10912	chr20	53917404	53917804	+	1000	74.0	[]	[]	[12.699877]	[148]	[]	[53917612]
946_10927	chr22	20199810	20200210	+	1000	74.0	[12.699877]	[143]	[]	[]	[20200045]	[]
946_1094	chr17	59684973	59685373	+	1000	234.0	[12.699877]	[93]	[]	[]	[59685156]	[]
946_10946	chr3	19888418	19888818	+	1000	74.0	[9.93833]	[116]	[]	[]	[19888628]	[]
946_10948	chr3	37922841	37923241	+	1000	74.0	[12.699877]	[100]	[]	[]	[37922994]	[]
946_1095	chr18	35458904	35459304	+	1000	234.0	[8.250492]	[77]	[]	[]	[35459074]	[]
946_10952	chr3	67017197	67017597	+	1000	74.0	[]	[]	[10.555019]	[70]	[]	[67017353]
946_10960	chr4	53366022	53366422	+	1000	74.0	[]	[]	[9.387603]	[184]	[]	[53366269]
946_10964	chr4	185359728	185360128	+	1000	74.0	[7.7934723]	[103]	[]	[]	[185359918]	[]
946_10976	chr6	7313260	7313660	+	1000	74.0	[]	[]	[7.5779095]	[131]	[]	[7313489]
946_1099	chr5	139709175	139709575	+	1000	234.0	[12.699877]	[129]	[]	[]	[139709402]	[]
946_10991	chr6	122712320	122712720	+	1000	74.0	[7.5779095]	[106]	[12.699877]	[92]	[122712508]	[122712494]
946_10998	chr6	158072007	158072407	+	1000	74.0	[]	[]	[12.699877]	[131]	[]	[158072221]
946_10999	chr6	158849847	158850247	+	1000	74.0	[9.93833]	[148]	[]	[]	[158850061]	[]
946_110	chr7	16268947	16269347	+	1000	530.0	[9.93833]	[115]	[]	[]	[16269156]	[]
946_11004	chr7	44291408	44291808	+	1000	74.0	[10.555019]	[63]	[]	[]	[44291565]	[]
946_11009	chr7	106979157	106979557	+	1000	74.0	[]	[]	[12.699877]	[137]	[]	[106979364]
946_11014	chr7	137953636	137954036	+	1000	74.0	[]	[]	[9.722767]	[76]	[]	[137953798]
946_11016	chr7	141593068	141593468	+	1000	74.0	[12.699877]	[70]	[]	[]	[141593221]	[]
946_1102	chr8	41797495	41797895	+	1000	234.0	[8.250492]	[76]	[]	[]	[41797660]	[]
946_11021	chr8	28365636	28366036	+	1000	74.0	[]	[]	[7.083552]	[127]	[]	[28365828]
946_11025	chr9	75027554	75027954	+	1000	74.0	[8.065871]	[129]	[]	[]	[75027762]	[]
946_11028	chr9	98886776	98887176	+	1000	74.0	[12.699877]	[90]	[]	[]	[98886938]	[]
946_1103	chr9	132984765	132985165	+	1000	234.0	[8.065871, 10.555019]	[72, 110]	[]	[]	[132984926, 132984964]	[]
946_11031	chr9	116437589	116437989	+	1000	74.0	[9.93833]	[103]	[]	[]	[116437782]	[]
946_11040	chrX	152157050	152157450	+	1000	74.0	[7.5779095]	[133]	[]	[]	[152157253]	[]
946_11049	chr1	20476150	20476550	+	1000	73.0	[]	[]	[12.699877]	[122]	[]	[20476372]
946_1105	chr1	41882031	41882431	+	1000	233.0	[]	[]	[9.93833]	[127]	[]	[41882252]
946_11056	chr1	44632674	44633074	+	1000	73.0	[7.5779095]	[110]	[]	[]	[44632868]	[]
946_11059	chr1	48530705	48531105	+	1000	73.0	[8.065871]	[88]	[7.6269035]	[118]	[48530874]	[48530904]
946_11060	chr1	51423349	51423749	+	1000	73.0	[]	[]	[9.387603]	[168]	[]	[51423596]
946_11066	chr1	168342668	168343068	+	1000	73.0	[9.93833]	[101]	[]	[]	[168342837]	[]
946_1107	chr16	25216763	25217163	+	1000	233.0	[]	[]	[12.699877]	[104]	[]	[25216966]
946_11071	chr1	206455727	206456127	+	1000	73.0	[8.065871]	[81]	[]	[]	[206455898]	[]
946_11074	chr1	211323428	211323828	+	1000	73.0	[]	[]	[9.387603]	[122]	[]	[211323608]
946_11075	chr1	211372458	211372858	+	1000	73.0	[7.083552]	[129]	[]	[]	[211372678]	[]
946_11078	chr1	235090689	235091089	+	1000	73.0	[7.7934723]	[96]	[]	[]	[235090877]	[]
946_11088	chr10	124946901	124947301	+	1000	73.0	[9.387603, 7.000952]	[153, 158]	[7.000952]	[142]	[124947142, 124947147]	[124947131]
946_1109	chr2	26355317	26355717	+	1000	233.0	[8.174054]	[100]	[]	[]	[26355515]	[]
946_11091	chr11	3871181	3871581	+	1000	73.0	[12.699877]	[103]	[]	[]	[3871374]	[]
946_11094	chr11	12853619	12854019	+	1000	73.0	[7.5779095]	[88]	[7.242745]	[81]	[12853794]	[12853787]
946_11099	chr11	46281532	46281932	+	1000	73.0	[]	[]	[8.065871]	[119]	[]	[46281740]
946_11103	chr11	62012550	62012950	+	1000	73.0	[]	[]	[9.93833]	[118]	[]	[62012767]
946_11106	chr11	73792267	73792667	+	1000	73.0	[]	[]	[12.699877]	[129]	[]	[73792485]
946_11112	chr11	122755412	122755812	+	577	73.0	[12.699877]	[122]	[]	[]	[122755612]	[]
946_11115	chr12	23884899	23885299	+	1000	73.0	[]	[]	[7.5779095]	[131]	[]	[23885120]
946_11116	chr12	24069868	24070268	+	1000	73.0	[8.065871]	[137]	[]	[]	[24070099]	[]
946_11125	chr13	93290526	93290926	+	1000	73.0	[9.93833]	[166]	[7.5779095]	[159]	[93290775]	[93290768]
946_11136	chr15	34850147	34850547	+	1000	73.0	[7.242745]	[100]	[]	[]	[34850342]	[]
946_11139	chr15	64507339	64507739	+	1000	73.0	[10.555019]	[88]	[]	[]	[64507520]	[]
946_11145	chr16	50279172	50279572	+	1000	73.0	[10.555019]	[109]	[]	[]	[50279349]	[]
946_11151	chr17	41938127	41938527	+	1000	73.0	[8.174054]	[99]	[]	[]	[41938321]	[]
946_11154	chr17	57432567	57432967	+	1000	73.0	[12.699877]	[130]	[]	[]	[57432796]	[]
946_11171	chr19	14537293	14537693	+	1000	73.0	[]	[]	[10.555019]	[126]	[]	[14537507]
