#PeakID(python identify_motif.py ./ENCODE_processed_files/CTCF_idr.fa CTCF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
322_1005	chr15	74127491	74127891	+	1000	421.0	[19.828098]	[109]	[10.126082]	[68]	[74127697]	[74127656]
322_10053	chr9	134698497	134698897	+	1000	235.0	[17.765518]	[98]	[]	[]	[134698690]	[]
322_10054	chr1	3483848	3484248	+	1000	234.0	[6.392591]	[95]	[14.398463]	[95]	[3484039]	[3484039]
322_10056	chr1	26190364	26190764	+	1000	234.0	[12.708608]	[97]	[]	[]	[26190559]	[]
322_10061	chr10	60032773	60033173	+	1000	234.0	[]	[]	[13.776009]	[94]	[]	[60032963]
322_10062	chr10	62038624	62039024	+	1000	234.0	[15.218099]	[111]	[]	[]	[62038829]	[]
322_10064	chr10	119750607	119751007	+	1000	234.0	[8.347896]	[90]	[]	[]	[119750795]	[]
322_10065	chr10	128011316	128011716	+	1000	234.0	[]	[]	[19.680458]	[101]	[]	[128011508]
322_10070	chr11	95069653	95070053	+	1000	234.0	[17.955685]	[98]	[4.7303557]	[87]	[95069850]	[95069839]
322_10071	chr11	116835978	116836378	+	1000	234.0	[]	[]	[5.281127, 6.0531316, 15.964752, 10.455411, 5.119241]	[73, 75, 103, 106, 139]	[]	[116836149, 116836151, 116836179, 116836182, 116836215]
322_10074	chr13	28636709	28637109	+	1000	234.0	[]	[]	[6.653759]	[91]	[]	[28636897]
322_10075	chr13	49847947	49848347	+	1000	234.0	[8.048951]	[103]	[20.81006]	[102]	[49848150]	[49848149]
322_10076	chr13	110819430	110819830	+	1000	234.0	[6.3957047]	[73]	[17.784086]	[92]	[110819600]	[110819619]
322_10078	chr14	32252075	32252475	+	1000	234.0	[]	[]	[11.347656]	[102]	[]	[32252267]
322_10079	chr14	35687306	35687706	+	1000	234.0	[7.9227023]	[105]	[13.700625]	[105]	[35687510]	[35687510]
322_10080	chr14	69129249	69129649	+	1000	234.0	[17.623339]	[99]	[]	[]	[69129440]	[]
322_10081	chr15	40782615	40783015	+	1000	234.0	[]	[]	[16.19467]	[91]	[]	[40782805]
322_10083	chr15	90361991	90362391	+	1000	234.0	[10.129559]	[106]	[]	[]	[90362192]	[]
322_10088	chr17	39174908	39175308	+	1000	234.0	[4.456646]	[104]	[19.53561]	[104]	[39175095]	[39175095]
322_10089	chr17	43520553	43520953	+	1000	234.0	[4.650391, 11.662862]	[64, 96]	[11.234774]	[114]	[43520709, 43520741]	[43520759]
322_1009	chr22	22409288	22409688	+	1000	421.0	[18.67334]	[98]	[]	[]	[22409485]	[]
322_10093	chr18	37385831	37386231	+	1000	234.0	[19.43141, 5.444385, 5.0186157]	[98, 101, 151]	[8.632569]	[98]	[37386025, 37386028, 37386078]	[37386025]
322_10098	chr19	49677859	49678259	+	1000	234.0	[6.9955125]	[58]	[18.689602]	[116]	[49678015]	[49678073]
322_10099	chr19	58155030	58155430	+	1000	234.0	[]	[]	[7.623607, 17.357954]	[77, 108]	[]	[58155202, 58155233]
322_101	chr16	86563789	86564189	+	1000	667.0	[14.172936]	[134]	[]	[]	[86564019]	[]
322_10103	chr2	105576317	105576717	+	1000	234.0	[13.854226]	[95]	[]	[]	[105576512]	[]
322_10104	chr2	120175004	120175404	+	1000	234.0	[]	[]	[12.502102, 7.269396]	[101, 146]	[]	[120175204, 120175249]
322_10106	chr2	231227295	231227695	+	1000	234.0	[12.082745]	[102]	[7.0922728]	[66]	[231227490]	[231227454]
322_10107	chr20	739001	739401	+	1000	234.0	[]	[]	[16.092426]	[93]	[]	[739194]
322_10111	chr3	17233347	17233747	+	1000	234.0	[]	[]	[10.199846]	[99]	[]	[17233540]
322_10113	chr4	683941	684341	+	1000	234.0	[6.216198, 16.724531]	[105, 108]	[]	[]	[684140, 684143]	[]
322_10116	chr4	47933821	47934221	+	1000	234.0	[6.1338024]	[84]	[12.927508]	[84]	[47934002]	[47934002]
322_10118	chr4	103046658	103047058	+	1000	234.0	[11.050446]	[103]	[]	[]	[103046858]	[]
322_1012	chr1	204363638	204364038	+	1000	420.0	[]	[]	[11.69373]	[108]	[]	[204363837]
322_10120	chr4	189792998	189793398	+	1000	234.0	[]	[]	[19.75635]	[108]	[]	[189793198]
322_10121	chr5	430935	431335	+	1000	234.0	[7.0052857]	[99]	[13.577477]	[99]	[431124]	[431124]
322_10124	chr5	80082785	80083185	+	1000	234.0	[]	[]	[17.617826]	[109]	[]	[80082986]
322_10126	chr5	151740611	151741011	+	1000	234.0	[]	[]	[20.87089]	[112]	[]	[151740817]
322_10127	chr5	164475327	164475727	+	1000	234.0	[]	[]	[8.734954]	[110]	[]	[164475533]
322_10129	chr6	8219356	8219756	+	1000	234.0	[7.2060785]	[91]	[18.531948]	[91]	[8219544]	[8219544]
322_10130	chr6	32700497	32700897	+	1000	234.0	[]	[]	[12.034608, 6.127723]	[91, 94]	[]	[32700686, 32700689]
322_10132	chr6	133973369	133973769	+	1000	234.0	[14.798123]	[96]	[]	[]	[133973563]	[]
322_10134	chr7	30164467	30164867	+	1000	234.0	[11.922294]	[105]	[6.067801]	[104]	[30164664]	[30164663]
322_10136	chr7	97835550	97835950	+	1000	234.0	[7.078224]	[92]	[18.211758]	[92]	[97835738]	[97835738]
322_10137	chr7	107201846	107202246	+	1000	234.0	[12.129048]	[96]	[8.233639]	[60]	[107202042]	[107202006]
322_10139	chr8	26690662	26691062	+	1000	234.0	[21.47597]	[104]	[]	[]	[26690865]	[]
322_10140	chr8	65761831	65762231	+	1000	234.0	[13.525568]	[85]	[4.6491976]	[64]	[65762016]	[65761995]
322_10141	chr8	125431997	125432397	+	1000	234.0	[]	[]	[16.476574]	[106]	[]	[125432202]
322_10146	chrX	38327461	38327861	+	1000	234.0	[6.0580583]	[60]	[17.525423]	[110]	[38327615]	[38327665]
322_10147	chrX	153554783	153555183	+	1000	234.0	[16.242184]	[86]	[10.407457]	[86]	[153554965]	[153554965]
322_1015	chr2	24164391	24164791	+	1000	420.0	[6.992581, 6.992581]	[61, 90]	[17.871435, 17.871435, 18.581783]	[61, 90, 119]	[24164548, 24164577]	[24164548, 24164577, 24164606]
322_10150	chr1	75991508	75991908	+	1000	233.0	[19.717127]	[91]	[]	[]	[75991696]	[]
322_10152	chr1	147640734	147641134	+	1000	233.0	[21.673029, 5.1940985, 4.8561754]	[94, 110, 152]	[]	[]	[147640922, 147640938, 147640980]	[]
322_10154	chr1	201149395	201149795	+	1000	233.0	[16.119509]	[90]	[]	[]	[201149580]	[]
322_10157	chr10	97914736	97915136	+	1000	233.0	[21.757187]	[88]	[]	[]	[97914921]	[]
322_1016	chr3	128170906	128171306	+	1000	420.0	[7.385625, 11.266793]	[64, 117]	[]	[]	[128171059, 128171112]	[]
322_10161	chr12	7018784	7019184	+	1000	233.0	[]	[]	[11.495045]	[87]	[]	[7018971]
322_10162	chr12	32365457	32365857	+	1000	233.0	[8.555486]	[92]	[]	[]	[32365639]	[]
322_10163	chr12	49296513	49296913	+	1000	233.0	[9.761419]	[75]	[17.908981]	[75]	[49296684]	[49296684]
322_10164	chr12	56634955	56635355	+	1000	233.0	[]	[]	[11.792384]	[105]	[]	[56635154]
322_10165	chr12	57456117	57456517	+	1000	233.0	[]	[]	[18.124453]	[99]	[]	[57456312]
322_10167	chr12	102769554	102769954	+	1000	233.0	[4.55825]	[99]	[12.211043]	[98]	[102769749]	[102769748]
322_1017	chr5	141692046	141692446	+	1000	420.0	[5.7180724, 8.1522875, 20.516113]	[55, 67, 95]	[]	[]	[141692198, 141692210, 141692238]	[]
322_10172	chr13	97109886	97110286	+	1000	233.0	[19.552467]	[103]	[]	[]	[97110077]	[]
322_10173	chr14	61837578	61837978	+	1000	233.0	[]	[]	[20.350471]	[107]	[]	[61837781]
322_10174	chr14	74860879	74861279	+	1000	233.0	[19.253206]	[108]	[]	[]	[74861085]	[]
322_10181	chr15	83011503	83011903	+	1000	233.0	[8.311155]	[92]	[9.841096]	[102]	[83011693]	[83011703]
322_10182	chr15	92097577	92097977	+	1000	233.0	[15.913]	[90]	[]	[]	[92097760]	[]
322_10188	chr17	32755071	32755471	+	1000	233.0	[]	[]	[11.614491]	[102]	[]	[32755270]
322_10189	chr17	57597799	57598199	+	1000	233.0	[19.869106]	[104]	[]	[]	[57598001]	[]
322_1019	chr7	128398537	128398937	+	1000	420.0	[16.375038]	[95]	[4.61071]	[114]	[128398731]	[128398750]
322_102	chr1	181424879	181425279	+	1000	666.0	[]	[]	[12.902527, 15.505629]	[65, 136]	[]	[181425043, 181425114]
322_1020	chr1	227762405	227762805	+	1000	419.0	[15.96365]	[92]	[6.2842]	[113]	[227762594]	[227762615]
322_10200	chr19	30649976	30650376	+	1000	233.0	[]	[]	[14.514997]	[110]	[]	[30650186]
322_10202	chr2	25228765	25229165	+	1000	233.0	[6.7178335]	[141]	[10.119939]	[110]	[25229002]	[25228971]
322_10203	chr2	33583229	33583629	+	1000	233.0	[]	[]	[12.552405]	[100]	[]	[33583423]
322_10206	chr2	65640501	65640901	+	1000	233.0	[17.238127]	[102]	[]	[]	[65640693]	[]
322_10208	chr2	96138661	96139061	+	1000	233.0	[18.168877]	[100]	[7.9796133]	[100]	[96138857]	[96138857]
322_1021	chr14	22570225	22570625	+	1000	419.0	[]	[]	[13.472025, 5.034852, 7.226051]	[60, 116, 126]	[]	[22570378, 22570434, 22570444]
322_10211	chr2	158034239	158034639	+	1000	233.0	[16.021982]	[94]	[]	[]	[158034427]	[]
322_10214	chr20	38658878	38659278	+	1000	233.0	[4.545037]	[108]	[]	[]	[38659083]	[]
322_10220	chr22	43993149	43993549	+	1000	233.0	[12.928651]	[88]	[]	[]	[43993336]	[]
322_10225	chr3	138941267	138941667	+	1000	233.0	[14.155648]	[96]	[4.864102]	[96]	[138941463]	[138941463]
322_10227	chr4	68498400	68498800	+	1000	233.0	[17.135944, 4.3294225]	[94, 108]	[]	[]	[68498592, 68498606]	[]
322_10228	chr5	4868124	4868524	+	1000	233.0	[19.413935]	[104]	[]	[]	[4868324]	[]
322_10229	chr5	40879377	40879777	+	1000	233.0	[]	[]	[14.301464]	[103]	[]	[40879580]
322_10230	chr5	55226391	55226791	+	1000	233.0	[17.184748]	[104]	[5.387812]	[104]	[55226592]	[55226592]
322_10231	chr5	62460470	62460870	+	1000	233.0	[15.78944]	[99]	[]	[]	[62460668]	[]
322_10233	chr5	132883235	132883635	+	1000	233.0	[4.856714]	[91]	[16.12751]	[91]	[132883424]	[132883424]
322_10234	chr5	141814045	141814445	+	1000	233.0	[]	[]	[17.779049]	[102]	[]	[141814240]
322_10241	chr6	109073360	109073760	+	1000	233.0	[]	[]	[13.005221]	[96]	[]	[109073555]
322_10243	chr6	157597679	157598079	+	1000	233.0	[]	[]	[13.049258]	[109]	[]	[157597877]
322_10245	chr7	1086878	1087278	+	1000	233.0	[22.84894]	[102]	[5.3715534]	[153]	[1087073]	[1087124]
322_10247	chr7	91089346	91089746	+	1000	233.0	[18.115265]	[103]	[]	[]	[91089540]	[]
322_10248	chr7	93374342	93374742	+	1000	233.0	[]	[]	[5.9241443]	[98]	[]	[93374539]
322_10250	chr7	111089800	111090200	+	1000	233.0	[12.967995]	[102]	[]	[]	[111090000]	[]
322_10251	chr7	111561825	111562225	+	1000	233.0	[5.2425423, 4.659525]	[93, 96]	[7.455161]	[122]	[111562007, 111562010]	[111562036]
322_10253	chr7	135645310	135645710	+	1000	233.0	[]	[]	[12.093951]	[95]	[]	[135645499]
322_10254	chr7	142459453	142459853	+	1000	233.0	[20.236713]	[97]	[]	[]	[142459646]	[]
322_10257	chr8	61139001	61139401	+	1000	233.0	[19.684189]	[112]	[]	[]	[61139200]	[]
322_10258	chr8	72018521	72018921	+	1000	233.0	[13.256105]	[100]	[]	[]	[72018720]	[]
322_10262	chr9	33374896	33375296	+	1000	233.0	[16.707153]	[95]	[]	[]	[33375084]	[]
322_10264	chr9	137423154	137423554	+	1000	233.0	[18.80813]	[115]	[]	[]	[137423368]	[]
322_10266	chr1	54310960	54311360	+	1000	232.0	[13.883246, 11.513807]	[101, 111]	[]	[]	[54311159, 54311169]	[]
322_10269	chr1	110088044	110088444	+	1000	232.0	[13.374469]	[105]	[5.74522]	[63]	[110088249]	[110088207]
322_10270	chr1	176878703	176879103	+	1000	232.0	[6.9074416]	[90]	[14.12381]	[89]	[176878891]	[176878890]
322_10274	chr10	77111862	77112262	+	1000	232.0	[]	[]	[16.052525]	[109]	[]	[77112062]
322_10276	chr10	116796909	116797309	+	1000	232.0	[19.284134]	[100]	[]	[]	[116797107]	[]
322_10285	chr11	117809274	117809674	+	1000	232.0	[]	[]	[11.82943]	[110]	[]	[117809479]
322_10287	chr12	12376618	12377018	+	1000	232.0	[16.697811]	[93]	[6.3966417]	[144]	[12376808]	[12376859]
322_1029	chr11	77191994	77192394	+	1000	418.0	[17.010693]	[138]	[]	[]	[77192227]	[]
322_10291	chr12	92144012	92144412	+	1000	232.0	[]	[]	[6.398381, 13.759477]	[85, 88]	[]	[92144195, 92144198]
322_10292	chr12	118404912	118405312	+	1000	232.0	[20.413897]	[91]	[8.169997]	[91]	[118405099]	[118405099]
322_10293	chr13	29508127	29508527	+	1000	232.0	[20.60641]	[88]	[]	[]	[29508309]	[]
322_10295	chr13	60431105	60431505	+	1000	232.0	[]	[]	[11.161329]	[89]	[]	[60431291]
322_10296	chr14	75088548	75088948	+	1000	232.0	[7.8431835]	[102]	[16.481956]	[101]	[75088742]	[75088741]
322_10297	chr14	76387147	76387547	+	1000	232.0	[]	[]	[12.064184]	[100]	[]	[76387344]
322_10298	chr14	104639962	104640362	+	1000	232.0	[9.513016]	[64]	[13.347998]	[85]	[104640125]	[104640146]
322_10299	chr15	38690722	38691122	+	1000	232.0	[]	[]	[16.115086]	[108]	[]	[38690922]
322_10301	chr15	65384807	65385207	+	1000	232.0	[16.936977, 5.160948]	[93, 135]	[]	[]	[65385000, 65385042]	[]
322_10302	chr15	74320639	74321039	+	1000	232.0	[]	[]	[19.965296]	[97]	[]	[74320833]
322_10306	chr16	785576	785976	+	1000	232.0	[]	[]	[17.452904]	[108]	[]	[785775]
322_10310	chr17	27756726	27757126	+	1000	232.0	[]	[]	[4.342449, 16.936144, 4.7977433]	[99, 102, 151]	[]	[27756921, 27756924, 27756973]
322_10311	chr17	39164577	39164977	+	1000	232.0	[4.7266536, 14.936496]	[63, 100]	[]	[]	[39164734, 39164771]	[]
322_10312	chr17	73310937	73311337	+	1000	232.0	[9.249466, 10.815754]	[77, 118]	[]	[]	[73311113, 73311154]	[]
322_10319	chr19	40806847	40807247	+	1000	232.0	[]	[]	[15.209448]	[105]	[]	[40807052]
322_10320	chr19	42401275	42401675	+	1000	232.0	[]	[]	[19.852055]	[93]	[]	[42401466]
322_10325	chr2	97748381	97748781	+	1000	232.0	[]	[]	[17.255827]	[99]	[]	[97748579]
322_10326	chr2	135741290	135741690	+	1000	232.0	[5.495274]	[128]	[5.3916783]	[89]	[135741512]	[135741473]
322_10328	chr20	4720673	4721073	+	1000	232.0	[]	[]	[10.624951]	[111]	[]	[4720878]
322_10329	chr20	58447773	58448173	+	1000	232.0	[]	[]	[16.33481, 11.224828]	[86, 137]	[]	[58447959, 58448010]
322_1033	chr22	17829954	17830354	+	1000	418.0	[13.77259]	[106]	[]	[]	[17830154]	[]
322_10331	chr21	36260495	36260895	+	1000	232.0	[4.5196743]	[88]	[6.732458]	[87]	[36260680]	[36260679]
322_10333	chr22	18954391	18954791	+	1000	232.0	[5.7760067, 13.061671, 10.295836]	[69, 104, 114]	[]	[]	[18954548, 18954583, 18954593]	[]
322_10335	chr3	141644839	141645239	+	1000	232.0	[]	[]	[10.77141]	[81]	[]	[141645020]
322_10336	chr3	155382393	155382793	+	1000	232.0	[11.863939]	[96]	[5.073456]	[96]	[155382587]	[155382587]
322_10337	chr3	157201661	157202061	+	1000	232.0	[]	[]	[18.34441, 7.776126]	[88, 140]	[]	[157201848, 157201900]
322_10338	chr3	187319683	187320083	+	1000	232.0	[7.904078]	[100]	[]	[]	[187319879]	[]
322_10343	chr5	137751847	137752247	+	1000	232.0	[16.512007]	[100]	[]	[]	[137752046]	[]
322_10346	chr5	179870539	179870939	+	1000	232.0	[17.367153]	[80]	[]	[]	[179870718]	[]
322_1035	chr7	87312258	87312658	+	1000	418.0	[13.917333]	[102]	[]	[]	[87312450]	[]
322_10353	chr7	23712407	23712807	+	1000	232.0	[]	[]	[8.445269]	[106]	[]	[23712607]
322_10354	chr7	24979406	24979806	+	1000	232.0	[]	[]	[7.235083, 14.16264]	[105, 108]	[]	[24979609, 24979612]
322_10355	chr7	98401123	98401523	+	1000	232.0	[]	[]	[13.882407]	[107]	[]	[98401328]
322_10356	chr7	99929466	99929866	+	1000	232.0	[11.111937]	[95]	[]	[]	[99929661]	[]
322_1036	chr8	48925566	48925966	+	1000	418.0	[5.018668]	[132]	[19.08305]	[132]	[48925793]	[48925793]
322_10362	chr8	101332866	101333266	+	1000	232.0	[13.855703, 7.8005033]	[90, 124]	[]	[]	[101333054, 101333088]	[]
322_10364	chr8	134843636	134844036	+	1000	232.0	[]	[]	[8.916311, 4.9327497]	[96, 133]	[]	[134843828, 134843865]
322_10365	chr8	142739386	142739786	+	1000	232.0	[]	[]	[21.866621]	[103]	[]	[142739580]
322_10366	chr9	33081270	33081670	+	1000	232.0	[16.207773]	[83]	[]	[]	[33081453]	[]
322_10368	chr9	70602436	70602836	+	1000	232.0	[]	[]	[11.69373]	[102]	[]	[70602637]
322_10370	chr9	132575020	132575420	+	1000	232.0	[6.796873]	[101]	[20.811373]	[101]	[132575220]	[132575220]
322_10371	chrUn_GL000219v1	125230	125630	+	1000	232.0	[16.817385]	[103]	[5.556647]	[92]	[125431]	[125420]
322_10373	chr1	31715620	31716020	+	1000	231.0	[]	[]	[12.161402]	[102]	[]	[31715813]
322_10374	chr1	45018614	45019014	+	1000	231.0	[14.133484]	[104]	[]	[]	[45018816]	[]
322_10375	chr1	50774758	50775158	+	1000	231.0	[17.447182]	[97]	[]	[]	[50774949]	[]
322_10379	chr1	176691633	176692033	+	1000	231.0	[]	[]	[15.393438]	[90]	[]	[176691821]
322_10383	chr1	211830623	211831023	+	1000	231.0	[]	[]	[10.413224]	[104]	[]	[211830826]
322_10384	chr1	221203454	221203854	+	1000	231.0	[]	[]	[20.278376]	[90]	[]	[221203644]
322_10386	chr10	43436547	43436947	+	1000	231.0	[]	[]	[8.551978]	[135]	[]	[43436781]
322_10389	chr10	101781068	101781468	+	1000	231.0	[]	[]	[16.451435]	[112]	[]	[101781265]
322_10391	chr11	12894053	12894453	+	1000	231.0	[]	[]	[13.478366]	[102]	[]	[12894250]
322_10393	chr11	34586207	34586607	+	1000	231.0	[16.341885]	[108]	[8.666469]	[108]	[34586402]	[34586402]
322_10399	chr12	12033319	12033719	+	1000	231.0	[]	[]	[19.187735]	[108]	[]	[12033518]
322_1040	chr1	181142461	181142861	+	1000	417.0	[6.361187]	[104]	[17.17464]	[101]	[181142659]	[181142656]
322_10404	chr15	56821698	56822098	+	1000	231.0	[15.873646]	[97]	[]	[]	[56821888]	[]
322_10405	chr15	75786089	75786489	+	1000	231.0	[8.124993]	[87]	[]	[]	[75786270]	[]
322_10407	chr15	90293313	90293713	+	1000	231.0	[16.56278]	[79]	[]	[]	[90293491]	[]
322_10414	chr17	17860193	17860593	+	1000	231.0	[9.215765]	[145]	[18.989819]	[105]	[17860428]	[17860388]
322_10415	chr17	37791364	37791764	+	1000	231.0	[]	[]	[15.1580305]	[89]	[]	[37791548]
322_1042	chr18	3666254	3666654	+	1000	417.0	[]	[]	[11.490782]	[97]	[]	[3666449]
322_10420	chr18	45879951	45880351	+	1000	231.0	[4.8823166, 11.771396]	[85, 95]	[20.43356]	[85]	[45880134, 45880144]	[45880134]
322_10421	chr18	58043499	58043899	+	1000	231.0	[8.607876]	[86]	[4.959489]	[104]	[58043677]	[58043695]
322_10422	chr18	62425672	62426072	+	1000	231.0	[13.108652]	[95]	[]	[]	[62425862]	[]
322_10423	chr19	605236	605636	+	1000	231.0	[]	[]	[13.45912, 13.45912]	[59, 111]	[]	[605395, 605447]
322_10428	chr19	18894908	18895308	+	1000	231.0	[10.043471]	[83]	[4.457324, 7.7743955]	[80, 83]	[18895078]	[18895075, 18895078]
322_1043	chr6	148464733	148465133	+	1000	417.0	[]	[]	[18.125656]	[95]	[]	[148464927]
322_10435	chr2	102006224	102006624	+	1000	231.0	[7.3304906, 16.49847]	[98, 101]	[]	[]	[102006415, 102006418]	[]
322_10437	chr2	181715032	181715432	+	1000	231.0	[]	[]	[15.437877]	[91]	[]	[181715219]
322_10438	chr2	201182841	201183241	+	1000	231.0	[7.967505]	[85]	[]	[]	[201183017]	[]
322_1044	chr1	45570049	45570449	+	1000	416.0	[]	[]	[17.97937]	[91]	[]	[45570236]
322_10441	chr20	59087814	59088214	+	1000	231.0	[20.785404]	[102]	[]	[]	[59088013]	[]
322_10447	chr4	54318893	54319293	+	1000	231.0	[8.943966]	[96]	[]	[]	[54319086]	[]
322_10450	chr4	150242874	150243274	+	1000	231.0	[]	[]	[10.419196]	[87]	[]	[150243059]
322_10451	chr4	154506263	154506663	+	1000	231.0	[]	[]	[15.526693]	[107]	[]	[154506465]
322_10453	chr5	136174039	136174439	+	1000	231.0	[6.652579]	[88]	[12.468785]	[99]	[136174223]	[136174234]
322_10458	chr6	24431010	24431410	+	1000	231.0	[21.673029]	[77]	[]	[]	[24431187]	[]
322_1046	chr12	117025504	117025904	+	1000	416.0	[10.63219, 18.957668]	[66, 116]	[10.921712]	[116]	[117025665, 117025715]	[117025715]
322_10461	chr6	135451601	135452001	+	1000	231.0	[10.610804]	[100]	[]	[]	[135451797]	[]
322_10462	chr6	167767308	167767708	+	1000	231.0	[4.660421]	[76]	[]	[]	[167767482]	[]
322_10465	chr7	100827783	100828183	+	1000	231.0	[9.4889765, 10.710962]	[72, 105]	[15.204995]	[104]	[100827945, 100827978]	[100827977]
322_10466	chr8	15644078	15644478	+	1000	231.0	[]	[]	[14.688907]	[108]	[]	[15644286]
322_10468	chr8	22367767	22368167	+	1000	231.0	[]	[]	[13.6698]	[103]	[]	[22367967]
322_10469	chr8	27204980	27205380	+	1000	231.0	[6.8145285]	[100]	[20.067022]	[100]	[27205179]	[27205179]
322_10473	chr8	71975216	71975616	+	1000	231.0	[]	[]	[13.287509]	[89]	[]	[71975400]
322_10475	chr8	123763385	123763785	+	1000	231.0	[]	[]	[12.011273]	[103]	[]	[123763586]
322_10476	chr8	123766196	123766596	+	1000	231.0	[9.290663]	[111]	[]	[]	[123766394]	[]
322_10478	chr9	3467572	3467972	+	1000	231.0	[13.296358]	[95]	[]	[]	[3467767]	[]
322_1048	chr19	46661980	46662380	+	1000	416.0	[]	[]	[11.536646]	[114]	[]	[46662188]
322_10481	chrX	103176360	103176760	+	1000	231.0	[]	[]	[12.95583]	[100]	[]	[103176556]
322_10482	chrX	154748715	154749115	+	1000	231.0	[]	[]	[14.3628025]	[97]	[]	[154748904]
322_10486	chr1	152185566	152185966	+	1000	230.0	[12.392098]	[100]	[11.575689]	[100]	[152185753]	[152185753]
322_10489	chr1	177945940	177946340	+	1000	230.0	[]	[]	[18.119736]	[105]	[]	[177946140]
322_10491	chr10	33330463	33330863	+	1000	230.0	[18.250162]	[97]	[4.740328]	[76]	[33330658]	[33330637]
322_10494	chr10	86688291	86688691	+	1000	230.0	[15.134538, 5.918351]	[103, 110]	[]	[]	[86688486, 86688493]	[]
322_10495	chr11	5684575	5684975	+	1000	230.0	[8.672298]	[95]	[]	[]	[5684761]	[]
322_10497	chr11	44727810	44728210	+	1000	230.0	[15.829384, 13.364824]	[98, 128]	[]	[]	[44728005, 44728035]	[]
322_10498	chr11	57491672	57492072	+	1000	230.0	[15.898114]	[103]	[8.48805]	[141]	[57491868]	[57491906]
322_10499	chr11	64742842	64743242	+	1000	230.0	[]	[]	[18.166023]	[85]	[]	[64743021]
322_105	chr15	45118073	45118473	+	1000	665.0	[7.6922574]	[137]	[11.686232]	[75]	[45118310]	[45118248]
322_10500	chr11	72585676	72586076	+	1000	230.0	[16.02141]	[85]	[]	[]	[72585860]	[]
322_10503	chr12	54404390	54404790	+	1000	230.0	[4.480729]	[150]	[14.631557]	[92]	[54404640]	[54404582]
322_10504	chr12	55068429	55068829	+	1000	230.0	[4.467533]	[76]	[11.589177]	[76]	[55068604]	[55068604]
322_10505	chr12	71938741	71939141	+	1000	230.0	[]	[]	[11.651049]	[108]	[]	[71938947]
322_10506	chr12	92570335	92570735	+	1000	230.0	[]	[]	[16.657595]	[115]	[]	[92570544]
