#PeakID(python identify_motif.py ./ENCODE_processed_files/SOX6_idr.fa SOX6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
986_10402	chr19	13152888	13153288	+	1000	91.5	[6.6004295]	[159]	[]	[]	[13153114]	[]
986_10403	chr19	29682996	29683396	+	1000	91.5	[7.8125415]	[57]	[13.042722]	[72]	[29683151]	[29683166]
986_10410	chr2	48111249	48111649	+	1000	91.5	[]	[]	[8.055507, 7.6431108]	[92, 164]	[]	[48111411, 48111483]
986_10425	chr4	158670876	158671276	+	1000	91.5	[]	[]	[12.880307]	[139]	[]	[158671088]
986_10443	chr6	136420781	136421181	+	1000	91.5	[6.3923864]	[141]	[]	[]	[136421002]	[]
986_10446	chr7	5428849	5429249	+	1000	91.5	[]	[]	[6.3845105]	[155]	[]	[5429091]
986_10452	chr8	42155052	42155452	+	1000	91.5	[6.5548015, 8.658898, 6.3845105]	[109, 141, 153]	[]	[]	[42155254, 42155286, 42155298]	[]
986_10459	chr1	6601109	6601509	+	1000	91.0	[]	[]	[7.6431108]	[140]	[]	[6601343]
986_10460	chr1	20188343	20188743	+	1000	91.0	[12.799757]	[120]	[]	[]	[20188546]	[]
986_10468	chr1	149886795	149887195	+	1000	91.0	[]	[]	[7.0058093]	[97]	[]	[149886990]
986_10486	chr14	100192767	100193167	+	1000	91.0	[6.261038]	[71]	[]	[]	[100192937]	[]
986_10494	chr17	27353583	27353983	+	1000	91.0	[12.637342]	[74]	[]	[]	[27353739]	[]
986_10496	chr17	57285282	57285682	+	1000	91.0	[12.880307]	[112]	[]	[]	[57285464]	[]
986_1050	chr22	21665950	21666350	+	1000	295.0	[]	[]	[8.910168]	[122]	[]	[21666123]
986_10507	chr2	10331852	10332252	+	1000	91.0	[8.496483]	[110]	[]	[]	[10332043]	[]
986_10539	chr6	109284687	109285087	+	1000	91.0	[]	[]	[6.8433943, 6.3845105]	[117, 126]	[]	[109284903, 109284912]
986_10543	chr7	873340	873740	+	1000	91.0	[7.0058093]	[186]	[]	[]	[873582]	[]
986_10563	chr9	124771347	124771747	+	1000	91.0	[6.8433943]	[129]	[7.2768254]	[193]	[124771533]	[124771597]
986_1060	chr16	84952680	84953080	+	1000	293.5	[]	[]	[12.026935]	[131]	[]	[84952888]
986_10604	chr11	4094615	4095015	+	1000	90.5	[7.8125415]	[116]	[]	[]	[4094801]	[]
986_10612	chr12	108564730	108565130	+	1000	90.5	[6.3845105]	[174]	[9.315548]	[91]	[108564979]	[108564896]
986_10634	chr19	41859464	41859864	+	1000	90.5	[11.78397]	[77]	[]	[]	[41859620]	[]
986_1064	chr4	128635344	128635744	+	1000	293.0	[12.026935]	[152]	[]	[]	[128635580]	[]
986_10641	chr2	170084906	170085306	+	1000	90.5	[]	[]	[8.908878]	[192]	[]	[170085149]
986_10651	chr3	9792682	9793082	+	1000	90.5	[]	[]	[7.8125415]	[108]	[]	[9792861]
986_10653	chr3	141368190	141368590	+	1000	90.5	[8.910168]	[171]	[]	[]	[141368389]	[]
986_10658	chr4	78642855	78643255	+	1000	90.5	[12.637342]	[122]	[]	[]	[78643054]	[]
986_10679	chr7	106980288	106980688	+	1000	90.5	[6.2220955, 7.3200583]	[128, 163]	[7.2768254, 6.2220955]	[67, 160]	[106980501, 106980536]	[106980440, 106980533]
986_1069	chr1	92317840	92318240	+	1000	292.0	[9.315548]	[155]	[]	[]	[92318089]	[]
986_10690	chr9	38047772	38048172	+	1000	90.5	[]	[]	[7.805526, 8.908878]	[95, 145]	[]	[38047956, 38048006]
986_10696	chr1	26784111	26784511	+	1000	90.0	[6.2220955]	[57]	[]	[]	[26784265]	[]
986_10706	chr1	197146723	197147123	+	1000	90.0	[]	[]	[6.3118367]	[198]	[]	[197146962]
986_10711	chr1	241774019	241774419	+	1000	90.0	[]	[]	[6.2220955]	[106]	[]	[241774212]
986_10712	chr10	35386718	35387118	+	1000	90.0	[7.8125415]	[154]	[]	[]	[35386943]	[]
986_10713	chr10	73118012	73118412	+	1000	90.0	[9.153132]	[136]	[]	[]	[73118244]	[]
986_10725	chr12	113237783	113238183	+	1000	90.0	[11.946385]	[136]	[]	[]	[113237996]	[]
986_10732	chr15	58988179	58988579	+	1000	90.0	[]	[]	[8.496483]	[121]	[]	[58988387]
986_10735	chr16	2752034	2752434	+	1000	90.0	[]	[]	[9.153132]	[153]	[]	[2752257]
986_10736	chr16	3223874	3224274	+	1000	90.0	[6.3845105]	[62]	[]	[]	[3224035]	[]
986_10755	chr18	58160563	58160963	+	1000	90.0	[]	[]	[6.3845105, 12.18935]	[59, 108]	[]	[58160721, 58160770]
986_10768	chr2	80247371	80247771	+	1000	90.0	[9.315548]	[165]	[]	[]	[80247605]	[]
986_10769	chr2	156580527	156580927	+	1000	90.0	[6.3923864, 7.2768254]	[108, 142]	[]	[]	[156580715, 156580749]	[]
986_1078	chr2	15556302	15556702	+	1000	290.5	[]	[]	[9.072583]	[61]	[]	[15556460]
986_10786	chr4	18022108	18022508	+	1000	90.0	[9.315548]	[103]	[]	[]	[18022268]	[]
986_10787	chr4	48340912	48341312	+	1000	90.0	[]	[]	[6.7628446]	[99]	[]	[48341107]
986_108	chr11	110317431	110317831	+	1000	702.0	[12.799757]	[108]	[6.2220955]	[94]	[110317636]	[110317622]
986_10801	chr6	163572607	163573007	+	1000	90.0	[13.042722]	[131]	[]	[]	[163572836]	[]
986_10809	chr8	9073007	9073407	+	1000	90.0	[11.78397, 6.3845105]	[72, 106]	[]	[]	[9073178, 9073212]	[]
986_10821	chrX	148619057	148619457	+	1000	90.0	[]	[]	[12.18935]	[125]	[]	[148619282]
986_10841	chr10	97689655	97690055	+	1000	89.5	[]	[]	[8.908878]	[108]	[]	[97689855]
986_10843	chr11	20035646	20036046	+	1000	89.5	[11.78397]	[99]	[]	[]	[20035834]	[]
986_10844	chr11	46554157	46554557	+	1000	89.5	[]	[]	[9.925955]	[71]	[]	[46554321]
986_10862	chr16	10385830	10386230	+	1000	89.5	[8.658898]	[157]	[]	[]	[10386057]	[]
986_10869	chr18	3713186	3713586	+	1000	89.5	[]	[]	[6.6004295]	[80]	[]	[3713353]
986_10872	chr19	12610688	12611088	+	1000	89.5	[]	[]	[8.910168]	[106]	[]	[12610845]
986_10879	chr2	65056821	65057221	+	1000	89.5	[6.3845105]	[187]	[]	[]	[65057058]	[]
986_1088	chr8	104585806	104586206	+	1000	290.0	[]	[]	[12.637342]	[103]	[]	[104585988]
986_10887	chr21	14584747	14585147	+	1000	89.5	[11.946385]	[86]	[]	[]	[14584926]	[]
986_10890	chr22	45192896	45193296	+	1000	89.5	[]	[]	[9.315548]	[154]	[]	[45193125]
986_10895	chr3	48555222	48555622	+	1000	89.5	[]	[]	[7.8125415]	[110]	[]	[48555413]
986_10898	chr3	158408186	158408586	+	1000	89.5	[6.2220955]	[198]	[]	[]	[158408426]	[]
986_10909	chr6	6858608	6859008	+	1000	89.5	[]	[]	[6.3845105]	[193]	[]	[6858806]
986_10951	chr1	201154477	201154877	+	1000	89.0	[8.055507]	[97]	[]	[]	[201154673]	[]
986_10966	chr12	122421369	122421769	+	1000	89.0	[12.18935]	[116]	[]	[]	[122421567]	[]
986_110	chr8	128044911	128045311	+	1000	697.5	[12.799757]	[102]	[6.6004295]	[82]	[128045100]	[128045080]
986_1100	chr4	73832599	73832999	+	1000	287.5	[9.153132, 9.153132]	[68, 99]	[]	[]	[73832760, 73832791]	[]
986_11012	chr3	25604221	25604621	+	1000	89.0	[]	[]	[9.153132]	[156]	[]	[25604464]
986_11014	chr3	33789123	33789523	+	1000	89.0	[]	[]	[12.026935, 11.946385]	[121, 128]	[]	[33789336, 33789343]
986_11023	chr4	139082770	139083170	+	1000	89.0	[8.496483]	[177]	[]	[]	[139083008]	[]
986_11027	chr5	120512028	120512428	+	1000	89.0	[9.76354]	[122]	[]	[]	[120512236]	[]
986_11041	chr7	129835658	129836058	+	1000	89.0	[12.18935]	[104]	[]	[]	[129835858]	[]
986_11042	chr8	42196340	42196740	+	1000	89.0	[7.0058093]	[147]	[]	[]	[42196541]	[]
986_11069	chr1	230332678	230333078	+	1000	88.5	[6.4234533]	[151]	[]	[]	[230332889]	[]
986_11074	chr10	95266702	95267102	+	1000	88.5	[6.5548015, 6.4666862]	[73, 84]	[]	[]	[95266870, 95266881]	[]
986_11090	chr12	116172172	116172572	+	1000	88.5	[12.799757]	[98]	[]	[]	[116172367]	[]
986_11106	chr17	40854231	40854631	+	1000	88.5	[]	[]	[6.2220955]	[99]	[]	[40854419]
986_11109	chr17	43546195	43546595	+	1000	88.5	[12.18935, 6.2220955]	[152, 160]	[]	[]	[43546424, 43546432]	[]
986_11128	chr20	31605163	31605563	+	1000	88.5	[6.3845105]	[82]	[]	[]	[31605341]	[]
986_1113	chr6	20034348	20034748	+	1000	285.5	[]	[]	[6.4234533]	[110]	[]	[20034550]
986_1114	chr10	3835714	3836114	+	1000	285.0	[]	[]	[12.637342]	[108]	[]	[3835914]
986_11145	chr5	112878745	112879145	+	1000	88.5	[7.8125415]	[58]	[]	[]	[112878903]	[]
986_11147	chr6	7698159	7698559	+	1000	88.5	[7.0058093]	[117]	[]	[]	[7698370]	[]
986_11151	chr6	42050458	42050858	+	1000	88.5	[]	[]	[6.2220955]	[117]	[]	[42050661]
986_11160	chr7	16719738	16720138	+	1000	88.5	[6.3845105]	[125]	[]	[]	[16719951]	[]
986_11169	chr8	6559668	6560068	+	1000	88.5	[7.0058093, 9.925955]	[127, 164]	[]	[]	[6559873, 6559910]	[]
986_11177	chr9	121278749	121279149	+	1000	88.5	[6.3845105]	[157]	[]	[]	[121278987]	[]
986_11181	chr1	1013153	1013553	+	1000	88.0	[9.315548]	[154]	[]	[]	[1013348]	[]
986_11192	chr1	92515903	92516303	+	1000	88.0	[8.658898]	[82]	[]	[]	[92516078]	[]
986_11210	chr11	46380559	46380959	+	1000	88.0	[]	[]	[7.2768254]	[136]	[]	[46380780]
986_11226	chr15	64163189	64163589	+	1000	88.0	[6.3845105]	[141]	[6.6004295]	[117]	[64163429]	[64163405]
986_11238	chr18	54805975	54806375	+	1000	88.0	[9.072583]	[102]	[]	[]	[54806133]	[]
986_11240	chr19	1040917	1041317	+	1000	88.0	[6.3845105]	[197]	[]	[]	[1041152]	[]
986_11242	chr19	36572959	36573359	+	1000	88.0	[]	[]	[10.16892]	[74]	[]	[36573124]
986_11245	chr19	50804611	50805011	+	1000	88.0	[6.3923864]	[132]	[]	[]	[50804823]	[]
986_1125	chr19	53842193	53842593	+	1000	283.5	[]	[]	[12.799757]	[120]	[]	[53842407]
986_11256	chr2	177753901	177754301	+	1000	88.0	[6.2220955]	[176]	[]	[]	[177754116]	[]
986_11258	chr2	189608805	189609205	+	1000	88.0	[]	[]	[6.2220955]	[123]	[]	[189609015]
986_11262	chr20	46368364	46368764	+	1000	88.0	[]	[]	[6.5548015]	[163]	[]	[46368595]
986_11266	chr22	22579023	22579423	+	1000	88.0	[7.0058093]	[139]	[]	[]	[22579232]	[]
986_11269	chr3	9890533	9890933	+	1000	88.0	[]	[]	[8.665914]	[91]	[]	[9890718]
986_11283	chr5	176448797	176449197	+	1000	88.0	[]	[]	[13.042722]	[142]	[]	[176449021]
986_11288	chr6	30615876	30616276	+	1000	88.0	[]	[]	[8.055507]	[80]	[]	[30616048]
986_11302	chr7	30026636	30027036	+	1000	88.0	[]	[]	[6.2220955]	[67]	[]	[30026795]
986_1131	chr1	212488574	212488974	+	1000	283.0	[6.3845105]	[105]	[6.3845105]	[138]	[212488774]	[212488807]
986_11322	chrX	37380832	37381232	+	1000	88.0	[]	[]	[9.925955]	[122]	[]	[37381020]
986_11329	chr1	38789758	38790158	+	1000	87.5	[]	[]	[11.946385]	[144]	[]	[38789958]
986_11331	chr1	54272956	54273356	+	1000	87.5	[7.805526, 6.3845105]	[93, 155]	[6.2220955]	[152]	[54273134, 54273196]	[54273193]
986_11350	chr11	112285994	112286394	+	1000	87.5	[]	[]	[8.658898, 6.2220955]	[90, 143]	[]	[112286182, 112286235]
986_11356	chr13	28411801	28412201	+	1000	87.5	[]	[]	[9.315548]	[153]	[]	[28412032]
986_11365	chr17	20010168	20010568	+	996	87.5	[9.315548]	[157]	[]	[]	[20010406]	[]
986_11395	chr3	171347552	171347952	+	1000	87.5	[]	[]	[9.315548, 8.910168]	[77, 126]	[]	[171347714, 171347763]
986_11400	chr4	138773292	138773692	+	1000	87.5	[]	[]	[6.2220955]	[92]	[]	[138773472]
986_11402	chr4	185504425	185504825	+	1000	87.5	[]	[]	[12.18935]	[68]	[]	[185504592]
986_11404	chr5	65481811	65482211	+	1000	87.5	[]	[]	[12.880307]	[155]	[]	[65482046]
986_11408	chr5	141564164	141564564	+	1000	87.5	[]	[]	[7.2768254]	[114]	[]	[141564359]
986_11419	chr6	31560300	31560700	+	1000	87.5	[6.3845105]	[89]	[]	[]	[31560453]	[]
986_11428	chr7	50914528	50914928	+	1000	87.5	[7.2768254]	[152]	[]	[]	[50914774]	[]
986_11433	chr7	112790024	112790424	+	1000	87.5	[]	[]	[6.8433943]	[148]	[]	[112790238]
986_11435	chr7	137882245	137882645	+	1000	87.5	[]	[]	[6.2220955]	[150]	[]	[137882464]
986_11436	chr8	22219967	22220367	+	1000	87.5	[6.4234533]	[145]	[]	[]	[22220186]	[]
986_11442	chr9	85743218	85743618	+	1000	87.5	[6.3845105]	[104]	[]	[]	[85743421]	[]
986_11448	chr1	40774221	40774621	+	1000	87.0	[]	[]	[6.3923864]	[136]	[]	[40774431]
986_11458	chr1	180594823	180595223	+	1000	87.0	[6.2220955]	[135]	[]	[]	[180595054]	[]
986_11470	chr11	114082741	114083141	+	1000	87.0	[6.2220955]	[133]	[]	[]	[114082947]	[]
986_11477	chr14	20455036	20455436	+	1000	87.0	[7.8125415]	[151]	[]	[]	[20455229]	[]
986_11500	chr2	16438854	16439254	+	1000	87.0	[]	[]	[12.637342]	[72]	[]	[16439014]
986_11504	chr2	145221076	145221476	+	1000	87.0	[]	[]	[6.3923864]	[164]	[]	[145221313]
986_11510	chr21	32393235	32393635	+	1000	87.0	[]	[]	[8.665914]	[85]	[]	[32393400]
986_11511	chr22	21593847	21594247	+	1000	87.0	[8.908878, 6.6004295]	[97, 130]	[]	[]	[21594044, 21594077]	[]
986_11523	chr4	687179	687579	+	1000	87.0	[]	[]	[6.6004295]	[155]	[]	[687396]
986_11530	chr5	39177577	39177977	+	1000	87.0	[]	[]	[6.4234533]	[214]	[]	[39177808]
986_11537	chr6	15434237	15434637	+	1000	87.0	[12.18935]	[158]	[]	[]	[15434463]	[]
986_11555	chr8	41438938	41439338	+	1000	87.0	[12.637342]	[113]	[]	[]	[41439128]	[]
986_11564	chr1	110875280	110875680	+	1000	86.5	[13.042722, 6.3845105]	[140, 178]	[]	[]	[110875490, 110875528]	[]
986_11570	chr1	161200621	161201021	+	1000	86.5	[]	[]	[11.78397, 6.3845105, 12.026935]	[88, 105, 115]	[]	[161200805, 161200822, 161200832]
986_11571	chr1	161766123	161766523	+	1000	86.5	[8.910168]	[93]	[]	[]	[161766294]	[]
986_1158	chr1	92957020	92957420	+	1000	280.0	[]	[]	[12.18935]	[63]	[]	[92957177]
986_11584	chr10	74852398	74852798	+	1000	86.5	[6.3923864]	[95]	[]	[]	[74852552]	[]
986_11589	chr10	101797405	101797805	+	1000	86.5	[6.3118367]	[87]	[]	[]	[101797574]	[]
986_11619	chr17	44186678	44187078	+	1000	86.5	[]	[]	[7.2768254]	[80]	[]	[44186836]
986_1163	chr5	43064784	43065184	+	1000	279.5	[9.072583]	[108]	[6.7628446]	[93]	[43064989]	[43064974]
986_11633	chr2	32558497	32558897	+	1000	86.5	[]	[]	[9.072583]	[151]	[]	[32558746]
986_11635	chr2	44479434	44479834	+	1000	86.5	[7.2768254]	[80]	[6.3845105, 8.658898]	[71, 131]	[44479607]	[44479598, 44479658]
986_1165	chr1	90721433	90721833	+	1000	279.0	[10.16892]	[114]	[]	[]	[90721641]	[]
986_11656	chr3	186165977	186166377	+	1000	86.5	[]	[]	[6.5548015]	[73]	[]	[186166138]
986_11663	chr4	67575278	67575678	+	1000	86.5	[7.0058093]	[119]	[]	[]	[67575465]	[]
986_11666	chr4	129093318	129093718	+	1000	86.5	[]	[]	[6.6004295]	[144]	[]	[129093493]
986_11687	chr7	153385500	153385900	+	1000	86.5	[6.2220955]	[85]	[6.2220955]	[136]	[153385666]	[153385717]
986_11695	chr9	136950002	136950402	+	1000	86.5	[7.1144104]	[140]	[]	[]	[136950228]	[]
986_11699	chr1	25430113	25430513	+	1000	86.0	[7.6431108]	[200]	[]	[]	[25430333]	[]
986_117	chr3	171192323	171192723	+	1000	684.0	[13.042722]	[98]	[]	[]	[171192510]	[]
986_11701	chr1	35268311	35268711	+	1000	86.0	[6.3923864]	[135]	[]	[]	[35268481]	[]
986_11715	chr1	161542156	161542556	+	1000	86.0	[6.2220955]	[64]	[]	[]	[161542318]	[]
986_1172	chr9	128078935	128079335	+	1000	278.5	[6.2220955]	[158]	[7.805526]	[71]	[128079185]	[128079098]
986_11745	chr15	34342973	34343373	+	1000	86.0	[7.0058093]	[148]	[]	[]	[34343220]	[]
986_11767	chr17	82037301	82037701	+	1000	86.0	[]	[]	[6.6004295]	[66]	[]	[82037455]
986_11774	chr2	80328018	80328418	+	1000	86.0	[6.2220955, 7.6431108]	[112, 122]	[]	[]	[80328219, 80328229]	[]
986_11775	chr2	195486982	195487382	+	1000	86.0	[7.6431108]	[105]	[]	[]	[195487167]	[]
986_1179	chr12	123106993	123107393	+	1000	277.5	[]	[]	[6.2220955, 12.880307]	[69, 98]	[]	[123107149, 123107178]
986_118	chr1	160046455	160046855	+	1000	682.0	[6.4666862, 11.946385]	[76, 146]	[]	[]	[160046625, 160046695]	[]
986_11809	chr6	33410112	33410512	+	1000	86.0	[6.2220955]	[148]	[]	[]	[33410333]	[]
986_11810	chr6	43059387	43059787	+	1000	86.0	[]	[]	[6.5548015]	[149]	[]	[43059604]
986_11816	chr7	1504265	1504665	+	1000	86.0	[]	[]	[6.3845105]	[108]	[]	[1504430]
986_1182	chr4	184813173	184813573	+	1000	277.5	[]	[]	[9.153132]	[157]	[]	[184813416]
986_11823	chr7	139829011	139829411	+	895	86.0	[6.4234533]	[102]	[]	[]	[139829193]	[]
986_11825	chr8	9551046	9551446	+	1000	86.0	[6.3845105]	[101]	[]	[]	[9551223]	[]
986_11828	chr8	67066225	67066625	+	1000	86.0	[11.78397]	[80]	[]	[]	[67066389]	[]
986_11853	chr1	112878277	112878677	+	1000	85.5	[]	[]	[12.026935]	[67]	[]	[112878438]
986_1186	chr2	177639523	177639923	+	1000	277.0	[8.055507]	[63]	[]	[]	[177639683]	[]
986_11868	chr10	103908251	103908651	+	1000	85.5	[7.0058093]	[76]	[]	[]	[103908420]	[]
986_1187	chr1	191823814	191824214	+	1000	276.5	[]	[]	[13.042722]	[89]	[]	[191824001]
986_11870	chr11	33941633	33942033	+	1000	85.5	[]	[]	[6.2220955]	[161]	[]	[33941838]
986_11903	chr17	49742315	49742715	+	1000	85.5	[]	[]	[9.315548]	[145]	[]	[49742556]
986_11907	chr18	3451107	3451507	+	1000	85.5	[13.042722]	[115]	[9.315548]	[177]	[3451267]	[3451329]
986_11908	chr18	36129143	36129543	+	1000	85.5	[]	[]	[6.3923864]	[147]	[]	[36129330]
986_11915	chr2	46913926	46914326	+	1000	85.5	[9.925955]	[126]	[]	[]	[46914138]	[]
986_1192	chr16	86931339	86931739	+	1000	276.0	[]	[]	[8.496483, 12.799757]	[72, 85]	[]	[86931500, 86931513]
986_11925	chr22	31937357	31937757	+	623	85.5	[6.2220955]	[124]	[]	[]	[31937565]	[]
986_1195	chr2	191597182	191597582	+	1000	275.5	[11.946385]	[151]	[6.2220955]	[108]	[191597423]	[191597380]
986_11951	chr6	137768218	137768618	+	1000	85.5	[]	[]	[6.3845105]	[182]	[]	[137768417]
986_11958	chr7	87057140	87057540	+	1000	85.5	[]	[]	[13.042722]	[58]	[]	[87057298]
986_1197	chr8	105321976	105322376	+	1000	275.5	[6.3118367]	[147]	[]	[]	[105322222]	[]
986_1199	chr16	34582068	34582468	+	1000	275.0	[]	[]	[6.3845105]	[99]	[]	[34582257]
986_11998	chr1	227335633	227336033	+	1000	85.0	[6.3845105]	[199]	[]	[]	[227335869]	[]
986_12009	chr11	3951158	3951558	+	1000	85.0	[10.006505]	[121]	[12.026935, 6.2220955]	[92, 154]	[3951364]	[3951335, 3951397]
986_12014	chr11	72653150	72653550	+	1000	85.0	[]	[]	[12.18935, 6.2220955]	[75, 92]	[]	[72653315, 72653332]
986_12017	chr12	31731869	31732269	+	1000	85.0	[6.3845105]	[140]	[]	[]	[31732109]	[]
986_12025	chr12	120529032	120529432	+	1000	85.0	[6.2220955]	[161]	[]	[]	[120529265]	[]
986_12042	chr17	77036977	77037377	+	1000	85.0	[6.2220955]	[159]	[]	[]	[77037209]	[]
986_1206	chr7	5457887	5458287	+	1000	275.0	[6.3118367]	[68]	[]	[]	[5458054]	[]
986_12070	chr21	14693999	14694399	+	1000	85.0	[]	[]	[6.2220955]	[123]	[]	[14694222]
986_12075	chr3	45084792	45085192	+	1000	85.0	[6.3845105]	[129]	[]	[]	[45085008]	[]
986_12086	chr4	168421686	168422086	+	1000	85.0	[]	[]	[6.2237215]	[146]	[]	[168421917]
986_12087	chr5	34866998	34867398	+	1000	85.0	[]	[]	[6.7628446]	[122]	[]	[34867159]
986_12098	chr6	10401655	10402055	+	1000	85.0	[9.315548]	[132]	[]	[]	[10401863]	[]
986_121	chr18	55748415	55748815	+	1000	677.5	[]	[]	[9.315548]	[89]	[]	[55748600]
