#PeakID(python identify_motif.py ./ENCODE_processed_files/ETS1_idr.fa ETS1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
503_10331	chr1	246214912	246215312	+	1000	42.0	[7.7460794]	[137]	[]	[]	[246215148]	[]
503_10336	chr10	72308357	72308757	+	1000	42.0	[8.631947, 8.123926]	[176, 204]	[]	[]	[72308561, 72308589]	[]
503_10337	chr10	73517440	73517840	+	1000	42.0	[8.880239]	[129]	[]	[]	[73517639]	[]
503_10348	chr10	133245628	133246028	+	1000	42.0	[11.455031]	[60]	[]	[]	[133245787]	[]
503_10361	chr11	93784164	93784564	+	1000	42.0	[]	[]	[6.4858923]	[140]	[]	[93784356]
503_10363	chr12	576049	576449	+	1000	42.0	[7.7103596, 6.892782]	[151, 192]	[]	[]	[576246, 576287]	[]
503_10364	chr12	6337166	6337566	+	1000	42.0	[]	[]	[9.326159, 12.327155]	[140, 169]	[]	[6337363, 6337392]
503_10365	chr12	6383933	6384333	+	1000	42.0	[]	[]	[9.005733]	[144]	[]	[6384168]
503_10370	chr12	53097787	53098187	+	1000	42.0	[]	[]	[9.1897955]	[151]	[]	[53098029]
503_10373	chr12	54352014	54352414	+	1000	42.0	[]	[]	[10.310211]	[108]	[]	[54352200]
503_10384	chr13	40789196	40789596	+	1000	42.0	[]	[]	[11.851124, 7.2925353, 6.993913]	[113, 119, 163]	[]	[40789394, 40789400, 40789444]
503_10389	chr14	35292180	35292580	+	1000	42.0	[7.7851515, 9.975595]	[93, 116]	[11.405568]	[135]	[35292356, 35292379]	[35292398]
503_10391	chr14	60091922	60092322	+	1000	42.0	[]	[]	[7.8463583]	[149]	[]	[60092084]
503_10402	chr15	66661491	66661891	+	1000	42.0	[12.327155]	[196]	[]	[]	[66661738]	[]
503_10405	chr15	90249379	90249779	+	1000	42.0	[7.8463583, 6.993913]	[96, 132]	[]	[]	[90249556, 90249592]	[]
503_10416	chr16	70298930	70299330	+	1000	42.0	[]	[]	[13.471976]	[173]	[]	[70299175]
503_10426	chr17	32349951	32350351	+	1000	42.0	[]	[]	[10.897183]	[150]	[]	[32350175]
503_10429	chr17	40818685	40819085	+	880	42.0	[7.916553]	[220]	[]	[]	[40818927]	[]
503_10441	chr17	75130668	75131068	+	1000	42.0	[7.6390805]	[142]	[]	[]	[75130908]	[]
503_10443	chr17	75753595	75753995	+	1000	42.0	[6.406941]	[129]	[]	[]	[75753771]	[]
503_10445	chr17	79797189	79797589	+	1000	42.0	[12.885004]	[102]	[]	[]	[79797382]	[]
503_10449	chr17	81487949	81488349	+	1000	42.0	[6.406941]	[120]	[]	[]	[81488124]	[]
503_10452	chr18	79506996	79507396	+	1000	42.0	[10.310211]	[162]	[]	[]	[79507225]	[]
503_10456	chr19	3061223	3061623	+	1000	42.0	[]	[]	[8.880239]	[110]	[]	[3061411]
503_10472	chr19	29665056	29665456	+	1000	42.0	[7.6478944]	[134]	[]	[]	[29665245]	[]
503_1048	chr1	43969716	43970116	+	1000	120.0	[11.405568]	[247]	[]	[]	[43969966]	[]
503_10487	chr19	53394977	53395377	+	1000	42.0	[9.975595]	[83]	[]	[]	[53395152]	[]
503_10490	chr19	57389574	57389974	+	1000	42.0	[10.150553]	[96]	[]	[]	[57389738]	[]
503_10494	chr2	27250094	27250494	+	1000	42.0	[]	[]	[12.885004]	[142]	[]	[27250290]
503_10503	chr2	73828747	73829147	+	1000	42.0	[11.354753]	[155]	[9.642532]	[167]	[73828949]	[73828961]
503_10506	chr2	96868389	96868789	+	1000	42.0	[10.310211]	[107]	[6.730932]	[147]	[96868591]	[96868631]
503_10509	chr2	108620991	108621391	+	1000	42.0	[10.897183]	[107]	[]	[]	[108621196]	[]
503_10516	chr2	200963256	200963656	+	1000	42.0	[]	[]	[7.2583613]	[196]	[]	[200963496]
503_10517	chr2	218399487	218399887	+	1000	42.0	[6.615002]	[132]	[]	[]	[218399692]	[]
503_10518	chr2	218671833	218672233	+	1000	42.0	[6.486581, 14.393928]	[87, 93]	[]	[]	[218671988, 218671994]	[]
503_1052	chr15	66497579	66497979	+	1000	120.0	[9.467575]	[168]	[]	[]	[66497806]	[]
503_10521	chr20	347495	347895	+	1000	42.0	[]	[]	[7.766382, 9.834179]	[134, 143]	[]	[347705, 347714]
503_10522	chr20	30580039	30580439	+	1000	42.0	[]	[]	[9.834179]	[129]	[]	[30580258]
503_10531	chr20	62365852	62366252	+	1000	42.0	[]	[]	[7.7103596]	[130]	[]	[62366022]
503_10535	chr22	19576746	19577146	+	1000	42.0	[8.631947]	[121]	[]	[]	[19576941]	[]
503_10538	chr22	20862470	20862870	+	1000	42.0	[]	[]	[6.406941]	[140]	[]	[20862669]
503_10554	chr22	27918433	27918833	+	728	42.0	[]	[]	[7.377296]	[107]	[]	[27918636]
503_10557	chr22	41589915	41590315	+	1000	42.0	[10.310211, 7.3395963]	[91, 111]	[]	[]	[41590090, 41590110]	[]
503_10563	chr22	50525287	50525687	+	1000	42.0	[7.8463583]	[206]	[]	[]	[50525508]	[]
503_1057	chr2	3574980	3575380	+	1000	120.0	[]	[]	[7.4008026]	[122]	[]	[3575198]
503_10571	chr3	124620561	124620961	+	1000	42.0	[9.005733]	[83]	[]	[]	[124620741]	[]
503_10582	chr4	119300398	119300798	+	1000	42.0	[7.915865, 12.963955]	[80, 120]	[]	[]	[119300568, 119300608]	[]
503_10586	chr5	43042354	43042754	+	1000	42.0	[9.275306]	[100]	[]	[]	[43042550]	[]
503_10589	chr5	80654661	80655061	+	1000	42.0	[7.2925353]	[67]	[]	[]	[80654818]	[]
503_10595	chr5	146203453	146203853	+	1000	42.0	[6.993913]	[198]	[7.3587046]	[132]	[146203671]	[146203605]
503_10596	chr5	149452101	149452501	+	1000	42.0	[]	[]	[10.310211]	[130]	[]	[149452328]
503_106	chr11	65095934	65096334	+	1000	265.0	[11.405568]	[154]	[]	[]	[65096185]	[]
503_1060	chr3	46987708	46988108	+	1000	120.0	[]	[]	[8.880239]	[142]	[]	[46987946]
503_10600	chr6	7150651	7151051	+	1000	42.0	[]	[]	[8.303927]	[110]	[]	[7150861]
503_10611	chr6	37102341	37102741	+	1000	42.0	[]	[]	[7.475481]	[138]	[]	[37102544]
503_10613	chr6	41939456	41939856	+	1000	42.0	[7.7786345]	[142]	[]	[]	[41939654]	[]
503_10617	chr6	57317474	57317874	+	1000	42.0	[]	[]	[8.354743]	[231]	[]	[57317711]
503_10623	chr6	149128389	149128789	+	1000	42.0	[6.862329]	[129]	[]	[]	[149128573]	[]
503_10639	chr8	1746160	1746560	+	1000	42.0	[]	[]	[8.880239]	[119]	[]	[1746369]
503_10640	chr8	10818860	10819260	+	1000	42.0	[11.354753]	[76]	[]	[]	[10819029]	[]
503_10641	chr8	15540061	15540461	+	1000	42.0	[11.941725]	[165]	[]	[]	[15540248]	[]
503_1065	chr6	108261070	108261470	+	1000	120.0	[]	[]	[6.486581]	[82]	[]	[108261246]
503_10650	chr8	124973088	124973488	+	1000	42.0	[]	[]	[12.327155, 7.7103596]	[135, 149]	[]	[124973290, 124973304]
503_10654	chr9	91193673	91194073	+	1000	42.0	[7.4008026]	[103]	[]	[]	[91193827]	[]
503_10657	chr9	127828263	127828663	+	1000	42.0	[]	[]	[9.1897955]	[169]	[]	[127828510]
503_10658	chr9	128255198	128255598	+	1000	42.0	[]	[]	[6.730932]	[119]	[]	[128255391]
503_10663	chr9	130779004	130779404	+	1000	42.0	[8.929101]	[138]	[]	[]	[130779236]	[]
503_10665	chr9	130899023	130899423	+	1000	42.0	[]	[]	[7.4201775]	[152]	[]	[130899242]
503_10675	chrX	2630389	2630789	+	902	42.0	[]	[]	[8.830775, 8.830775]	[122, 178]	[]	[2630568, 2630624]
503_10677	chrX	11461598	11461998	+	1000	42.0	[]	[]	[10.310211]	[136]	[]	[11461802]
503_1068	chr9	127937660	127938060	+	1000	120.0	[6.406941]	[169]	[13.371697, 8.819032]	[121, 143]	[127937903]	[127937855, 127937877]
503_10682	chrX	101348529	101348929	+	1000	42.0	[8.503526]	[117]	[]	[]	[101348728]	[]
503_10685	chrX	130166091	130166491	+	1000	42.0	[]	[]	[6.892782]	[171]	[]	[130166304]
503_10699	chr1	27428276	27428676	+	1000	41.0	[]	[]	[6.615002]	[122]	[]	[27428491]
503_107	chr4	1856079	1856479	+	1000	264.0	[]	[]	[8.423885, 6.486581]	[68, 74]	[]	[1856237, 1856243]
503_10711	chr1	85581200	85581600	+	1000	41.0	[6.406941]	[131]	[]	[]	[85581421]	[]
503_10714	chr1	109277392	109277792	+	1000	41.0	[10.796905]	[183]	[]	[]	[109277591]	[]
503_10717	chr1	150977226	150977626	+	1000	41.0	[7.499129]	[182]	[]	[]	[150977417]	[]
503_10726	chr1	225809960	225810360	+	1000	41.0	[7.4733844]	[114]	[]	[]	[225810167]	[]
503_10730	chr10	13348337	13348737	+	1000	41.0	[]	[]	[7.896186]	[128]	[]	[13348504]
503_10731	chr10	16996184	16996584	+	1000	41.0	[8.638506, 8.880239]	[114, 136]	[]	[]	[16996377, 16996399]	[]
503_10733	chr10	37857597	37857997	+	1000	41.0	[6.4371176]	[136]	[]	[]	[37857830]	[]
503_10737	chr10	79444352	79444752	+	1000	41.0	[]	[]	[6.633814]	[198]	[]	[79444586]
503_10743	chr10	122980278	122980678	+	1000	41.0	[6.993913, 6.4167504]	[226, 242]	[]	[]	[122980507, 122980523]	[]
503_10745	chr11	2902081	2902481	+	1000	41.0	[7.7103596]	[119]	[]	[]	[2902284]	[]
503_1075	chr16	69132377	69132777	+	1000	119.0	[]	[]	[7.1916623, 11.405568]	[139, 162]	[]	[69132579, 69132602]
503_1076	chr17	38825151	38825551	+	1000	119.0	[]	[]	[11.405568]	[89]	[]	[38825329]
503_10760	chr11	71453067	71453467	+	1000	41.0	[9.1897955]	[135]	[]	[]	[71453301]	[]
503_10761	chr11	73979966	73980366	+	1000	41.0	[7.259386]	[86]	[]	[]	[73980128]	[]
503_10770	chr12	7018704	7019104	+	1000	41.0	[]	[]	[8.423885]	[135]	[]	[7018899]
503_10771	chr12	11648758	11649158	+	1000	41.0	[]	[]	[7.2023387]	[207]	[]	[11648989]
503_10772	chr12	25195154	25195554	+	1000	41.0	[8.681774]	[81]	[]	[]	[25195330]	[]
503_10775	chr12	56333697	56334097	+	1000	41.0	[7.795907]	[115]	[]	[]	[56333876]	[]
503_10776	chr12	57235143	57235543	+	1000	41.0	[]	[]	[10.421151]	[167]	[]	[57235373]
503_1078	chr19	48747068	48747468	+	1000	119.0	[]	[]	[7.2023387]	[147]	[]	[48747299]
503_10788	chr13	110615501	110615901	+	1000	41.0	[7.916553]	[177]	[]	[]	[110615693]	[]
503_10794	chr14	63641394	63641794	+	1000	41.0	[6.4858923]	[77]	[]	[]	[63641556]	[]
503_10795	chr14	67532876	67533276	+	1000	41.0	[]	[]	[11.819135]	[96]	[]	[67533068]
503_10796	chr14	89954440	89954840	+	1000	41.0	[]	[]	[12.327155]	[65]	[]	[89954594]
503_10797	chr14	90256355	90256755	+	1000	41.0	[]	[]	[6.461904, 9.834179, 12.885004]	[78, 99, 133]	[]	[90256507, 90256528, 90256562]
503_108	chr1	6613371	6613771	+	1000	263.0	[]	[]	[6.7005134]	[148]	[]	[6613588]
503_10800	chr14	101360316	101360716	+	1000	41.0	[7.6661034]	[112]	[]	[]	[101360481]	[]
503_10802	chr15	45402162	45402562	+	1000	41.0	[]	[]	[11.455031]	[94]	[]	[45402341]
503_10807	chr16	2428368	2428768	+	1000	41.0	[]	[]	[6.7055626]	[153]	[]	[2428580]
503_10814	chr16	30787045	30787445	+	1000	41.0	[10.310211]	[81]	[]	[]	[30787197]	[]
503_10829	chr17	36600460	36600860	+	1000	41.0	[]	[]	[7.259386]	[109]	[]	[36600612]
503_1083	chr20	38435160	38435560	+	1000	119.0	[9.326159]	[146]	[]	[]	[38435367]	[]
503_10832	chr17	43024668	43025068	+	1000	41.0	[9.005733]	[109]	[]	[]	[43024855]	[]
503_10834	chr17	43983778	43984178	+	1000	41.0	[6.486581]	[172]	[]	[]	[43984006]	[]
503_10835	chr17	44095556	44095956	+	1000	41.0	[8.123926, 8.261184]	[163, 185]	[]	[]	[44095763, 44095785]	[]
503_10862	chr19	39031637	39032037	+	1000	41.0	[]	[]	[9.276331]	[111]	[]	[39031842]
503_10867	chr19	44890399	44890799	+	1000	41.0	[]	[]	[14.901949]	[162]	[]	[44890643]
503_10870	chr19	48255770	48256170	+	1000	41.0	[]	[]	[14.901949]	[87]	[]	[48255953]
503_10874	chr19	52570291	52570691	+	1000	41.0	[11.580525]	[111]	[7.208534]	[121]	[52570473]	[52570483]
503_10877	chr2	3594799	3595199	+	1000	41.0	[10.897183]	[92]	[]	[]	[3594975]	[]
503_1088	chr6	36442718	36443118	+	1000	119.0	[]	[]	[8.395336]	[61]	[]	[36442873]
503_10892	chr2	170930229	170930629	+	1000	41.0	[]	[]	[8.830775, 9.80219]	[183, 202]	[]	[170930460, 170930479]
503_10899	chr2	241735218	241735618	+	1000	41.0	[9.975595]	[238]	[]	[]	[241735467]	[]
503_10901	chr20	645455	645855	+	1000	41.0	[]	[]	[12.885004]	[152]	[]	[645702]
503_10905	chr20	35617557	35617957	+	1000	41.0	[]	[]	[6.6256638, 10.897183]	[150, 156]	[]	[35617790, 35617796]
503_10917	chr22	20316765	20317165	+	1000	41.0	[7.8463583]	[135]	[]	[]	[20316936]	[]
503_1093	chr7	44044393	44044793	+	1000	119.0	[]	[]	[11.343102, 8.880239, 12.963955]	[147, 153, 173]	[]	[44044614, 44044620, 44044640]
503_10959	chr3	139120577	139120977	+	1000	41.0	[]	[]	[7.0677395, 8.77996]	[101, 134]	[]	[139120773, 139120806]
503_1096	chrX	108091490	108091890	+	1000	119.0	[]	[]	[6.4371176]	[117]	[]	[108091687]
503_10973	chr4	139266638	139267038	+	1000	41.0	[]	[]	[7.716919]	[73]	[]	[139266810]
503_10977	chr5	43041921	43042321	+	1000	41.0	[6.486581]	[101]	[]	[]	[43042115]	[]
503_10991	chr6	14734712	14735112	+	1000	41.0	[]	[]	[6.4858923]	[197]	[]	[14734939]
503_1100	chr1	161117819	161118219	+	1000	118.0	[]	[]	[10.947011]	[127]	[]	[161118043]
503_1101	chr1	163321627	163322027	+	1000	118.0	[]	[]	[10.310211]	[60]	[]	[163321784]
503_11015	chr7	26864639	26865039	+	1000	41.0	[]	[]	[7.915865]	[150]	[]	[26864872]
503_1102	chr11	16738306	16738706	+	1000	118.0	[]	[]	[7.4008026]	[157]	[]	[16738517]
503_11032	chr8	81732292	81732692	+	1000	41.0	[8.322755]	[101]	[10.698719]	[166]	[81732450]	[81732515]
503_11033	chr8	85220114	85220514	+	1000	41.0	[8.423885]	[161]	[]	[]	[85220304]	[]
503_1104	chr11	64165979	64166379	+	1000	118.0	[7.659544]	[120]	[]	[]	[64166185]	[]
503_11041	chr9	38047642	38048042	+	1000	41.0	[]	[]	[10.897183]	[96]	[]	[38047816]
503_11047	chr9	127568177	127568577	+	1000	41.0	[7.57576]	[63]	[]	[]	[127568335]	[]
503_1105	chr12	49018571	49018971	+	1000	118.0	[]	[]	[13.371697]	[154]	[]	[49018804]
503_11062	chr9	132798928	132799328	+	1000	41.0	[]	[]	[6.993913]	[123]	[]	[132799121]
503_11064	chr9	136093966	136094366	+	1000	41.0	[8.631947]	[86]	[]	[]	[136094138]	[]
503_1107	chr14	77457537	77457937	+	1000	118.0	[]	[]	[8.76831]	[126]	[]	[77457753]
503_11074	chrX	13734663	13735063	+	1000	41.0	[7.208534]	[140]	[]	[]	[13734863]	[]
503_11076	chrX	103214941	103215341	+	1000	41.0	[]	[]	[6.993913]	[166]	[]	[103215171]
503_11077	chrX	123960019	123960419	+	1000	41.0	[8.404206]	[211]	[]	[]	[123960264]	[]
503_11078	chr1	1371982	1372382	+	1000	40.0	[]	[]	[8.880239]	[109]	[]	[1372175]
503_11092	chr1	28449915	28450315	+	1000	40.0	[10.389162]	[63]	[]	[]	[28450074]	[]
503_11108	chr1	108830458	108830858	+	1000	40.0	[7.7460794]	[146]	[]	[]	[108830684]	[]
503_11125	chr1	182029823	182030223	+	1000	40.0	[]	[]	[9.875317]	[169]	[]	[182030011]
503_11126	chr1	204763769	204764169	+	1000	40.0	[10.310211]	[110]	[]	[]	[204763968]	[]
503_11135	chr1	244299327	244299727	+	1000	40.0	[10.897183]	[123]	[]	[]	[244299496]	[]
503_11148	chr10	84291392	84291792	+	1000	40.0	[6.406941]	[89]	[]	[]	[84291569]	[]
503_11153	chr10	101066120	101066520	+	1000	40.0	[6.612075]	[188]	[]	[]	[101066332]	[]
503_11158	chr10	133520156	133520556	+	1000	40.0	[]	[]	[11.405568]	[190]	[]	[133520406]
503_11163	chr11	6606859	6607259	+	1000	40.0	[12.327155]	[158]	[]	[]	[6607092]	[]
503_11166	chr11	46361301	46361701	+	1000	40.0	[9.276331]	[90]	[]	[]	[46361491]	[]
503_11178	chr11	75143141	75143541	+	1000	40.0	[9.276331]	[106]	[8.880239]	[65]	[75143335]	[75143294]
503_11179	chr11	95068576	95068976	+	1000	40.0	[]	[]	[10.897183, 8.423885]	[66, 159]	[]	[95068728, 95068821]
503_11183	chr11	119108568	119108968	+	1000	40.0	[8.830775, 8.880239]	[93, 105]	[]	[]	[119108743, 119108755]	[]
503_11194	chr12	76031500	76031900	+	1000	40.0	[7.277131]	[99]	[]	[]	[76031659]	[]
503_1121	chr6	35297584	35297984	+	1000	118.0	[8.403247]	[133]	[8.497711]	[123]	[35297808]	[35297798]
503_11212	chr14	70359540	70359940	+	1000	40.0	[]	[]	[9.913131]	[93]	[]	[70359733]
503_11214	chr14	88824456	88824856	+	1000	40.0	[6.993913]	[174]	[]	[]	[88824698]	[]
503_11228	chr15	89088284	89088684	+	1000	40.0	[]	[]	[6.486581]	[140]	[]	[89088468]
503_11232	chr16	1310002	1310402	+	1000	40.0	[]	[]	[6.4858923]	[127]	[]	[1310225]
503_11241	chr16	58859977	58860377	+	1000	40.0	[7.915865]	[90]	[6.9674606]	[132]	[58860149]	[58860191]
503_11242	chr16	69530630	69531030	+	1000	40.0	[9.305725]	[120]	[]	[]	[69530844]	[]
503_11249	chr16	89917854	89918254	+	1000	40.0	[11.343102]	[157]	[]	[]	[89918096]	[]
503_1125	chr9	133133756	133134156	+	1000	118.0	[7.4008026]	[125]	[10.796905]	[116]	[133133967]	[133133958]
503_11252	chr17	7843478	7843878	+	1000	40.0	[]	[]	[8.880239]	[82]	[]	[7843648]
503_11255	chr17	15236248	15236648	+	1000	40.0	[7.8463583]	[103]	[11.580525]	[141]	[15236404]	[15236442]
503_1126	chr1	1231826	1232226	+	1000	117.0	[8.404206]	[130]	[]	[]	[1232053]	[]
503_11268	chr17	48546943	48547343	+	1000	40.0	[9.80219]	[114]	[]	[]	[48547141]	[]
503_1127	chr1	109493864	109494264	+	1000	117.0	[7.3395963]	[164]	[6.406941]	[100]	[109494088]	[109494024]
503_11271	chr17	50866858	50867258	+	1000	40.0	[6.406941]	[134]	[7.099728]	[149]	[50867090]	[50867105]
503_11280	chr19	1408297	1408697	+	1000	40.0	[]	[]	[8.503526]	[83]	[]	[1408473]
503_11288	chr19	5585870	5586270	+	1000	40.0	[8.423885]	[109]	[]	[]	[5586041]	[]
503_11290	chr19	6425454	6425854	+	1000	40.0	[8.681774, 8.372218]	[158, 166]	[10.150553]	[140]	[6425681, 6425689]	[6425663]
503_1130	chr15	75335856	75336256	+	1000	117.0	[10.327956]	[106]	[]	[]	[75336050]	[]
503_11309	chr19	38636882	38637282	+	1000	40.0	[]	[]	[7.896186, 7.259386]	[187, 215]	[]	[38637085, 38637113]
503_1131	chr16	2682207	2682607	+	1000	117.0	[11.455031, 9.933497]	[101, 134]	[9.834179]	[140]	[2682376, 2682409]	[2682415]
503_11326	chr2	12434584	12434984	+	1000	40.0	[8.423885, 6.824492]	[73, 98]	[]	[]	[12434756, 12434781]	[]
503_11327	chr2	20579245	20579645	+	1000	40.0	[]	[]	[8.271939]	[149]	[]	[20579465]
