#PeakID(python scan_motif.py ./ENCODE_processed_files/IKZF1_idr.fa IKZF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
758_10078	chr19	5433751	5434151	+	1000	106.0	[11.362798, 7.6377397, 6.8401775, 7.250373]	[67, 92, 115, 134]	[]	[]	[5433912, 5433937, 5433960, 5433979]	[]
758_10079	chr19	12982415	12982815	+	1000	106.0	[]	[]	[9.411099]	[65]	[]	[12982578]
758_1008	chr4	55729769	55730169	+	1000	338.5	[]	[]	[9.919872]	[151]	[]	[55730016]
758_10080	chr19	13843527	13843927	+	1000	106.0	[]	[]	[6.8930507]	[70]	[]	[13843696]
758_10083	chr2	3336833	3337233	+	1000	106.0	[7.87297, 7.6377397, 7.2884393]	[84, 91, 180]	[]	[]	[3336984, 3336991, 3337080]	[]
758_10085	chr2	112674152	112674552	+	1000	106.0	[10.7555, 9.438231]	[55, 111]	[10.7555, 8.693299]	[134, 140]	[112674305, 112674361]	[112674384, 112674390]
758_10086	chr2	130180649	130181049	+	1000	106.0	[7.87297]	[72]	[]	[]	[130180809]	[]
758_10087	chr2	132347084	132347484	+	1000	106.0	[6.780856]	[72]	[8.056022]	[95]	[132347251]	[132347274]
758_10089	chr20	31699204	31699604	+	1000	106.0	[11.127567]	[116]	[]	[]	[31699407]	[]
758_10091	chr21	35504292	35504692	+	1000	106.0	[7.2884393]	[129]	[]	[]	[35504515]	[]
758_10092	chr22	20020563	20020963	+	1000	106.0	[]	[]	[10.770176]	[118]	[]	[20020749]
758_10093	chr22	20741746	20742146	+	1000	106.0	[]	[]	[6.7116218]	[76]	[]	[20741900]
758_10095	chr22	39464922	39465322	+	1000	106.0	[]	[]	[11.127567]	[175]	[]	[39465161]
758_10097	chr3	193928295	193928695	+	1000	106.0	[8.245038, 8.690641]	[152, 160]	[]	[]	[193928531, 193928539]	[]
758_10098	chr4	48853818	48854218	+	1000	106.0	[10.7555]	[86]	[]	[]	[48853996]	[]
758_10099	chr4	87011614	87012014	+	1000	106.0	[]	[]	[7.037342]	[74]	[]	[87011780]
758_101	chr19	46844117	46844517	+	1000	648.5	[]	[]	[7.3734775, 11.127567]	[105, 117]	[]	[46844317, 46844329]
758_1010	chr6	111872047	111872447	+	1000	338.5	[8.693299]	[146]	[]	[]	[111872288]	[]
758_10100	chr5	62585709	62586109	+	1000	106.0	[7.6377397, 14.245327]	[74, 155]	[10.256007]	[95]	[62585878, 62585959]	[62585899]
758_10101	chr6	27279555	27279955	+	1000	106.0	[]	[]	[10.770176]	[123]	[]	[27279733]
758_10102	chr6	31777122	31777522	+	1000	106.0	[8.458068]	[130]	[]	[]	[31777340]	[]
758_10105	chr6	157033397	157033797	+	1000	106.0	[]	[]	[8.734424]	[97]	[]	[157033560]
758_10106	chr7	37357532	37357932	+	1000	106.0	[]	[]	[7.6377397]	[105]	[]	[37357718]
758_10108	chr7	92528439	92528839	+	1000	106.0	[8.428089]	[141]	[]	[]	[92528678]	[]
758_10109	chr7	120999997	121000397	+	1000	106.0	[]	[]	[7.280349]	[110]	[]	[121000169]
758_1011	chr7	100472827	100473227	+	1000	338.5	[6.7116218]	[53]	[6.9204674]	[115]	[100472980]	[100473042]
758_10111	chr8	2730235	2730635	+	1000	106.0	[7.3734775]	[55]	[]	[]	[2730388]	[]
758_10112	chr8	23516666	23517066	+	1000	106.0	[7.6377397]	[105]	[]	[]	[23516858]	[]
758_10115	chr9	127977913	127978313	+	1000	106.0	[9.56255]	[152]	[]	[]	[127978145]	[]
758_10116	chrX	39853404	39853804	+	1000	106.0	[6.7416005, 6.7687325]	[102, 127]	[]	[]	[39853568, 39853593]	[]
758_10117	chr1	1135337	1135737	+	1000	105.5	[]	[]	[6.8930507]	[119]	[]	[1135553]
758_10119	chr1	30911273	30911673	+	1000	105.5	[]	[]	[8.245038]	[92]	[]	[30911433]
758_1012	chr1	27074154	27074554	+	1000	338.0	[6.773207]	[77]	[8.87635]	[69]	[27074324]	[27074316]
758_10120	chr1	99648073	99648473	+	1000	105.5	[8.1006775]	[125]	[]	[]	[99648283]	[]
758_10122	chr1	212242269	212242669	+	1000	105.5	[]	[]	[6.780856]	[57]	[]	[212242426]
758_10124	chr1	247078467	247078867	+	1000	105.5	[6.7416005]	[204]	[]	[]	[247078700]	[]
758_10125	chr10	11757525	11757925	+	1000	105.5	[7.220394, 6.8401775, 7.652416]	[94, 126, 158]	[]	[]	[11757706, 11757738, 11757770]	[]
758_10127	chr10	97332857	97333257	+	1000	105.5	[10.7555, 7.25846, 14.245327]	[61, 71, 78]	[9.373037]	[111]	[97333015, 97333025, 97333032]	[97333065]
758_10128	chr10	112949852	112950252	+	1000	105.5	[]	[]	[8.458068]	[154]	[]	[112950093]
758_10130	chr11	62877596	62877996	+	1000	105.5	[]	[]	[6.673559, 6.873926]	[122, 170]	[]	[62877793, 62877841]
758_10133	chr12	47820532	47820932	+	1000	105.5	[]	[]	[8.693299, 8.693299]	[65, 82]	[]	[47820687, 47820704]
758_10134	chr12	94460137	94460537	+	1000	105.5	[]	[]	[6.8930507]	[96]	[]	[94460304]
758_10136	chr14	99475633	99476033	+	1000	105.5	[]	[]	[7.652416, 7.220394]	[80, 91]	[]	[99475804, 99475815]
758_1014	chr13	51583846	51584246	+	1000	338.0	[]	[]	[7.652416]	[87]	[]	[51584012]
758_10141	chr17	4130663	4131063	+	1000	105.5	[6.8439474]	[63]	[]	[]	[4130822]	[]
758_10142	chr17	42314178	42314578	+	1000	105.5	[9.543426]	[154]	[]	[]	[42314413]	[]
758_10144	chr17	74454132	74454532	+	1000	105.5	[]	[]	[6.863072]	[86]	[]	[74454308]
758_10145	chr17	75114118	75114518	+	1000	105.5	[7.037342]	[140]	[11.127567]	[118]	[75114352]	[75114330]
758_1015	chr3	87796075	87796475	+	1000	338.0	[7.87297, 14.245327]	[89, 129]	[]	[]	[87796252, 87796292]	[]
758_10154	chr19	45241801	45242201	+	1000	105.5	[14.245327]	[81]	[6.7661796]	[119]	[45241969]	[45242007]
758_10155	chr19	47275859	47276259	+	1000	105.5	[]	[]	[9.081597]	[97]	[]	[47276030]
758_10157	chr2	68216480	68216880	+	1000	105.5	[]	[]	[6.8930507]	[100]	[]	[68216675]
758_10158	chr2	88659406	88659806	+	1000	105.5	[11.127567]	[121]	[]	[]	[88659617]	[]
758_10159	chr2	171514784	171515184	+	1000	105.5	[]	[]	[7.220394, 8.245038]	[111, 122]	[]	[171514960, 171514971]
758_1016	chr6	119311481	119311881	+	1000	338.0	[8.056022]	[116]	[]	[]	[119311690]	[]
758_10160	chr2	233350765	233351165	+	1000	105.5	[6.7035384]	[102]	[7.220394]	[166]	[233350939]	[233351003]
758_10162	chr22	22195420	22195820	+	1000	105.5	[]	[]	[7.25846]	[91]	[]	[22195582]
758_10163	chr22	26617654	26618054	+	1000	105.5	[]	[]	[8.693299]	[119]	[]	[26617835]
758_10164	chr3	193782222	193782622	+	1000	105.5	[8.458068, 6.673559]	[92, 164]	[]	[]	[193782387, 193782459]	[]
758_10165	chr3	193837318	193837718	+	1000	105.5	[]	[]	[6.8439474, 7.6377397]	[136, 155]	[]	[193837505, 193837524]
758_10167	chr4	122824602	122825002	+	1000	105.5	[6.6800203]	[151]	[]	[]	[122824846]	[]
758_10169	chr5	36389279	36389679	+	1000	105.5	[]	[]	[6.7035384, 8.87635]	[112, 166]	[]	[36389469, 36389523]
758_10172	chr5	150904992	150905392	+	1000	105.5	[]	[]	[8.1006775]	[67]	[]	[150905147]
758_10178	chr6	42923693	42924093	+	1000	105.5	[]	[]	[8.693299]	[84]	[]	[42923876]
758_10180	chr6	106849596	106849996	+	1000	105.5	[11.575829]	[129]	[]	[]	[106849823]	[]
758_10181	chr6	117595126	117595526	+	1000	105.5	[7.87297]	[139]	[]	[]	[117595356]	[]
758_10184	chr7	77873440	77873840	+	1000	105.5	[7.250373]	[145]	[]	[]	[77873683]	[]
758_10185	chr7	106779826	106780226	+	1000	105.5	[7.250373]	[108]	[6.8930507, 7.5565295]	[77, 117]	[106780009]	[106779978, 106780018]
758_10188	chr9	88800320	88800720	+	1000	105.5	[11.127567]	[104]	[]	[]	[88800523]	[]
758_1019	chr19	11578206	11578606	+	1000	337.5	[6.780856, 8.458068]	[69, 120]	[7.652416]	[113]	[11578375, 11578426]	[11578419]
758_10192	chrX	72181584	72181984	+	1000	105.5	[8.056022]	[118]	[]	[]	[72181794]	[]
758_10193	chr1	5885774	5886174	+	1000	105.0	[]	[]	[7.1035194]	[123]	[]	[5885972]
758_10195	chr1	16162304	16162704	+	1000	105.0	[]	[]	[8.056022, 7.5565295]	[94, 116]	[]	[16162488, 16162510]
758_10196	chr1	19469530	19469930	+	1000	105.0	[8.458068]	[109]	[]	[]	[19469728]	[]
758_10197	chr1	19508676	19509076	+	1000	105.0	[6.780856]	[133]	[9.411099]	[152]	[19508907]	[19508926]
758_10198	chr1	26035993	26036393	+	1000	105.0	[7.2884393]	[160]	[]	[]	[26036234]	[]
758_10199	chr1	26145095	26145495	+	1000	105.0	[9.919872]	[77]	[]	[]	[26145261]	[]
758_1020	chr6	34657394	34657794	+	1000	337.5	[9.442706, 8.245038]	[73, 85]	[]	[]	[34657566, 34657578]	[]
758_10201	chr1	74729995	74730395	+	1000	105.0	[7.87297, 7.280349]	[84, 92]	[]	[]	[74730163, 74730171]	[]
758_10204	chr1	149906562	149906962	+	1000	105.0	[7.5565295, 7.652416]	[158, 236]	[6.6800203]	[201]	[149906724, 149906802]	[149906767]
758_10206	chr1	202091048	202091448	+	1000	105.0	[]	[]	[7.6377397, 7.2884393, 8.245038]	[109, 144, 150]	[]	[202091237, 202091272, 202091278]
758_10208	chr10	11640129	11640529	+	1000	105.0	[]	[]	[6.7661796]	[107]	[]	[11640328]
758_10209	chr10	12221947	12222347	+	1000	105.0	[10.256007]	[94]	[]	[]	[12222134]	[]
758_10211	chr10	102801943	102802343	+	1000	105.0	[]	[]	[11.575829]	[105]	[]	[102802141]
758_10212	chr11	444333	444733	+	1000	105.0	[8.87635]	[125]	[8.458068]	[91]	[444554]	[444520]
758_10213	chr11	74673401	74673801	+	1000	105.0	[7.5565295]	[156]	[6.7687325, 7.280349]	[79, 124]	[74673633]	[74673556, 74673601]
758_10214	chr11	87037067	87037467	+	1000	105.0	[6.660896, 6.660896]	[94, 123]	[]	[]	[87037252, 87037281]	[]
758_10216	chr12	22047486	22047886	+	1000	105.0	[9.802997]	[92]	[]	[]	[22047670]	[]
758_10217	chr12	46357534	46357934	+	1000	105.0	[]	[]	[11.575829, 11.54585]	[75, 83]	[]	[46357691, 46357699]
758_10219	chr12	92003636	92004036	+	1000	105.0	[]	[]	[8.245038]	[56]	[]	[92003790]
758_1022	chr10	71860317	71860717	+	1000	337.0	[]	[]	[9.802997]	[93]	[]	[71860503]
758_10220	chr12	100269039	100269439	+	1000	105.0	[]	[]	[9.957938]	[120]	[]	[100269256]
758_10221	chr13	18921097	18921497	+	1000	105.0	[]	[]	[7.5565295]	[106]	[]	[18921295]
758_10222	chr13	112709272	112709672	+	1000	105.0	[]	[]	[7.87297]	[56]	[]	[112709425]
758_10225	chr16	69017346	69017746	+	1000	105.0	[6.7661796]	[94]	[7.037342, 7.280349]	[88, 107]	[69017521]	[69017515, 69017534]
758_10226	chr16	87303528	87303928	+	1000	105.0	[11.362798, 14.245327]	[94, 142]	[]	[]	[87303710, 87303758]	[]
758_10229	chr17	40075433	40075833	+	1000	105.0	[8.245038]	[137]	[]	[]	[40075616]	[]
758_1023	chr15	65839508	65839908	+	1000	336.5	[11.127567]	[112]	[9.919872]	[138]	[65839681]	[65839707]
758_10231	chr18	12996670	12997070	+	1000	105.0	[9.56255]	[67]	[]	[]	[12996824]	[]
758_10233	chr19	10462534	10462934	+	1000	105.0	[]	[]	[8.458068]	[91]	[]	[10462710]
758_10235	chr19	49495893	49496293	+	1000	105.0	[9.543426]	[143]	[]	[]	[49496133]	[]
758_10236	chr19	54696741	54697141	+	1000	105.0	[6.8930507, 10.256007]	[68, 112]	[]	[]	[54696894, 54696938]	[]
758_10238	chr2	11940181	11940581	+	1000	105.0	[6.8439474]	[109]	[9.373037]	[70]	[11940380]	[11940341]
758_10239	chr2	47309850	47310250	+	1000	105.0	[9.373037]	[94]	[]	[]	[47310025]	[]
758_1024	chr2	3518803	3519203	+	1000	336.5	[9.957938]	[68]	[]	[]	[3518965]	[]
758_10240	chr2	64019655	64020055	+	1000	105.0	[]	[]	[8.458068]	[78]	[]	[64019810]
758_10241	chr2	83790513	83790913	+	1000	105.0	[14.245327, 7.6377397]	[84, 92]	[]	[]	[83790684, 83790692]	[]
758_10242	chr2	88054337	88054737	+	1000	105.0	[10.256007]	[88]	[]	[]	[88054493]	[]
758_10243	chr2	157876160	157876560	+	1000	105.0	[8.458068]	[137]	[]	[]	[157876364]	[]
758_10247	chr3	36922677	36923077	+	1000	105.0	[14.245327]	[124]	[]	[]	[36922900]	[]
758_10248	chr4	38667115	38667515	+	1000	105.0	[]	[]	[14.245327]	[119]	[]	[38667325]
758_10249	chr4	39369352	39369752	+	1000	105.0	[6.7661796]	[133]	[]	[]	[39369581]	[]
758_1025	chr19	5773692	5774092	+	1000	336.0	[9.919872]	[115]	[]	[]	[5773902]	[]
758_10250	chr4	48780357	48780757	+	1000	105.0	[]	[]	[10.770176]	[174]	[]	[48780565]
758_10251	chr4	74330432	74330832	+	1000	105.0	[]	[]	[9.543426]	[114]	[]	[74330630]
758_10252	chr4	76198608	76199008	+	1000	105.0	[7.037342]	[117]	[]	[]	[76198788]	[]
758_10253	chr4	88758966	88759366	+	1000	105.0	[7.3734775]	[123]	[]	[]	[88759174]	[]
758_10255	chr6	26215451	26215851	+	1000	105.0	[]	[]	[6.743228, 7.652416]	[96, 140]	[]	[26215617, 26215661]
758_10259	chr6	35471094	35471494	+	1000	105.0	[]	[]	[9.543426]	[96]	[]	[35471285]
758_10261	chr6	44263473	44263873	+	1000	105.0	[]	[]	[11.575829]	[105]	[]	[44263675]
758_10263	chr6	70376657	70377057	+	1000	105.0	[6.743228]	[85]	[]	[]	[70376823]	[]
758_10264	chr6	79604467	79604867	+	1000	105.0	[]	[]	[11.362798]	[122]	[]	[79604662]
758_10266	chr6	126118133	126118533	+	1000	105.0	[]	[]	[7.5565295]	[121]	[]	[126118354]
758_10267	chr7	126667910	126668310	+	1000	105.0	[]	[]	[6.7687325, 7.5565295]	[113, 119]	[]	[126668102, 126668108]
758_10269	chr7	143413703	143414103	+	1000	105.0	[]	[]	[10.7555]	[137]	[]	[143413940]
758_1027	chr1	28882084	28882484	+	1000	335.5	[]	[]	[9.442706]	[126]	[]	[28882266]
758_10273	chr8	129557769	129558169	+	1000	105.0	[11.127567]	[169]	[]	[]	[129558016]	[]
758_10274	chr9	131181096	131181496	+	1000	105.0	[11.575829, 7.037342]	[85, 110]	[]	[]	[131181280, 131181305]	[]
758_10275	chrX	118948161	118948561	+	1000	105.0	[]	[]	[7.6377397]	[100]	[]	[118948353]
758_10277	chr1	6523539	6523939	+	1000	104.5	[]	[]	[6.6800203, 7.5565295]	[80, 119]	[]	[6523709, 6523748]
758_10278	chr10	3835768	3836168	+	1000	104.5	[11.127567]	[83]	[11.127567]	[139]	[3835948]	[3836004]
758_10279	chr10	6162606	6163006	+	1000	104.5	[]	[]	[9.438231]	[70]	[]	[6162775]
758_10280	chr10	6164741	6165141	+	1000	104.5	[]	[]	[11.575829]	[147]	[]	[6164977]
758_10281	chr10	73591834	73592234	+	1000	104.5	[9.56255]	[100]	[]	[]	[73592027]	[]
758_10285	chr11	3509485	3509885	+	1000	104.5	[]	[]	[7.5565295]	[89]	[]	[3509654]
758_10288	chr11	33737069	33737469	+	1000	104.5	[9.56255]	[121]	[]	[]	[33737289]	[]
758_1029	chr2	32063168	32063568	+	1000	335.5	[]	[]	[7.3734775]	[120]	[]	[32063382]
758_10293	chr12	57429812	57430212	+	1000	104.5	[]	[]	[6.773207]	[173]	[]	[57430039]
758_10296	chr15	66581871	66582271	+	1000	104.5	[]	[]	[6.7116218]	[122]	[]	[66582086]
758_10297	chr15	67125724	67126124	+	1000	104.5	[10.256007, 6.8439474, 6.8439474]	[56, 82, 100]	[]	[]	[67125879, 67125905, 67125923]	[]
758_10298	chr15	97961400	97961800	+	1000	104.5	[6.8401775]	[116]	[]	[]	[97961610]	[]
758_10299	chr17	29147749	29148149	+	1000	104.5	[10.7555, 7.2884393]	[58, 150]	[]	[]	[29147905, 29147997]	[]
758_1030	chr1	20185200	20185600	+	1000	335.0	[11.362798]	[141]	[]	[]	[20185441]	[]
758_10300	chr17	42407304	42407704	+	1000	104.5	[]	[]	[11.575829, 10.256007]	[72, 106]	[]	[42407471, 42407505]
758_10301	chr17	54900849	54901249	+	1000	104.5	[]	[]	[7.6377397]	[159]	[]	[54901096]
758_10302	chr17	64707055	64707455	+	1000	104.5	[9.543426, 8.693299]	[118, 133]	[]	[]	[64707249, 64707264]	[]
758_10305	chr19	33176714	33177114	+	1000	104.5	[10.256007]	[81]	[6.673559]	[150]	[33176867]	[33176936]
758_10306	chr19	38618753	38619153	+	1000	104.5	[6.743228]	[110]	[]	[]	[38618925]	[]
758_10308	chr2	24588202	24588602	+	1000	104.5	[7.87297]	[179]	[6.780856, 6.8401775]	[99, 167]	[24588447]	[24588367, 24588435]
758_10309	chr2	71068308	71068708	+	1000	104.5	[7.6377397, 6.863072]	[161, 234]	[]	[]	[71068484, 71068557]	[]
758_10310	chr2	178275539	178275939	+	1000	104.5	[6.8930507, 11.575829]	[101, 117]	[]	[]	[178275731, 178275747]	[]
758_10311	chr2	226979056	226979456	+	1000	104.5	[10.256007]	[135]	[]	[]	[226979283]	[]
758_10312	chr20	50348070	50348470	+	1000	104.5	[]	[]	[9.411099, 8.458068]	[95, 119]	[]	[50348253, 50348277]
758_10315	chr22	21864497	21864897	+	1000	104.5	[]	[]	[9.802997]	[116]	[]	[21864663]
758_10316	chr22	31490474	31490874	+	1000	104.5	[7.25846]	[112]	[]	[]	[31490685]	[]
758_1032	chr10	17029626	17030026	+	1000	334.5	[9.442706, 9.543426]	[85, 93]	[]	[]	[17029806, 17029814]	[]
758_10320	chr4	98839242	98839642	+	1000	104.5	[7.652416]	[116]	[]	[]	[98839442]	[]
758_10321	chr4	126470822	126471222	+	1000	104.5	[7.220394, 7.3734775, 6.7687325]	[116, 148, 154]	[]	[]	[126471024, 126471056, 126471062]	[]
758_10325	chr5	39424984	39425384	+	1000	104.5	[11.362798]	[164]	[]	[]	[39425231]	[]
758_10326	chr5	54738566	54738966	+	1000	104.5	[]	[]	[11.54585]	[156]	[]	[54738805]
758_10327	chr5	96702630	96703030	+	1000	104.5	[6.5722647]	[123]	[]	[]	[96702827]	[]
758_10328	chr5	159098482	159098882	+	1000	104.5	[7.6377397, 8.245038, 11.362798]	[167, 200, 212]	[]	[]	[159098668, 159098701, 159098713]	[]
758_1033	chr10	50577630	50578030	+	1000	334.5	[]	[]	[7.87297, 7.87297, 7.87297]	[92, 97, 102]	[]	[50577813, 50577818, 50577823]
758_10331	chr6	26173273	26173673	+	1000	104.5	[]	[]	[9.373037, 6.9204674]	[83, 89]	[]	[26173446, 26173452]
758_10334	chr6	41466333	41466733	+	1000	104.5	[6.7416005, 7.87297, 8.458068]	[85, 93, 120]	[]	[]	[41466516, 41466524, 41466551]	[]
758_10336	chr6	57224747	57225147	+	1000	104.5	[]	[]	[8.458068, 6.9204674]	[85, 119]	[]	[57224932, 57224966]
758_10337	chr6	108606365	108606765	+	1000	104.5	[7.5565295]	[157]	[]	[]	[108606603]	[]
758_10338	chr7	7104276	7104676	+	1000	104.5	[7.5565295]	[81]	[6.9204674]	[96]	[7104455]	[7104470]
758_1034	chr2	195613939	195614339	+	1000	334.5	[7.6377397]	[142]	[]	[]	[195614171]	[]
758_10340	chr7	153381613	153382013	+	1000	104.5	[9.442706, 6.7416005]	[116, 157]	[]	[]	[153381805, 153381846]	[]
758_10341	chr7	155206585	155206985	+	1000	104.5	[6.7687325]	[127]	[6.738754]	[169]	[155206745]	[155206787]
758_10342	chr7	159030741	159031141	+	1000	104.5	[7.0754085, 9.957938, 6.738754]	[94, 100, 151]	[]	[]	[159030918, 159030924, 159030975]	[]
758_10344	chr8	73312331	73312731	+	1000	104.5	[]	[]	[8.056022]	[124]	[]	[73312545]
758_10346	chr9	98791275	98791675	+	1000	104.5	[7.2884393, 7.6377397, 8.220124]	[71, 110, 118]	[7.6377397]	[146]	[98791427, 98791466, 98791474]	[98791502]
758_10348	chr9	137277561	137277961	+	1000	104.5	[]	[]	[8.1006775]	[88]	[]	[137277719]
758_10349	chrX	130125211	130125611	+	1000	104.5	[7.3734775]	[128]	[]	[]	[130125421]	[]
758_10351	chr1	15951545	15951945	+	1000	104.0	[11.362798, 7.1035194]	[107, 143]	[]	[]	[15951743, 15951779]	[]
758_10353	chr1	28926850	28927250	+	1000	104.0	[14.245327]	[145]	[]	[]	[28927094]	[]
758_10354	chr1	109532720	109533120	+	1000	104.0	[6.6800203]	[112]	[]	[]	[109532926]	[]
758_10355	chr1	116758076	116758476	+	1000	104.0	[11.575829, 11.362798]	[103, 128]	[]	[]	[116758275, 116758300]	[]
758_10357	chr1	155255645	155256045	+	1000	104.0	[]	[]	[8.428089]	[123]	[]	[155255831]
758_10358	chr1	172933906	172934306	+	1000	104.0	[]	[]	[14.245327, 11.575829]	[103, 143]	[]	[172934101, 172934141]
758_10359	chr1	182839845	182840245	+	1000	104.0	[6.5722647]	[75]	[]	[]	[182840009]	[]
758_10361	chr10	71849976	71850376	+	1000	104.0	[]	[]	[8.693299]	[128]	[]	[71850186]
758_10364	chr11	73335518	73335918	+	1000	104.0	[9.919872]	[110]	[]	[]	[73335718]	[]
758_10365	chr12	49983773	49984173	+	1000	104.0	[]	[]	[8.458068]	[122]	[]	[49983994]
