#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2C2_idr.fa NR2C2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
151_10044	chr4	150950611	150951011	+	1000	106.0	[9.443364, 9.443364]	[107, 118]	[]	[]	[150950811, 150950822]	[]
151_10050	chr5	111512860	111513260	+	1000	106.0	[]	[]	[9.443364]	[162]	[]	[111513100]
151_10051	chr5	138601398	138601798	+	1000	106.0	[9.443364]	[82]	[]	[]	[138601567]	[]
151_10054	chr6	17700779	17701179	+	1000	106.0	[7.9852743]	[143]	[]	[]	[17701011]	[]
151_10059	chr6	149717823	149718223	+	1000	106.0	[7.7064734]	[145]	[]	[]	[149718005]	[]
151_10063	chr8	9171789	9172189	+	1000	106.0	[]	[]	[9.443364]	[96]	[]	[9171974]
151_10064	chr8	29225714	29226114	+	1000	106.0	[9.443364]	[145]	[]	[]	[29225959]	[]
151_10067	chr9	98182242	98182642	+	1000	106.0	[]	[]	[9.164563]	[83]	[]	[98182400]
151_10069	chr9	98929771	98930171	+	1000	106.0	[]	[]	[9.443364]	[98]	[]	[98929959]
151_1007	chr1	155911127	155911527	+	1000	513.0	[9.164563]	[84]	[9.443364, 9.164563]	[128, 135]	[155911305]	[155911349, 155911356]
151_10070	chr9	99259306	99259706	+	1000	106.0	[]	[]	[7.9852743]	[135]	[]	[99259508]
151_10072	chr9	128150568	128150968	+	884	106.0	[9.164563]	[138]	[]	[]	[128150791]	[]
151_10075	chrX	119041151	119041551	+	1000	106.0	[9.164563]	[115]	[9.443364]	[137]	[119041361]	[119041383]
151_10078	chr1	7857015	7857415	+	1000	105.0	[]	[]	[9.443364]	[147]	[]	[7857228]
151_10081	chr1	22983820	22984220	+	1000	105.0	[]	[]	[7.7064734]	[109]	[]	[22983996]
151_10082	chr1	23484508	23484908	+	1000	105.0	[]	[]	[9.443364]	[55]	[]	[23484662]
151_10087	chr1	53837193	53837593	+	1000	105.0	[9.443364]	[108]	[]	[]	[53837358]	[]
151_10088	chr1	60958009	60958409	+	1000	105.0	[]	[]	[9.164563]	[114]	[]	[60958206]
151_10089	chr1	61966778	61967178	+	1000	105.0	[]	[]	[9.443364, 9.443364]	[156, 173]	[]	[61966993, 61967010]
151_10093	chr1	180632409	180632809	+	1000	105.0	[7.7064734]	[141]	[9.443364]	[185]	[180632600]	[180632644]
151_10096	chr10	25117808	25118208	+	1000	105.0	[]	[]	[9.164563]	[165]	[]	[25118037]
151_10098	chr10	63107926	63108326	+	1000	105.0	[]	[]	[9.443364]	[109]	[]	[63108098]
151_10099	chr10	67788530	67788930	+	1000	105.0	[9.443364, 9.164563]	[56, 97]	[]	[]	[67788685, 67788726]	[]
151_101	chr3	14651410	14651810	+	1000	1193.0	[]	[]	[9.443364, 9.443364]	[88, 123]	[]	[14651598, 14651633]
151_10104	chr10	97648903	97649303	+	1000	105.0	[]	[]	[9.443364]	[133]	[]	[97649116]
151_10106	chr10	119688108	119688508	+	1000	105.0	[]	[]	[9.443364, 9.443364]	[71, 88]	[]	[119688273, 119688290]
151_10107	chr11	67321521	67321921	+	1000	105.0	[9.443364]	[107]	[]	[]	[67321706]	[]
151_10109	chr12	57138702	57139102	+	1000	105.0	[]	[]	[9.164563]	[136]	[]	[57138907]
151_1011	chr6	20402812	20403212	+	1000	512.0	[9.164563]	[76]	[]	[]	[20402976]	[]
151_10110	chr12	108123416	108123816	+	1000	105.0	[9.164563]	[118]	[]	[]	[108123580]	[]
151_10111	chr12	108838317	108838717	+	1000	105.0	[]	[]	[9.443364]	[153]	[]	[108838493]
151_10113	chr12	111404522	111404922	+	1000	105.0	[9.443364]	[125]	[]	[]	[111404708]	[]
151_10115	chr13	93320853	93321253	+	1000	105.0	[9.443364]	[135]	[]	[]	[93321039]	[]
151_10119	chr14	71143627	71144027	+	1000	105.0	[]	[]	[9.443364]	[142]	[]	[71143863]
151_10120	chr15	66294020	66294420	+	1000	105.0	[]	[]	[9.443364]	[106]	[]	[66294181]
151_10122	chr15	70249579	70249979	+	1000	105.0	[]	[]	[9.164563]	[150]	[]	[70249829]
151_10123	chr15	90869636	90870036	+	1000	105.0	[]	[]	[9.443364]	[121]	[]	[90869807]
151_10127	chr16	30090108	30090508	+	1000	105.0	[9.443364]	[165]	[9.164563]	[199]	[30090291]	[30090325]
151_1013	chr16	90168628	90169028	+	1000	510.0	[9.443364, 9.443364]	[166, 215]	[]	[]	[90168823, 90168872]	[]
151_10131	chr17	3917432	3917832	+	1000	105.0	[9.164563, 9.443364]	[133, 175]	[]	[]	[3917635, 3917677]	[]
151_1014	chr22	20916914	20917314	+	1000	510.0	[7.9852743]	[103]	[]	[]	[20917072]	[]
151_10141	chr19	38879128	38879528	+	1000	105.0	[9.443364, 9.443364, 9.164563]	[104, 120, 138]	[]	[]	[38879323, 38879339, 38879357]	[]
151_10144	chr2	10408171	10408571	+	1000	105.0	[9.443364]	[116]	[]	[]	[10408387]	[]
151_10145	chr2	12201399	12201799	+	1000	105.0	[]	[]	[9.164563]	[105]	[]	[12201589]
151_10147	chr2	45578482	45578882	+	1000	105.0	[9.443364]	[164]	[]	[]	[45578719]	[]
151_10152	chr2	240560739	240561139	+	1000	105.0	[]	[]	[7.7064734]	[134]	[]	[240560900]
151_10153	chr20	17808399	17808799	+	1000	105.0	[]	[]	[9.443364]	[104]	[]	[17808591]
151_1016	chr16	29815917	29816317	+	1000	509.0	[]	[]	[9.164563]	[110]	[]	[29816116]
151_10160	chr22	28800585	28800985	+	1000	105.0	[9.164563]	[77]	[]	[]	[28800745]	[]
151_10161	chr22	29084019	29084419	+	1000	105.0	[9.443364]	[94]	[]	[]	[29084191]	[]
151_10163	chr3	4467040	4467440	+	1000	105.0	[]	[]	[9.164563]	[139]	[]	[4467264]
151_10167	chr4	3532177	3532577	+	1000	105.0	[]	[]	[7.9852743, 9.164563]	[127, 132]	[]	[3532389, 3532394]
151_10168	chr4	41909172	41909572	+	952	105.0	[9.443364, 9.443364]	[100, 114]	[]	[]	[41909365, 41909379]	[]
151_10170	chr4	182917326	182917726	+	1000	105.0	[7.7064734]	[84]	[]	[]	[182917507]	[]
151_10171	chr5	55307643	55308043	+	1000	105.0	[7.9852743]	[132]	[]	[]	[55307829]	[]
151_10172	chr5	88825724	88826124	+	1000	105.0	[9.443364]	[131]	[]	[]	[88825932]	[]
151_10175	chr5	150142775	150143175	+	1000	105.0	[9.443364]	[193]	[9.443364]	[166]	[150143000]	[150142973]
151_10176	chr5	150428271	150428671	+	1000	105.0	[9.443364]	[141]	[]	[]	[150428499]	[]
151_10177	chr5	170331233	170331633	+	1000	105.0	[]	[]	[9.443364]	[162]	[]	[170331458]
151_10178	chr5	172150469	172150869	+	1000	105.0	[9.443364]	[122]	[]	[]	[172150630]	[]
151_10179	chr6	3212658	3213058	+	788	105.0	[9.443364]	[88]	[]	[]	[3212843]	[]
151_1018	chr1	12604386	12604786	+	1000	507.0	[]	[]	[9.443364, 9.164563]	[122, 133]	[]	[12604603, 12604614]
151_10180	chr6	6657140	6657540	+	1000	105.0	[]	[]	[9.443364]	[92]	[]	[6657295]
151_10183	chr6	28981842	28982242	+	1000	105.0	[9.443364]	[143]	[]	[]	[28982080]	[]
151_10186	chr6	139376610	139377010	+	1000	105.0	[9.443364]	[97]	[]	[]	[139376800]	[]
151_10188	chr6	150573013	150573413	+	1000	105.0	[9.164563]	[148]	[9.164563]	[131]	[150573257]	[150573240]
151_10189	chr7	16421243	16421643	+	1000	105.0	[7.7064734]	[103]	[]	[]	[16421395]	[]
151_10190	chr7	73341872	73342272	+	1000	105.0	[]	[]	[9.443364]	[152]	[]	[73342114]
151_10191	chr7	157319781	157320181	+	1000	105.0	[9.443364, 9.443364]	[104, 147]	[]	[]	[157319950, 157319993]	[]
151_10193	chr8	9338189	9338589	+	1000	105.0	[]	[]	[9.443364]	[144]	[]	[9338432]
151_10194	chr8	21959905	21960305	+	1000	105.0	[]	[]	[9.164563]	[144]	[]	[21960147]
151_10195	chr8	27490995	27491395	+	1000	105.0	[]	[]	[7.9852743]	[162]	[]	[27491232]
151_10199	chr9	126985049	126985449	+	1000	105.0	[]	[]	[9.443364, 9.164563]	[127, 137]	[]	[126985267, 126985277]
151_10200	chr9	127509443	127509843	+	1000	105.0	[9.443364]	[132]	[]	[]	[127509670]	[]
151_10201	chr9	128007516	128007916	+	1000	105.0	[]	[]	[9.443364]	[72]	[]	[128007686]
151_10202	chr9	128818492	128818892	+	1000	105.0	[7.7064734, 7.9852743]	[106, 121]	[9.164563]	[159]	[128818654, 128818669]	[128818707]
151_10205	chrX	49163752	49164152	+	1000	105.0	[9.164563]	[154]	[]	[]	[49164003]	[]
151_10206	chr1	7621841	7622241	+	1000	104.0	[]	[]	[9.443364, 9.164563]	[121, 142]	[]	[7622059, 7622080]
151_10208	chr1	21953070	21953470	+	1000	104.0	[9.443364]	[164]	[]	[]	[21953291]	[]
151_10211	chr1	40784295	40784695	+	830	104.0	[]	[]	[7.7064734]	[125]	[]	[40784514]
151_10215	chr1	86915158	86915558	+	1000	104.0	[9.443364]	[114]	[]	[]	[86915363]	[]
151_10220	chr1	155991064	155991464	+	1000	104.0	[9.164563, 9.164563]	[134, 163]	[9.443364, 9.443364]	[126, 155]	[155991282, 155991311]	[155991274, 155991303]
151_10222	chr1	174968710	174969110	+	1000	104.0	[9.443364]	[98]	[]	[]	[174968903]	[]
151_10223	chr1	181104958	181105358	+	1000	104.0	[9.443364]	[150]	[]	[]	[181105141]	[]
151_10226	chr1	230126957	230127357	+	1000	104.0	[]	[]	[9.164563]	[119]	[]	[230127137]
151_10229	chr1	245042547	245042947	+	1000	104.0	[]	[]	[9.443364]	[251]	[]	[245042793]
151_1023	chr2	65420752	65421152	+	1000	506.0	[]	[]	[9.443364]	[109]	[]	[65420953]
151_10231	chr10	6033929	6034329	+	1000	104.0	[9.443364, 9.443364]	[111, 161]	[]	[]	[6034126, 6034176]	[]
151_10234	chr10	22658666	22659066	+	1000	104.0	[9.443364, 9.443364]	[114, 122]	[]	[]	[22658866, 22658874]	[]
151_10236	chr10	60979728	60980128	+	1000	104.0	[9.443364]	[153]	[]	[]	[60979918]	[]
151_10238	chr10	63268905	63269305	+	1000	104.0	[9.164563, 7.9852743]	[108, 129]	[]	[]	[63269059, 63269080]	[]
151_10239	chr10	80454801	80455201	+	1000	104.0	[]	[]	[9.164563, 9.164563, 9.443364]	[142, 194, 201]	[]	[80454980, 80455032, 80455039]
151_10240	chr11	69298371	69298771	+	1000	104.0	[9.443364]	[125]	[]	[]	[69298557]	[]
151_10244	chr11	129960190	129960590	+	1000	104.0	[9.443364]	[112]	[]	[]	[129960398]	[]
151_10248	chr12	92144083	92144483	+	1000	104.0	[9.164563]	[172]	[]	[]	[92144273]	[]
151_1025	chr11	113314284	113314684	+	1000	505.0	[]	[]	[9.164563]	[117]	[]	[113314482]
151_10253	chr16	4802034	4802434	+	1000	104.0	[7.9852743]	[100]	[]	[]	[4802226]	[]
151_10257	chr16	88452653	88453053	+	1000	104.0	[]	[]	[9.443364]	[159]	[]	[88452902]
151_10258	chr17	1628914	1629314	+	1000	104.0	[]	[]	[9.164563]	[187]	[]	[1629127]
151_10259	chr17	7838647	7839047	+	1000	104.0	[9.164563]	[177]	[9.443364]	[122]	[7838886]	[7838831]
151_1026	chr19	14006935	14007335	+	1000	505.0	[9.443364]	[65]	[]	[]	[14007097]	[]
151_10260	chr17	28726750	28727150	+	1000	104.0	[]	[]	[9.164563]	[99]	[]	[28726946]
151_10264	chr17	55332575	55332975	+	1000	104.0	[]	[]	[9.443364]	[123]	[]	[55332790]
151_10266	chr18	3585751	3586151	+	1000	104.0	[]	[]	[9.443364]	[112]	[]	[3585943]
151_10267	chr18	74242612	74243012	+	1000	104.0	[]	[]	[9.443364]	[134]	[]	[74242786]
151_1027	chr5	180809850	180810250	+	1000	505.0	[7.7064734, 7.7064734]	[114, 170]	[7.7064734]	[92]	[180810030, 180810086]	[180810008]
151_10277	chr2	66526105	66526505	+	1000	104.0	[9.443364, 9.443364]	[75, 111]	[]	[]	[66526277, 66526313]	[]
151_10278	chr2	86204503	86204903	+	1000	104.0	[]	[]	[9.443364]	[90]	[]	[86204683]
151_10284	chr2	200125004	200125404	+	1000	104.0	[9.443364]	[150]	[]	[]	[200125215]	[]
151_10286	chr2	241686940	241687340	+	1000	104.0	[9.164563, 7.7064734]	[151, 179]	[]	[]	[241687112, 241687140]	[]
151_10287	chr20	64065975	64066375	+	1000	104.0	[9.164563, 9.443364]	[111, 148]	[9.443364]	[118]	[64066164, 64066201]	[64066171]
151_10289	chr21	35480968	35481368	+	1000	104.0	[]	[]	[9.164563]	[68]	[]	[35481135]
151_1029	chr11	130002973	130003373	+	1000	504.0	[9.164563]	[121]	[]	[]	[130003180]	[]
151_10290	chr21	43857530	43857930	+	1000	104.0	[9.443364]	[75]	[]	[]	[43857682]	[]
151_10292	chr22	21704686	21705086	+	1000	104.0	[]	[]	[7.9852743, 7.9852743]	[94, 156]	[]	[21704858, 21704920]
151_10293	chr22	23138998	23139398	+	1000	104.0	[9.164563]	[172]	[9.443364]	[153]	[23139246]	[23139227]
151_10297	chr3	13459569	13459969	+	1000	104.0	[]	[]	[9.164563]	[174]	[]	[13459805]
151_10299	chr3	14901458	14901858	+	1000	104.0	[9.443364]	[131]	[]	[]	[14901648]	[]
151_1030	chr12	56202360	56202760	+	1000	504.0	[]	[]	[9.443364, 9.443364]	[125, 132]	[]	[56202582, 56202589]
151_10300	chr3	24343155	24343555	+	741	104.0	[9.164563]	[134]	[]	[]	[24343358]	[]
151_10302	chr3	100089691	100090091	+	1000	104.0	[]	[]	[9.443364]	[73]	[]	[100089861]
151_10304	chr3	183428567	183428967	+	1000	104.0	[]	[]	[9.164563]	[151]	[]	[183428809]
151_10305	chr3	195141299	195141699	+	1000	104.0	[]	[]	[9.443364]	[84]	[]	[195141477]
151_10307	chr5	80407591	80407991	+	1000	104.0	[7.9852743]	[161]	[7.9852743]	[154]	[80407829]	[80407822]
151_10309	chr5	132666673	132667073	+	1000	104.0	[9.443364]	[112]	[]	[]	[132666876]	[]
151_10310	chr5	172433523	172433923	+	1000	104.0	[]	[]	[9.443364]	[107]	[]	[172433726]
151_10312	chr5	175478845	175479245	+	1000	104.0	[7.7064734]	[195]	[]	[]	[175479083]	[]
151_10313	chr5	178232445	178232845	+	1000	104.0	[7.7064734]	[120]	[]	[]	[178232646]	[]
151_10316	chr6	15556674	15557074	+	1000	104.0	[9.443364, 9.443364]	[143, 182]	[]	[]	[15556881, 15556920]	[]
151_10319	chr6	44073916	44074316	+	1000	104.0	[7.9852743]	[163]	[]	[]	[44074085]	[]
151_10322	chr6	125197817	125198217	+	1000	104.0	[9.443364]	[129]	[]	[]	[125198015]	[]
151_10323	chr6	137707985	137708385	+	1000	104.0	[]	[]	[9.443364]	[182]	[]	[137708208]
151_10324	chr6	139394238	139394638	+	1000	104.0	[]	[]	[9.443364]	[110]	[]	[139394434]
151_1033	chr1	61253262	61253662	+	1000	503.0	[9.443364]	[109]	[]	[]	[61253456]	[]
151_10335	chr8	94749397	94749797	+	1000	104.0	[9.443364]	[151]	[]	[]	[94749625]	[]
151_10336	chr8	102331072	102331472	+	1000	104.0	[9.164563]	[137]	[]	[]	[102331273]	[]
151_10338	chr8	141227042	141227442	+	1000	104.0	[9.443364, 9.164563]	[109, 127]	[]	[]	[141227229, 141227247]	[]
151_10340	chr9	92752784	92753184	+	1000	104.0	[9.443364, 9.443364]	[133, 153]	[]	[]	[92752999, 92753019]	[]
151_10341	chr9	97832178	97832578	+	1000	104.0	[]	[]	[9.164563]	[127]	[]	[97832389]
151_10342	chr9	98248802	98249202	+	1000	104.0	[9.164563]	[107]	[]	[]	[98249002]	[]
151_10343	chr9	98256812	98257212	+	1000	104.0	[]	[]	[7.7064734]	[137]	[]	[98257028]
151_10347	chrX	71107757	71108157	+	1000	104.0	[9.443364, 9.164563]	[87, 94]	[]	[]	[71107940, 71107947]	[]
151_10350	chr1	11060039	11060439	+	1000	103.0	[7.7064734]	[147]	[]	[]	[11060242]	[]
151_10351	chr1	20187876	20188276	+	1000	103.0	[]	[]	[9.443364]	[107]	[]	[20188078]
151_10353	chr1	23169948	23170348	+	1000	103.0	[]	[]	[9.443364]	[152]	[]	[23170187]
151_10354	chr1	23790068	23790468	+	1000	103.0	[9.164563]	[146]	[]	[]	[23790277]	[]
151_10356	chr1	27867205	27867605	+	1000	103.0	[]	[]	[9.443364]	[124]	[]	[27867405]
151_10357	chr1	36306934	36307334	+	1000	103.0	[9.443364]	[160]	[]	[]	[36307165]	[]
151_1036	chr14	23034835	23035235	+	1000	502.0	[7.7064734]	[130]	[]	[]	[23035061]	[]
151_10360	chr1	40377494	40377894	+	1000	103.0	[9.164563, 9.164563]	[89, 112]	[]	[]	[40377677, 40377700]	[]
151_10362	chr1	50968094	50968494	+	1000	103.0	[]	[]	[7.9852743]	[103]	[]	[50968267]
151_10363	chr1	53075767	53076167	+	1000	103.0	[9.443364, 7.9852743]	[123, 130]	[]	[]	[53075970, 53075977]	[]
151_10365	chr1	156860292	156860692	+	1000	103.0	[]	[]	[9.443364]	[146]	[]	[156860516]
151_10366	chr1	200409871	200410271	+	1000	103.0	[]	[]	[7.7064734]	[134]	[]	[200410072]
151_10370	chr1	223153296	223153696	+	1000	103.0	[9.164563]	[141]	[]	[]	[223153526]	[]
151_10372	chr1	232938008	232938408	+	1000	103.0	[9.443364, 9.164563]	[145, 153]	[]	[]	[232938245, 232938253]	[]
151_10375	chr10	74051946	74052346	+	1000	103.0	[]	[]	[9.443364]	[140]	[]	[74052141]
151_10378	chr11	3058741	3059141	+	1000	103.0	[9.443364]	[145]	[]	[]	[3058982]	[]
151_1038	chr17	13941187	13941587	+	1000	502.0	[9.443364]	[93]	[]	[]	[13941376]	[]
151_10381	chr11	65506951	65507351	+	1000	103.0	[9.164563]	[157]	[]	[]	[65507139]	[]
151_10383	chr11	72632334	72632734	+	1000	103.0	[9.164563]	[80]	[9.164563]	[155]	[72632493]	[72632568]
151_10384	chr11	119475034	119475434	+	1000	103.0	[9.164563]	[188]	[]	[]	[119475275]	[]
151_10385	chr12	7058423	7058823	+	1000	103.0	[]	[]	[9.164563]	[136]	[]	[7058622]
151_10387	chr12	49623268	49623668	+	1000	103.0	[]	[]	[7.7064734]	[144]	[]	[49623489]
151_1039	chr19	17969870	17970270	+	1000	502.0	[9.443364]	[119]	[]	[]	[17970080]	[]
151_10390	chr12	76020706	76021106	+	1000	103.0	[9.443364]	[94]	[]	[]	[76020876]	[]
151_10392	chr12	120534156	120534556	+	1000	103.0	[7.9852743]	[136]	[]	[]	[120534388]	[]
151_10398	chr15	27082048	27082448	+	1000	103.0	[9.164563]	[63]	[9.443364, 9.443364]	[118, 125]	[27082202]	[27082257, 27082264]
151_10399	chr15	43133243	43133643	+	1000	103.0	[9.443364]	[171]	[7.7064734]	[161]	[43133423]	[43133413]
151_1040	chr5	123511996	123512396	+	1000	502.0	[]	[]	[9.443364]	[142]	[]	[123512233]
151_10400	chr15	56203351	56203751	+	1000	103.0	[9.443364, 9.443364]	[139, 156]	[]	[]	[56203585, 56203602]	[]
151_10402	chr15	66233507	66233907	+	1000	103.0	[]	[]	[9.164563, 9.164563]	[146, 170]	[]	[66233719, 66233743]
151_10405	chr16	27243100	27243500	+	1000	103.0	[9.443364]	[112]	[9.164563]	[128]	[27243309]	[27243325]
151_10406	chr16	69404513	69404913	+	1000	103.0	[9.164563]	[113]	[9.443364]	[81]	[69404725]	[69404693]
151_10414	chr17	50865371	50865771	+	1000	103.0	[7.9852743, 9.164563]	[174, 187]	[]	[]	[50865594, 50865607]	[]
151_10415	chr17	59844302	59844702	+	1000	103.0	[9.443364]	[138]	[]	[]	[59844456]	[]
151_1042	chr10	30349054	30349454	+	1000	501.0	[9.164563]	[97]	[]	[]	[30349245]	[]
151_10423	chr19	8307973	8308373	+	1000	103.0	[7.9852743]	[169]	[]	[]	[8308164]	[]
151_10424	chr19	12883521	12883921	+	1000	103.0	[9.443364]	[139]	[]	[]	[12883744]	[]
151_10429	chr19	51031583	51031983	+	1000	103.0	[]	[]	[9.164563, 7.9852743]	[92, 130]	[]	[51031769, 51031807]
151_1043	chr18	9475175	9475575	+	1000	501.0	[7.9852743]	[139]	[]	[]	[9475413]	[]
151_10432	chr2	73232858	73233258	+	1000	103.0	[]	[]	[9.164563]	[76]	[]	[73233010]
151_10435	chr2	106115306	106115706	+	1000	103.0	[9.443364]	[148]	[]	[]	[106115544]	[]
151_10438	chr2	169824803	169825203	+	1000	103.0	[]	[]	[9.164563]	[160]	[]	[169825046]
151_10441	chr2	218397921	218398321	+	1000	103.0	[9.164563]	[178]	[]	[]	[218398135]	[]
151_10444	chr20	50437771	50438171	+	1000	103.0	[9.443364, 9.443364]	[107, 124]	[]	[]	[50437956, 50437973]	[]
151_10445	chr20	50482487	50482887	+	1000	103.0	[9.443364]	[94]	[]	[]	[50482674]	[]
151_10446	chr22	22594000	22594400	+	1000	103.0	[]	[]	[9.164563]	[179]	[]	[22594218]
151_10447	chr22	31089088	31089488	+	1000	103.0	[9.443364]	[92]	[]	[]	[31089277]	[]
151_10449	chr3	3189174	3189574	+	1000	103.0	[]	[]	[9.164563]	[120]	[]	[3189334]
151_1045	chr4	78732574	78732974	+	1000	501.0	[9.443364]	[106]	[]	[]	[78732775]	[]
151_10452	chr3	43736498	43736898	+	1000	103.0	[]	[]	[9.443364]	[144]	[]	[43736727]
151_10455	chr3	80402065	80402465	+	1000	103.0	[9.164563, 9.164563]	[69, 76]	[]	[]	[80402230, 80402237]	[]
151_10456	chr3	142850274	142850674	+	1000	103.0	[9.443364]	[117]	[]	[]	[142850480]	[]
151_10457	chr4	112589173	112589573	+	1000	103.0	[9.443364, 9.164563]	[96, 166]	[]	[]	[112589353, 112589423]	[]
151_10461	chr5	27472874	27473274	+	1000	103.0	[]	[]	[9.443364]	[105]	[]	[27473062]
151_10462	chr5	87268420	87268820	+	1000	103.0	[9.164563]	[180]	[]	[]	[87268653]	[]
151_10468	chr6	15904673	15905073	+	1000	103.0	[9.443364]	[159]	[]	[]	[15904901]	[]
151_10469	chr6	26312943	26313343	+	1000	103.0	[]	[]	[7.9852743]	[195]	[]	[26313148]
151_10471	chr6	26331195	26331595	+	1000	103.0	[]	[]	[9.164563]	[153]	[]	[26331444]
151_10473	chr6	31813969	31814369	+	1000	103.0	[9.164563]	[158]	[]	[]	[31814192]	[]
151_10475	chr6	99426756	99427156	+	1000	103.0	[9.164563, 7.9852743]	[138, 145]	[]	[]	[99426977, 99426984]	[]
151_10477	chr6	108848124	108848524	+	1000	103.0	[]	[]	[9.443364]	[167]	[]	[108848319]
151_10479	chr6	135147689	135148089	+	1000	103.0	[9.164563]	[140]	[]	[]	[135147883]	[]
151_10482	chr7	77798324	77798724	+	1000	103.0	[]	[]	[7.9852743]	[162]	[]	[77798573]
151_10490	chr8	1764362	1764762	+	1000	103.0	[9.164563]	[148]	[]	[]	[1764607]	[]
151_10493	chr8	37909875	37910275	+	1000	103.0	[9.164563]	[215]	[9.164563]	[146]	[37910102]	[37910033]
151_10498	chr9	5839193	5839593	+	1000	103.0	[9.164563]	[143]	[]	[]	[5839401]	[]
151_10499	chr9	5849858	5850258	+	1000	103.0	[9.443364]	[130]	[]	[]	[5850067]	[]
151_10503	chr9	123861226	123861626	+	1000	103.0	[]	[]	[9.443364]	[103]	[]	[123861420]
151_10505	chr9	133166401	133166801	+	1000	103.0	[9.443364, 9.443364, 7.7064734]	[89, 117, 164]	[]	[]	[133166568, 133166596, 133166643]	[]
151_10507	chr9	137218857	137219257	+	1000	103.0	[9.443364]	[137]	[]	[]	[137219093]	[]
151_10509	chrX	136497016	136497416	+	1000	103.0	[]	[]	[7.7064734]	[135]	[]	[136497228]
151_10514	chr1	17472782	17473182	+	1000	102.0	[]	[]	[9.443364]	[157]	[]	[17473015]
151_10516	chr1	22339213	22339613	+	1000	102.0	[]	[]	[9.164563]	[182]	[]	[22339448]
151_10518	chr1	34866239	34866639	+	1000	102.0	[9.443364]	[156]	[9.443364]	[123]	[34866476]	[34866443]
151_10520	chr1	39639770	39640170	+	1000	102.0	[7.7064734, 9.164563]	[100, 159]	[]	[]	[39639961, 39640020]	[]
151_10524	chr1	107056434	107056834	+	1000	102.0	[]	[]	[7.7064734]	[84]	[]	[107056600]
151_10525	chr1	118947823	118948223	+	1000	102.0	[9.443364]	[118]	[]	[]	[118947995]	[]
151_10528	chr1	167825383	167825783	+	1000	102.0	[9.443364]	[112]	[]	[]	[167825557]	[]
151_10531	chr1	202966902	202967302	+	1000	102.0	[7.7064734]	[110]	[]	[]	[202967098]	[]
151_10532	chr1	219416514	219416914	+	1000	102.0	[9.443364]	[135]	[]	[]	[219416714]	[]
151_10533	chr1	231065773	231066173	+	1000	102.0	[]	[]	[9.164563]	[182]	[]	[231066024]
151_10535	chr10	3074158	3074558	+	1000	102.0	[]	[]	[9.443364, 9.443364]	[97, 102]	[]	[3074348, 3074353]
151_10537	chr10	17454420	17454820	+	1000	102.0	[9.164563]	[104]	[]	[]	[17454613]	[]
151_10539	chr10	68471812	68472212	+	1000	102.0	[]	[]	[9.443364]	[94]	[]	[68471998]
