#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2C1_idr.fa NR2C1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
768_10223	chr22	37561666	37562066	+	932	51.5	[]	[]	[7.9191227]	[150]	[]	[37561897]
768_10229	chr3	51390903	51391303	+	979	51.5	[10.338945]	[159]	[]	[]	[51391131]	[]
768_10238	chr5	10577431	10577831	+	948	51.5	[10.338945]	[106]	[10.338945]	[82]	[10577627]	[10577603]
768_1024	chr6	43181951	43182351	+	1000	309.5	[]	[]	[10.338945]	[129]	[]	[43182162]
768_10240	chr5	134225272	134225672	+	799	51.5	[]	[]	[10.338945]	[106]	[]	[134225462]
768_10241	chr5	135141181	135141581	+	947	51.5	[]	[]	[10.371254]	[113]	[]	[135141382]
768_10242	chr5	173911629	173912029	+	652	51.5	[10.371254]	[117]	[]	[]	[173911843]	[]
768_10253	chr6	158031468	158031868	+	872	51.5	[10.338945]	[184]	[]	[]	[158031654]	[]
768_10255	chr7	43778851	43779251	+	942	51.5	[]	[]	[10.338945, 10.338945]	[172, 232]	[]	[43779030, 43779090]
768_10256	chr7	50534583	50534983	+	925	51.5	[7.9191227]	[197]	[]	[]	[50534796]	[]
768_10259	chr7	99983461	99983861	+	896	51.5	[10.371254]	[86]	[10.371254]	[134]	[99983619]	[99983667]
768_10264	chr7	152464267	152464667	+	976	51.5	[7.9191227]	[154]	[]	[]	[152464482]	[]
768_10266	chr8	27329453	27329853	+	919	51.5	[10.338945]	[133]	[]	[]	[27329682]	[]
768_1027	chr22	46652057	46652457	+	1000	308.5	[10.371254, 10.371254]	[83, 116]	[]	[]	[46652239, 46652272]	[]
768_10271	chr8	122760192	122760592	+	732	51.5	[10.338945, 10.338945]	[114, 122]	[]	[]	[122760406, 122760414]	[]
768_10272	chr8	143218820	143219220	+	879	51.5	[10.371254]	[159]	[]	[]	[143219016]	[]
768_10279	chr9	124144776	124145176	+	836	51.5	[10.338945]	[178]	[]	[]	[124144961]	[]
768_1028	chr5	140401338	140401738	+	1000	308.0	[10.338945, 7.9514318]	[130, 171]	[]	[]	[140401539, 140401580]	[]
768_10285	chr1	29304356	29304756	+	896	51.0	[]	[]	[10.338945]	[137]	[]	[29304588]
768_10287	chr1	45523016	45523416	+	826	51.0	[10.371254]	[132]	[]	[]	[45523247]	[]
768_10299	chr1	215567056	215567456	+	648	51.0	[]	[]	[10.371254]	[150]	[]	[215567276]
768_103	chr20	35699189	35699589	+	1000	1150.5	[]	[]	[7.9191227]	[152]	[]	[35699432]
768_10308	chr10	78043716	78044116	+	892	51.0	[10.371254]	[112]	[]	[]	[78043915]	[]
768_10315	chr11	73956158	73956558	+	952	51.0	[10.371254]	[124]	[]	[]	[73956362]	[]
768_10316	chr11	86924722	86925122	+	953	51.0	[10.338945]	[66]	[]	[]	[86924876]	[]
768_10319	chr12	57591053	57591453	+	705	51.0	[7.9191227]	[101]	[]	[]	[57591229]	[]
768_10320	chr12	102313432	102313832	+	920	51.0	[]	[]	[10.371254]	[168]	[]	[102313623]
768_10325	chr14	23160820	23161220	+	704	51.0	[]	[]	[10.371254]	[177]	[]	[23161034]
768_10329	chr15	75124830	75125230	+	858	51.0	[]	[]	[10.371254]	[115]	[]	[75125010]
768_1033	chr16	58121110	58121510	+	1000	306.5	[10.371254]	[111]	[]	[]	[58121314]	[]
768_10330	chr15	82645159	82645559	+	897	51.0	[]	[]	[10.371254]	[134]	[]	[82645380]
768_10333	chr16	48603568	48603968	+	695	51.0	[10.338945]	[176]	[10.338945]	[150]	[48603817]	[48603791]
768_10334	chr16	89167519	89167919	+	899	51.0	[]	[]	[10.338945]	[141]	[]	[89167684]
768_10335	chr17	7630279	7630679	+	968	51.0	[]	[]	[10.371254, 10.371254, 10.338945]	[163, 170, 212]	[]	[7630480, 7630487, 7630529]
768_10337	chr17	44289445	44289845	+	922	51.0	[]	[]	[10.371254]	[130]	[]	[44289615]
768_10338	chr17	51118291	51118691	+	946	51.0	[10.371254]	[163]	[10.338945]	[82]	[51118523]	[51118442]
768_10340	chr17	75204566	75204966	+	667	51.0	[]	[]	[10.371254]	[112]	[]	[75204775]
768_10341	chr17	77140335	77140735	+	692	51.0	[]	[]	[10.371254]	[174]	[]	[77140559]
768_10343	chr17	82461204	82461604	+	918	51.0	[10.371254]	[97]	[]	[]	[82461397]	[]
768_10347	chr18	57533919	57534319	+	898	51.0	[10.371254]	[113]	[10.371254]	[150]	[57534131]	[57534168]
768_10348	chr19	924452	924852	+	957	51.0	[]	[]	[10.371254]	[68]	[]	[924620]
768_10357	chr2	47322910	47323310	+	764	51.0	[10.338945]	[125]	[]	[]	[47323130]	[]
768_10359	chr2	74242715	74243115	+	951	51.0	[]	[]	[10.371254]	[74]	[]	[74242881]
768_10365	chr2	219387417	219387817	+	878	51.0	[10.371254, 10.338945]	[142, 176]	[]	[]	[219387621, 219387655]	[]
768_10366	chr2	233583113	233583513	+	952	51.0	[10.371254]	[103]	[]	[]	[233583274]	[]
768_1037	chr5	132422642	132423042	+	1000	305.5	[]	[]	[10.371254]	[177]	[]	[132422867]
768_10375	chr22	20492167	20492567	+	948	51.0	[10.338945]	[122]	[]	[]	[20492324]	[]
768_1038	chr11	123741491	123741891	+	1000	304.5	[7.9191227]	[68]	[]	[]	[123741649]	[]
768_10380	chr22	40636631	40637031	+	689	51.0	[7.9191227]	[103]	[]	[]	[40636800]	[]
768_10381	chr22	40856543	40856943	+	949	51.0	[]	[]	[10.371254]	[89]	[]	[40856694]
768_10386	chr3	45219046	45219446	+	960	51.0	[10.371254]	[136]	[]	[]	[45219253]	[]
768_10388	chr3	46395111	46395511	+	575	51.0	[10.338945]	[192]	[]	[]	[46395347]	[]
768_1039	chr18	35377112	35377512	+	1000	304.5	[7.9191227]	[142]	[]	[]	[35377344]	[]
768_10390	chr3	53881872	53882272	+	826	51.0	[10.338945]	[125]	[]	[]	[53882095]	[]
768_10391	chr3	72888916	72889316	+	670	51.0	[]	[]	[7.9514318]	[167]	[]	[72889136]
768_10397	chr6	15251561	15251961	+	967	51.0	[10.338945]	[175]	[]	[]	[15251763]	[]
768_104	chr16	30698980	30699380	+	1000	1148.5	[10.371254, 10.338945, 10.371254]	[145, 152, 162]	[]	[]	[30699152, 30699159, 30699169]	[]
768_1040	chr4	140529493	140529893	+	1000	304.5	[]	[]	[10.371254]	[122]	[]	[140529672]
768_10400	chr6	31727481	31727881	+	961	51.0	[10.338945]	[93]	[]	[]	[31727650]	[]
768_10403	chr6	83065715	83066115	+	653	51.0	[]	[]	[10.338945]	[170]	[]	[83065921]
768_10406	chr6	163956641	163957041	+	810	51.0	[10.371254]	[136]	[]	[]	[163956860]	[]
768_1041	chr5	139518242	139518642	+	1000	304.0	[]	[]	[10.338945, 10.371254]	[74, 142]	[]	[139518407, 139518475]
768_10415	chr7	100852470	100852870	+	783	51.0	[7.9191227]	[211]	[]	[]	[100852637]	[]
768_10417	chr7	112422719	112423119	+	933	51.0	[10.371254]	[288]	[]	[]	[112422963]	[]
768_10419	chr7	151060028	151060428	+	974	51.0	[7.9514318, 10.338945]	[128, 140]	[]	[]	[151060205, 151060217]	[]
768_1042	chr7	100482996	100483396	+	1000	304.0	[10.371254]	[84]	[]	[]	[100483175]	[]
768_10422	chr9	127187428	127187828	+	837	51.0	[]	[]	[10.371254]	[115]	[]	[127187628]
768_10438	chr1	93181624	93182024	+	957	50.5	[]	[]	[10.371254, 10.371254]	[198, 220]	[]	[93181844, 93181866]
768_10439	chr1	107057724	107058124	+	934	50.5	[7.9514318]	[113]	[10.371254]	[88]	[107057906]	[107057881]
768_1044	chr19	17606310	17606710	+	1000	303.5	[]	[]	[10.371254, 10.338945]	[115, 153]	[]	[17606510, 17606548]
768_10445	chr1	179233450	179233850	+	934	50.5	[10.371254]	[191]	[]	[]	[179233624]	[]
768_10451	chr1	224079670	224080070	+	948	50.5	[10.371254]	[149]	[]	[]	[224079886]	[]
768_10454	chr10	70742816	70743216	+	944	50.5	[10.338945]	[106]	[]	[]	[70743000]	[]
768_10460	chr11	118930086	118930486	+	943	50.5	[]	[]	[10.338945]	[123]	[]	[118930253]
768_10468	chr14	52546998	52547398	+	909	50.5	[10.371254]	[119]	[]	[]	[52547210]	[]
768_1047	chr16	2189540	2189940	+	1000	302.0	[]	[]	[10.371254, 10.338945]	[108, 115]	[]	[2189747, 2189754]
768_10471	chr15	40098494	40098894	+	904	50.5	[]	[]	[10.371254]	[151]	[]	[40098660]
768_10474	chr15	48878069	48878469	+	950	50.5	[]	[]	[10.371254, 10.371254]	[95, 128]	[]	[48878221, 48878254]
768_10475	chr15	68279768	68280168	+	878	50.5	[]	[]	[10.371254]	[187]	[]	[68279991]
768_10476	chr15	72232109	72232509	+	867	50.5	[]	[]	[10.371254]	[183]	[]	[72232296]
768_10482	chr16	79920667	79921067	+	681	50.5	[10.371254]	[149]	[]	[]	[79920879]	[]
768_10487	chr17	40647831	40648231	+	946	50.5	[]	[]	[7.9514318]	[169]	[]	[40648069]
768_1049	chr2	222738749	222739149	+	1000	301.5	[10.338945, 10.338945, 10.371254]	[73, 136, 144]	[]	[]	[222738913, 222738976, 222738984]	[]
768_10493	chr19	1095440	1095840	+	910	50.5	[10.338945]	[197]	[]	[]	[1095671]	[]
768_10495	chr19	9435326	9435726	+	904	50.5	[]	[]	[7.9514318]	[79]	[]	[9435488]
768_10496	chr19	13096194	13096594	+	940	50.5	[10.371254]	[106]	[7.9514318]	[113]	[13096391]	[13096398]
768_10498	chr19	18341216	18341616	+	931	50.5	[10.338945]	[161]	[]	[]	[18341458]	[]
768_105	chr14	20989740	20990140	+	1000	1148.0	[10.338945]	[132]	[]	[]	[20989957]	[]
768_10506	chr2	10408209	10408609	+	861	50.5	[10.371254]	[82]	[]	[]	[10408387]	[]
768_10509	chr2	46500124	46500524	+	868	50.5	[10.371254, 10.338945]	[59, 70]	[]	[]	[46500279, 46500290]	[]
768_10512	chr2	217794609	217795009	+	951	50.5	[10.338945]	[121]	[10.338945, 10.338945]	[160, 168]	[217794807]	[217794846, 217794854]
768_10513	chr2	238379405	238379805	+	774	50.5	[]	[]	[10.371254]	[114]	[]	[238379613]
768_10514	chr2	239378517	239378917	+	786	50.5	[]	[]	[10.338945, 10.338945, 10.338945]	[106, 170, 186]	[]	[239378671, 239378735, 239378751]
768_10528	chr22	38032846	38033246	+	763	50.5	[]	[]	[10.371254]	[94]	[]	[38033011]
768_1053	chr6	143677773	143678173	+	1000	300.5	[]	[]	[10.338945]	[61]	[]	[143677930]
768_10532	chr3	43455101	43455501	+	867	50.5	[10.371254]	[120]	[]	[]	[43455309]	[]
768_10533	chr3	43565854	43566254	+	928	50.5	[10.338945, 10.338945]	[97, 157]	[]	[]	[43566033, 43566093]	[]
768_10535	chr3	47802547	47802947	+	897	50.5	[]	[]	[10.338945]	[129]	[]	[47802707]
768_10542	chr4	38662035	38662435	+	938	50.5	[10.338945]	[113]	[]	[]	[38662233]	[]
768_10545	chr4	128601316	128601716	+	823	50.5	[10.371254]	[155]	[]	[]	[128601547]	[]
768_10546	chr5	55712124	55712524	+	954	50.5	[7.9191227]	[189]	[]	[]	[55712336]	[]
768_10547	chr5	75669111	75669511	+	948	50.5	[]	[]	[10.338945]	[145]	[]	[75669325]
768_1055	chrX	152733533	152733933	+	1000	299.5	[10.371254]	[163]	[]	[]	[152733774]	[]
768_10551	chr5	138551461	138551861	+	793	50.5	[]	[]	[10.338945]	[152]	[]	[138551678]
768_10554	chr5	181215994	181216394	+	844	50.5	[]	[]	[10.371254]	[173]	[]	[181216210]
768_10555	chr6	10389578	10389978	+	951	50.5	[]	[]	[10.371254, 10.371254]	[103, 110]	[]	[10389752, 10389759]
768_1056	chr11	72779665	72780065	+	1000	299.0	[10.338945, 10.371254]	[165, 179]	[]	[]	[72779887, 72779901]	[]
768_10564	chr7	875966	876366	+	898	50.5	[10.338945]	[137]	[]	[]	[876160]	[]
768_1057	chr11	61890821	61891221	+	1000	298.5	[10.371254, 10.371254]	[146, 153]	[]	[]	[61891047, 61891054]	[]
768_10570	chr7	100894078	100894478	+	747	50.5	[7.9191227]	[171]	[]	[]	[100894283]	[]
768_10573	chr7	133167221	133167621	+	708	50.5	[10.371254]	[185]	[]	[]	[133167468]	[]
768_10574	chr7	151756323	151756723	+	653	50.5	[]	[]	[10.371254, 10.338945]	[125, 132]	[]	[151756530, 151756537]
768_10583	chr9	104094189	104094589	+	935	50.5	[]	[]	[10.338945]	[202]	[]	[104094428]
768_1059	chr19	53328918	53329318	+	1000	298.5	[]	[]	[10.371254]	[108]	[]	[53329123]
768_10591	chr9	132780695	132781095	+	957	50.5	[10.371254]	[194]	[]	[]	[132780914]	[]
768_10593	chrX	48702085	48702485	+	952	50.5	[]	[]	[10.338945, 10.371254]	[133, 142]	[]	[48702268, 48702277]
768_1060	chr7	129054730	129055130	+	1000	297.0	[7.9514318]	[157]	[]	[]	[129054958]	[]
768_10603	chr1	36401043	36401443	+	869	50.0	[10.338945]	[205]	[]	[]	[36401258]	[]
768_1061	chr16	19067613	19068013	+	1000	296.5	[7.9191227, 10.371254]	[94, 103]	[]	[]	[19067806, 19067815]	[]
768_10618	chr1	223840805	223841205	+	781	50.0	[10.338945]	[144]	[]	[]	[223841036]	[]
768_1062	chr16	29689514	29689914	+	1000	296.5	[]	[]	[10.371254, 7.9191227, 10.371254]	[80, 105, 112]	[]	[29689670, 29689695, 29689702]
768_10623	chr10	50554809	50555209	+	936	50.0	[10.338945]	[153]	[]	[]	[50555057]	[]
768_10628	chr10	100359027	100359427	+	929	50.0	[]	[]	[10.371254]	[103]	[]	[100359186]
768_1063	chr12	512900	513300	+	1000	296.0	[]	[]	[10.371254, 7.9514318]	[82, 156]	[]	[513072, 513146]
768_10632	chr11	65498545	65498945	+	860	50.0	[]	[]	[10.338945]	[223]	[]	[65498773]
768_10635	chr11	106076988	106077388	+	706	50.0	[10.338945]	[218]	[]	[]	[106077234]	[]
768_10637	chr12	108700014	108700414	+	913	50.0	[]	[]	[7.9191227]	[185]	[]	[108700204]
768_10638	chr12	110698453	110698853	+	748	50.0	[10.371254]	[97]	[]	[]	[110698611]	[]
768_1064	chr2	131803245	131803645	+	1000	295.5	[10.338945, 10.338945, 10.338945]	[135, 149, 155]	[]	[]	[131803463, 131803477, 131803483]	[]
768_10640	chr13	60396029	60396429	+	936	50.0	[]	[]	[10.371254]	[162]	[]	[60396226]
768_10647	chr16	15996736	15997136	+	744	50.0	[10.371254]	[139]	[]	[]	[15996938]	[]
768_10649	chr17	8177046	8177446	+	854	50.0	[]	[]	[7.9514318, 10.371254]	[102, 110]	[]	[8177244, 8177252]
768_1065	chrX	48917288	48917688	+	1000	295.5	[]	[]	[10.371254]	[157]	[]	[48917504]
768_1066	chr1	1433034	1433434	+	1000	294.5	[10.338945, 10.338945]	[75, 109]	[]	[]	[1433190, 1433224]	[]
768_10661	chr19	10027884	10028284	+	923	50.0	[]	[]	[10.338945]	[181]	[]	[10028069]
768_10664	chr19	16111082	16111482	+	909	50.0	[10.338945]	[90]	[]	[]	[16111243]	[]
768_10665	chr19	17594334	17594734	+	810	50.0	[]	[]	[10.371254, 10.338945]	[97, 139]	[]	[17594515, 17594557]
768_10667	chr19	49128672	49129072	+	906	50.0	[10.371254]	[148]	[10.338945]	[82]	[49128890]	[49128824]
768_1067	chr19	53869425	53869825	+	1000	294.5	[10.338945]	[122]	[]	[]	[53869638]	[]
768_10672	chr2	55223971	55224371	+	925	50.0	[10.338945, 10.371254]	[129, 199]	[]	[]	[55224147, 55224217]	[]
768_10675	chr2	74206132	74206532	+	909	50.0	[10.371254]	[96]	[10.371254]	[82]	[74206299]	[74206285]
768_10677	chr2	100291049	100291449	+	936	50.0	[]	[]	[10.371254]	[60]	[]	[100291202]
768_10678	chr2	167945565	167945965	+	930	50.0	[]	[]	[7.9191227, 10.338945]	[164, 177]	[]	[167945756, 167945769]
768_1068	chr5	139836363	139836763	+	1000	294.5	[10.371254, 10.371254, 10.371254]	[208, 215, 222]	[]	[]	[139836599, 139836606, 139836613]	[]
768_10682	chr2	227891658	227892058	+	945	50.0	[10.371254, 10.371254]	[139, 146]	[]	[]	[227891889, 227891896]	[]
768_10683	chr20	61525684	61526084	+	574	50.0	[]	[]	[10.338945]	[219]	[]	[61525918]
768_10687	chr22	20329210	20329610	+	825	50.0	[10.371254]	[177]	[]	[]	[20329441]	[]
768_10692	chr22	21452914	21453314	+	833	50.0	[]	[]	[10.371254]	[169]	[]	[21453114]
768_10695	chr22	21708404	21708804	+	938	50.0	[]	[]	[10.371254]	[115]	[]	[21708567]
768_10699	chr3	32856401	32856801	+	868	50.0	[10.338945, 10.371254]	[167, 174]	[]	[]	[32856642, 32856649]	[]
768_107	chr11	58578049	58578449	+	1000	1145.5	[]	[]	[7.9514318]	[100]	[]	[58578234]
768_1070	chr12	55888569	55888969	+	1000	293.0	[10.338945]	[107]	[]	[]	[55888767]	[]
768_10703	chr3	186887518	186887918	+	944	50.0	[10.371254]	[160]	[]	[]	[186887715]	[]
768_10709	chr5	68505874	68506274	+	936	50.0	[10.371254]	[162]	[]	[]	[68506073]	[]
768_1071	chr1	28525000	28525400	+	1000	292.5	[10.371254, 7.9191227]	[155, 162]	[]	[]	[28525240, 28525247]	[]
768_10711	chr5	149632350	149632750	+	932	50.0	[10.338945]	[105]	[]	[]	[149632542]	[]
768_10715	chr6	14727839	14728239	+	615	50.0	[10.371254]	[193]	[10.338945]	[178]	[14728040]	[14728025]
768_10716	chr6	17965771	17966171	+	784	50.0	[10.371254]	[124]	[]	[]	[17965979]	[]
768_10718	chr6	37110706	37111106	+	816	50.0	[10.371254]	[88]	[]	[]	[37110861]	[]
768_10719	chr6	42048182	42048582	+	947	50.0	[]	[]	[7.9191227, 10.338945]	[155, 164]	[]	[42048404, 42048413]
