#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF13_idr.fa KLF13 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
92_10596	chr15	78726686	78727086	+	589	29.5	[6.6181736, 13.137822]	[132, 185]	[]	[]	[78726881, 78726934]	[]
92_10604	chr16	88882250	88882650	+	553	29.5	[]	[]	[6.350303, 11.129346, 4.268855, 7.779321]	[94, 112, 130, 154]	[]	[88882429, 88882447, 88882465, 88882489]
92_1061	chr17	42181147	42181547	+	1000	73.5	[10.044239, 7.9218087, 8.610658]	[62, 115, 136]	[7.9271235]	[92]	[42181305, 42181358, 42181379]	[42181335]
92_10610	chr17	49968867	49969267	+	605	29.5	[9.881914]	[183]	[8.6840105]	[228]	[49969061]	[49969106]
92_10612	chr17	67374388	67374788	+	575	29.5	[6.043019]	[137]	[]	[]	[67374601]	[]
92_10614	chr18	31206968	31207368	+	558	29.5	[3.6893554]	[96]	[]	[]	[31207153]	[]
92_10629	chr19	32674747	32675147	+	546	29.5	[5.510403]	[194]	[]	[]	[32674965]	[]
92_10635	chr19	52095546	52095946	+	591	29.5	[]	[]	[6.8211026]	[88]	[]	[52095723]
92_10637	chr2	3601637	3602037	+	602	29.5	[4.5821905]	[92]	[]	[]	[3601813]	[]
92_10638	chr2	48315557	48315957	+	572	29.5	[3.7545958, 3.8618016, 5.704632]	[86, 88, 111]	[]	[]	[48315713, 48315715, 48315738]	[]
92_10650	chr22	16439262	16439662	+	574	29.5	[]	[]	[3.1977222]	[217]	[]	[16439513]
92_10661	chr22	19996816	19997216	+	569	29.5	[7.9651875]	[90]	[]	[]	[19996972]	[]
92_10681	chr4	1746248	1746648	+	575	29.5	[]	[]	[12.072583]	[152]	[]	[1746460]
92_10682	chr4	74157776	74158176	+	590	29.5	[11.1475]	[87]	[]	[]	[74157928]	[]
92_10684	chr5	36875731	36876131	+	585	29.5	[]	[]	[3.29127]	[132]	[]	[36875962]
92_10688	chr5	95825505	95825905	+	582	29.5	[3.1985402]	[137]	[]	[]	[95825713]	[]
92_10694	chr6	27617936	27618336	+	570	29.5	[]	[]	[14.060723]	[159]	[]	[27618165]
92_1070	chr9	136728072	136728472	+	1000	73.5	[5.850014]	[94]	[5.30863]	[140]	[136728256]	[136728302]
92_10701	chr6	137218969	137219369	+	602	29.5	[]	[]	[7.4278626]	[140]	[]	[137219158]
92_10702	chr6	137866362	137866762	+	594	29.5	[]	[]	[4.2745223]	[153]	[]	[137866550]
92_1071	chr1	1013264	1013664	+	1000	73.0	[14.254974]	[116]	[]	[]	[1013435]	[]
92_10714	chr8	23457622	23458022	+	572	29.5	[5.1661124]	[184]	[]	[]	[23457819]	[]
92_1072	chr1	25819734	25820134	+	1000	73.0	[]	[]	[7.8194914]	[164]	[]	[25819931]
92_10720	chr9	99104574	99104974	+	564	29.5	[4.4831595, 7.8301744]	[85, 117]	[]	[]	[99104751, 99104783]	[]
92_10731	chr1	11841131	11841531	+	554	29.0	[]	[]	[4.291041]	[131]	[]	[11841344]
92_10745	chr1	112698473	112698873	+	569	29.0	[6.1933093]	[174]	[4.269839]	[212]	[112698652]	[112698690]
92_1075	chr1	45686521	45686921	+	1000	73.0	[6.4264174]	[156]	[]	[]	[45686736]	[]
92_10770	chr11	72321349	72321749	+	587	29.0	[]	[]	[7.186979]	[166]	[]	[72321550]
92_10771	chr12	401283	401683	+	560	29.0	[]	[]	[5.4207907, 7.450732]	[217, 228]	[]	[401504, 401515]
92_10772	chr12	2752624	2753024	+	545	29.0	[]	[]	[4.731979]	[137]	[]	[2752813]
92_10773	chr12	6539665	6540065	+	541	29.0	[3.8179355]	[160]	[]	[]	[6539893]	[]
92_10774	chr12	6852962	6853362	+	550	29.0	[7.6902976]	[128]	[]	[]	[6853181]	[]
92_10798	chr16	1300803	1301203	+	561	29.0	[]	[]	[5.494188]	[144]	[]	[1301026]
92_1081	chr16	4734033	4734433	+	1000	73.0	[11.654336, 3.170509]	[102, 121]	[]	[]	[4734224, 4734243]	[]
92_10811	chr18	47149988	47150388	+	567	29.0	[]	[]	[4.6659]	[192]	[]	[47150199]
92_10816	chr19	29845179	29845579	+	575	29.0	[9.137161]	[156]	[]	[]	[29845361]	[]
92_10822	chr2	20051814	20052214	+	558	29.0	[]	[]	[8.9410305]	[83]	[]	[20051990]
92_10829	chr2	177679637	177680037	+	570	29.0	[]	[]	[6.333192]	[100]	[]	[177679831]
92_10848	chr22	38506669	38507069	+	576	29.0	[4.786674]	[175]	[6.310236]	[170]	[38506918]	[38506913]
92_1086	chr22	23183312	23183712	+	1000	73.0	[]	[]	[6.166382]	[186]	[]	[23183547]
92_10876	chr6	44134259	44134659	+	543	29.0	[5.8035192]	[149]	[]	[]	[44134490]	[]
92_10885	chr8	31033849	31034249	+	552	29.0	[3.8996258]	[142]	[]	[]	[31034070]	[]
92_1089	chr6	7165437	7165837	+	1000	73.0	[]	[]	[12.522419]	[148]	[]	[7165662]
92_10893	chr9	129838671	129839071	+	565	29.0	[]	[]	[6.178192]	[210]	[]	[129838898]
92_1090	chr6	53539575	53539975	+	1000	73.0	[12.115446, 6.392233]	[139, 158]	[]	[]	[53539766, 53539785]	[]
92_10901	chr1	26531118	26531518	+	548	28.5	[5.0444098]	[122]	[]	[]	[26531308]	[]
92_1091	chr6	109382800	109383200	+	1000	73.0	[6.0788918]	[59]	[]	[]	[109382952]	[]
92_10910	chr1	234957559	234957959	+	550	28.5	[4.8163896]	[186]	[]	[]	[234957809]	[]
92_10918	chr11	126062887	126063287	+	557	28.5	[4.723172]	[128]	[]	[]	[126063114]	[]
92_1092	chr9	113410396	113410796	+	1000	73.0	[5.133148]	[83]	[]	[]	[113410553]	[]
92_10920	chr12	98399518	98399918	+	544	28.5	[]	[]	[7.978776]	[103]	[]	[98399692]
92_10926	chr15	41494905	41495305	+	541	28.5	[]	[]	[4.6467266]	[150]	[]	[41495080]
92_10943	chr22	19886000	19886400	+	542	28.5	[]	[]	[4.836544]	[129]	[]	[19886214]
92_1095	chr10	43455515	43455915	+	1000	72.5	[3.2190661, 3.8817034]	[93, 187]	[]	[]	[43455667, 43455761]	[]
92_10951	chr5	133968488	133968888	+	559	28.5	[4.2700086]	[104]	[3.1801407]	[196]	[133968641]	[133968733]
92_10953	chr5	177006523	177006923	+	540	28.5	[]	[]	[4.445164]	[146]	[]	[177006728]
92_10958	chr6	149922908	149923308	+	541	28.5	[9.79178]	[176]	[]	[]	[149923148]	[]
92_10966	chr8	125091703	125092103	+	552	28.5	[]	[]	[3.9591134]	[166]	[]	[125091918]
92_1099	chr17	50719263	50719663	+	1000	72.5	[6.4264174]	[146]	[6.123986]	[114]	[50719496]	[50719464]
92_110	chr10	72273504	72273904	+	1000	204.5	[]	[]	[21.126402, 5.5065265]	[101, 152]	[]	[72273699, 72273750]
92_1103	chr20	54207667	54208067	+	1000	72.5	[10.422617]	[121]	[]	[]	[54207844]	[]
92_1104	chr3	142578664	142579064	+	1000	72.5	[3.5064094]	[84]	[11.030088]	[136]	[142578846]	[142578898]
92_111	chr16	23557315	23557715	+	1000	201.5	[11.0794935, 13.629023]	[59, 132]	[]	[]	[23557470, 23557543]	[]
92_1115	chr1	108746482	108746882	+	1000	72.0	[]	[]	[12.255271]	[107]	[]	[108746649]
92_1119	chr10	31603397	31603797	+	1000	72.0	[18.705444, 18.705444]	[57, 107]	[]	[]	[31603552, 31603602]	[]
92_112	chr7	66115350	66115750	+	1000	201.0	[]	[]	[3.3497202]	[87]	[]	[66115533]
92_1120	chr11	62622064	62622464	+	1000	72.0	[10.100294]	[172]	[3.9438581, 3.995871]	[97, 148]	[62622301]	[62622226, 62622277]
92_1121	chr12	55715875	55716275	+	1000	72.0	[]	[]	[4.1910353, 6.0431104]	[148, 175]	[]	[55716069, 55716096]
92_1122	chr12	57752307	57752707	+	1000	72.0	[]	[]	[3.434888]	[82]	[]	[57752476]
92_1123	chr12	57771587	57771987	+	1000	72.0	[15.850429]	[131]	[]	[]	[57771786]	[]
92_1125	chr14	67674500	67674900	+	1000	72.0	[10.134373]	[57]	[]	[]	[67674652]	[]
92_1126	chr17	64281963	64282363	+	1000	72.0	[15.1243105, 5.4579973]	[66, 88]	[]	[]	[64282115, 64282137]	[]
92_1131	chr2	71068406	71068806	+	1000	72.0	[]	[]	[4.1719546]	[101]	[]	[71068594]
92_1134	chr3	11272082	11272482	+	1000	72.0	[6.3228374]	[111]	[3.6564097]	[156]	[11272246]	[11272291]
92_1135	chr3	53347475	53347875	+	1000	72.0	[]	[]	[4.6919575]	[152]	[]	[53347726]
92_1136	chr5	177303540	177303940	+	1000	72.0	[]	[]	[10.964813, 3.3456771]	[94, 110]	[]	[177303723, 177303739]
92_1138	chr8	123274672	123275072	+	1000	72.0	[14.767704, 6.046771, 9.79178]	[146, 163, 196]	[]	[]	[123274850, 123274867, 123274900]	[]
92_1139	chr9	124771175	124771575	+	1000	72.0	[7.369429]	[172]	[]	[]	[124771400]	[]
92_1140	chr1	168178734	168179134	+	1000	71.5	[]	[]	[11.1475]	[155]	[]	[168178944]
92_1146	chr16	25257331	25257731	+	1000	71.5	[]	[]	[10.750452, 3.274982, 3.2348657]	[61, 95, 111]	[]	[25257488, 25257522, 25257538]
92_1151	chr19	49867398	49867798	+	1000	71.5	[4.404844, 18.705444]	[89, 139]	[8.566598, 5.070967]	[107, 112]	[49867577, 49867627]	[49867595, 49867600]
92_1152	chr20	37527703	37528103	+	1000	71.5	[15.087909]	[119]	[]	[]	[37527885]	[]
92_1155	chr4	74543285	74543685	+	1000	71.5	[]	[]	[18.098148]	[156]	[]	[74543509]
92_1157	chr8	67064181	67064581	+	1000	71.5	[]	[]	[6.1991334]	[131]	[]	[67064367]
92_1163	chr10	17201394	17201794	+	1000	71.0	[3.7294743]	[131]	[]	[]	[17201594]	[]
92_1168	chr16	30957539	30957939	+	1000	71.0	[15.601313]	[63]	[5.7621446]	[140]	[30957702]	[30957779]
92_1172	chr2	85420585	85420985	+	1000	71.0	[18.705444, 10.583442]	[75, 127]	[]	[]	[85420757, 85420809]	[]
92_1177	chr5	143402426	143402826	+	1000	71.0	[18.514639]	[103]	[]	[]	[143402620]	[]
92_1178	chr6	30717422	30717822	+	1000	71.0	[]	[]	[4.6893554]	[163]	[]	[30717607]
92_1180	chr7	76379821	76380221	+	1000	71.0	[]	[]	[5.8990083, 11.614971]	[156, 178]	[]	[76380018, 76380040]
92_1183	chr9	132669826	132670226	+	1000	71.0	[8.204816]	[109]	[]	[]	[132670025]	[]
92_1184	chr1	173824702	173825102	+	1000	70.5	[]	[]	[3.9190476]	[108]	[]	[173824861]
92_1187	chr12	106955541	106955941	+	1000	70.5	[]	[]	[4.9390006]	[101]	[]	[106955737]
92_1188	chr14	103562776	103563176	+	1000	70.5	[]	[]	[10.196941]	[119]	[]	[103562986]
92_1189	chr19	7680579	7680979	+	1000	70.5	[5.7001452]	[113]	[]	[]	[7680782]	[]
92_1193	chr5	138352268	138352668	+	1000	70.5	[11.881778]	[103]	[]	[]	[138352454]	[]
92_1200	chr1	29230822	29231222	+	1000	70.0	[7.3515005, 13.325745]	[100, 124]	[6.479587]	[145]	[29230973, 29230997]	[29231018]
92_1203	chr11	13463131	13463531	+	1000	70.0	[]	[]	[6.602991, 6.754078]	[75, 125]	[]	[13463292, 13463342]
92_1204	chr12	49331493	49331893	+	1000	70.0	[6.7078037]	[122]	[]	[]	[49331693]	[]
92_1206	chr15	66497695	66498095	+	1000	70.0	[6.751236]	[101]	[]	[]	[66497860]	[]
92_1212	chr3	28241352	28241752	+	1000	70.0	[20.261883]	[109]	[6.37393]	[167]	[28241512]	[28241570]
92_1214	chr4	183444467	183444867	+	1000	70.0	[]	[]	[8.62587, 8.797743]	[93, 144]	[]	[183444635, 183444686]
92_1221	chr12	121686923	121687323	+	1000	69.5	[14.7367935]	[82]	[]	[]	[121687090]	[]
92_1222	chr14	22982631	22983031	+	1000	69.5	[]	[]	[9.302433]	[193]	[]	[22982880]
92_1224	chr17	7234273	7234673	+	1000	69.5	[3.6136212]	[147]	[5.1586237]	[58]	[7234513]	[7234424]
92_1225	chr17	38853524	38853924	+	1000	69.5	[6.754078]	[212]	[]	[]	[38853775]	[]
92_1227	chr19	17511902	17512302	+	1000	69.5	[9.93958, 4.2810674]	[67, 124]	[10.184199]	[119]	[17512057, 17512114]	[17512109]
92_1228	chr2	32063482	32063882	+	1000	69.5	[]	[]	[4.276208, 15.601313]	[111, 141]	[]	[32063638, 32063668]
92_1229	chr2	99154745	99155145	+	1000	69.5	[]	[]	[11.1475]	[180]	[]	[99154942]
92_123	chr15	31329883	31330283	+	1000	192.5	[5.9608936]	[84]	[3.1942773]	[151]	[31330048]	[31330115]
92_1236	chr6	30721411	30721811	+	1000	69.5	[]	[]	[7.175372]	[146]	[]	[30721600]
92_1243	chrX	154762482	154762882	+	1000	69.5	[12.515693]	[90]	[]	[]	[154762636]	[]
92_1246	chr1	47181218	47181618	+	1000	69.0	[3.1972764]	[134]	[]	[]	[47181407]	[]
92_1247	chr1	51296686	51297086	+	1000	69.0	[17.424435]	[164]	[]	[]	[51296932]	[]
92_1251	chr10	74176354	74176754	+	1000	69.0	[4.0833645]	[156]	[]	[]	[74176573]	[]
92_1257	chr17	40100595	40100995	+	1000	69.0	[3.423151]	[162]	[4.464667]	[145]	[40100831]	[40100814]
92_1258	chr17	43021145	43021545	+	1000	69.0	[]	[]	[13.695465]	[156]	[]	[43021370]
92_1260	chr2	23927042	23927442	+	1000	69.0	[6.4264174]	[74]	[]	[]	[23927211]	[]
92_1264	chr22	19171322	19171722	+	1000	69.0	[]	[]	[4.0391974]	[126]	[]	[19171540]
92_1266	chr22	19691608	19692008	+	1000	69.0	[]	[]	[6.3896685]	[123]	[]	[19691813]
92_1270	chr6	166956458	166956858	+	1000	69.0	[14.334939, 3.6557534, 6.5453115]	[151, 168, 192]	[]	[]	[166956625, 166956642, 166956666]	[]
92_1272	chr9	130940904	130941304	+	1000	69.0	[]	[]	[5.943765]	[161]	[]	[130941144]
92_1276	chr15	40906400	40906800	+	1000	68.5	[]	[]	[8.280235]	[105]	[]	[40906572]
92_1277	chr15	43510578	43510978	+	1000	68.5	[6.849096]	[178]	[8.145961]	[150]	[43510802]	[43510774]
92_1278	chr16	88570120	88570520	+	1000	68.5	[]	[]	[10.964813]	[148]	[]	[88570344]
92_128	chr15	31342843	31343243	+	1000	190.0	[6.1087255]	[130]	[5.9689555]	[81]	[31343059]	[31343010]
92_1282	chr2	70142670	70143070	+	1000	68.5	[3.3966615]	[84]	[]	[]	[70142850]	[]
92_1283	chr22	19291137	19291537	+	1000	68.5	[]	[]	[5.3613625, 6.9410334]	[97, 109]	[]	[19291329, 19291341]
92_1287	chr22	26483616	26484016	+	1000	68.5	[4.8132143]	[89]	[]	[]	[26483801]	[]
92_1288	chr22	41468824	41469224	+	1000	68.5	[7.0327907, 5.979455, 10.458974]	[95, 152, 171]	[]	[]	[41468991, 41469048, 41469067]	[]
92_1291	chr7	602491	602891	+	1000	68.5	[]	[]	[9.331786, 6.362624]	[83, 144]	[]	[602653, 602714]
92_1296	chr1	148152002	148152402	+	1000	68.0	[3.2310734, 10.750452]	[119, 150]	[]	[]	[148152205, 148152236]	[]
92_1302	chr19	12919144	12919544	+	1000	68.0	[6.253179, 8.786327]	[71, 129]	[8.144108]	[159]	[12919304, 12919362]	[12919392]
92_1304	chr19	40443122	40443522	+	1000	68.0	[9.446738]	[112]	[]	[]	[40443326]	[]
92_1305	chr2	27890337	27890737	+	1000	68.0	[5.5383444]	[65]	[]	[]	[27890489]	[]
92_1307	chr22	21753516	21753916	+	1000	68.0	[]	[]	[6.6181736, 16.241953]	[135, 140]	[]	[21753744, 21753749]
92_1311	chr3	132417073	132417473	+	1000	68.0	[]	[]	[13.302529]	[112]	[]	[132417251]
92_1312	chr3	158801815	158802215	+	1000	68.0	[]	[]	[15.765844]	[149]	[]	[158802004]
92_1314	chr4	48830689	48831089	+	1000	68.0	[]	[]	[12.072583]	[103]	[]	[48830888]
92_1315	chr6	4020979	4021379	+	1000	68.0	[4.8663836, 3.5634449]	[77, 141]	[]	[]	[4021143, 4021207]	[]
92_1319	chr9	130756431	130756831	+	1000	68.0	[]	[]	[5.327822]	[206]	[]	[130756648]
92_1333	chr16	5097468	5097868	+	1000	67.5	[]	[]	[6.784516]	[104]	[]	[5097662]
92_1335	chr19	41310114	41310514	+	1000	67.5	[]	[]	[3.4311476]	[139]	[]	[41310312]
92_1351	chr6	36594080	36594480	+	1000	67.5	[6.450797]	[157]	[]	[]	[36594270]	[]
92_136	chr7	40134670	40135070	+	1000	186.0	[]	[]	[4.962722]	[155]	[]	[40134914]
92_1361	chr11	124115234	124115634	+	1000	67.0	[]	[]	[10.373115]	[77]	[]	[124115397]
92_1362	chr16	88812127	88812527	+	1000	67.0	[]	[]	[3.572755]	[134]	[]	[88812321]
92_1365	chr2	38751199	38751599	+	1000	67.0	[]	[]	[3.8313022]	[220]	[]	[38751441]
92_1367	chr5	179858614	179859014	+	1000	67.0	[4.0818214]	[224]	[]	[]	[179858856]	[]
92_1368	chr6	3372245	3372645	+	1000	67.0	[]	[]	[14.494709]	[113]	[]	[3372403]
92_1369	chr6	26171755	26172155	+	1000	67.0	[16.241953, 8.11218]	[127, 179]	[]	[]	[26171945, 26171997]	[]
92_1370	chr7	16645264	16645664	+	1000	67.0	[15.316871]	[90]	[]	[]	[16645453]	[]
92_1378	chr1	52842612	52843012	+	1000	66.5	[]	[]	[6.4941587]	[74]	[]	[52842785]
92_1383	chr11	64924022	64924422	+	1000	66.5	[8.978243]	[133]	[]	[]	[64924199]	[]
