#PeakID(python identify_motif.py ./ENCODE_processed_files/ELF4_idr.fa ELF4 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
765_10098	chr11	102476847	102477247	+	1000	35.0	[]	[]	[14.216931]	[104]	[]	[102477038]
765_10103	chr12	53508566	53508966	+	1000	35.0	[5.836276]	[210]	[]	[]	[53508796]	[]
765_10108	chr12	121712385	121712785	+	1000	35.0	[]	[]	[5.980667]	[123]	[]	[121712557]
765_10109	chr12	126953529	126953929	+	1000	35.0	[6.4070063]	[137]	[9.282794]	[71]	[126953748]	[126953682]
765_1011	chr3	44439765	44440165	+	1000	152.5	[8.93221]	[124]	[]	[]	[44439953]	[]
765_1012	chr4	37001584	37001984	+	1000	152.5	[8.649346]	[105]	[]	[]	[37001760]	[]
765_10121	chr15	90895756	90896156	+	790	35.0	[7.378318]	[62]	[]	[]	[90895916]	[]
765_10124	chr16	1772958	1773358	+	587	35.0	[9.922594, 6.8373966, 6.0315228]	[97, 107, 149]	[]	[]	[1773145, 1773155, 1773197]	[]
765_10127	chr16	30598239	30598639	+	1000	35.0	[8.153599]	[115]	[]	[]	[30598407]	[]
765_10131	chr17	28268180	28268580	+	598	35.0	[]	[]	[13.675034]	[80]	[]	[28268359]
765_10143	chr19	42270278	42270678	+	665	35.0	[]	[]	[4.9088664]	[125]	[]	[42270467]
765_10149	chr2	96895042	96895442	+	1000	35.0	[]	[]	[6.031513]	[134]	[]	[96895267]
765_10155	chr2	207960147	207960547	+	667	35.0	[5.151082, 5.151082]	[148, 195]	[]	[]	[207960344, 207960391]	[]
765_10159	chr20	17966114	17966514	+	583	35.0	[12.8932]	[127]	[]	[]	[17966313]	[]
765_10165	chr21	39351278	39351678	+	1000	35.0	[]	[]	[10.32586]	[111]	[]	[39351488]
765_10174	chr3	47250541	47250941	+	1000	35.0	[]	[]	[4.706161]	[201]	[]	[47250752]
765_10177	chr3	122679096	122679496	+	1000	35.0	[]	[]	[5.9822874]	[94]	[]	[122679264]
765_1018	chr22	39520079	39520479	+	1000	152.0	[9.018655]	[88]	[]	[]	[39520263]	[]
765_10182	chr4	83252773	83253173	+	966	35.0	[8.144602]	[87]	[]	[]	[83252959]	[]
765_10183	chr4	108167553	108167953	+	811	35.0	[]	[]	[12.77135]	[148]	[]	[108167718]
765_10189	chr5	42950612	42951012	+	1000	35.0	[11.990436]	[90]	[]	[]	[42950796]	[]
765_10192	chr5	119324171	119324571	+	970	35.0	[]	[]	[5.694821]	[142]	[]	[119324342]
765_10194	chr5	134176653	134177053	+	1000	35.0	[5.3934865]	[113]	[]	[]	[134176810]	[]
765_10197	chr5	173862191	173862591	+	965	35.0	[7.368371]	[153]	[]	[]	[173862398]	[]
765_10208	chr6	33571065	33571465	+	1000	35.0	[]	[]	[6.826473]	[135]	[]	[33571241]
765_10216	chr6	157519992	157520392	+	635	35.0	[5.980667]	[204]	[]	[]	[157520220]	[]
765_10217	chr6	158644856	158645256	+	755	35.0	[9.492558]	[254]	[]	[]	[158645073]	[]
765_10219	chr7	2400179	2400579	+	1000	35.0	[11.120997]	[110]	[]	[]	[2400341]	[]
765_10223	chr7	44582281	44582681	+	867	35.0	[]	[]	[6.6790752]	[177]	[]	[44582468]
765_10226	chr7	96361121	96361521	+	999	35.0	[]	[]	[8.81036]	[129]	[]	[96361329]
765_10229	chr7	103148187	103148587	+	1000	35.0	[6.716344]	[215]	[]	[]	[103148409]	[]
765_10239	chr8	8238659	8239059	+	895	35.0	[]	[]	[12.8932]	[99]	[]	[8238813]
765_10246	chr8	141021740	141022140	+	541	35.0	[]	[]	[8.161925]	[199]	[]	[141021960]
765_10247	chr8	143684209	143684609	+	1000	35.0	[6.0315228]	[194]	[]	[]	[143684438]	[]
765_10249	chr9	93962845	93963245	+	1000	35.0	[7.5501094]	[232]	[]	[]	[93963078]	[]
765_1025	chr2	151288114	151288514	+	1000	151.5	[6.8208694, 9.009658]	[102, 140]	[]	[]	[151288311, 151288349]	[]
765_10250	chr9	104775054	104775454	+	990	35.0	[]	[]	[5.9616046]	[118]	[]	[104775262]
765_10262	chr1	23562578	23562978	+	892	34.5	[6.6464252]	[172]	[4.9548545]	[169]	[23562821]	[23562818]
765_10269	chr1	51963832	51964232	+	956	34.5	[]	[]	[6.1402225]	[126]	[]	[51964025]
765_10270	chr1	53047701	53048101	+	1000	34.5	[]	[]	[9.41785]	[110]	[]	[53047897]
765_10272	chr1	66924058	66924458	+	793	34.5	[]	[]	[5.7305493, 13.501622]	[93, 100]	[]	[66924251, 66924258]
765_10274	chr1	83918933	83919333	+	819	34.5	[6.8208694]	[126]	[]	[]	[83919138]	[]
765_10284	chr1	223777105	223777505	+	948	34.5	[]	[]	[8.180073]	[96]	[]	[223777259]
765_1029	chr12	34022218	34022618	+	1000	151.0	[]	[]	[5.987891, 9.165426]	[122, 155]	[]	[34022436, 34022469]
765_10294	chr10	73908843	73909243	+	1000	34.5	[6.031513]	[111]	[]	[]	[73909035]	[]
765_10299	chr11	66157203	66157603	+	1000	34.5	[8.153599]	[129]	[]	[]	[66157396]	[]
765_10307	chr12	47205833	47206233	+	1000	34.5	[]	[]	[5.714426]	[211]	[]	[47206065]
765_10310	chr12	54497401	54497801	+	836	34.5	[8.93221, 5.0411386]	[95, 123]	[]	[]	[54497566, 54497594]	[]
765_10311	chr12	55847998	55848398	+	1000	34.5	[]	[]	[9.41785]	[140]	[]	[55848161]
765_10312	chr12	56991480	56991880	+	1000	34.5	[]	[]	[8.93221]	[100]	[]	[56991671]
765_10316	chr13	47904266	47904666	+	770	34.5	[5.325487]	[96]	[10.831085, 9.547101, 10.831085]	[117, 137, 157]	[47904443]	[47904464, 47904484, 47904504]
765_10329	chr16	23538587	23538987	+	937	34.5	[11.120997]	[150]	[]	[]	[23538782]	[]
765_1033	chr22	36481475	36481875	+	1000	151.0	[5.5368857]	[117]	[8.008537, 18.177921]	[71, 101]	[36481679]	[36481633, 36481663]
765_10333	chr16	85355267	85355667	+	1000	34.5	[]	[]	[5.980667]	[158]	[]	[85355473]
765_10336	chr16	88812336	88812736	+	995	34.5	[5.246295]	[150]	[]	[]	[88812491]	[]
765_10342	chr17	40437223	40437623	+	876	34.5	[12.04467]	[161]	[]	[]	[40437391]	[]
765_10344	chr17	45247557	45247957	+	1000	34.5	[]	[]	[7.372054, 7.3065095]	[149, 166]	[]	[45247729, 45247746]
765_10345	chr17	48541823	48542223	+	888	34.5	[5.9933476]	[211]	[]	[]	[48542003]	[]
765_10351	chr17	81395045	81395445	+	880	34.5	[]	[]	[7.3150167]	[239]	[]	[81395287]
765_10355	chr18	6676117	6676517	+	989	34.5	[9.162314]	[160]	[]	[]	[6676341]	[]
765_1036	chr10	49183627	49184027	+	1000	150.5	[8.110154, 8.93221]	[101, 150]	[]	[]	[49183804, 49183853]	[]
765_10362	chr19	8878349	8878749	+	579	34.5	[8.153599]	[93]	[]	[]	[8878518]	[]
765_10363	chr19	11377026	11377426	+	964	34.5	[]	[]	[6.4446983]	[206]	[]	[11377274]
765_1037	chr12	31728870	31729270	+	1000	150.5	[]	[]	[5.8971972]	[92]	[]	[31729028]
765_10376	chr2	241637409	241637809	+	947	34.5	[]	[]	[5.2918696]	[66]	[]	[241637567]
765_10377	chr20	58652135	58652535	+	757	34.5	[]	[]	[8.958683]	[130]	[]	[58652360]
765_10379	chr21	33716092	33716492	+	1000	34.5	[16.005661]	[150]	[]	[]	[33716312]	[]
765_10392	chr22	38794003	38794403	+	828	34.5	[7.336823]	[108]	[]	[]	[38794177]	[]
765_10407	chr4	39046248	39046648	+	970	34.5	[]	[]	[7.2299266]	[193]	[]	[39046409]
765_10411	chr5	72842739	72843139	+	930	34.5	[6.8784223]	[139]	[5.857185, 5.9296927]	[104, 133]	[72842963]	[72842928, 72842957]
765_10423	chr6	45294346	45294746	+	889	34.5	[8.93221]	[90]	[]	[]	[45294524]	[]
765_10434	chr7	43004110	43004510	+	954	34.5	[]	[]	[7.245589]	[147]	[]	[43004350]
765_1044	chr15	37100192	37100592	+	1000	150.0	[18.177921]	[149]	[]	[]	[37100437]	[]
765_10440	chr7	129959473	129959873	+	1000	34.5	[7.648226]	[127]	[]	[]	[129959678]	[]
765_10441	chr7	138225956	138226356	+	641	34.5	[]	[]	[9.880735]	[166]	[]	[138226181]
765_1045	chr17	70128763	70129163	+	1000	150.0	[12.04467, 4.816258]	[82, 121]	[7.3065095]	[160]	[70128919, 70128958]	[70128997]
765_10451	chr8	126292651	126293051	+	877	34.5	[7.619102]	[135]	[]	[]	[126292817]	[]
765_10452	chr9	97363168	97363568	+	690	34.5	[]	[]	[8.596752, 11.120997, 6.7787557]	[81, 112, 150]	[]	[97363345, 97363376, 97363414]
765_10453	chr9	121075392	121075792	+	967	34.5	[]	[]	[8.6671505]	[123]	[]	[121075553]
765_10462	chrX	136871858	136872258	+	879	34.5	[6.3365245]	[170]	[]	[]	[136872067]	[]
765_10463	chrX	139213390	139213790	+	1000	34.5	[]	[]	[9.588278]	[88]	[]	[139213569]
765_10466	chr1	15236217	15236617	+	871	34.0	[]	[]	[8.144602]	[96]	[]	[15236398]
765_10468	chr1	20440808	20441208	+	613	34.0	[8.334412]	[190]	[]	[]	[20441047]	[]
765_10470	chr1	26237488	26237888	+	924	34.0	[]	[]	[6.1516743]	[140]	[]	[26237704]
765_10481	chr1	176208550	176208950	+	909	34.0	[7.245589, 9.890682]	[88, 114]	[]	[]	[176208735, 176208761]	[]
765_10483	chr1	179217960	179218360	+	992	34.0	[6.6464252]	[79]	[6.9788046]	[132]	[179218113]	[179218166]
765_10493	chr10	24873352	24873752	+	754	34.0	[]	[]	[5.048668]	[186]	[]	[24873574]
765_10494	chr10	46018396	46018796	+	1000	34.0	[7.3766975]	[109]	[]	[]	[46018583]	[]
765_10495	chr10	67795002	67795402	+	781	34.0	[]	[]	[10.760686]	[186]	[]	[67795202]
765_10497	chr10	73932408	73932808	+	799	34.0	[6.869615]	[89]	[]	[]	[73932562]	[]
765_10508	chr11	66269330	66269730	+	952	34.0	[]	[]	[6.8700957, 5.9538746]	[115, 133]	[]	[66269537, 66269555]
765_10510	chr11	72751669	72752069	+	583	34.0	[11.206578]	[240]	[]	[]	[72751915]	[]
765_10512	chr11	96082345	96082745	+	935	34.0	[6.61811]	[148]	[]	[]	[96082584]	[]
765_10517	chr12	93603873	93604273	+	962	34.0	[]	[]	[8.144602]	[221]	[]	[93604097]
765_10519	chr12	98656587	98656987	+	841	34.0	[9.714044]	[199]	[]	[]	[98656794]	[]
765_10520	chr12	104477479	104477879	+	1000	34.0	[14.216931]	[83]	[]	[]	[104477649]	[]
765_10528	chr12	124866964	124867364	+	1000	34.0	[]	[]	[12.909726]	[53]	[]	[124867115]
765_10535	chr14	89032059	89032459	+	913	34.0	[11.3376875, 14.216931]	[73, 147]	[]	[]	[89032217, 89032291]	[]
765_10540	chr15	57322246	57322646	+	999	34.0	[]	[]	[6.471767, 7.3766975]	[113, 165]	[]	[57322416, 57322468]
765_10545	chr16	30934887	30935287	+	805	34.0	[14.216931]	[101]	[]	[]	[30935086]	[]
765_1055	chr1	84479033	84479433	+	1000	149.0	[15.081987]	[78]	[6.328198]	[122]	[84479201]	[84479245]
765_10554	chr17	34852729	34853129	+	941	34.0	[6.7787557]	[152]	[5.1342483]	[137]	[34852922]	[34852907]
765_10556	chr17	43990317	43990717	+	598	34.0	[6.9521675]	[140]	[]	[]	[43990516]	[]
765_10560	chr17	58337873	58338273	+	894	34.0	[7.3652596]	[120]	[]	[]	[58338090]	[]
765_10563	chr17	79009615	79010015	+	778	34.0	[5.9933476]	[162]	[]	[]	[79009804]	[]
765_10569	chr18	10850813	10851213	+	612	34.0	[12.052997]	[115]	[]	[]	[10851018]	[]
765_10570	chr18	46060258	46060658	+	882	34.0	[8.153599]	[159]	[]	[]	[46060468]	[]
765_10571	chr19	3184161	3184561	+	919	34.0	[8.161925]	[141]	[]	[]	[3184372]	[]
765_10574	chr19	48698173	48698573	+	868	34.0	[]	[]	[6.869615, 6.4446983, 7.3355446]	[73, 109, 151]	[]	[48698328, 48698364, 48698406]
765_10582	chr2	11941614	11942014	+	795	34.0	[12.04467]	[171]	[]	[]	[11941832]	[]
765_10588	chr2	68135583	68135983	+	951	34.0	[9.042153]	[208]	[]	[]	[68135811]	[]
765_10597	chr20	34570870	34571270	+	839	34.0	[5.9296927]	[174]	[]	[]	[34571113]	[]
765_10599	chr20	50347998	50348398	+	1000	34.0	[6.8208694]	[73]	[]	[]	[50348158]	[]
765_106	chr8	17922462	17922862	+	1000	377.5	[7.734671]	[111]	[12.054617]	[72]	[17922668]	[17922629]
765_10611	chr22	28802271	28802671	+	875	34.0	[]	[]	[12.04467]	[89]	[]	[28802438]
765_10613	chr22	36123828	36124228	+	917	34.0	[]	[]	[9.540632]	[141]	[]	[36124016]
765_10615	chr22	46754069	46754469	+	922	34.0	[6.643347]	[87]	[11.329361]	[130]	[46754234]	[46754277]
765_10616	chr3	10141522	10141922	+	1000	34.0	[]	[]	[8.398639]	[111]	[]	[10141706]
765_10624	chr3	72189390	72189790	+	811	34.0	[]	[]	[7.769396]	[134]	[]	[72189610]
765_10629	chr4	73068399	73068799	+	1000	34.0	[]	[]	[7.6117015]	[195]	[]	[73068629]
765_10637	chr5	91291554	91291954	+	839	34.0	[]	[]	[9.880735]	[143]	[]	[91291767]
765_10640	chr5	169583844	169584244	+	962	34.0	[5.7843447]	[109]	[]	[]	[169584012]	[]
765_10645	chr6	28355834	28356234	+	950	34.0	[4.984881]	[152]	[]	[]	[28356078]	[]
765_1065	chr6	41967395	41967795	+	1000	148.5	[]	[]	[14.28685]	[95]	[]	[41967588]
765_10653	chr6	53358568	53358968	+	954	34.0	[]	[]	[8.315406]	[118]	[]	[53358750]
765_10658	chr6	137626107	137626507	+	585	34.0	[5.857185]	[222]	[]	[]	[137626334]	[]
765_10668	chr7	130224918	130225318	+	569	34.0	[6.6464252]	[178]	[]	[]	[130225146]	[]
765_10670	chr7	131108559	131108959	+	992	34.0	[6.4070063, 6.9453773]	[150, 176]	[]	[]	[131108776, 131108802]	[]
765_10672	chr7	152025116	152025516	+	983	34.0	[5.4551673]	[125]	[6.2403955]	[123]	[152025339]	[152025337]
765_10675	chr8	73977015	73977415	+	686	34.0	[]	[]	[5.7305493]	[201]	[]	[73977262]
765_10682	chr9	126945630	126946030	+	963	34.0	[]	[]	[5.3541145, 6.9400144]	[79, 162]	[]	[126945795, 126945878]
765_10698	chr1	6007379	6007779	+	747	33.5	[15.167078]	[118]	[]	[]	[6007577]	[]
765_10706	chr1	38991113	38991513	+	964	33.5	[]	[]	[8.157282]	[149]	[]	[38991266]
765_10708	chr1	52703234	52703634	+	996	33.5	[]	[]	[5.9616046]	[157]	[]	[52703484]
765_10709	chr1	89804663	89805063	+	811	33.5	[6.869615]	[119]	[]	[]	[89804868]	[]
765_1071	chr20	56468439	56468839	+	1000	148.0	[11.625742, 7.1228547, 16.013987]	[125, 147, 156]	[]	[]	[56468613, 56468635, 56468644]	[]
765_10716	chr1	173496922	173497322	+	906	33.5	[]	[]	[4.886349]	[208]	[]	[173497145]
765_1072	chr3	51500044	51500444	+	1000	148.0	[]	[]	[8.444211]	[119]	[]	[51500250]
765_10720	chr1	185292236	185292636	+	1000	33.5	[]	[]	[6.8700957]	[171]	[]	[185292463]
765_10728	chr10	70742539	70742939	+	954	33.5	[12.052997]	[95]	[6.8700957]	[119]	[70742722]	[70742746]
765_10729	chr10	87504401	87504801	+	838	33.5	[5.2712436]	[166]	[]	[]	[87504602]	[]
765_10732	chr10	102641940	102642340	+	767	33.5	[]	[]	[5.4437294]	[172]	[]	[102642155]
765_10735	chr10	119305754	119306154	+	656	33.5	[]	[]	[13.841725]	[157]	[]	[119305964]
765_10736	chr11	2930335	2930735	+	714	33.5	[10.760686]	[182]	[]	[]	[2930563]	[]
765_10740	chr11	34106938	34107338	+	931	33.5	[]	[]	[11.609216, 8.839156]	[140, 201]	[]	[34107114, 34107175]
765_10747	chr12	8887337	8887737	+	926	33.5	[]	[]	[4.7056804]	[193]	[]	[8887532]
765_10752	chr12	62250607	62251007	+	888	33.5	[]	[]	[4.9250174]	[154]	[]	[62250792]
765_10754	chr12	104788695	104789095	+	957	33.5	[12.04467]	[96]	[]	[]	[104788889]	[]
765_10757	chr12	122083038	122083438	+	999	33.5	[]	[]	[8.406839]	[106]	[]	[122083230]
765_10758	chr13	48866149	48866549	+	879	33.5	[14.216931]	[116]	[]	[]	[48866337]	[]
765_10764	chr14	95533474	95533874	+	681	33.5	[]	[]	[9.094748]	[95]	[]	[95533654]
765_10782	chr16	57894057	57894457	+	1000	33.5	[]	[]	[13.675034]	[99]	[]	[57894219]
765_10783	chr16	85554899	85555299	+	973	33.5	[4.870802]	[168]	[]	[]	[85555094]	[]
765_10796	chr17	81711313	81711713	+	998	33.5	[]	[]	[8.525743, 9.487768]	[87, 144]	[]	[81711492, 81711549]
765_10798	chr18	8890856	8891256	+	608	33.5	[]	[]	[5.3301306, 6.61811]	[75, 85]	[]	[8891013, 8891023]
765_10799	chr18	54388673	54389073	+	763	33.5	[6.869615]	[177]	[]	[]	[54388904]	[]
765_10805	chr19	40274374	40274774	+	714	33.5	[6.9310164]	[200]	[]	[]	[40274569]	[]
765_10809	chr2	60883040	60883440	+	917	33.5	[8.093627]	[126]	[8.087363]	[79]	[60883243]	[60883196]
765_10812	chr2	109005806	109006206	+	545	33.5	[13.3788395]	[126]	[6.0163417]	[145]	[109006022]	[109006041]
765_10815	chr2	157264848	157265248	+	749	33.5	[]	[]	[10.760686]	[104]	[]	[157265051]
765_10816	chr2	168455548	168455948	+	961	33.5	[]	[]	[5.799516, 7.648226]	[115, 174]	[]	[168455734, 168455793]
765_10817	chr2	177167968	177168368	+	964	33.5	[]	[]	[7.0842395]	[102]	[]	[177168152]
765_1082	chr17	36948699	36949099	+	1000	147.0	[]	[]	[7.7181444]	[177]	[]	[36948896]
765_10822	chr20	32358993	32359393	+	760	33.5	[5.4232926]	[150]	[7.620028, 10.32586]	[147, 178]	[32359202]	[32359199, 32359230]
765_10823	chr20	47333648	47334048	+	988	33.5	[10.32586]	[81]	[]	[]	[47333829]	[]
765_10836	chr3	198030098	198030498	+	822	33.5	[]	[]	[8.93221, 5.321804]	[105, 127]	[]	[198030263, 198030285]
765_1084	chr17	82450709	82451109	+	1000	147.0	[]	[]	[7.5501094, 11.511099]	[83, 111]	[]	[82450877, 82450905]
765_10842	chr4	39036940	39037340	+	939	33.5	[]	[]	[5.7305493, 6.9453773]	[255, 262]	[]	[39037183, 39037190]
765_10843	chr4	40206454	40206854	+	990	33.5	[6.031513, 5.3778486]	[92, 124]	[]	[]	[40206632, 40206664]	[]
765_10847	chr4	140529515	140529915	+	862	33.5	[]	[]	[8.093627]	[142]	[]	[140529735]
765_10849	chr4	185396286	185396686	+	976	33.5	[]	[]	[10.131467]	[103]	[]	[185396447]
765_10854	chr5	139475398	139475798	+	997	33.5	[9.153988]	[111]	[]	[]	[139475588]	[]
765_10866	chr6	30784981	30785381	+	677	33.5	[5.976023]	[181]	[]	[]	[30785152]	[]
765_1087	chr3	194583840	194584240	+	1000	147.0	[16.013987]	[73]	[]	[]	[194583996]	[]
765_10870	chr6	41961547	41961947	+	970	33.5	[5.9538746]	[222]	[]	[]	[41961771]	[]
765_10880	chr6	147226387	147226787	+	877	33.5	[6.8700957]	[73]	[]	[]	[147226544]	[]
765_10881	chr6	152875839	152876239	+	931	33.5	[7.619102]	[57]	[]	[]	[152875994]	[]
765_10882	chr6	157260208	157260608	+	556	33.5	[]	[]	[14.216931]	[89]	[]	[157260391]
765_10891	chr7	137967531	137967931	+	994	33.5	[8.153599]	[178]	[]	[]	[137967739]	[]
765_10893	chr8	37867055	37867455	+	908	33.5	[5.980667]	[143]	[6.7032003]	[120]	[37867237]	[37867214]
765_10898	chr8	94720781	94721181	+	989	33.5	[]	[]	[7.0145335]	[231]	[]	[94721027]
765_1090	chr15	65869059	65869459	+	1000	146.5	[]	[]	[8.66667]	[116]	[]	[65869237]
765_10904	chr9	75088872	75089272	+	867	33.5	[]	[]	[8.93221]	[149]	[]	[75089094]
765_10908	chr9	129261377	129261777	+	961	33.5	[]	[]	[7.3652596]	[154]	[]	[129261532]
765_10909	chr9	130832384	130832784	+	968	33.5	[]	[]	[5.694821]	[108]	[]	[130832537]
765_1091	chr19	49641816	49642216	+	1000	146.5	[]	[]	[5.400049]	[183]	[]	[49642063]
765_10916	chr1	1004916	1005316	+	817	33.0	[]	[]	[7.368371]	[150]	[]	[1005166]
765_10921	chr1	27608540	27608940	+	754	33.0	[5.4551673]	[148]	[]	[]	[27608746]	[]
765_10925	chr1	100036709	100037109	+	911	33.0	[]	[]	[5.576389]	[99]	[]	[100036860]
765_10929	chr1	160548940	160549340	+	896	33.0	[6.8700957]	[144]	[]	[]	[160549151]	[]
765_10930	chr1	193104559	193104959	+	932	33.0	[]	[]	[8.596752]	[175]	[]	[193104801]
765_10935	chr1	205189117	205189517	+	665	33.0	[]	[]	[6.031513]	[142]	[]	[205189332]
765_10937	chr1	224182429	224182829	+	647	33.0	[]	[]	[6.17866]	[138]	[]	[224182613]
765_10938	chr1	243270417	243270817	+	931	33.0	[]	[]	[7.368371]	[145]	[]	[243270650]
765_10939	chr10	21807160	21807560	+	799	33.0	[]	[]	[5.9414134]	[126]	[]	[21807374]
765_10944	chr10	47312086	47312486	+	953	33.0	[]	[]	[10.32586]	[95]	[]	[47312269]
765_10957	chr11	87030545	87030945	+	888	33.0	[]	[]	[5.037745]	[166]	[]	[87030732]
765_10961	chr11	118572957	118573357	+	994	33.0	[]	[]	[8.958683]	[163]	[]	[118573146]
765_10962	chr12	47742296	47742696	+	946	33.0	[]	[]	[9.042153]	[85]	[]	[47742457]
765_10964	chr12	57227296	57227696	+	815	33.0	[18.177921]	[132]	[]	[]	[57227494]	[]
765_10967	chr12	112013998	112014398	+	953	33.0	[4.88202]	[201]	[]	[]	[112014226]	[]
765_10970	chr12	132710350	132710750	+	875	33.0	[]	[]	[9.018655]	[155]	[]	[132710580]
765_10971	chr13	106416606	106417006	+	897	33.0	[]	[]	[14.216931]	[112]	[]	[106416816]
765_10975	chr15	38440348	38440748	+	971	33.0	[]	[]	[12.04467]	[175]	[]	[38440574]
765_10978	chr15	66588867	66589267	+	939	33.0	[14.216931]	[114]	[]	[]	[66589078]	[]
765_10979	chr15	94855442	94855842	+	890	33.0	[]	[]	[6.6464252]	[182]	[]	[94855661]
765_10982	chr16	66603926	66604326	+	993	33.0	[6.4070063]	[112]	[]	[]	[66604088]	[]
765_10991	chr17	20206050	20206450	+	980	33.0	[]	[]	[12.052997]	[133]	[]	[20206260]
765_10992	chr17	27104514	27104914	+	983	33.0	[]	[]	[4.984881]	[143]	[]	[27104687]
765_10995	chr17	39377021	39377421	+	964	33.0	[5.714426]	[141]	[]	[]	[39377261]	[]
765_10996	chr17	39621967	39622367	+	630	33.0	[]	[]	[5.705533]	[106]	[]	[39622162]
765_10997	chr17	40596643	40597043	+	972	33.0	[7.9592056]	[173]	[]	[]	[40596885]	[]
765_1100	chr5	180093612	180094012	+	1000	146.0	[]	[]	[12.04467]	[120]	[]	[180093831]
765_11000	chr17	60078817	60079217	+	964	33.0	[6.151471]	[117]	[]	[]	[60078995]	[]
765_11001	chr17	65173505	65173905	+	908	33.0	[]	[]	[6.61811]	[149]	[]	[65173706]
765_11002	chr17	78631850	78632250	+	613	33.0	[12.04467]	[135]	[]	[]	[78632058]	[]
765_11004	chr18	3111823	3112223	+	757	33.0	[6.208521]	[111]	[18.177921]	[136]	[3112029]	[3112054]
765_11010	chr19	17553217	17553617	+	820	33.0	[]	[]	[8.180073]	[194]	[]	[17553436]
765_11014	chr19	44753321	44753721	+	949	33.0	[]	[]	[5.1209664]	[232]	[]	[44753563]
765_11019	chr19	54168484	54168884	+	940	33.0	[6.2403955]	[154]	[]	[]	[54168715]	[]
765_11021	chr2	12084025	12084425	+	782	33.0	[11.206088]	[82]	[6.8348002]	[147]	[12084195]	[12084260]
765_11026	chr2	69946536	69946936	+	957	33.0	[5.9616046]	[136]	[]	[]	[69946738]	[]
765_11027	chr2	70089728	70090128	+	989	33.0	[9.714044]	[73]	[]	[]	[70089887]	[]
765_11034	chr2	144198134	144198534	+	595	33.0	[]	[]	[11.206088]	[100]	[]	[144198307]
765_11037	chr2	201183775	201184175	+	946	33.0	[]	[]	[11.609216]	[104]	[]	[201183976]
765_11038	chr2	235444291	235444691	+	683	33.0	[7.0889516]	[140]	[]	[]	[235444515]	[]
765_1104	chr13	102845558	102845958	+	1000	145.5	[]	[]	[12.071144]	[110]	[]	[102845746]
765_11052	chr22	26674558	26674958	+	780	33.0	[18.177921, 6.869615]	[84, 140]	[]	[]	[26674715, 26674771]	[]
765_11063	chr3	138832555	138832955	+	980	33.0	[7.619102, 5.7305493]	[150, 157]	[]	[]	[138832750, 138832757]	[]
765_11064	chr3	196844441	196844841	+	693	33.0	[]	[]	[5.714426]	[210]	[]	[196844636]
