#PeakID(python identify_motif.py ./ENCODE_processed_files/TAL1_idr.fa TAL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
345_1010	chr21	31735682	31736082	+	1000	544.0	[4.611834, 4.611834, 4.611834, 4.611834, 4.611834]	[66, 72, 92, 111, 117]	[4.611834, 5.088419, 9.465482, 4.611834, 4.611834]	[66, 72, 92, 111, 117]	[31735845, 31735851, 31735871, 31735890, 31735896]	[31735845, 31735851, 31735871, 31735890, 31735896]
345_10105	chr16	10886918	10887318	+	1000	117.0	[4.611834]	[128]	[4.611834]	[128]	[10887132]	[10887132]
345_10109	chr17	59786808	59787208	+	1000	117.0	[8.356634]	[123]	[4.611834]	[123]	[59787025]	[59787025]
345_10117	chr2	11744078	11744478	+	1000	117.0	[4.611834]	[79]	[4.611834]	[79]	[11744248]	[11744248]
345_10121	chr2	99660838	99661238	+	1000	117.0	[4.611834, 4.611834]	[64, 85]	[8.356634, 5.088419]	[64, 85]	[99661001, 99661022]	[99661001, 99661022]
345_10129	chr21	39422490	39422890	+	1000	117.0	[4.611834]	[111]	[4.611834]	[111]	[39422687]	[39422687]
345_10137	chr4	88758941	88759341	+	1000	117.0	[4.611834, 11.270045]	[56, 107]	[9.465482, 11.270045]	[56, 107]	[88759092, 88759143]	[88759092, 88759143]
345_10139	chr4	173174449	173174849	+	1000	117.0	[4.611834]	[142]	[5.088419]	[142]	[173174663]	[173174663]
345_10146	chr6	20332654	20333054	+	1000	117.0	[11.270045, 11.270045]	[61, 98]	[11.270045, 11.270045]	[61, 98]	[20332811, 20332848]	[20332811, 20332848]
345_10159	chr8	54336250	54336650	+	1000	117.0	[4.611834]	[133]	[9.465482]	[133]	[54336481]	[54336481]
345_10161	chr8	85866594	85866994	+	1000	117.0	[4.611834]	[65]	[8.356634]	[65]	[85866757]	[85866757]
345_10162	chr8	90541760	90542160	+	1000	117.0	[4.611834]	[99]	[4.611834]	[99]	[90541959]	[90541959]
345_1017	chr22	19891545	19891945	+	1000	542.0	[4.611834, 4.611834]	[60, 113]	[9.465482, 5.088419]	[60, 113]	[19891705, 19891758]	[19891705, 19891758]
345_10172	chr1	111639890	111640290	+	1000	116.0	[11.270045]	[73]	[11.270045]	[73]	[111640053]	[111640053]
345_10179	chr12	54566770	54567170	+	1000	116.0	[4.611834, 8.356634]	[64, 124]	[4.611834, 4.611834]	[64, 124]	[54566933, 54566993]	[54566933, 54566993]
345_10180	chr12	130952447	130952847	+	1000	116.0	[4.611834]	[64]	[4.611834]	[64]	[130952603]	[130952603]
345_10187	chr15	87610287	87610687	+	1000	116.0	[4.611834]	[102]	[4.611834]	[102]	[87610481]	[87610481]
345_10191	chr18	2976229	2976629	+	1000	116.0	[4.611834]	[103]	[5.088419]	[103]	[2976432]	[2976432]
345_10192	chr18	55386533	55386933	+	1000	116.0	[4.611834, 4.611834]	[104, 143]	[4.611834, 9.465482]	[104, 143]	[55386731, 55386770]	[55386731, 55386770]
345_10198	chr2	177728058	177728458	+	1000	116.0	[4.611834, 4.611834]	[54, 143]	[4.611834, 4.611834]	[54, 143]	[177728210, 177728299]	[177728210, 177728299]
345_10203	chr3	105866873	105867273	+	1000	116.0	[4.611834]	[90]	[4.611834]	[90]	[105867053]	[105867053]
345_10206	chr4	15526944	15527344	+	1000	116.0	[4.611834]	[78]	[4.611834]	[78]	[15527117]	[15527117]
345_10213	chr6	144468653	144469053	+	1000	116.0	[4.611834]	[85]	[9.465482]	[85]	[144468834]	[144468834]
345_10215	chr7	133082018	133082418	+	1000	116.0	[5.088419]	[100]	[4.611834]	[100]	[133082217]	[133082217]
345_10219	chr9	78021773	78022173	+	1000	116.0	[4.611834]	[149]	[4.611834]	[149]	[78022021]	[78022021]
345_10227	chr1	23342010	23342410	+	1000	115.0	[4.611834, 5.088419]	[98, 126]	[4.611834, 4.611834]	[98, 126]	[23342201, 23342229]	[23342201, 23342229]
345_10232	chr1	180923883	180924283	+	1000	115.0	[4.611834]	[100]	[5.088419]	[100]	[180924080]	[180924080]
345_10233	chr1	198167646	198168046	+	1000	115.0	[4.611834]	[139]	[9.465482]	[139]	[198167865]	[198167865]
345_10234	chr1	234612538	234612938	+	1000	115.0	[4.611834, 4.611834, 4.611834, 4.611834]	[80, 83, 89, 98]	[4.611834, 4.611834, 4.611834, 4.611834]	[80, 83, 89, 98]	[234612715, 234612718, 234612724, 234612733]	[234612715, 234612718, 234612724, 234612733]
345_10236	chr10	125799440	125799840	+	1000	115.0	[11.270045, 4.611834]	[113, 138]	[11.270045, 5.088419]	[113, 138]	[125799647, 125799672]	[125799647, 125799672]
345_10237	chr11	11843210	11843610	+	1000	115.0	[9.465482]	[125]	[4.611834]	[125]	[11843428]	[11843428]
345_10239	chr12	25245496	25245896	+	1000	115.0	[4.611834]	[103]	[4.611834]	[103]	[25245690]	[25245690]
345_10245	chr12	131576716	131577116	+	1000	115.0	[5.088419, 5.088419]	[59, 90]	[4.611834, 4.611834]	[59, 90]	[131576873, 131576904]	[131576873, 131576904]
345_10247	chr13	32496553	32496953	+	1000	115.0	[4.611834, 4.611834]	[105, 127]	[4.611834, 4.611834]	[105, 127]	[32496751, 32496773]	[32496751, 32496773]
345_10249	chr13	51957506	51957906	+	1000	115.0	[11.270045, 4.611834, 5.088419]	[96, 114, 142]	[11.270045, 4.611834, 4.611834]	[96, 114, 142]	[51957696, 51957714, 51957742]	[51957696, 51957714, 51957742]
345_1025	chr3	196108256	196108656	+	1000	541.0	[4.611834]	[107]	[4.611834]	[107]	[196108461]	[196108461]
345_10258	chr16	85328202	85328602	+	1000	115.0	[4.611834, 4.611834]	[97, 118]	[4.611834, 4.611834]	[97, 118]	[85328389, 85328410]	[85328389, 85328410]
345_1026	chr6	108559018	108559418	+	1000	541.0	[4.611834]	[59]	[4.611834]	[59]	[108559171]	[108559171]
345_1027	chr9	122254246	122254646	+	1000	541.0	[4.611834, 4.611834, 4.611834]	[118, 137, 140]	[9.465482, 4.611834, 4.611834]	[118, 137, 140]	[122254464, 122254483, 122254486]	[122254464, 122254483, 122254486]
345_10270	chr19	18386031	18386431	+	1000	115.0	[9.465482]	[122]	[4.611834]	[122]	[18386226]	[18386226]
345_10272	chr1_KI270711v1_random	9096	9496	+	1000	115.0	[5.088419]	[132]	[4.611834]	[132]	[9327]	[9327]
345_10276	chr2	96819196	96819596	+	1000	115.0	[4.611834]	[96]	[4.611834]	[96]	[96819384]	[96819384]
345_10279	chr2	138474140	138474540	+	1000	115.0	[4.611834]	[144]	[8.356634]	[144]	[138474376]	[138474376]
345_10283	chr20	16261876	16262276	+	1000	115.0	[9.465482, 4.611834]	[121, 144]	[4.611834, 4.611834]	[121, 144]	[16262094, 16262117]	[16262094, 16262117]
345_10300	chr4	88158794	88159194	+	1000	115.0	[4.611834]	[129]	[4.611834]	[129]	[88159011]	[88159011]
345_10302	chr4	152937549	152937949	+	1000	115.0	[11.270045]	[123]	[11.270045]	[123]	[152937770]	[152937770]
345_10306	chr5	65810147	65810547	+	1000	115.0	[8.356634]	[153]	[4.611834]	[153]	[65810397]	[65810397]
345_10308	chr5	122112049	122112449	+	1000	115.0	[4.611834, 4.611834]	[101, 111]	[9.465482, 4.611834]	[101, 111]	[122112242, 122112252]	[122112242, 122112252]
345_10314	chr7	16657920	16658320	+	1000	115.0	[4.611834, 4.611834]	[71, 116]	[4.611834, 9.465482]	[71, 116]	[16658086, 16658131]	[16658086, 16658131]
345_10317	chr7	149719949	149720349	+	1000	115.0	[4.611834]	[59]	[4.611834]	[59]	[149720104]	[149720104]
345_10320	chr8	130313327	130313727	+	1000	115.0	[4.611834]	[143]	[4.611834]	[143]	[130313570]	[130313570]
345_10326	chr1	8703378	8703778	+	1000	114.0	[11.270045, 4.611834]	[67, 135]	[11.270045, 4.611834]	[67, 135]	[8703534, 8703602]	[8703534, 8703602]
345_10327	chr1	10510876	10511276	+	1000	114.0	[4.611834, 4.611834, 4.611834, 4.611834]	[70, 109, 114, 117]	[4.611834, 4.611834, 4.611834, 4.611834]	[70, 109, 114, 117]	[10511044, 10511083, 10511088, 10511091]	[10511044, 10511083, 10511088, 10511091]
345_10329	chr1	19113311	19113711	+	1000	114.0	[4.611834]	[161]	[9.465482]	[161]	[19113556]	[19113556]
345_10333	chr1	150162986	150163386	+	1000	114.0	[4.611834]	[135]	[4.611834]	[135]	[150163221]	[150163221]
345_10336	chr1	214326404	214326804	+	1000	114.0	[4.611834]	[72]	[4.611834]	[72]	[214326573]	[214326573]
345_10339	chr10	49225093	49225493	+	1000	114.0	[4.611834, 4.611834]	[68, 84]	[4.611834, 4.611834]	[68, 84]	[49225257, 49225273]	[49225257, 49225273]
345_10346	chr12	113669871	113670271	+	1000	114.0	[4.611834, 11.270045]	[60, 114]	[4.611834, 11.270045]	[60, 114]	[113670031, 113670085]	[113670031, 113670085]
345_10349	chr15	39396929	39397329	+	1000	114.0	[9.465482]	[108]	[4.611834]	[108]	[39397136]	[39397136]
345_1035	chr21	35483200	35483600	+	1000	539.0	[4.611834, 4.611834]	[67, 126]	[4.611834, 4.611834]	[67, 126]	[35483366, 35483425]	[35483366, 35483425]
345_10355	chr17	38460306	38460706	+	1000	114.0	[9.465482, 4.611834, 4.611834]	[69, 132, 139]	[4.611834, 4.611834, 4.611834]	[69, 132, 139]	[38460470, 38460533, 38460540]	[38460470, 38460533, 38460540]
345_10360	chr19	18318204	18318604	+	1000	114.0	[11.270045]	[138]	[11.270045]	[138]	[18318436]	[18318436]
345_10367	chr2	144359067	144359467	+	1000	114.0	[4.611834, 4.611834]	[103, 127]	[4.611834, 4.611834]	[103, 127]	[144359266, 144359290]	[144359266, 144359290]
345_10374	chr22	46239695	46240095	+	1000	114.0	[4.611834, 4.611834]	[102, 116]	[9.465482, 4.611834]	[102, 116]	[46239890, 46239904]	[46239890, 46239904]
345_10375	chr3	4409295	4409695	+	1000	114.0	[4.611834, 9.465482]	[94, 105]	[4.611834, 4.611834]	[94, 105]	[4409473, 4409484]	[4409473, 4409484]
345_10384	chr4	158877059	158877459	+	1000	114.0	[5.088419]	[103]	[4.611834]	[103]	[158877251]	[158877251]
345_10385	chr5	53253574	53253974	+	1000	114.0	[9.465482]	[162]	[4.611834]	[162]	[53253819]	[53253819]
345_10387	chr5	74257753	74258153	+	1000	114.0	[4.611834]	[104]	[4.611834]	[104]	[74257955]	[74257955]
345_10392	chr6	30914818	30915218	+	1000	114.0	[4.611834]	[135]	[4.611834]	[135]	[30915051]	[30915051]
345_10396	chr7	148987396	148987796	+	1000	114.0	[4.611834]	[111]	[4.611834]	[111]	[148987602]	[148987602]
345_10397	chr7	156608987	156609387	+	1000	114.0	[4.611834]	[118]	[4.611834]	[118]	[156609204]	[156609204]
345_10400	chr8	79893571	79893971	+	1000	114.0	[4.611834]	[122]	[9.465482]	[122]	[79893791]	[79893791]
345_10409	chr1	113210249	113210649	+	1000	113.0	[4.611834, 4.611834]	[123, 170]	[8.356634, 4.611834]	[123, 170]	[113210445, 113210492]	[113210445, 113210492]
345_1041	chr17	62681452	62681852	+	1000	538.0	[11.270045]	[83]	[11.270045]	[83]	[62681634]	[62681634]
345_10419	chr10	102645831	102646231	+	1000	113.0	[11.270045, 4.611834]	[92, 113]	[11.270045, 4.611834]	[92, 113]	[102646019, 102646040]	[102646019, 102646040]
345_10420	chr10	109982117	109982517	+	1000	113.0	[11.270045, 4.611834, 4.611834]	[62, 98, 152]	[11.270045, 8.356634, 4.611834]	[62, 98, 152]	[109982277, 109982313, 109982367]	[109982277, 109982313, 109982367]
345_10428	chr14	100673030	100673430	+	1000	113.0	[4.611834, 4.611834, 9.465482, 4.611834]	[52, 86, 96, 150]	[4.611834, 4.611834, 4.611834, 4.611834]	[52, 86, 96, 150]	[100673182, 100673216, 100673226, 100673280]	[100673182, 100673216, 100673226, 100673280]
345_10430	chr16	18869015	18869415	+	1000	113.0	[4.611834, 4.611834]	[64, 97]	[4.611834, 9.465482]	[64, 97]	[18869176, 18869209]	[18869176, 18869209]
345_10434	chr17	16194293	16194693	+	1000	113.0	[4.611834]	[70]	[4.611834]	[70]	[16194462]	[16194462]
345_10444	chr20	41118171	41118571	+	1000	113.0	[4.611834, 4.611834]	[62, 111]	[4.611834, 4.611834]	[62, 111]	[41118327, 41118376]	[41118327, 41118376]
345_10451	chr3	4977495	4977895	+	1000	113.0	[11.270045, 4.611834]	[119, 138]	[11.270045, 4.611834]	[119, 138]	[4977697, 4977716]	[4977697, 4977716]
345_10454	chr3	42856047	42856447	+	1000	113.0	[4.611834, 9.465482]	[138, 147]	[9.465482, 4.611834]	[138, 147]	[42856279, 42856288]	[42856279, 42856288]
345_10456	chr3	108110975	108111375	+	1000	113.0	[9.465482, 4.611834]	[99, 109]	[4.611834, 8.356634]	[99, 109]	[108111166, 108111176]	[108111166, 108111176]
345_10460	chr3	184230170	184230570	+	1000	113.0	[4.611834]	[95]	[5.088419]	[95]	[184230364]	[184230364]
345_10468	chr5	131384174	131384574	+	1000	113.0	[4.611834]	[61]	[4.611834]	[61]	[131384332]	[131384332]
345_10471	chr6	27809905	27810305	+	1000	113.0	[11.270045]	[143]	[11.270045]	[143]	[27810131]	[27810131]
345_10472	chr6	33901805	33902205	+	1000	113.0	[4.611834]	[118]	[8.356634]	[118]	[33902019]	[33902019]
345_10473	chr6	34969587	34969987	+	1000	113.0	[4.611834, 4.611834, 11.270045]	[151, 162, 165]	[4.611834, 4.611834, 11.270045]	[151, 162, 165]	[34969820, 34969831, 34969834]	[34969820, 34969831, 34969834]
345_10482	chr7	65373681	65374081	+	1000	113.0	[4.611834, 4.611834]	[99, 157]	[4.611834, 4.611834]	[99, 157]	[65373866, 65373924]	[65373866, 65373924]
345_10483	chr8	6570370	6570770	+	1000	113.0	[11.270045]	[128]	[11.270045]	[128]	[6570584]	[6570584]
345_10486	chr8	60281149	60281549	+	1000	113.0	[4.611834, 4.611834]	[124, 140]	[4.611834, 4.611834]	[124, 140]	[60281373, 60281389]	[60281373, 60281389]
345_1049	chr1	156958343	156958743	+	1000	537.0	[4.611834]	[127]	[5.088419]	[127]	[156958568]	[156958568]
345_10496	chr1	154157664	154158064	+	1000	112.0	[11.270045]	[79]	[11.270045]	[79]	[154157828]	[154157828]
345_10497	chr1	162552559	162552959	+	1000	112.0	[4.611834]	[169]	[4.611834]	[169]	[162552803]	[162552803]
345_10498	chr1	165645933	165646333	+	1000	112.0	[4.611834]	[124]	[4.611834]	[124]	[165646136]	[165646136]
345_1051	chr2	151789433	151789833	+	1000	537.0	[4.611834]	[55]	[4.611834]	[55]	[151789587]	[151789587]
345_10512	chr12	108123434	108123834	+	1000	112.0	[4.611834]	[145]	[5.088419]	[145]	[108123674]	[108123674]
345_10518	chr15	58332172	58332572	+	1000	112.0	[11.270045, 4.611834]	[139, 152]	[11.270045, 4.611834]	[139, 152]	[58332388, 58332401]	[58332388, 58332401]
345_1052	chr2	157786785	157787185	+	1000	537.0	[4.611834, 4.611834, 4.611834]	[100, 143, 149]	[4.611834, 4.611834, 4.611834]	[100, 143, 149]	[157786976, 157787019, 157787025]	[157786976, 157787019, 157787025]
345_10522	chr17	81035021	81035421	+	1000	112.0	[4.611834, 4.611834, 4.611834, 4.611834]	[68, 83, 86, 126]	[4.611834, 4.611834, 4.611834, 4.611834]	[68, 83, 86, 126]	[81035179, 81035194, 81035197, 81035237]	[81035179, 81035194, 81035197, 81035237]
345_10526	chr19	11835496	11835896	+	1000	112.0	[4.611834, 4.611834, 4.611834]	[69, 99, 134]	[4.611834, 4.611834, 4.611834]	[69, 99, 134]	[11835660, 11835690, 11835725]	[11835660, 11835690, 11835725]
345_1053	chr20	41050613	41051013	+	1000	537.0	[4.611834]	[101]	[4.611834]	[101]	[41050814]	[41050814]
345_10532	chr2	62177631	62178031	+	1000	112.0	[4.611834, 4.611834]	[87, 95]	[4.611834, 4.611834]	[87, 95]	[62177807, 62177815]	[62177807, 62177815]
345_10535	chr2	98472266	98472666	+	1000	112.0	[4.611834, 9.465482, 9.465482]	[60, 106, 151]	[4.611834, 4.611834, 4.611834]	[60, 106, 151]	[98472420, 98472466, 98472511]	[98472420, 98472466, 98472511]
345_10538	chr2	156663694	156664094	+	1000	112.0	[9.465482, 4.611834]	[111, 140]	[4.611834, 8.356634]	[111, 140]	[156663898, 156663927]	[156663898, 156663927]
345_1054	chr6	32167831	32168231	+	1000	537.0	[4.611834]	[111]	[4.611834]	[111]	[32168033]	[32168033]
345_10543	chr21	21137977	21138377	+	1000	112.0	[11.270045, 9.465482]	[80, 116]	[11.270045, 4.611834]	[80, 116]	[21138155, 21138191]	[21138155, 21138191]
345_10547	chr3	85377121	85377521	+	1000	112.0	[4.611834]	[62]	[4.611834]	[62]	[85377275]	[85377275]
345_10551	chr4	168421701	168422101	+	1000	112.0	[4.611834, 4.611834]	[71, 108]	[4.611834, 4.611834]	[71, 108]	[168421870, 168421907]	[168421870, 168421907]
345_10559	chr6	27808771	27809171	+	1000	112.0	[9.465482]	[137]	[4.611834]	[137]	[27808968]	[27808968]
345_10561	chr6	51128970	51129370	+	1000	112.0	[4.611834]	[93]	[4.611834]	[93]	[51129158]	[51129158]
345_10563	chr6	149648415	149648815	+	1000	112.0	[4.611834]	[125]	[5.088419]	[125]	[149648626]	[149648626]
345_10565	chr7	100157730	100158130	+	1000	112.0	[4.611834, 11.270045]	[86, 117]	[9.465482, 11.270045]	[86, 117]	[100157905, 100157936]	[100157905, 100157936]
345_10568	chr8	68070995	68071395	+	1000	112.0	[4.611834, 4.611834, 4.611834]	[82, 88, 97]	[4.611834, 9.465482, 4.611834]	[82, 88, 97]	[68071169, 68071175, 68071184]	[68071169, 68071175, 68071184]
345_10577	chr1	27428312	27428712	+	1000	111.0	[5.088419]	[130]	[4.611834]	[130]	[27428527]	[27428527]
345_1059	chr17	55816823	55817223	+	1000	536.0	[4.611834]	[97]	[4.611834]	[97]	[55817015]	[55817015]
345_10599	chr11	129930386	129930786	+	1000	111.0	[4.611834]	[123]	[4.611834]	[123]	[129930603]	[129930603]
345_106	chr10	15451139	15451539	+	1000	734.0	[4.611834, 4.611834]	[62, 111]	[4.611834, 9.465482]	[62, 111]	[15451298, 15451347]	[15451298, 15451347]
345_10606	chr15	38532747	38533147	+	1000	111.0	[4.611834]	[127]	[4.611834]	[127]	[38532956]	[38532956]
345_10612	chr19	5690107	5690507	+	1000	111.0	[4.611834]	[137]	[4.611834]	[137]	[5690322]	[5690322]
345_10614	chr2	58892005	58892405	+	1000	111.0	[4.611834, 4.611834]	[99, 119]	[4.611834, 4.611834]	[99, 119]	[58892204, 58892224]	[58892204, 58892224]
345_10617	chr2	74142400	74142800	+	1000	111.0	[11.270045]	[82]	[11.270045]	[82]	[74142581]	[74142581]
345_1062	chr9	7067160	7067560	+	1000	536.0	[4.611834, 4.611834]	[103, 134]	[4.611834, 5.088419]	[103, 134]	[7067357, 7067388]	[7067357, 7067388]
345_10620	chr20	37162024	37162424	+	1000	111.0	[4.611834, 4.611834, 4.611834]	[97, 118, 124]	[4.611834, 9.465482, 9.465482]	[97, 118, 124]	[37162214, 37162235, 37162241]	[37162214, 37162235, 37162241]
345_10622	chr22	21001719	21002119	+	1000	111.0	[4.611834, 4.611834, 4.611834]	[63, 66, 92]	[4.611834, 4.611834, 9.465482]	[63, 66, 92]	[21001880, 21001883, 21001909]	[21001880, 21001883, 21001909]
345_1063	chr1	201153737	201154137	+	1000	535.0	[4.611834]	[122]	[5.088419]	[122]	[201153957]	[201153957]
345_10630	chr4	76687722	76688122	+	1000	111.0	[4.611834, 4.611834, 4.611834]	[100, 103, 158]	[4.611834, 4.611834, 4.611834]	[100, 103, 158]	[76687904, 76687907, 76687962]	[76687904, 76687907, 76687962]
345_10633	chr4	173208411	173208811	+	1000	111.0	[4.611834, 11.270045, 4.611834]	[124, 148, 159]	[4.611834, 11.270045, 9.465482]	[124, 148, 159]	[173208623, 173208647, 173208658]	[173208623, 173208647, 173208658]
345_10637	chr5	154647224	154647624	+	1000	111.0	[4.611834]	[115]	[4.611834]	[115]	[154647432]	[154647432]
345_10638	chr5	177508775	177509175	+	1000	111.0	[4.611834, 4.611834, 11.270045, 11.270045]	[88, 155, 158, 164]	[4.611834, 4.611834, 11.270045, 11.270045]	[88, 155, 158, 164]	[177508947, 177509014, 177509017, 177509023]	[177508947, 177509014, 177509017, 177509023]
345_10643	chr6	164436981	164437381	+	1000	111.0	[4.611834]	[64]	[4.611834]	[64]	[164437141]	[164437141]
345_10661	chr1	159289038	159289438	+	1000	110.0	[4.611834]	[58]	[4.611834]	[58]	[159289190]	[159289190]
345_10664	chr1	206455734	206456134	+	1000	110.0	[4.611834]	[147]	[4.611834]	[147]	[206455981]	[206455981]
345_10672	chr11	5129368	5129768	+	1000	110.0	[4.611834, 4.611834]	[97, 100]	[4.611834, 4.611834]	[97, 100]	[5129555, 5129558]	[5129555, 5129558]
345_10676	chr11	45704648	45705048	+	1000	110.0	[4.611834]	[137]	[4.611834]	[137]	[45704878]	[45704878]
345_10684	chr14	69629241	69629641	+	1000	110.0	[4.611834]	[72]	[4.611834]	[72]	[69629406]	[69629406]
345_10685	chr14	81423548	81423948	+	1000	110.0	[4.611834, 11.270045]	[56, 78]	[4.611834, 11.270045]	[56, 78]	[81423699, 81423721]	[81423699, 81423721]
345_10687	chr15	73564394	73564794	+	1000	110.0	[4.611834]	[142]	[9.465482]	[142]	[73564631]	[73564631]
345_10692	chr19	11383377	11383777	+	1000	110.0	[4.611834]	[85]	[4.611834]	[85]	[11383550]	[11383550]
345_10694	chr19	12938453	12938853	+	1000	110.0	[4.611834, 4.611834, 4.611834]	[77, 148, 151]	[4.611834, 4.611834, 4.611834]	[77, 148, 151]	[12938624, 12938695, 12938698]	[12938624, 12938695, 12938698]
345_107	chr2	126674040	126674440	+	1000	734.0	[11.270045]	[99]	[11.270045]	[99]	[126674232]	[126674232]
345_10709	chr3	49021263	49021663	+	1000	110.0	[4.611834, 4.611834]	[92, 120]	[4.611834, 4.611834]	[92, 120]	[49021455, 49021483]	[49021455, 49021483]
345_10715	chr5	74332660	74333060	+	1000	110.0	[9.465482]	[111]	[4.611834]	[111]	[74332869]	[74332869]
345_10723	chr6	39222152	39222552	+	1000	110.0	[4.611834]	[90]	[4.611834]	[90]	[39222335]	[39222335]
345_10724	chr6	89829309	89829709	+	1000	110.0	[11.270045, 4.611834]	[118, 125]	[11.270045, 4.611834]	[118, 125]	[89829526, 89829533]	[89829526, 89829533]
345_10728	chr6	169454551	169454951	+	1000	110.0	[4.611834]	[150]	[4.611834]	[150]	[169454795]	[169454795]
345_10730	chr7	29842217	29842617	+	1000	110.0	[4.611834]	[149]	[4.611834]	[149]	[29842464]	[29842464]
345_10733	chr7	105734289	105734689	+	1000	110.0	[8.356634, 4.611834, 4.611834]	[57, 86, 145]	[4.611834, 4.611834, 9.465482]	[57, 86, 145]	[105734443, 105734472, 105734531]	[105734443, 105734472, 105734531]
345_1074	chr1	191823805	191824205	+	1000	534.0	[4.611834]	[118]	[4.611834]	[118]	[191824017]	[191824017]
345_10745	chr1	1398098	1398498	+	1000	109.0	[5.088419]	[121]	[4.611834]	[121]	[1398316]	[1398316]
345_1075	chr16	85554094	85554494	+	1000	534.0	[4.611834]	[104]	[4.611834]	[104]	[85554295]	[85554295]
345_10758	chr10	15344842	15345242	+	1000	109.0	[4.611834]	[104]	[4.611834]	[104]	[15345038]	[15345038]
