#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2C2_idr.fa NR2C2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
151_10259	chr17	7838647	7839047	+	1000	104.0	[9.164563]	[177]	[9.443364]	[122]	[7838886]	[7838831]
151_1026	chr19	14006935	14007335	+	1000	505.0	[9.443364]	[65]	[]	[]	[14007097]	[]
151_10267	chr18	74242612	74243012	+	1000	104.0	[]	[]	[9.443364]	[134]	[]	[74242786]
151_10277	chr2	66526105	66526505	+	1000	104.0	[9.443364, 9.443364]	[75, 111]	[]	[]	[66526277, 66526313]	[]
151_10286	chr2	241686940	241687340	+	1000	104.0	[9.164563, 7.7064734]	[151, 179]	[]	[]	[241687112, 241687140]	[]
151_10287	chr20	64065975	64066375	+	1000	104.0	[9.164563, 9.443364]	[111, 148]	[9.443364]	[118]	[64066164, 64066201]	[64066171]
151_1029	chr11	130002973	130003373	+	1000	504.0	[9.164563]	[121]	[]	[]	[130003180]	[]
151_10297	chr3	13459569	13459969	+	1000	104.0	[]	[]	[9.164563]	[174]	[]	[13459805]
151_10304	chr3	183428567	183428967	+	1000	104.0	[]	[]	[9.164563]	[151]	[]	[183428809]
151_10307	chr5	80407591	80407991	+	1000	104.0	[7.9852743]	[161]	[7.9852743]	[154]	[80407829]	[80407822]
151_10312	chr5	175478845	175479245	+	1000	104.0	[7.7064734]	[195]	[]	[]	[175479083]	[]
151_10319	chr6	44073916	44074316	+	1000	104.0	[7.9852743]	[163]	[]	[]	[44074085]	[]
151_10322	chr6	125197817	125198217	+	1000	104.0	[9.443364]	[129]	[]	[]	[125198015]	[]
151_1033	chr1	61253262	61253662	+	1000	503.0	[9.443364]	[109]	[]	[]	[61253456]	[]
151_10338	chr8	141227042	141227442	+	1000	104.0	[9.443364, 9.164563]	[109, 127]	[]	[]	[141227229, 141227247]	[]
151_10342	chr9	98248802	98249202	+	1000	104.0	[9.164563]	[107]	[]	[]	[98249002]	[]
151_10347	chrX	71107757	71108157	+	1000	104.0	[9.443364, 9.164563]	[87, 94]	[]	[]	[71107940, 71107947]	[]
151_10351	chr1	20187876	20188276	+	1000	103.0	[]	[]	[9.443364]	[107]	[]	[20188078]
151_10357	chr1	36306934	36307334	+	1000	103.0	[9.443364]	[160]	[]	[]	[36307165]	[]
151_1036	chr14	23034835	23035235	+	1000	502.0	[7.7064734]	[130]	[]	[]	[23035061]	[]
151_10362	chr1	50968094	50968494	+	1000	103.0	[]	[]	[7.9852743]	[103]	[]	[50968267]
151_10365	chr1	156860292	156860692	+	1000	103.0	[]	[]	[9.443364]	[146]	[]	[156860516]
151_10383	chr11	72632334	72632734	+	1000	103.0	[9.164563]	[80]	[9.164563]	[155]	[72632493]	[72632568]
151_10384	chr11	119475034	119475434	+	1000	103.0	[9.164563]	[188]	[]	[]	[119475275]	[]
151_1039	chr19	17969870	17970270	+	1000	502.0	[9.443364]	[119]	[]	[]	[17970080]	[]
151_10390	chr12	76020706	76021106	+	1000	103.0	[9.443364]	[94]	[]	[]	[76020876]	[]
151_10398	chr15	27082048	27082448	+	1000	103.0	[9.164563]	[63]	[9.443364, 9.443364]	[118, 125]	[27082202]	[27082257, 27082264]
151_10406	chr16	69404513	69404913	+	1000	103.0	[9.164563]	[113]	[9.443364]	[81]	[69404725]	[69404693]
151_10423	chr19	8307973	8308373	+	1000	103.0	[7.9852743]	[169]	[]	[]	[8308164]	[]
151_10449	chr3	3189174	3189574	+	1000	103.0	[]	[]	[9.164563]	[120]	[]	[3189334]
151_1045	chr4	78732574	78732974	+	1000	501.0	[9.443364]	[106]	[]	[]	[78732775]	[]
151_10457	chr4	112589173	112589573	+	1000	103.0	[9.443364, 9.164563]	[96, 166]	[]	[]	[112589353, 112589423]	[]
151_10482	chr7	77798324	77798724	+	1000	103.0	[]	[]	[7.9852743]	[162]	[]	[77798573]
151_10498	chr9	5839193	5839593	+	1000	103.0	[9.164563]	[143]	[]	[]	[5839401]	[]
151_10503	chr9	123861226	123861626	+	1000	103.0	[]	[]	[9.443364]	[103]	[]	[123861420]
151_10507	chr9	137218857	137219257	+	1000	103.0	[9.443364]	[137]	[]	[]	[137219093]	[]
151_10509	chrX	136497016	136497416	+	1000	103.0	[]	[]	[7.7064734]	[135]	[]	[136497228]
151_10516	chr1	22339213	22339613	+	1000	102.0	[]	[]	[9.164563]	[182]	[]	[22339448]
151_10518	chr1	34866239	34866639	+	1000	102.0	[9.443364]	[156]	[9.443364]	[123]	[34866476]	[34866443]
151_10520	chr1	39639770	39640170	+	1000	102.0	[7.7064734, 9.164563]	[100, 159]	[]	[]	[39639961, 39640020]	[]
151_10531	chr1	202966902	202967302	+	1000	102.0	[7.7064734]	[110]	[]	[]	[202967098]	[]
151_10541	chr10	100370991	100371391	+	1000	102.0	[]	[]	[9.443364]	[162]	[]	[100371220]
151_10544	chr11	62713364	62713764	+	1000	102.0	[9.164563]	[117]	[]	[]	[62713565]	[]
151_10546	chr11	86956056	86956456	+	1000	102.0	[]	[]	[9.443364]	[167]	[]	[86956295]
151_10547	chr11	93741197	93741597	+	1000	102.0	[]	[]	[7.9852743]	[177]	[]	[93741434]
151_10548	chr11	116772784	116773184	+	1000	102.0	[7.7064734]	[126]	[]	[]	[116772988]	[]
151_10552	chr13	79451433	79451833	+	1000	102.0	[9.443364]	[79]	[9.443364]	[68]	[79451602]	[79451591]
151_10555	chr15	35706153	35706553	+	1000	102.0	[]	[]	[9.443364]	[193]	[]	[35706399]
151_10559	chr15	75036304	75036704	+	1000	102.0	[9.164563]	[82]	[9.164563]	[153]	[75036466]	[75036537]
151_1056	chr7	67302465	67302865	+	1000	497.0	[9.164563]	[108]	[]	[]	[67302654]	[]
151_10563	chr17	7445198	7445598	+	1000	102.0	[9.164563, 9.443364]	[72, 134]	[]	[]	[7445369, 7445431]	[]
151_10564	chr17	29572756	29573156	+	1000	102.0	[]	[]	[7.9852743]	[143]	[]	[29572978]
151_10565	chr17	31936607	31937007	+	1000	102.0	[]	[]	[7.7064734]	[165]	[]	[31936807]
151_10574	chr19	1512934	1513334	+	1000	102.0	[9.164563]	[105]	[]	[]	[1513107]	[]
151_10579	chr19	49590322	49590722	+	1000	102.0	[9.164563]	[120]	[]	[]	[49590508]	[]
151_10580	chr2	10448726	10449126	+	1000	102.0	[7.7064734]	[157]	[]	[]	[10448952]	[]
151_10583	chr2	61066316	61066716	+	1000	102.0	[]	[]	[9.443364]	[67]	[]	[61066472]
151_10586	chr2	96608403	96608803	+	1000	102.0	[9.443364]	[127]	[]	[]	[96608601]	[]
151_10598	chr22	22041977	22042377	+	1000	102.0	[]	[]	[9.443364]	[82]	[]	[22042154]
151_10609	chr3	120095053	120095453	+	1000	102.0	[7.7064734]	[131]	[7.7064734]	[144]	[120095254]	[120095267]
151_10612	chr3	150376311	150376711	+	1000	102.0	[]	[]	[9.443364]	[87]	[]	[150376488]
151_10615	chr4	76090180	76090580	+	1000	102.0	[]	[]	[9.443364]	[145]	[]	[76090424]
151_10618	chr5	75669089	75669489	+	1000	102.0	[]	[]	[9.164563]	[145]	[]	[75669325]
151_10637	chr7	100605520	100605920	+	1000	102.0	[9.443364]	[62]	[9.443364, 9.443364]	[74, 90]	[100605674]	[100605686, 100605702]
151_10640	chr8	9551021	9551421	+	1000	102.0	[]	[]	[7.7064734]	[177]	[]	[9551263]
151_10641	chr8	70669149	70669549	+	1000	102.0	[9.443364]	[95]	[]	[]	[70669341]	[]
151_10646	chr9	94867217	94867617	+	1000	102.0	[9.443364]	[116]	[]	[]	[94867414]	[]
151_1066	chr11	45847188	45847588	+	1000	494.0	[9.443364]	[139]	[]	[]	[45847411]	[]
151_10663	chr1	110060051	110060451	+	1000	101.0	[]	[]	[9.443364]	[92]	[]	[110060215]
151_10669	chr1	207826778	207827178	+	1000	101.0	[]	[]	[9.164563]	[86]	[]	[207826941]
151_10670	chr1	235068330	235068730	+	1000	101.0	[9.164563]	[148]	[9.443364]	[140]	[235068548]	[235068540]
151_10671	chr10	72626106	72626506	+	1000	101.0	[9.164563]	[181]	[]	[]	[72626346]	[]
151_10679	chr11	35036598	35036998	+	1000	101.0	[]	[]	[9.443364]	[116]	[]	[35036814]
151_10683	chr11	65427216	65427616	+	1000	101.0	[]	[]	[9.443364]	[124]	[]	[65427416]
151_10686	chr12	38316478	38316878	+	1000	101.0	[]	[]	[7.7064734]	[170]	[]	[38316720]
151_10696	chr14	23567692	23568092	+	1000	101.0	[]	[]	[9.443364]	[102]	[]	[23567892]
151_1070	chr11	65134400	65134800	+	1000	493.0	[9.164563, 7.7064734]	[54, 94]	[]	[]	[65134551, 65134591]	[]
151_10701	chr15	56464958	56465358	+	1000	101.0	[]	[]	[9.164563]	[115]	[]	[56465137]
151_10714	chr17	1617795	1618195	+	1000	101.0	[9.443364]	[162]	[]	[]	[1617992]	[]
151_10723	chr17	78645726	78646126	+	1000	101.0	[9.443364]	[154]	[]	[]	[78645971]	[]
151_10747	chr2	109267077	109267477	+	941	101.0	[9.443364]	[117]	[]	[]	[109267288]	[]
151_10755	chr21	44880892	44881292	+	1000	101.0	[]	[]	[9.164563]	[173]	[]	[44881095]
151_10756	chr22	20319437	20319837	+	1000	101.0	[]	[]	[7.7064734]	[153]	[]	[20319596]
151_10761	chr3	156674033	156674433	+	1000	101.0	[7.7064734]	[129]	[9.164563]	[183]	[156674213]	[156674267]
151_10766	chr5	40841401	40841801	+	1000	101.0	[]	[]	[7.9852743]	[133]	[]	[40841591]
151_1077	chr11	64285304	64285704	+	1000	491.0	[]	[]	[7.7064734]	[153]	[]	[64285551]
151_10770	chr5	173324215	173324615	+	1000	101.0	[9.443364]	[75]	[]	[]	[173324377]	[]
151_10779	chr6	123529849	123530249	+	1000	101.0	[9.443364]	[159]	[9.443364]	[145]	[123530082]	[123530068]
151_10788	chr7	106283931	106284331	+	1000	101.0	[]	[]	[9.164563]	[105]	[]	[106284119]
151_10789	chr7	123557528	123557928	+	1000	101.0	[9.164563]	[80]	[9.443364]	[146]	[123557690]	[123557756]
151_1079	chr3	14990288	14990688	+	1000	491.0	[9.164563]	[110]	[9.443364]	[93]	[14990497]	[14990480]
151_10790	chr7	128532165	128532565	+	1000	101.0	[]	[]	[7.9852743, 7.9852743, 7.9852743]	[166, 172, 178]	[]	[128532393, 128532399, 128532405]
151_108	chr6	159726913	159727313	+	1000	1187.0	[]	[]	[9.443364, 7.9852743]	[75, 82]	[]	[159727080, 159727087]
151_10804	chrX	71182414	71182814	+	1000	101.0	[9.443364]	[194]	[]	[]	[71182629]	[]
151_10807	chr1	8439307	8439707	+	1000	100.0	[9.443364]	[149]	[]	[]	[8439523]	[]
151_10811	chr1	51517906	51518306	+	1000	100.0	[9.164563]	[138]	[]	[]	[51518136]	[]
151_10819	chr1	112674492	112674892	+	1000	100.0	[9.164563]	[82]	[]	[]	[112674654]	[]
151_10821	chr1	155241103	155241503	+	1000	100.0	[9.164563]	[78]	[]	[]	[155241267]	[]
151_10824	chr1	172441761	172442161	+	1000	100.0	[]	[]	[9.164563]	[100]	[]	[172441929]
151_1083	chr1	84506505	84506905	+	1000	490.0	[7.9852743]	[150]	[9.164563, 9.164563]	[68, 124]	[84506751]	[84506669, 84506725]
151_10830	chr10	49539224	49539624	+	1000	100.0	[]	[]	[9.443364]	[138]	[]	[49539450]
151_10831	chr10	69088781	69089181	+	1000	100.0	[9.443364]	[163]	[]	[]	[69089018]	[]
151_1084	chr1	109392821	109393221	+	1000	490.0	[]	[]	[9.443364]	[104]	[]	[109393023]
151_10847	chr12	104598785	104599185	+	1000	100.0	[]	[]	[9.443364]	[109]	[]	[104598970]
151_10850	chr14	32201142	32201542	+	1000	100.0	[]	[]	[7.7064734]	[197]	[]	[32201364]
151_10852	chr14	34043730	34044130	+	1000	100.0	[9.443364]	[78]	[]	[]	[34043882]	[]
151_10859	chr15	40941592	40941992	+	1000	100.0	[9.164563]	[98]	[]	[]	[40941756]	[]
151_1086	chr1	186375326	186375726	+	1000	489.0	[]	[]	[9.443364]	[156]	[]	[186375550]
151_10863	chr16	180261	180661	+	1000	100.0	[7.7064734]	[120]	[]	[]	[180454]	[]
151_10867	chr16	29265346	29265746	+	1000	100.0	[]	[]	[9.443364]	[197]	[]	[29265535]
151_10872	chr17	42519136	42519536	+	1000	100.0	[9.164563, 9.164563]	[107, 140]	[]	[]	[42519334, 42519367]	[]
151_10883	chr19	13013274	13013674	+	1000	100.0	[]	[]	[9.164563, 9.164563]	[139, 157]	[]	[13013500, 13013518]
151_10884	chr19	18589329	18589729	+	1000	100.0	[]	[]	[9.164563]	[173]	[]	[18589550]
151_10886	chr19	49442665	49443065	+	1000	100.0	[]	[]	[9.164563, 7.9852743]	[110, 136]	[]	[49442865, 49442891]
151_10925	chr5	72597503	72597903	+	1000	100.0	[]	[]	[9.443364]	[83]	[]	[72597666]
151_10933	chr5	141618121	141618521	+	1000	100.0	[]	[]	[9.443364]	[174]	[]	[141618364]
151_10940	chr6	34196269	34196669	+	1000	100.0	[9.164563]	[109]	[]	[]	[34196447]	[]
151_1095	chr19	45717386	45717786	+	1000	487.0	[9.443364]	[123]	[]	[]	[45717603]	[]
151_10957	chr8	22756112	22756512	+	1000	100.0	[]	[]	[9.164563]	[113]	[]	[22756311]
151_10960	chr8	94896521	94896921	+	1000	100.0	[]	[]	[7.7064734]	[118]	[]	[94896720]
151_10962	chr8	98944522	98944922	+	1000	100.0	[]	[]	[9.443364]	[142]	[]	[98944747]
151_1097	chr6	28399575	28399975	+	1000	487.0	[]	[]	[9.164563]	[92]	[]	[28399747]
151_10978	chr1	39575733	39576133	+	1000	99.0	[7.9852743]	[160]	[]	[]	[39575899]	[]
151_1098	chr16	30187089	30187489	+	1000	486.0	[]	[]	[9.443364, 9.164563]	[59, 66]	[]	[30187242, 30187249]
151_10980	chr1	46481069	46481469	+	1000	99.0	[9.164563]	[148]	[]	[]	[46481308]	[]
151_10981	chr1	101257936	101258336	+	1000	99.0	[]	[]	[9.443364, 9.443364]	[73, 127]	[]	[101258107, 101258161]
151_10987	chr1	205288133	205288533	+	1000	99.0	[]	[]	[9.443364]	[138]	[]	[205288345]
151_1099	chr2	27211925	27212325	+	1000	486.0	[7.7064734]	[175]	[]	[]	[27212168]	[]
151_10997	chr11	777393	777793	+	1000	99.0	[7.7064734, 7.9852743]	[181, 225]	[]	[]	[777593, 777637]	[]
151_11005	chr12	42325885	42326285	+	1000	99.0	[9.164563]	[89]	[]	[]	[42326040]	[]
151_11007	chr12	53174940	53175340	+	1000	99.0	[9.443364]	[151]	[]	[]	[53175168]	[]
151_1103	chr7	103149332	103149732	+	1000	485.0	[9.164563]	[113]	[9.443364]	[130]	[103149502]	[103149519]
151_11032	chr16	66862103	66862503	+	1000	99.0	[9.443364, 9.443364, 9.443364]	[118, 125, 132]	[]	[]	[66862318, 66862325, 66862332]	[]
151_11038	chr17	35119606	35120006	+	1000	99.0	[9.164563, 7.7064734]	[99, 155]	[]	[]	[35119781, 35119837]	[]
151_1104	chr1	109822403	109822803	+	1000	484.0	[9.443364]	[123]	[9.164563]	[95]	[109822605]	[109822577]
151_11043	chr18	8142161	8142561	+	1000	99.0	[9.164563]	[87]	[9.443364]	[67]	[8142347]	[8142327]
151_11049	chr19	12938166	12938566	+	1000	99.0	[]	[]	[9.443364]	[70]	[]	[12938328]
151_11050	chr19	13847365	13847765	+	1000	99.0	[]	[]	[7.7064734]	[175]	[]	[13847601]
151_1106	chr17	17840219	17840619	+	1000	484.0	[9.443364]	[152]	[]	[]	[17840464]	[]
151_1107	chr17	75289466	75289866	+	1000	484.0	[7.7064734]	[130]	[7.9852743]	[121]	[75289694]	[75289685]
151_11071	chr22	19679504	19679904	+	1000	99.0	[9.164563]	[137]	[]	[]	[19679718]	[]
151_11081	chr3	99920951	99921351	+	1000	99.0	[]	[]	[9.164563]	[120]	[]	[99921107]
151_11082	chr3	169236754	169237154	+	1000	99.0	[]	[]	[9.443364, 9.443364, 9.443364, 9.443364]	[61, 122, 136, 148]	[]	[169236908, 169236969, 169236983, 169236995]
151_11089	chr4	128060729	128061129	+	1000	99.0	[]	[]	[7.7064734]	[93]	[]	[128060912]
151_1109	chr2	230326954	230327354	+	1000	484.0	[9.164563]	[143]	[]	[]	[230327179]	[]
151_111	chr8	42843125	42843525	+	1000	1186.0	[9.443364]	[154]	[]	[]	[42843375]	[]
151_11113	chr7	124269770	124270170	+	900	99.0	[]	[]	[9.164563]	[133]	[]	[124269997]
151_11118	chr8	142739149	142739549	+	1000	99.0	[7.7064734]	[132]	[]	[]	[142739369]	[]
151_11122	chr9	127903537	127903937	+	1000	99.0	[]	[]	[7.7064734]	[60]	[]	[127903692]
151_11124	chr9	130893631	130894031	+	1000	99.0	[]	[]	[9.164563]	[111]	[]	[130893840]
151_11126	chr9	137200870	137201270	+	1000	99.0	[]	[]	[9.443364]	[175]	[]	[137201112]
151_11129	chrX	39850215	39850615	+	1000	99.0	[9.443364]	[101]	[]	[]	[39850395]	[]
151_11135	chr1	12549752	12550152	+	1000	98.0	[]	[]	[9.443364]	[109]	[]	[12549953]
151_11145	chr1	86793005	86793405	+	1000	98.0	[]	[]	[9.164563]	[194]	[]	[86793201]
151_1115	chr18	9869832	9870232	+	1000	483.0	[]	[]	[9.164563, 9.443364]	[98, 142]	[]	[9870008, 9870052]
151_11161	chr11	13873214	13873614	+	1000	98.0	[]	[]	[9.443364]	[118]	[]	[13873427]
151_11164	chr11	47355143	47355543	+	1000	98.0	[9.443364]	[139]	[9.443364]	[88]	[47355367]	[47355316]
151_11168	chr11	67239953	67240353	+	1000	98.0	[9.164563]	[137]	[]	[]	[67240182]	[]
151_1117	chr2	112645690	112646090	+	1000	483.0	[9.164563, 7.7064734]	[101, 110]	[]	[]	[112645884, 112645893]	[]
151_11170	chr11	68038196	68038596	+	1000	98.0	[9.443364]	[83]	[9.443364]	[71]	[68038374]	[68038362]
151_11183	chr14	73886633	73887033	+	1000	98.0	[9.164563]	[98]	[]	[]	[73886799]	[]
151_11188	chr15	66650443	66650843	+	1000	98.0	[9.164563]	[183]	[]	[]	[66650660]	[]
151_112	chr1	110964065	110964465	+	1000	1185.0	[9.164563]	[144]	[]	[]	[110964301]	[]
151_11204	chr17	29148664	29149064	+	1000	98.0	[9.164563]	[135]	[]	[]	[29148864]	[]
151_11207	chr18	2894245	2894645	+	1000	98.0	[9.443364]	[149]	[]	[]	[2894453]	[]
151_1121	chr19	45308286	45308686	+	1000	482.0	[]	[]	[9.164563]	[99]	[]	[45308474]
151_11210	chr19	6373562	6373962	+	1000	98.0	[7.7064734]	[98]	[]	[]	[6373738]	[]
151_11213	chr19	12832410	12832810	+	1000	98.0	[7.9852743]	[129]	[]	[]	[12832619]	[]
151_11215	chr19	18507102	18507502	+	1000	98.0	[9.164563]	[96]	[]	[]	[18507272]	[]
151_11221	chr19	52570234	52570634	+	1000	98.0	[9.164563]	[67]	[]	[]	[52570401]	[]
151_11222	chr2	96816061	96816461	+	1000	98.0	[7.7064734]	[158]	[]	[]	[96816301]	[]
151_11226	chr2	200864532	200864932	+	1000	98.0	[9.164563]	[105]	[]	[]	[200864734]	[]
151_11249	chr3	150739855	150740255	+	1000	98.0	[9.164563]	[141]	[]	[]	[150740096]	[]
151_11256	chr5	42591096	42591496	+	1000	98.0	[]	[]	[9.164563]	[136]	[]	[42591316]
151_11258	chr5	71932726	71933126	+	1000	98.0	[9.443364]	[114]	[]	[]	[71932935]	[]
151_1126	chr15	65133670	65134070	+	1000	481.0	[]	[]	[7.7064734]	[105]	[]	[65133871]
151_11268	chr6	30757532	30757932	+	1000	98.0	[9.443364]	[173]	[]	[]	[30757778]	[]
151_11269	chr6	31947279	31947679	+	1000	98.0	[]	[]	[9.443364, 9.443364]	[188, 195]	[]	[31947523, 31947530]
151_1127	chr16	29290794	29291194	+	1000	481.0	[9.443364]	[100]	[9.443364]	[82]	[29290992]	[29290974]
151_11274	chr6	44076455	44076855	+	1000	98.0	[7.9852743]	[117]	[9.164563]	[97]	[44076671]	[44076651]
151_11275	chr6	52995182	52995582	+	1000	98.0	[]	[]	[7.9852743]	[79]	[]	[52995359]
151_11277	chr6	105035302	105035702	+	1000	98.0	[9.443364]	[126]	[]	[]	[105035468]	[]
151_1128	chr17	64506196	64506596	+	1000	481.0	[]	[]	[9.443364]	[87]	[]	[64506366]
151_11283	chr7	97872113	97872513	+	1000	98.0	[9.443364]	[182]	[]	[]	[97872363]	[]
151_1129	chr6	39934297	39934697	+	1000	481.0	[9.164563]	[85]	[]	[]	[39934482]	[]
151_11294	chr9	37126389	37126789	+	1000	98.0	[9.443364, 9.164563, 9.443364]	[92, 112, 119]	[]	[]	[37126574, 37126594, 37126601]	[]
151_11295	chr9	72365558	72365958	+	1000	98.0	[9.443364]	[107]	[]	[]	[72365761]	[]
151_11301	chr1	1157624	1158024	+	1000	97.0	[9.164563]	[176]	[]	[]	[1157855]	[]
151_11302	chr1	2255787	2256187	+	1000	97.0	[]	[]	[9.443364, 9.443364]	[104, 138]	[]	[2255951, 2255985]
151_11309	chr1	59020151	59020551	+	1000	97.0	[]	[]	[9.443364]	[113]	[]	[59020338]
151_11316	chr1	151459262	151459662	+	1000	97.0	[]	[]	[7.7064734]	[139]	[]	[151459468]
151_11321	chr1	207963417	207963817	+	1000	97.0	[7.7064734]	[159]	[]	[]	[207963639]	[]
151_11338	chr12	54379326	54379726	+	1000	97.0	[]	[]	[7.7064734]	[195]	[]	[54379564]
151_11344	chr12	112409253	112409653	+	1000	97.0	[]	[]	[7.7064734]	[159]	[]	[112409489]
151_11363	chr17	31498388	31498788	+	1000	97.0	[9.164563]	[88]	[]	[]	[31498554]	[]
151_11364	chr17	42317255	42317655	+	1000	97.0	[]	[]	[9.164563]	[163]	[]	[42317491]
151_11369	chr17	77392284	77392684	+	1000	97.0	[]	[]	[9.164563]	[115]	[]	[77392473]
151_11378	chr19	48872229	48872629	+	1000	97.0	[]	[]	[7.7064734]	[160]	[]	[48872470]
151_11386	chr2	171161096	171161496	+	1000	97.0	[]	[]	[9.164563]	[92]	[]	[171161276]
151_114	chr11	10750975	10751375	+	1000	1183.0	[7.7064734]	[136]	[]	[]	[10751210]	[]
