#PeakID(python scan_motif.py ./ENCODE_processed_files/TCF12_idr.fa TCF12 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
368_10203	chr16	4833972	4834372	+	1000	77.5	[]	[]	[8.001244]	[126]	[]	[4834176]
368_10205	chr17	37609189	37609589	+	1000	77.5	[7.549868]	[82]	[8.891774]	[117]	[37609365]	[37609400]
368_10207	chr18	3448256	3448656	+	1000	77.5	[8.001244]	[164]	[8.891774, 8.968127]	[154, 223]	[3448435]	[3448425, 3448494]
368_1021	chr4	2867753	2868153	+	1000	457.5	[8.891774]	[139]	[8.891774]	[138]	[2867984]	[2867983]
368_10211	chr2	10133212	10133612	+	1000	77.5	[8.320784]	[120]	[]	[]	[10133430]	[]
368_10214	chr2	58039041	58039441	+	885	77.5	[8.069409]	[100]	[]	[]	[58039233]	[]
368_10215	chr2	88711350	88711750	+	1000	77.5	[]	[]	[8.001244, 12.567606]	[134, 154]	[]	[88711530, 88711550]
368_10220	chr22	42959683	42960083	+	1000	77.5	[8.02331]	[94]	[]	[]	[42959842]	[]
368_1023	chr11	10456432	10456832	+	1000	457.0	[]	[]	[7.7957826]	[123]	[]	[10456643]
368_10234	chr8	22219797	22220197	+	1000	77.5	[8.779576]	[168]	[]	[]	[22219983]	[]
368_10237	chr9	129758355	129758755	+	1000	77.5	[8.069409]	[190]	[]	[]	[129758546]	[]
368_1024	chr1	51631771	51632171	+	1000	456.5	[8.779576]	[110]	[]	[]	[51631959]	[]
368_10240	chrX	134406596	134406996	+	921	77.5	[]	[]	[8.891774]	[182]	[]	[134406775]
368_10244	chr10	22666455	22666855	+	1000	77.0	[8.527855]	[138]	[8.891774]	[52]	[22666693]	[22666607]
368_10249	chr11	72134550	72134950	+	1000	77.0	[]	[]	[8.090539]	[127]	[]	[72134729]
368_10254	chr13	46323846	46324246	+	988	77.0	[8.001244]	[112]	[]	[]	[46324024]	[]
368_10255	chr14	23932529	23932929	+	1000	77.0	[]	[]	[8.001244]	[105]	[]	[23932729]
368_10256	chr14	105981835	105982235	+	920	77.0	[8.891774]	[78]	[8.891774, 8.001244]	[77, 130]	[105981996]	[105981995, 105982048]
368_10259	chr15	81940680	81941080	+	1000	77.0	[]	[]	[8.779576]	[141]	[]	[81940920]
368_10262	chr16	79836191	79836591	+	1000	77.0	[8.001244]	[87]	[]	[]	[79836367]	[]
368_10263	chr17	40076491	40076891	+	945	77.0	[8.228404]	[115]	[]	[]	[40076688]	[]
368_10266	chr18	30568373	30568773	+	1000	77.0	[8.891774]	[89]	[8.891774, 9.473919]	[88, 174]	[30568538]	[30568537, 30568623]
368_10272	chr2	205089942	205090342	+	1000	77.0	[]	[]	[8.090539]	[120]	[]	[205090128]
368_10277	chr3	177201148	177201548	+	1000	77.0	[]	[]	[8.968127]	[199]	[]	[177201388]
368_10282	chr4	150321168	150321568	+	1000	77.0	[]	[]	[8.069409]	[107]	[]	[150321371]
368_10284	chr5	69091254	69091654	+	1000	77.0	[8.001244]	[131]	[]	[]	[69091430]	[]
368_10286	chr6	68673238	68673638	+	1000	77.0	[8.02331]	[154]	[]	[]	[68673482]	[]
368_1029	chr14	22897367	22897767	+	1000	456.0	[8.090539]	[84]	[]	[]	[22897550]	[]
368_10296	chr8	9363379	9363779	+	1000	77.0	[]	[]	[8.228404]	[170]	[]	[9363541]
368_10299	chr9	100076240	100076640	+	1000	77.0	[8.891774]	[177]	[]	[]	[100076481]	[]
368_103	chr1	40820871	40821271	+	1000	738.5	[7.7957826]	[123]	[]	[]	[40821087]	[]
368_1030	chr14	72826039	72826439	+	1000	456.0	[]	[]	[8.891774]	[110]	[]	[72826243]
368_10302	chrX	153206467	153206867	+	909	77.0	[8.891774]	[183]	[8.891774]	[182]	[153206646]	[153206645]
368_10305	chr11	59755934	59756334	+	1000	76.5	[8.090539]	[72]	[]	[]	[59756097]	[]
368_10309	chr13	51613548	51613948	+	1000	76.5	[]	[]	[8.779576]	[161]	[]	[51613783]
368_10312	chr16	3085267	3085667	+	1000	76.5	[8.891774]	[147]	[8.891774]	[146]	[3085479]	[3085478]
368_10314	chr17	30104805	30105205	+	1000	76.5	[]	[]	[8.228404]	[107]	[]	[30104991]
368_10318	chr19	27776519	27776919	+	1000	76.5	[8.069409]	[156]	[]	[]	[27776770]	[]
368_10324	chr3	9976981	9977381	+	1000	76.5	[]	[]	[9.473919]	[139]	[]	[9977181]
368_10326	chr3	46890055	46890455	+	1000	76.5	[8.001244, 12.567606]	[124, 141]	[]	[]	[46890254, 46890271]	[]
368_10327	chr3	193599370	193599770	+	1000	76.5	[8.001244]	[153]	[]	[]	[193599594]	[]
368_10328	chr3	196650896	196651296	+	999	76.5	[]	[]	[8.228404]	[77]	[]	[196651073]
368_10330	chr4	102780337	102780737	+	1000	76.5	[]	[]	[7.549868]	[86]	[]	[102780503]
368_10331	chr4	127515243	127515643	+	555	76.5	[]	[]	[12.567606, 8.182954]	[93, 152]	[]	[127515404, 127515463]
368_10334	chr5	3835752	3836152	+	1000	76.5	[]	[]	[7.7957826, 8.228404]	[80, 108]	[]	[3835925, 3835953]
368_10335	chr5	68423211	68423611	+	1000	76.5	[8.090539]	[80]	[]	[]	[68423378]	[]
368_10336	chr5	151556208	151556608	+	1000	76.5	[8.891774]	[105]	[]	[]	[151556377]	[]
368_10342	chr7	23697139	23697539	+	1000	76.5	[8.779576]	[133]	[]	[]	[23697309]	[]
368_10344	chr7	76327696	76328096	+	1000	76.5	[8.779576]	[118]	[]	[]	[76327908]	[]
368_10347	chrX	130830606	130831006	+	1000	76.5	[8.069409]	[101]	[]	[]	[130830792]	[]
368_10353	chr1	204859911	204860311	+	1000	76.0	[8.891774]	[113]	[8.891774]	[112]	[204860066]	[204860065]
368_10355	chr1	224516512	224516912	+	1000	76.0	[8.228404, 9.473919]	[80, 123]	[]	[]	[224516677, 224516720]	[]
368_10357	chr10	133390148	133390548	+	891	76.0	[8.779576]	[126]	[8.069409]	[158]	[133390315]	[133390347]
368_10359	chr11	64659664	64660064	+	1000	76.0	[8.891774]	[181]	[8.891774]	[180]	[64659867]	[64659866]
368_10360	chr11	78285061	78285461	+	949	76.0	[]	[]	[12.567606]	[89]	[]	[78285249]
368_10365	chr16	31347497	31347897	+	1000	76.0	[8.001244]	[135]	[]	[]	[31347713]	[]
368_10367	chr16	89607426	89607826	+	1000	76.0	[8.320784]	[129]	[]	[]	[89607634]	[]
368_10368	chr17	5042214	5042614	+	1000	76.0	[8.320784]	[114]	[]	[]	[5042410]	[]
368_1037	chr16	57976418	57976818	+	1000	453.0	[8.320784]	[91]	[]	[]	[57976595]	[]
368_10371	chr17	45686238	45686638	+	1000	76.0	[8.069409]	[82]	[]	[]	[45686391]	[]
368_10377	chr19	10303917	10304317	+	1000	76.0	[]	[]	[8.090539]	[115]	[]	[10304117]
368_10378	chr19	17717274	17717674	+	1000	76.0	[]	[]	[9.473919]	[212]	[]	[17717484]
368_10379	chr19	45881923	45882323	+	1000	76.0	[7.7957826, 8.228404, 8.527855]	[155, 178, 193]	[]	[]	[45882122, 45882145, 45882160]	[]
368_1038	chr2	144582806	144583206	+	1000	453.0	[]	[]	[8.891774, 7.549868]	[122, 147]	[]	[144583011, 144583036]
368_10380	chr19	55259083	55259483	+	1000	76.0	[8.494345]	[131]	[]	[]	[55259240]	[]
368_10386	chr2	202049815	202050215	+	674	76.0	[]	[]	[8.069409, 7.7957826]	[133, 159]	[]	[202050039, 202050065]
368_10392	chr3	37996782	37997182	+	1000	76.0	[8.090539]	[79]	[]	[]	[37996956]	[]
368_10394	chr3	58326525	58326925	+	1000	76.0	[]	[]	[8.494345]	[190]	[]	[58326759]
368_10395	chr3	108677794	108678194	+	714	76.0	[8.891774]	[130]	[8.069409, 8.182954]	[83, 86]	[108678015]	[108677968, 108677971]
368_10398	chr4	13525888	13526288	+	1000	76.0	[]	[]	[8.779576]	[109]	[]	[13526068]
368_10399	chr4	105650176	105650576	+	1000	76.0	[8.228404]	[168]	[]	[]	[105650406]	[]
368_104	chr11	64335021	64335421	+	1000	738.5	[]	[]	[8.182954]	[98]	[]	[64335214]
368_1040	chr8	15582566	15582966	+	1000	453.0	[8.182954]	[148]	[]	[]	[15582806]	[]
368_10402	chr5	112371036	112371436	+	1000	76.0	[]	[]	[8.891774]	[69]	[]	[112371197]
368_10404	chr5	149400341	149400741	+	1000	76.0	[8.891774]	[131]	[8.069409]	[104]	[149400556]	[149400529]
368_10405	chr5	163283782	163284182	+	1000	76.0	[8.891774]	[126]	[]	[]	[163283975]	[]
368_10406	chr6	10747366	10747766	+	904	76.0	[]	[]	[12.567606]	[129]	[]	[10747553]
368_10407	chr6	33590184	33590584	+	1000	76.0	[8.779576]	[151]	[]	[]	[33590410]	[]
368_10409	chr6	125293558	125293958	+	1000	76.0	[]	[]	[8.779576]	[104]	[]	[125293735]
368_1041	chrX	11367586	11367986	+	1000	453.0	[8.001244]	[135]	[]	[]	[11367816]	[]
368_10411	chr6	150861787	150862187	+	1000	76.0	[8.069409]	[113]	[]	[]	[150861954]	[]
368_10412	chr7	22704819	22705219	+	1000	76.0	[8.182954, 12.567606]	[227, 286]	[]	[]	[22704993, 22705052]	[]
368_10413	chr7	92755004	92755404	+	1000	76.0	[]	[]	[8.001244, 8.891774]	[104, 184]	[]	[92755167, 92755247]
368_10416	chr7	140419826	140420226	+	1000	76.0	[]	[]	[8.001244]	[141]	[]	[140420057]
368_10418	chr7	158706167	158706567	+	965	76.0	[]	[]	[7.7957826]	[110]	[]	[158706354]
368_10424	chr9	131235411	131235811	+	1000	76.0	[]	[]	[8.090539]	[221]	[]	[131235617]
368_10427	chr1	91578680	91579080	+	1000	75.5	[8.069409]	[89]	[]	[]	[91578860]	[]
368_10428	chr1	120850626	120851026	+	1000	75.5	[8.527855]	[161]	[]	[]	[120850792]	[]
368_10432	chr1	175171513	175171913	+	1000	75.5	[8.527855]	[160]	[8.228404]	[126]	[175171716]	[175171682]
368_10433	chr1	204398506	204398906	+	1000	75.5	[]	[]	[8.779576]	[90]	[]	[204398689]
368_10441	chr11	112285963	112286363	+	673	75.5	[]	[]	[8.182954]	[121]	[]	[112286150]
368_10442	chr12	50039175	50039575	+	1000	75.5	[8.891774, 8.320784]	[82, 102]	[]	[]	[50039353, 50039373]	[]
368_10443	chr12	51017530	51017930	+	739	75.5	[]	[]	[8.02331]	[163]	[]	[51017737]
368_10445	chr12	65125996	65126396	+	948	75.5	[8.891774]	[162]	[]	[]	[65126218]	[]
368_10446	chr12	98671471	98671871	+	939	75.5	[]	[]	[8.069409]	[127]	[]	[98671681]
368_10447	chr12	104408659	104409059	+	688	75.5	[]	[]	[8.069409]	[170]	[]	[104408883]
368_10448	chr15	78522445	78522845	+	1000	75.5	[]	[]	[8.527855]	[131]	[]	[78522646]
368_10449	chr16	31128728	31129128	+	1000	75.5	[7.549868]	[65]	[8.001244]	[143]	[31128882]	[31128960]
368_10450	chr17	6450878	6451278	+	1000	75.5	[8.494345]	[125]	[]	[]	[6451080]	[]
368_10451	chr17	29677838	29678238	+	565	75.5	[]	[]	[8.001244, 7.549868]	[90, 118]	[]	[29678022, 29678050]
368_10458	chr2	15591476	15591876	+	1000	75.5	[8.001244]	[134]	[]	[]	[15591633]	[]
368_10462	chr2	99154642	99155042	+	1000	75.5	[8.069409]	[218]	[9.473919]	[249]	[99154843]	[99154874]
368_10465	chr2	174049889	174050289	+	1000	75.5	[8.320784]	[106]	[]	[]	[174050086]	[]
368_10468	chr21	37338690	37339090	+	1000	75.5	[]	[]	[8.090539]	[201]	[]	[37338896]
368_10469	chr22	30698005	30698405	+	638	75.5	[]	[]	[8.090539, 12.567606]	[88, 134]	[]	[30698171, 30698217]
368_10471	chr22	39994002	39994402	+	1000	75.5	[8.805163]	[98]	[8.805163]	[97]	[39994167]	[39994166]
368_10473	chr22	43275530	43275930	+	1000	75.5	[]	[]	[8.805163]	[173]	[]	[43275753]
368_10474	chr3	69776297	69776697	+	842	75.5	[8.02331]	[135]	[]	[]	[69776495]	[]
368_10478	chr4	96472215	96472615	+	1000	75.5	[8.891774]	[139]	[]	[]	[96472441]	[]
368_10485	chr7	135959665	135960065	+	1000	75.5	[8.069409]	[174]	[]	[]	[135959876]	[]
368_10486	chr8	23360491	23360891	+	1000	75.5	[8.891774]	[95]	[]	[]	[23360659]	[]
368_10487	chr8	42761121	42761521	+	1000	75.5	[]	[]	[8.228404]	[172]	[]	[42761364]
368_10490	chr1	213296581	213296981	+	1000	75.0	[]	[]	[8.069409]	[75]	[]	[213296733]
368_10495	chr10	72254841	72255241	+	1000	75.0	[8.228404]	[73]	[]	[]	[72255003]	[]
368_10501	chr12	124245832	124246232	+	1000	75.0	[]	[]	[8.001244]	[93]	[]	[124245987]
368_10511	chr19	980423	980823	+	1000	75.0	[8.228404]	[123]	[]	[]	[980614]	[]
368_10513	chr19	48918961	48919361	+	1000	75.0	[]	[]	[8.320784]	[131]	[]	[48919190]
368_10514	chr2	7574366	7574766	+	968	75.0	[8.891774]	[134]	[]	[]	[7574561]	[]
368_1052	chr6	40715761	40716161	+	1000	451.5	[]	[]	[8.891774, 7.7957826]	[57, 60]	[]	[40715917, 40715920]
368_10520	chr22	30881467	30881867	+	1000	75.0	[9.473919]	[153]	[]	[]	[30881712]	[]
368_10523	chr5	53554422	53554822	+	1000	75.0	[8.891774]	[133]	[8.891774]	[132]	[53554651]	[53554650]
368_10526	chr5	85823820	85824220	+	964	75.0	[8.069409]	[142]	[]	[]	[85824054]	[]
368_10527	chr5	90640791	90641191	+	1000	75.0	[8.320784]	[120]	[]	[]	[90640987]	[]
368_10528	chr5	136679156	136679556	+	1000	75.0	[9.473919]	[162]	[]	[]	[136679404]	[]
368_10529	chr5	177760957	177761357	+	867	75.0	[8.891774, 8.069409]	[120, 152]	[]	[]	[177761172, 177761204]	[]
368_10530	chr6	6749883	6750283	+	1000	75.0	[8.891774]	[83]	[]	[]	[6750040]	[]
368_10532	chr6	39222154	39222554	+	796	75.0	[]	[]	[8.069409]	[113]	[]	[39222337]
368_10534	chr6	152874641	152875041	+	988	75.0	[]	[]	[8.527855]	[85]	[]	[152874819]
368_10536	chr7	24748520	24748920	+	961	75.0	[]	[]	[8.320784]	[98]	[]	[24748718]
368_10538	chr8	17185670	17186070	+	1000	75.0	[7.7957826]	[127]	[]	[]	[17185868]	[]
368_10539	chr8	61760164	61760564	+	1000	75.0	[8.182954]	[214]	[]	[]	[61760383]	[]
368_10540	chr8	141340344	141340744	+	1000	75.0	[]	[]	[8.001244]	[153]	[]	[141340562]
368_10542	chr1	12528547	12528947	+	1000	74.5	[8.001244]	[109]	[]	[]	[12528732]	[]
368_10548	chr1	160362421	160362821	+	693	74.5	[]	[]	[7.7957826]	[114]	[]	[160362631]
368_10549	chr10	5669622	5670022	+	1000	74.5	[]	[]	[12.567606]	[143]	[]	[5669853]
368_10550	chr10	111127437	111127837	+	1000	74.5	[8.228404]	[79]	[]	[]	[111127610]	[]
368_10552	chr12	6167798	6168198	+	896	74.5	[7.7957826]	[108]	[7.549868]	[149]	[6167997]	[6168038]
368_10554	chr12	127108789	127109189	+	1000	74.5	[8.779576]	[153]	[8.320784]	[160]	[127108946]	[127108953]
368_10560	chr16	57675565	57675965	+	986	74.5	[]	[]	[8.228404]	[143]	[]	[57675797]
368_10566	chr18	55786828	55787228	+	1000	74.5	[8.228404]	[83]	[]	[]	[55786983]	[]
368_10569	chr2	88673445	88673845	+	730	74.5	[]	[]	[8.182954]	[101]	[]	[88673644]
368_1057	chr8	23508709	23509109	+	1000	450.5	[]	[]	[8.001244]	[102]	[]	[23508909]
368_10570	chr2	168798375	168798775	+	1000	74.5	[8.090539]	[135]	[]	[]	[168798575]	[]
368_10572	chr20	9136091	9136491	+	1000	74.5	[]	[]	[8.182954]	[87]	[]	[9136271]
368_10573	chr20	44970057	44970457	+	1000	74.5	[]	[]	[8.891774]	[187]	[]	[44970282]
368_10577	chr3	130462031	130462431	+	1000	74.5	[8.805163]	[90]	[]	[]	[130462206]	[]
368_10578	chr3	170903171	170903571	+	1000	74.5	[12.567606]	[155]	[]	[]	[170903396]	[]
368_10579	chr3	186882947	186883347	+	1000	74.5	[]	[]	[8.891774]	[366]	[]	[186883197]
368_1058	chr12	32054143	32054543	+	1000	450.0	[8.001244, 12.567606]	[60, 66]	[]	[]	[32054294, 32054300]	[]
368_10580	chr4	8191434	8191834	+	1000	74.5	[7.7957826]	[129]	[]	[]	[8191614]	[]
368_10581	chr4	46081661	46082061	+	725	74.5	[]	[]	[8.891774]	[167]	[]	[46081904]
368_10582	chr4	152265025	152265425	+	1000	74.5	[]	[]	[8.891774]	[80]	[]	[152265176]
368_10588	chr5	140623064	140623464	+	949	74.5	[8.891774]	[98]	[8.891774]	[97]	[140623258]	[140623257]
368_10589	chr6	20750586	20750986	+	1000	74.5	[8.779576]	[220]	[]	[]	[20750836]	[]
368_10592	chr6	143117027	143117427	+	1000	74.5	[]	[]	[8.069409]	[130]	[]	[143117240]
368_10593	chr6	143747320	143747720	+	959	74.5	[12.567606]	[135]	[]	[]	[143747501]	[]
368_10594	chr7	87004476	87004876	+	1000	74.5	[8.090539, 8.891774]	[125, 156]	[7.7957826]	[130]	[87004677, 87004708]	[87004682]
368_10597	chr8	22113762	22114162	+	794	74.5	[8.968127]	[80]	[]	[]	[22113942]	[]
368_10598	chr8	52250178	52250578	+	1000	74.5	[]	[]	[8.891774]	[171]	[]	[52250415]
368_10606	chr1	36275520	36275920	+	1000	74.0	[8.090539]	[163]	[]	[]	[36275718]	[]
