#PeakID(python scan_motif.py ./ENCODE_processed_files/ATF3_idr.fa ATF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
886_10035	chr2	132337107	132337507	+	1000	198.0	[10.671558]	[139]	[10.661659]	[139]	[132337336]	[132337336]
886_1004	chr19	10251985	10252385	+	1000	748.0	[17.30608]	[99]	[17.29618]	[99]	[10252181]	[10252181]
886_10048	chr7	103594169	103594569	+	1000	198.0	[12.536653]	[112]	[12.965319]	[112]	[103594379]	[103594379]
886_10049	chr7	128217003	128217403	+	1000	198.0	[17.29618]	[97]	[17.30608]	[97]	[128217195]	[128217195]
886_10055	chr10	86980950	86981350	+	1000	197.5	[4.040532, 8.439688]	[137, 145]	[8.130846]	[145]	[86981155, 86981163]	[86981163]
886_10066	chr17	59465917	59466317	+	1000	197.5	[5.268915, 17.939297]	[56, 102]	[5.687681, 17.939297]	[56, 102]	[59466069, 59466115]	[59466069, 59466115]
886_10074	chr22	35299543	35299943	+	1000	197.5	[10.671558]	[107]	[10.661659]	[107]	[35299737]	[35299737]
886_10079	chr5	132020865	132021265	+	1000	197.5	[]	[]	[4.037037]	[130]	[]	[132021084]
886_10092	chr1	6581813	6582213	+	1000	197.0	[10.028443]	[125]	[10.028443]	[125]	[6582021]	[6582021]
886_10096	chr1	53089617	53090017	+	1000	197.0	[11.903437]	[126]	[12.322203]	[126]	[53089827]	[53089827]
886_10097	chr1	65535967	65536367	+	1000	197.0	[12.332103]	[103]	[11.8935375]	[103]	[65536167]	[65536167]
886_10098	chr1	70041730	70042130	+	1000	197.0	[5.259015]	[276]	[5.697581]	[276]	[70041962]	[70041962]
886_10100	chr1	225689879	225690279	+	1000	197.0	[5.902131]	[91]	[6.3307967]	[91]	[225690069]	[225690069]
886_10101	chr1	234639947	234640347	+	1000	197.0	[12.536653]	[95]	[12.965319]	[95]	[234640137]	[234640137]
886_10106	chr11	95140701	95141101	+	1000	197.0	[12.965319]	[101]	[12.536653]	[101]	[95140901]	[95140901]
886_10107	chr12	50224338	50224738	+	1000	197.0	[6.8296685]	[108]	[6.6060014]	[108]	[50224544]	[50224544]
886_10112	chr14	91257340	91257740	+	1000	197.0	[11.8935375]	[100]	[12.332103]	[100]	[91257533]	[91257533]
886_10116	chr17	62231300	62231700	+	1000	197.0	[6.145928]	[112]	[6.255852]	[112]	[62231501]	[62231501]
886_10121	chr20	56362927	56363327	+	1000	197.0	[6.3307967]	[106]	[5.902131]	[106]	[56363116]	[56363116]
886_10124	chr6	75334639	75335039	+	1000	197.0	[12.536653]	[100]	[12.965319]	[100]	[75334833]	[75334833]
886_10127	chr7	6007926	6008326	+	1000	197.0	[7.4727845]	[74]	[7.2392173]	[74]	[6008085]	[6008085]
886_1013	chr1	167223691	167224091	+	1000	745.5	[12.536653]	[99]	[12.965319]	[99]	[167223886]	[167223886]
886_10131	chr9	36400100	36400500	+	1000	197.0	[12.332103]	[125]	[11.8935375]	[125]	[36400311]	[36400311]
886_10133	chr9	129878985	129879385	+	1000	197.0	[5.502812]	[236]	[5.6226363]	[236]	[129879192]	[129879192]
886_10135	chrX	152926936	152927336	+	1000	197.0	[5.0544653]	[168]	[4.629295]	[168]	[152927131]	[152927131]
886_10137	chr1	109796504	109796904	+	1000	196.5	[12.965319]	[95]	[12.536653]	[95]	[109796682]	[109796682]
886_10139	chr1	206278732	206279132	+	1000	196.5	[7.2392173, 8.439688]	[123, 179]	[7.4727845, 8.130846]	[123, 179]	[206278923, 206278979]	[206278923, 206278979]
886_1014	chr1	161083245	161083645	+	1000	745.0	[12.536653, 10.028443]	[89, 128]	[12.965319, 10.028443]	[89, 128]	[161083431, 161083470]	[161083431, 161083470]
886_10144	chr12	121043083	121043483	+	960	196.5	[5.687681, 4.625799]	[103, 120]	[5.268915, 5.0544653]	[103, 120]	[121043280, 121043297]	[121043280, 121043297]
886_10145	chr12	124259062	124259462	+	1000	196.5	[]	[]	[4.037037]	[209]	[]	[124259265]
886_10147	chr14	21893938	21894338	+	1000	196.5	[17.30608]	[96]	[17.29618]	[96]	[21894133]	[21894133]
886_10149	chr15	81822591	81822991	+	1000	196.5	[12.965319]	[92]	[12.536653]	[92]	[81822779]	[81822779]
886_1015	chr10	97070042	97070442	+	1000	744.5	[5.373662]	[166]	[5.3698244]	[166]	[97070249]	[97070249]
886_10156	chr19	5943571	5943971	+	1000	196.5	[12.965319]	[102]	[12.536653]	[102]	[5943765]	[5943765]
886_1016	chr4	95249045	95249445	+	1000	744.5	[5.687681]	[92]	[5.268915]	[92]	[95249219]	[95249219]
886_10165	chr22	39319540	39319940	+	1000	196.5	[7.9426265]	[176]	[8.172357]	[176]	[39319777]	[39319777]
886_1017	chr6	49666997	49667397	+	1000	744.5	[6.6060014]	[92]	[6.8296685]	[92]	[49667177]	[49667177]
886_10170	chr6	26384040	26384440	+	1000	196.5	[6.3307967]	[87]	[5.902131]	[87]	[26384209]	[26384209]
886_10171	chr6	31749724	31750124	+	1000	196.5	[7.4727845]	[222]	[7.2392173]	[222]	[31749948]	[31749948]
886_10175	chr7	133829314	133829714	+	1000	196.5	[5.268915, 12.965319]	[98, 101]	[5.687681, 12.536653]	[98, 101]	[133829493, 133829496]	[133829493, 133829496]
886_10177	chr9	34457208	34457608	+	1000	196.5	[12.965319]	[97]	[12.536653]	[97]	[34457391]	[34457391]
886_1018	chr6	157317135	157317535	+	1000	744.5	[4.532753]	[106]	[4.3090854]	[106]	[157317333]	[157317333]
886_10186	chr12	121192955	121193355	+	1000	196.0	[12.332103]	[129]	[11.8935375]	[129]	[121193163]	[121193163]
886_10199	chr3	4613372	4613772	+	1000	196.0	[11.903437]	[105]	[12.322203]	[105]	[4613576]	[4613576]
886_1020	chr3	119638821	119639221	+	1000	744.0	[6.919559]	[151]	[6.929459]	[151]	[119639068]	[119639068]
886_10211	chr8	99404215	99404615	+	1000	196.0	[5.268915]	[113]	[5.687681]	[113]	[99404392]	[99404392]
886_10212	chr8	105731617	105732017	+	1000	196.0	[12.536653]	[136]	[12.965319]	[136]	[105731826]	[105731826]
886_10218	chr1	207034168	207034568	+	1000	195.5	[4.670253, 12.536653]	[66, 101]	[4.670253, 12.965319]	[66, 101]	[207034329, 207034364]	[207034329, 207034364]
886_10220	chr12	56300584	56300984	+	1000	195.5	[12.332103]	[127]	[4.037037, 11.8935375]	[107, 127]	[56300806]	[56300786, 56300806]
886_10223	chr15	51843022	51843422	+	1000	195.5	[12.332103]	[165]	[11.8935375]	[165]	[51843262]	[51843262]
886_10226	chr19	36572801	36573201	+	1000	195.5	[4.625799, 10.661659]	[97, 110]	[5.0544653, 10.671558]	[97, 110]	[36572980, 36572993]	[36572980, 36572993]
886_10234	chr6	8083330	8083730	+	1000	195.5	[5.0544653]	[90]	[4.625799]	[90]	[8083492]	[8083492]
886_10238	chr9	128551868	128552268	+	1000	195.5	[4.625799]	[103]	[5.0544653]	[103]	[128552065]	[128552065]
886_1024	chr11	62622009	62622409	+	1000	743.0	[16.662966]	[98]	[16.662966]	[98]	[62622204]	[62622204]
886_10240	chr1	39926269	39926669	+	1000	195.0	[13.873739]	[106]	[14.1073065]	[106]	[39926452]	[39926452]
886_10243	chr1	68291999	68292399	+	1000	195.0	[7.4727845]	[110]	[7.2392173]	[110]	[68292202]	[68292202]
886_10246	chr13	38602279	38602679	+	1000	195.0	[5.902131]	[95]	[6.3307967]	[95]	[38602444]	[38602444]
886_10247	chr13	44918018	44918418	+	1000	195.0	[5.268915]	[164]	[5.687681, 4.037037]	[164, 197]	[44918204]	[44918204, 44918237]
886_10250	chr17	7774069	7774469	+	1000	195.0	[4.625799]	[136]	[5.0544653]	[136]	[7774224]	[7774224]
886_10257	chr19	14353347	14353747	+	1000	195.0	[11.304774, 10.028443]	[101, 143]	[11.304774, 10.028443]	[101, 143]	[14353533, 14353575]	[14353533, 14353575]
886_10261	chr3	42012811	42013211	+	1000	195.0	[6.3307967]	[92]	[5.902131]	[92]	[42013003]	[42013003]
886_10265	chr6	100228350	100228750	+	1000	195.0	[11.304774]	[129]	[11.304774]	[129]	[100228561]	[100228561]
886_10267	chr8	38525863	38526263	+	1000	195.0	[6.265752]	[100]	[6.136028]	[100]	[38526060]	[38526060]
886_1027	chr5	179678376	179678776	+	1000	741.5	[6.136028]	[103]	[6.265752]	[103]	[179678577]	[179678577]
886_10270	chr1	7827404	7827804	+	1000	194.5	[7.2392173]	[114]	[7.4727845]	[114]	[7827600]	[7827600]
886_10271	chr1	38772945	38773345	+	1000	194.5	[12.965319]	[101]	[12.536653]	[101]	[38773124]	[38773124]
886_10281	chr20	31865039	31865439	+	1000	194.5	[17.29618]	[101]	[17.30608]	[101]	[31865240]	[31865240]
886_10282	chr20	62405360	62405760	+	1000	194.5	[5.6226363, 17.30608]	[118, 134]	[5.502812, 17.29618]	[118, 134]	[62405557, 62405573]	[62405557, 62405573]
886_10285	chr3	196519102	196519502	+	1000	194.5	[10.028443]	[85]	[10.028443]	[85]	[196519282]	[196519282]
886_103	chr15	72473561	72473961	+	1000	1346.0	[17.939297]	[102]	[17.939297]	[102]	[72473763]	[72473763]
886_1030	chr19	50334107	50334507	+	1000	741.0	[7.7965717, 10.671558, 13.53349]	[65, 76, 106]	[7.49763, 10.661659, 13.413666]	[65, 76, 106]	[50334270, 50334281, 50334311]	[50334270, 50334281, 50334311]
886_10300	chr11	61522877	61523277	+	1000	194.0	[17.939297]	[107]	[17.939297]	[107]	[61523082]	[61523082]
886_10301	chr11	69101059	69101459	+	1000	194.0	[17.30608]	[105]	[17.29618]	[105]	[69101264]	[69101264]
886_10304	chr12	109888290	109888690	+	1000	194.0	[6.145928]	[103]	[6.255852]	[103]	[109888485]	[109888485]
886_10305	chr12	119176377	119176777	+	1000	194.0	[13.873739]	[96]	[14.1073065, 4.037037]	[96, 124]	[119176553]	[119176553, 119176581]
886_1032	chr16	29290984	29291384	+	1000	740.0	[10.028443]	[113]	[10.028443]	[113]	[29291190]	[29291190]
886_10327	chr9	120926007	120926407	+	1000	194.0	[4.670253]	[83]	[4.670253]	[83]	[120926184]	[120926184]
886_10328	chrX	78064905	78065305	+	1000	194.0	[4.670253]	[144]	[4.670253]	[144]	[78065134]	[78065134]
886_10330	chr1	22185198	22185598	+	1000	193.5	[13.53349]	[94]	[13.413666]	[94]	[22185383]	[22185383]
886_10337	chr1	245106968	245107368	+	1000	193.5	[11.8935375]	[97]	[12.332103]	[97]	[245107159]	[245107159]
886_10346	chr15	71252041	71252441	+	718	193.5	[8.899761]	[150]	[8.704662]	[150]	[71252271]	[71252271]
886_10347	chr16	11428291	11428691	+	1000	193.5	[12.890374]	[117]	[12.78045]	[117]	[11428497]	[11428497]
886_10348	chr17	78934149	78934549	+	1000	193.5	[12.536653, 5.687681]	[101, 104]	[12.965319, 5.268915]	[101, 104]	[78934347, 78934350]	[78934347, 78934350]
886_1035	chr16	81007262	81007662	+	1000	739.0	[16.662966]	[119]	[16.662966]	[119]	[81007474]	[81007474]
886_10353	chr3	5520308	5520708	+	1000	193.5	[4.670253]	[236]	[4.670253]	[236]	[5520520]	[5520520]
886_1036	chr2	97664020	97664420	+	1000	739.0	[12.536653]	[105]	[12.965319]	[105]	[97664215]	[97664215]
886_10360	chr5	164358870	164359270	+	1000	193.5	[4.7305465]	[93]	[4.7366085]	[93]	[164359032]	[164359032]
886_10361	chr6	28384132	28384532	+	924	193.5	[8.130846]	[98]	[8.439688]	[98]	[28384326]	[28384326]
886_10362	chr6	28489303	28489703	+	1000	193.5	[11.903437]	[103]	[12.322203]	[103]	[28489492]	[28489492]
886_10366	chr6	47309751	47310151	+	1000	193.5	[11.260322]	[163]	[11.688987]	[163]	[47309972]	[47309972]
886_10368	chr7	159015630	159016030	+	1000	193.5	[11.304774]	[112]	[11.304774]	[112]	[159015828]	[159015828]
886_10369	chr9	128555169	128555569	+	1000	193.5	[5.902131]	[108]	[6.3307967]	[108]	[128555367]	[128555367]
886_10373	chr1	44693849	44694249	+	1000	193.0	[8.439688]	[295]	[8.130846]	[295]	[44694057]	[44694057]
886_10376	chr11	17260145	17260545	+	1000	193.0	[12.965319]	[91]	[12.536653]	[91]	[17260307]	[17260307]
886_10379	chr13	25391909	25392309	+	1000	193.0	[6.8296685]	[111]	[6.6060014]	[111]	[25392103]	[25392103]
886_1038	chr6	35259276	35259676	+	1000	738.5	[13.240523]	[98]	[13.4641905]	[98]	[35259455]	[35259455]
886_10384	chr17	47098842	47099242	+	1000	193.0	[6.6060014]	[141]	[6.8296685]	[141]	[47099075]	[47099075]
886_10385	chr17	73031026	73031426	+	1000	193.0	[12.536653]	[92]	[12.965319]	[92]	[73031214]	[73031214]
886_10387	chr19	11074332	11074732	+	1000	193.0	[6.136028]	[104]	[6.265752]	[104]	[11074531]	[11074531]
886_10397	chr4	183017945	183018345	+	1000	193.0	[17.939297]	[141]	[17.939297]	[141]	[183018158]	[183018158]
886_10398	chr6	2630346	2630746	+	1000	193.0	[8.93856]	[100]	[8.834717]	[100]	[2630531]	[2630531]
886_10400	chr6	25684568	25684968	+	1000	193.0	[6.136028]	[130]	[6.265752]	[130]	[25684762]	[25684762]
886_10401	chr6	70164580	70164980	+	1000	193.0	[8.559512]	[75]	[8.011022]	[75]	[70164750]	[70164750]
886_10402	chr6	169765772	169766172	+	1000	193.0	[6.136028, 6.779144]	[167, 203]	[6.265752, 6.8989677]	[167, 203]	[169765952, 169765988]	[169765952, 169765988]
886_10403	chr7	43869823	43870223	+	1000	193.0	[]	[]	[4.037037]	[72]	[]	[43869985]
886_10404	chr7	73613022	73613422	+	1000	193.0	[5.259015]	[192]	[5.697581]	[192]	[73613272]	[73613272]
886_10406	chr8	48514385	48514785	+	1000	193.0	[10.041749]	[131]	[10.041749]	[131]	[48514592]	[48514592]
886_10410	chr1	30762518	30762918	+	1000	192.5	[7.4727845]	[127]	[7.2392173]	[127]	[30762718]	[30762718]
886_10416	chr11	69867793	69868193	+	1000	192.5	[12.332103]	[97]	[11.8935375]	[97]	[69867977]	[69867977]
886_1042	chr4	169620322	169620722	+	1000	738.0	[16.662966]	[107]	[16.662966]	[107]	[169620521]	[169620521]
886_10426	chr16	81843265	81843665	+	541	192.5	[8.439688]	[103]	[8.130846]	[103]	[81843437]	[81843437]
886_10427	chr17	51046623	51047023	+	1000	192.5	[17.939297]	[104]	[17.939297]	[104]	[51046818]	[51046818]
886_10428	chr17	78523895	78524295	+	1000	192.5	[11.304774]	[99]	[11.304774]	[99]	[78524091]	[78524091]
886_10429	chr19	35671862	35672262	+	1000	192.5	[4.037037]	[152]	[]	[]	[35672094]	[]
886_1043	chr7	25862185	25862585	+	1000	738.0	[9.581676]	[98]	[9.467933]	[98]	[25862383]	[25862383]
886_10430	chr19	53311899	53312299	+	1000	192.5	[17.30608]	[99]	[17.29618]	[99]	[53312097]	[53312097]
886_10431	chr19	55431024	55431424	+	1000	192.5	[5.259015, 6.3307967, 5.259015, 4.625799]	[77, 80, 105, 140]	[5.697581, 5.902131, 5.697581, 5.0544653]	[77, 80, 105, 140]	[55431194, 55431197, 55431222, 55431257]	[55431194, 55431197, 55431222, 55431257]
886_10434	chr3	181782264	181782664	+	1000	192.5	[4.179032]	[52]	[4.493954]	[52]	[181782415]	[181782415]
886_10435	chr4	83486570	83486970	+	1000	192.5	[8.130846]	[106]	[8.439688]	[106]	[83486771]	[83486771]
886_10438	chr5	159937567	159937967	+	1000	192.5	[5.902131, 12.965319, 12.322203]	[102, 105, 118]	[6.3307967, 12.536653, 11.903437]	[102, 105, 118]	[159937765, 159937768, 159937781]	[159937765, 159937768, 159937781]
886_10439	chr5	160288857	160289257	+	1000	192.5	[17.939297]	[106]	[17.939297]	[106]	[160289055]	[160289055]
886_1044	chr10	11539285	11539685	+	1000	737.5	[4.670253, 6.8545146]	[121, 126]	[4.670253, 7.163356]	[121, 126]	[11539494, 11539499]	[11539494, 11539499]
886_10443	chr8	19810630	19811030	+	1000	192.5	[7.837879]	[129]	[8.490212]	[129]	[19810843]	[19810843]
886_10450	chr1	223992388	223992788	+	1000	192.0	[6.8296685]	[124]	[6.6060014]	[124]	[223992593]	[223992593]
886_10454	chr10	117005034	117005434	+	1000	192.0	[5.697581]	[111]	[5.259015]	[111]	[117005237]	[117005237]
886_10456	chr12	92442822	92443222	+	1000	192.0	[4.7305465, 5.902131]	[67, 102]	[4.7366085, 6.3307967]	[67, 102]	[92442979, 92443014]	[92442979, 92443014]
886_1046	chr2	201781210	201781610	+	1000	737.5	[17.939297]	[94]	[17.939297]	[94]	[201781403]	[201781403]
886_10461	chr16	89937868	89938268	+	1000	192.0	[10.028443]	[151]	[10.028443]	[151]	[89938103]	[89938103]
886_10465	chr18	6553499	6553899	+	1000	192.0	[12.965319]	[104]	[12.536653]	[104]	[6553682]	[6553682]
886_10467	chr18	51013252	51013652	+	1000	192.0	[17.939297]	[107]	[17.939297]	[107]	[51013453]	[51013453]
886_10471	chr20	5784827	5785227	+	1000	192.0	[10.671558]	[109]	[10.661659]	[109]	[5784988]	[5784988]
886_10474	chr6	11139320	11139720	+	1000	192.0	[4.625799]	[102]	[5.0544653]	[102]	[11139475]	[11139475]
886_10475	chr6	116253970	116254370	+	1000	192.0	[7.837879]	[115]	[8.490212]	[115]	[116254130]	[116254130]
886_1048	chr7	75624115	75624515	+	1000	737.5	[10.028443, 4.037037]	[126, 131]	[10.028443, 4.0306325]	[126, 131]	[75624341, 75624346]	[75624341, 75624346]
886_10483	chr1	162336619	162337019	+	1000	191.5	[17.30608]	[106]	[17.29618]	[106]	[162336819]	[162336819]
886_10489	chr11	69962212	69962612	+	1000	191.5	[5.268915]	[67]	[5.6911764]	[67]	[69962367]	[69962367]
886_1049	chr1	112700771	112701171	+	1000	737.0	[11.304774]	[121]	[11.304774]	[121]	[112700985]	[112700985]
886_10491	chr14	65169467	65169867	+	1000	191.5	[12.536653]	[130]	[12.965319]	[130]	[65169668]	[65169668]
886_10493	chr16	50712505	50712905	+	594	191.5	[5.6226363]	[114]	[5.502812]	[114]	[50712689]	[50712689]
886_10498	chr19	6540916	6541316	+	1000	191.5	[12.965319]	[126]	[12.536653]	[126]	[6541126]	[6541126]
886_105	chr7	155206459	155206859	+	1000	1341.5	[17.30608]	[91]	[17.29618]	[91]	[155206647]	[155206647]
886_10502	chr3	46893720	46894120	+	1000	191.5	[17.939297]	[102]	[17.939297]	[102]	[46893917]	[46893917]
886_10507	chr6	42190761	42191161	+	1000	191.5	[5.268915]	[143]	[5.687681]	[143]	[42190976]	[42190976]
886_10508	chr6	124949638	124950038	+	1000	191.5	[11.304774]	[132]	[11.304774]	[132]	[124949855]	[124949855]
886_10516	chr1	10378446	10378846	+	1000	191.0	[5.697581]	[191]	[4.040532, 5.259015]	[120, 191]	[10378684]	[10378613, 10378684]
886_10525	chr16	15645144	15645544	+	1000	191.0	[6.8989677]	[143]	[6.779144]	[143]	[15645367]	[15645367]
886_10532	chr3	50260004	50260404	+	1000	191.0	[10.041749]	[100]	[10.041749]	[100]	[50260194]	[50260194]
886_10533	chr3	152830241	152830641	+	1000	191.0	[4.670253]	[103]	[4.670253]	[103]	[152830438]	[152830438]
886_10534	chr3	197200857	197201257	+	1000	191.0	[12.965319]	[110]	[12.536653]	[110]	[197201061]	[197201061]
886_10538	chr5	151215220	151215620	+	1000	191.0	[10.671558]	[161]	[10.661659]	[161]	[151215446]	[151215446]
886_10540	chr6	73029655	73030055	+	1000	191.0	[6.136028]	[111]	[6.265752]	[111]	[73029863]	[73029863]
886_10547	chr1	25414563	25414963	+	1000	190.5	[11.304774]	[119]	[11.304774]	[119]	[25414782]	[25414782]
886_10550	chr1	89738950	89739350	+	1000	190.5	[8.061547]	[142]	[8.266545]	[142]	[89739180]	[89739180]
886_10555	chr11	96330349	96330749	+	1000	190.5	[6.8989677]	[106]	[6.779144]	[106]	[96330554]	[96330554]
886_10558	chr12	71236061	71236461	+	1000	190.5	[7.916396, 5.259015]	[112, 157]	[7.3778057, 5.697581]	[112, 157]	[71236263, 71236308]	[71236263, 71236308]
886_1056	chr19	48963718	48964118	+	1000	735.0	[7.2392173]	[73]	[7.4727845]	[73]	[48963874]	[48963874]
886_10560	chr14	101927795	101928195	+	1000	190.5	[7.4727845]	[133]	[7.2392173]	[133]	[101928026]	[101928026]
886_10561	chr15	65976248	65976648	+	1000	190.5	[11.304774]	[102]	[11.304774]	[102]	[65976430]	[65976430]
886_10566	chr2	11502623	11503023	+	1000	190.5	[11.260322, 8.439688]	[85, 105]	[11.688987, 8.130846]	[85, 105]	[11502795, 11502815]	[11502795, 11502815]
886_10568	chr2	178522962	178523362	+	1000	190.5	[11.304774]	[78]	[11.304774]	[78]	[178523131]	[178523131]
886_10570	chr3	194489865	194490265	+	1000	190.5	[13.4641905]	[103]	[13.240523]	[103]	[194490060]	[194490060]
886_10575	chr6	26300346	26300746	+	1000	190.5	[9.133328, 6.3307967]	[104, 145]	[8.471095, 5.902131]	[104, 145]	[26300524, 26300565]	[26300524, 26300565]
886_10579	chr8	21971102	21971502	+	1000	190.5	[4.037037]	[89]	[]	[]	[21971277]	[]
886_10586	chr1	25278370	25278770	+	1000	190.0	[11.304774]	[90]	[11.304774]	[90]	[25278552]	[25278552]
886_10590	chr1	117899788	117900188	+	1000	190.0	[6.3307967]	[61]	[5.902131]	[61]	[117899942]	[117899942]
886_10592	chr1	246642683	246643083	+	963	190.0	[12.536653]	[102]	[12.965319]	[102]	[246642863]	[246642863]
886_10597	chr12	92137257	92137657	+	1000	190.0	[7.163356]	[165]	[6.8545146]	[165]	[92137482]	[92137482]
886_10601	chr15	50134766	50135166	+	1000	190.0	[4.037037]	[123]	[]	[]	[50134969]	[]
886_10605	chr16	25063866	25064266	+	1000	190.0	[4.670253]	[106]	[4.670253]	[106]	[25064061]	[25064061]
886_10609	chr19	43696292	43696692	+	1000	190.0	[12.257158]	[101]	[12.137334]	[101]	[43696478]	[43696478]
886_1061	chr3	99817632	99818032	+	1000	733.5	[17.30608]	[102]	[17.29618]	[102]	[99817832]	[99817832]
886_10610	chr19	47766662	47767062	+	1000	190.0	[13.873739]	[112]	[14.1073065]	[112]	[47766865]	[47766865]
886_10611	chr2	27706163	27706563	+	1000	190.0	[11.304774]	[112]	[11.304774]	[112]	[27706367]	[27706367]
886_10617	chr4	139556264	139556664	+	1000	190.0	[8.490212]	[100]	[7.837879]	[100]	[139556461]	[139556461]
886_10621	chr6	10331325	10331725	+	1000	190.0	[12.536653]	[102]	[12.965319]	[102]	[10331527]	[10331527]
886_10623	chr7	65801013	65801413	+	1000	190.0	[6.145928]	[101]	[6.255852]	[101]	[65801200]	[65801200]
886_10626	chr7	140275509	140275909	+	1000	190.0	[5.268915]	[162]	[5.687681]	[162]	[140275745]	[140275745]
886_10628	chr8	37864377	37864777	+	1000	190.0	[5.697581]	[64]	[5.259015]	[64]	[37864530]	[37864530]
886_10631	chr1	117045724	117046124	+	1000	189.5	[7.4877305]	[112]	[7.806472]	[112]	[117045925]	[117045925]
886_10638	chr12	58310720	58311120	+	1000	189.5	[4.037037]	[137]	[]	[]	[58310951]	[]
886_10639	chr16	34576275	34576675	+	1000	189.5	[4.670253]	[115]	[4.670253]	[115]	[34576480]	[34576480]
886_10640	chr19	47512200	47512600	+	1000	189.5	[12.965319]	[100]	[12.536653]	[100]	[47512397]	[47512397]
886_10642	chr2	63827707	63828107	+	1000	189.5	[6.8989677]	[143]	[6.779144]	[143]	[63827925]	[63827925]
886_10651	chr5	135423130	135423530	+	1000	189.5	[6.3307967]	[71]	[5.902131]	[71]	[135423300]	[135423300]
886_10659	chr7	148940932	148941332	+	1000	189.5	[4.037037]	[126]	[]	[]	[148941096]	[]
886_1066	chr1	46173554	46173954	+	1000	731.0	[12.536653]	[100]	[12.965319]	[100]	[46173753]	[46173753]
886_10661	chr9	94232403	94232803	+	1000	189.5	[12.965319]	[109]	[12.536653]	[109]	[94232609]	[94232609]
886_10669	chr10	71838587	71838987	+	1000	189.0	[5.697581, 10.661659]	[97, 113]	[5.259015, 10.671558]	[97, 113]	[71838776, 71838792]	[71838776, 71838792]
886_10670	chr11	5564323	5564723	+	1000	189.0	[7.4877305]	[107]	[7.806472, 4.037037]	[107, 134]	[5564506]	[5564506, 5564533]
886_10676	chr16	2008095	2008495	+	1000	189.0	[10.671558]	[211]	[10.661659]	[211]	[2008316]	[2008316]
886_10679	chr17	77368747	77369147	+	1000	189.0	[12.536653]	[125]	[12.965319]	[125]	[77368929]	[77368929]
886_1068	chr11	96255591	96255991	+	1000	730.5	[11.304774]	[86]	[11.304774]	[86]	[96255776]	[96255776]
886_10681	chr2	10449938	10450338	+	1000	189.0	[6.8989677]	[108]	[6.779144]	[108]	[10450144]	[10450144]
886_10682	chr2	134149012	134149412	+	1000	189.0	[6.6060014]	[126]	[6.8296685]	[126]	[134149186]	[134149186]
886_10684	chr22	24525381	24525781	+	1000	189.0	[]	[]	[4.037037]	[151]	[]	[24525574]
886_10685	chr3	8963284	8963684	+	1000	189.0	[9.348108]	[103]	[9.7015]	[103]	[8963468]	[8963468]
886_10689	chr7	16492680	16493080	+	844	189.0	[5.259015]	[114]	[5.697581]	[114]	[16492883]	[16492883]
886_10692	chr9	37134227	37134627	+	1000	189.0	[7.806472]	[105]	[7.4877305]	[105]	[37134419]	[37134419]
886_10699	chr11	59171484	59171884	+	1000	188.5	[6.8989677]	[123]	[6.779144]	[123]	[59171687]	[59171687]
