#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F1_idr.fa NR2F1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
504_1063	chr22	22559123	22559523	+	1000	281.0	[6.0948906]	[277]	[]	[]	[22559368]	[]
504_10633	chr18	22432525	22432925	+	1000	70.0	[]	[]	[7.441646]	[136]	[]	[22432753]
504_10654	chr20	53422051	53422451	+	1000	70.0	[]	[]	[11.108711, 7.6574984]	[115, 136]	[]	[53422243, 53422264]
504_10659	chr3	40477125	40477525	+	738	70.0	[]	[]	[6.4042497]	[205]	[]	[40477313]
504_1068	chr19	45873758	45874158	+	1000	280.5	[]	[]	[12.247973, 10.737563]	[104, 128]	[]	[45873931, 45873955]
504_10690	chr1	1758888	1759288	+	1000	69.5	[]	[]	[7.6574984]	[217]	[]	[1759097]
504_10694	chr1	20507836	20508236	+	929	69.5	[]	[]	[10.737563]	[221]	[]	[20508074]
504_1070	chr1	5993628	5994028	+	1000	280.0	[]	[]	[11.108711]	[151]	[]	[5993870]
504_10701	chr1	59055902	59056302	+	764	69.5	[8.580908]	[107]	[]	[]	[59056080]	[]
504_10712	chr11	33723202	33723602	+	1000	69.5	[12.247973]	[193]	[]	[]	[33723401]	[]
504_10713	chr11	34600462	34600862	+	1000	69.5	[]	[]	[7.6574984]	[152]	[]	[34600704]
504_10716	chr11	76735882	76736282	+	764	69.5	[]	[]	[6.4042497]	[95]	[]	[76736047]
504_10724	chr13	112761892	112762292	+	1000	69.5	[12.247973]	[118]	[]	[]	[112762092]	[]
504_10735	chr16	75075160	75075560	+	1000	69.5	[]	[]	[5.7237425]	[171]	[]	[75075394]
504_1074	chr21	15742046	15742446	+	1000	280.0	[11.876825, 8.79676]	[122, 130]	[]	[]	[15742242, 15742250]	[]
504_10744	chr2	28508409	28508809	+	905	69.5	[8.79676]	[104]	[]	[]	[28508564]	[]
504_10746	chr2	38751276	38751676	+	1000	69.5	[7.441646]	[164]	[]	[]	[38751501]	[]
504_1075	chr9	111482807	111483207	+	1000	280.0	[11.108711]	[116]	[12.247973]	[134]	[111483009]	[111483027]
504_10751	chr2	159030941	159031341	+	1000	69.5	[12.247973]	[239]	[]	[]	[159031178]	[]
504_10752	chr2	197435928	197436328	+	1000	69.5	[7.6574984]	[170]	[]	[]	[197436093]	[]
504_10759	chr3	194572392	194572792	+	1000	69.5	[5.7237425]	[177]	[]	[]	[194572579]	[]
504_10762	chr4	184746916	184747316	+	946	69.5	[]	[]	[8.580908, 12.247973, 11.876825]	[111, 140, 162]	[]	[184747078, 184747107, 184747129]
504_10767	chr5	134873955	134874355	+	1000	69.5	[10.737563]	[144]	[]	[]	[134874178]	[]
504_1077	chr19	15321362	15321762	+	1000	279.5	[11.876825]	[109]	[12.247973]	[102]	[15321552]	[15321545]
504_10772	chr6	52995075	52995475	+	1000	69.5	[8.580908]	[139]	[]	[]	[52995287]	[]
504_10773	chr7	343136	343536	+	1000	69.5	[]	[]	[10.737563]	[120]	[]	[343354]
504_10802	chr1	225999206	225999606	+	1000	69.0	[7.441646]	[190]	[]	[]	[225999446]	[]
504_1081	chr19	14530047	14530447	+	1000	279.0	[11.876825]	[120]	[]	[]	[14530257]	[]
504_10810	chr12	7241436	7241836	+	709	69.0	[]	[]	[5.7237425]	[216]	[]	[7241609]
504_10816	chr13	107868025	107868425	+	1000	69.0	[10.737563]	[109]	[]	[]	[107868189]	[]
504_10820	chr16	28491370	28491770	+	1000	69.0	[]	[]	[10.737563]	[120]	[]	[28491583]
504_1083	chr5	160260923	160261323	+	1000	279.0	[]	[]	[7.6574984]	[128]	[]	[160261104]
504_10852	chr20	63628140	63628540	+	1000	69.0	[]	[]	[11.108711]	[279]	[]	[63628391]
504_10858	chr3	171460398	171460798	+	1000	69.0	[]	[]	[7.441646]	[67]	[]	[171460556]
504_1086	chr8	119832634	119833034	+	1000	278.5	[]	[]	[11.876825]	[127]	[]	[119832841]
504_10861	chr4	8181748	8182148	+	1000	69.0	[12.247973]	[115]	[]	[]	[8181953]	[]
504_10867	chr6	20291666	20292066	+	963	69.0	[5.7237425, 12.247973]	[119, 136]	[]	[]	[20291874, 20291891]	[]
504_1087	chr1	205294542	205294942	+	1000	278.0	[]	[]	[7.6574984]	[141]	[]	[205294773]
504_10882	chr8	38247766	38248166	+	1000	69.0	[12.247973]	[241]	[12.247973]	[217]	[38248014]	[38247990]
504_10883	chr8	98944654	98945054	+	680	69.0	[]	[]	[12.247973]	[126]	[]	[98944807]
504_10903	chr1	201423654	201424054	+	1000	68.5	[]	[]	[12.247973, 10.737563]	[135, 142]	[]	[201423871, 201423878]
504_10904	chr1	228072458	228072858	+	1000	68.5	[11.108711]	[223]	[]	[]	[228072707]	[]
504_10911	chr11	32379623	32380023	+	961	68.5	[]	[]	[10.737563]	[133]	[]	[32379834]
504_10921	chr14	69606242	69606642	+	1000	68.5	[]	[]	[11.876825]	[212]	[]	[69606429]
504_10929	chr15	95531220	95531620	+	1000	68.5	[]	[]	[12.247973]	[208]	[]	[95531416]
504_1093	chr19	28546191	28546591	+	1000	277.0	[]	[]	[12.247973]	[132]	[]	[28546410]
504_10932	chr16	79400830	79401230	+	988	68.5	[6.0331016]	[166]	[]	[]	[79401062]	[]
504_10934	chr17	37609183	37609583	+	817	68.5	[7.441646]	[184]	[]	[]	[37609428]	[]
504_10948	chr2	70565387	70565787	+	1000	68.5	[]	[]	[12.247973, 12.247973]	[190, 197]	[]	[70565587, 70565594]
504_10949	chr2	86199376	86199776	+	1000	68.5	[8.580908]	[120]	[]	[]	[86199531]	[]
504_1097	chrX	41442294	41442694	+	1000	276.5	[]	[]	[12.247973]	[97]	[]	[41442481]
504_10975	chr7	105006365	105006765	+	1000	68.5	[5.7237425]	[120]	[]	[]	[105006557]	[]
504_10979	chr8	123622784	123623184	+	1000	68.5	[]	[]	[7.441646]	[154]	[]	[123622964]
504_10980	chr8	143974852	143975252	+	1000	68.5	[]	[]	[7.441646]	[147]	[]	[143975056]
504_10984	chr9	132411025	132411425	+	927	68.5	[10.737563]	[104]	[]	[]	[132411203]	[]
504_1100	chr15	95684634	95685034	+	1000	276.0	[11.876825]	[74]	[]	[]	[95684798]	[]
504_11003	chr1	212791481	212791881	+	1000	68.0	[11.108711]	[209]	[]	[]	[212791728]	[]
504_11009	chr10	106942207	106942607	+	1000	68.0	[]	[]	[10.737563]	[206]	[]	[106942457]
504_11011	chr10	133394155	133394555	+	1000	68.0	[12.247973]	[181]	[]	[]	[133394355]	[]
504_11023	chr13	114130331	114130731	+	1000	68.0	[]	[]	[10.737563]	[339]	[]	[114130532]
504_11027	chr14	92121700	92122100	+	1000	68.0	[]	[]	[5.7237425]	[274]	[]	[92121892]
504_1103	chr4	108620379	108620779	+	1000	276.0	[]	[]	[12.247973]	[67]	[]	[108620545]
504_11057	chr20	41734447	41734847	+	1000	68.0	[]	[]	[5.7237425, 8.580908]	[65, 119]	[]	[41734610, 41734664]
504_11064	chr3	132542900	132543300	+	1000	68.0	[]	[]	[10.737563]	[97]	[]	[132543074]
504_11065	chr3	133892533	133892933	+	1000	68.0	[11.876825]	[147]	[]	[]	[133892750]	[]
504_11066	chr3	141875729	141876129	+	1000	68.0	[]	[]	[7.441646]	[295]	[]	[141875939]
504_11068	chr4	38662032	38662432	+	1000	68.0	[7.6574984]	[150]	[]	[]	[38662232]	[]
504_11073	chr5	132466954	132467354	+	1000	68.0	[12.247973]	[332]	[]	[]	[132467180]	[]
504_11077	chr6	7166395	7166795	+	1000	68.0	[]	[]	[5.7237425, 5.7237425]	[151, 161]	[]	[7166587, 7166597]
504_11084	chr6	68650927	68651327	+	1000	68.0	[11.876825, 5.7237425]	[161, 193]	[]	[]	[68651131, 68651163]	[]
504_11088	chr6	156791303	156791703	+	760	68.0	[]	[]	[12.247973]	[118]	[]	[156791510]
504_11096	chr7	127382229	127382629	+	622	68.0	[11.876825]	[122]	[]	[]	[127382430]	[]
504_11105	chr1	61181991	61182391	+	1000	67.5	[]	[]	[12.247973]	[155]	[]	[61182188]
504_11134	chr17	27649150	27649550	+	1000	67.5	[]	[]	[12.247973]	[162]	[]	[27649383]
504_11135	chr17	39668464	39668864	+	1000	67.5	[6.0331016]	[209]	[]	[]	[39668710]	[]
504_1115	chr10	73648867	73649267	+	1000	275.0	[]	[]	[5.7237425]	[162]	[]	[73649108]
504_11150	chr2	171807793	171808193	+	921	67.5	[12.247973]	[119]	[10.737563, 11.876825]	[82, 127]	[171807999]	[171807962, 171808007]
504_11157	chr21	29725041	29725441	+	1000	67.5	[]	[]	[11.108711]	[101]	[]	[29725229]
504_11160	chr22	19988862	19989262	+	1000	67.5	[10.737563]	[128]	[]	[]	[19989085]	[]
504_11161	chr22	43474448	43474848	+	978	67.5	[]	[]	[12.247973]	[90]	[]	[43474617]
504_1117	chr10	93071736	93072136	+	1000	274.5	[10.737563, 7.441646, 8.580908]	[119, 130, 161]	[]	[]	[93071916, 93071927, 93071958]	[]
504_11171	chr4	174538114	174538514	+	1000	67.5	[11.876825]	[129]	[]	[]	[174538341]	[]
504_11175	chr5	126359820	126360220	+	1000	67.5	[11.108711]	[142]	[]	[]	[126360022]	[]
504_1118	chr17	74746825	74747225	+	1000	274.5	[11.876825]	[99]	[8.580908]	[106]	[74747014]	[74747021]
504_112	chr18	3602977	3603377	+	1000	584.0	[8.580908]	[124]	[]	[]	[3603180]	[]
504_1120	chr10	97664454	97664854	+	1000	274.0	[8.580908]	[184]	[]	[]	[97664699]	[]
504_11201	chr1	32650735	32651135	+	1000	67.0	[]	[]	[11.108711]	[152]	[]	[32650975]
504_11203	chr1	46303483	46303883	+	1000	67.0	[]	[]	[11.108711]	[172]	[]	[46303683]
504_11206	chr1	101264689	101265089	+	1000	67.0	[]	[]	[12.247973]	[130]	[]	[101264867]
504_11208	chr1	150163509	150163909	+	1000	67.0	[11.876825]	[139]	[]	[]	[150163663]	[]
504_11216	chr11	10770648	10771048	+	1000	67.0	[]	[]	[11.876825]	[158]	[]	[10770881]
504_11218	chr11	72787537	72787937	+	745	67.0	[]	[]	[10.737563]	[147]	[]	[72787697]
504_1122	chr17	77363881	77364281	+	1000	274.0	[11.876825]	[69]	[]	[]	[77364050]	[]
504_11225	chr12	122999834	123000234	+	963	67.0	[]	[]	[11.108711, 11.876825]	[71, 89]	[]	[122999997, 123000015]
504_1123	chr18	3652846	3653246	+	1000	274.0	[]	[]	[8.580908]	[152]	[]	[3653061]
504_11248	chr18	57833619	57834019	+	1000	67.0	[]	[]	[8.580908]	[158]	[]	[57833831]
504_1125	chr6	28383219	28383619	+	1000	274.0	[6.4042497]	[85]	[]	[]	[28383401]	[]
504_11252	chr19	17680121	17680521	+	1000	67.0	[11.108711, 7.441646]	[111, 153]	[]	[]	[17680312, 17680354]	[]
504_1126	chr1	1145251	1145651	+	1000	273.5	[]	[]	[11.876825, 8.580908, 5.7237425, 7.6574984, 10.737563]	[139, 156, 161, 173, 195]	[]	[1145418, 1145435, 1145440, 1145452, 1145474]
504_11261	chr2	121649665	121650065	+	990	67.0	[6.4042497]	[192]	[]	[]	[121649824]	[]
504_11267	chr20	64240979	64241379	+	999	67.0	[7.6574984]	[151]	[]	[]	[64241136]	[]
504_11275	chr3	52029091	52029491	+	1000	67.0	[10.737563]	[153]	[]	[]	[52029300]	[]
504_1128	chr12	75977913	75978313	+	1000	273.5	[]	[]	[12.247973]	[115]	[]	[75978113]
504_11280	chr3	182760784	182761184	+	1000	67.0	[11.876825]	[153]	[]	[]	[182760971]	[]
504_11287	chr5	138754084	138754484	+	754	67.0	[]	[]	[12.247973]	[242]	[]	[138754331]
504_11294	chr6	34223995	34224395	+	1000	67.0	[]	[]	[12.247973]	[177]	[]	[34224244]
504_11297	chr6	43506628	43507028	+	1000	67.0	[8.580908]	[249]	[]	[]	[43506848]	[]
504_11302	chr7	17239722	17240122	+	716	67.0	[5.7237425]	[119]	[]	[]	[17239916]	[]
504_1131	chr5	148398193	148398593	+	1000	273.5	[]	[]	[12.247973]	[142]	[]	[148398427]
504_11310	chr8	391906	392306	+	1000	67.0	[11.876825]	[147]	[]	[]	[392125]	[]
504_11312	chr8	22036786	22037186	+	1000	67.0	[11.876825]	[116]	[]	[]	[22036992]	[]
504_11318	chrX	13647643	13648043	+	1000	67.0	[8.580908]	[71]	[]	[]	[13647803]	[]
504_11321	chrX	153488472	153488872	+	1000	67.0	[11.876825, 8.580908]	[140, 233]	[]	[]	[153488624, 153488717]	[]
504_11340	chr10	71751466	71751866	+	1000	66.5	[11.876825, 8.580908, 12.247973]	[114, 129, 146]	[12.247973]	[121]	[71751617, 71751632, 71751649]	[71751624]
504_11341	chr10	125605156	125605556	+	1000	66.5	[5.7237425, 5.7237425, 5.7237425]	[63, 102, 141]	[]	[]	[125605308, 125605347, 125605386]	[]
504_11350	chr12	52010643	52011043	+	1000	66.5	[]	[]	[10.737563, 5.9149733]	[289, 318]	[]	[52010860, 52010889]
504_11351	chr12	57102088	57102488	+	1000	66.5	[]	[]	[12.247973]	[100]	[]	[57102286]
504_11354	chr14	52853082	52853482	+	1000	66.5	[12.247973]	[119]	[]	[]	[52853279]	[]
504_11360	chr16	31527784	31528184	+	832	66.5	[]	[]	[11.876825]	[284]	[]	[31527986]
504_11363	chr16	71440564	71440964	+	1000	66.5	[12.247973, 10.737563]	[176, 188]	[]	[]	[71440760, 71440772]	[]
504_11366	chr17	31067833	31068233	+	1000	66.5	[]	[]	[8.79676]	[137]	[]	[31068050]
504_11368	chr17	36950946	36951346	+	685	66.5	[12.247973]	[186]	[]	[]	[36951182]	[]
504_11372	chr19	823674	824074	+	944	66.5	[]	[]	[5.7237425]	[147]	[]	[823881]
504_1138	chr17	40549324	40549724	+	1000	272.5	[]	[]	[8.580908]	[103]	[]	[40549516]
504_11380	chr2	37231488	37231888	+	1000	66.5	[11.876825]	[196]	[]	[]	[37231720]	[]
504_11382	chr2	216012037	216012437	+	1000	66.5	[12.247973]	[78]	[]	[]	[216012197]	[]
504_11383	chr2	219724618	219725018	+	1000	66.5	[8.580908]	[184]	[]	[]	[219724858]	[]
504_11397	chr5	78521524	78521924	+	1000	66.5	[]	[]	[7.6574984]	[220]	[]	[78521745]
504_11399	chr5	131633841	131634241	+	1000	66.5	[12.247973]	[116]	[8.79676, 8.580908]	[68, 90]	[131634045]	[131633997, 131634019]
504_114	chrX	13059690	13060090	+	1000	582.0	[11.108711, 11.876825]	[136, 144]	[]	[]	[13059895, 13059903]	[]
504_1140	chr20	33339480	33339880	+	1000	272.5	[8.580908]	[97]	[]	[]	[33339646]	[]
504_1142	chr1	183935984	183936384	+	1000	272.0	[12.247973, 12.247973]	[130, 144]	[]	[]	[183936208, 183936222]	[]
504_11423	chr9	92746795	92747195	+	1000	66.5	[11.876825]	[122]	[]	[]	[92746982]	[]
504_11424	chr9	93086646	93087046	+	820	66.5	[]	[]	[8.580908, 11.876825]	[67, 111]	[]	[93086805, 93086849]
504_1144	chr7	151091386	151091786	+	1000	272.0	[12.247973]	[157]	[]	[]	[151091629]	[]
504_11440	chr10	28806911	28807311	+	1000	66.0	[8.79676]	[106]	[]	[]	[28807079]	[]
504_11441	chr10	62048980	62049380	+	955	66.0	[11.876825]	[105]	[]	[]	[62049146]	[]
504_11470	chr15	69305391	69305791	+	968	66.0	[12.247973]	[131]	[]	[]	[69305568]	[]
504_11476	chr17	73308120	73308520	+	957	66.0	[8.79676, 8.580908]	[110, 135]	[]	[]	[73308295, 73308320]	[]
504_11482	chr19	52139130	52139530	+	1000	66.0	[]	[]	[11.876825]	[66]	[]	[52139292]
504_11483	chr19	52897161	52897561	+	931	66.0	[8.580908]	[215]	[]	[]	[52897390]	[]
504_11484	chr19	55206960	55207360	+	877	66.0	[10.737563]	[149]	[]	[]	[55207154]	[]
504_11487	chr2	28751284	28751684	+	942	66.0	[12.247973]	[198]	[]	[]	[28751511]	[]
504_11491	chr2	113167383	113167783	+	1000	66.0	[12.247973]	[105]	[]	[]	[113167573]	[]
504_11493	chr2	204691822	204692222	+	1000	66.0	[]	[]	[8.79676]	[147]	[]	[204692045]
504_115	chr17	38871428	38871828	+	1000	580.5	[]	[]	[12.247973]	[123]	[]	[38871648]
504_11500	chr22	47678033	47678433	+	1000	66.0	[]	[]	[12.247973]	[235]	[]	[47678279]
504_11504	chr3	170425880	170426280	+	647	66.0	[11.108711]	[128]	[]	[]	[170426064]	[]
