#PeakID(python scan_motif.py ./ENCODE_processed_files/ARID1B_idr.fa ARID1B --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
892_1003	chr3	43770642	43771042	+	1000	911.0	[9.257497]	[82]	[]	[]	[43770821]	[]
892_10030	chr15	95629760	95630160	+	1000	205.0	[9.257497]	[107]	[]	[]	[95629954]	[]
892_10032	chr17	19519689	19520089	+	1000	205.0	[]	[]	[9.257497]	[74]	[]	[19519860]
892_10034	chr19	38819233	38819633	+	1000	205.0	[9.257497]	[187]	[]	[]	[38819464]	[]
892_10035	chr2	13018478	13018878	+	1000	205.0	[9.257497]	[94]	[9.257497]	[135]	[13018646]	[13018687]
892_10036	chr2	38702458	38702858	+	1000	205.0	[]	[]	[9.257497]	[119]	[]	[38702674]
892_1004	chr8	99137844	99138244	+	1000	911.0	[]	[]	[9.257497]	[127]	[]	[99138062]
892_10040	chr2	196356383	196356783	+	1000	205.0	[9.257497]	[119]	[]	[]	[196356572]	[]
892_10041	chr20	51541277	51541677	+	1000	205.0	[]	[]	[9.257497]	[144]	[]	[51541498]
892_10042	chr20	53296520	53296920	+	1000	205.0	[9.257497]	[134]	[]	[]	[53296736]	[]
892_10048	chr4	4339471	4339871	+	1000	205.0	[9.257497]	[103]	[]	[]	[4339663]	[]
892_10049	chr4	69309473	69309873	+	1000	205.0	[]	[]	[9.257497]	[106]	[]	[69309676]
892_1005	chr5	131747216	131747616	+	1000	910.5	[]	[]	[9.257497]	[102]	[]	[131747400]
892_10054	chr7	77530889	77531289	+	1000	205.0	[9.257497]	[234]	[]	[]	[77531053]	[]
892_10057	chr9	6927798	6928198	+	1000	205.0	[9.257497]	[99]	[]	[]	[6927987]	[]
892_1006	chr4	80253512	80253912	+	1000	909.5	[9.257497]	[96]	[9.257497]	[130]	[80253702]	[80253736]
892_10063	chr1	167824298	167824698	+	1000	204.5	[]	[]	[9.257497, 9.257497]	[88, 140]	[]	[167824467, 167824519]
892_10064	chr10	5510289	5510689	+	1000	204.5	[9.257497, 9.257497]	[82, 87]	[9.257497]	[138]	[5510465, 5510470]	[5510521]
892_10067	chr12	1576855	1577255	+	1000	204.5	[9.257497]	[126]	[9.257497, 9.257497]	[106, 161]	[1577047]	[1577027, 1577082]
892_10068	chr12	75837741	75838141	+	1000	204.5	[9.257497]	[78]	[]	[]	[75837918]	[]
892_10069	chr12	119554614	119555014	+	1000	204.5	[]	[]	[9.257497]	[66]	[]	[119554779]
892_10070	chr12	122894568	122894968	+	1000	204.5	[]	[]	[9.257497]	[142]	[]	[122894794]
892_10071	chr13	93200564	93200964	+	1000	204.5	[9.257497]	[95]	[9.257497, 9.257497]	[127, 150]	[93200742]	[93200774, 93200797]
892_10072	chr14	50321194	50321594	+	1000	204.5	[9.257497]	[134]	[]	[]	[50321391]	[]
892_10077	chr2	23791079	23791479	+	1000	204.5	[]	[]	[9.257497]	[127]	[]	[23791294]
892_10079	chr2	46849666	46850066	+	1000	204.5	[]	[]	[9.257497]	[141]	[]	[46849884]
892_1008	chr5	131996709	131997109	+	1000	908.5	[]	[]	[9.257497]	[144]	[]	[131996939]
892_10082	chr5	29568005	29568405	+	1000	204.5	[9.257497]	[99]	[]	[]	[29568203]	[]
892_10083	chr5	81754649	81755049	+	1000	204.5	[9.257497]	[111]	[]	[]	[81754854]	[]
892_10088	chr6	119216190	119216590	+	1000	204.5	[]	[]	[9.257497]	[184]	[]	[119216431]
892_10089	chr6	160782209	160782609	+	1000	204.5	[9.257497]	[86]	[]	[]	[160782385]	[]
892_1009	chr7	139044365	139044765	+	1000	908.5	[9.257497]	[81]	[]	[]	[139044529]	[]
892_10090	chr7	106017657	106018057	+	1000	204.5	[]	[]	[9.257497]	[167]	[]	[106017878]
892_10091	chr9	19123837	19124237	+	1000	204.5	[9.257497]	[138]	[]	[]	[19124075]	[]
892_10092	chr9	32632093	32632493	+	1000	204.5	[]	[]	[9.257497]	[92]	[]	[32632272]
892_10093	chr9	130534927	130535327	+	1000	204.5	[9.257497]	[147]	[]	[]	[130535170]	[]
892_10094	chrX	155666724	155667124	+	1000	204.5	[]	[]	[9.257497, 9.257497]	[101, 116]	[]	[155666913, 155666928]
892_10095	chr1	86991516	86991916	+	1000	204.0	[]	[]	[9.257497]	[126]	[]	[86991734]
892_10096	chr1	95167576	95167976	+	1000	204.0	[9.257497]	[77]	[]	[]	[95167748]	[]
892_101	chr22	20777715	20778115	+	1000	1625.0	[9.257497]	[123]	[]	[]	[20777921]	[]
892_1010	chr16	142981	143381	+	1000	907.5	[9.257497]	[93]	[]	[]	[143166]	[]
892_10100	chr12	50641592	50641992	+	1000	204.0	[]	[]	[9.257497]	[94]	[]	[50641746]
892_10102	chr17	78374199	78374599	+	1000	204.0	[9.257497]	[113]	[]	[]	[78374402]	[]
892_10105	chr2	9057971	9058371	+	1000	204.0	[9.257497]	[92]	[]	[]	[9058137]	[]
892_10106	chr2	54600046	54600446	+	1000	204.0	[9.257497]	[76]	[]	[]	[54600220]	[]
892_10108	chr2	199987612	199988012	+	1000	204.0	[9.257497]	[104]	[]	[]	[199987782]	[]
892_10109	chr20	31671917	31672317	+	1000	204.0	[]	[]	[9.257497, 9.257497]	[188, 207]	[]	[31672104, 31672123]
892_1011	chr3	153080709	153081109	+	1000	907.5	[]	[]	[9.257497]	[160]	[]	[153080930]
892_10111	chr3	42811419	42811819	+	1000	204.0	[]	[]	[9.257497]	[158]	[]	[42811663]
892_10113	chr4	153492714	153493114	+	1000	204.0	[]	[]	[9.257497, 9.257497]	[69, 105]	[]	[153492874, 153492910]
892_10114	chr5	67149228	67149628	+	1000	204.0	[]	[]	[9.257497, 9.257497]	[97, 131]	[]	[67149417, 67149451]
892_10115	chr5	124644107	124644507	+	1000	204.0	[]	[]	[9.257497]	[124]	[]	[124644319]
892_10116	chr6	135291685	135292085	+	1000	204.0	[]	[]	[9.257497, 9.257497]	[151, 180]	[]	[135291877, 135291906]
892_10117	chr6	136499380	136499780	+	1000	204.0	[9.257497]	[111]	[]	[]	[136499555]	[]
892_1012	chr8	37673594	37673994	+	1000	907.5	[9.257497]	[55]	[9.257497, 9.257497]	[116, 148]	[37673747]	[37673808, 37673840]
892_10122	chr1	161494324	161494724	+	1000	203.5	[9.257497]	[171]	[9.257497]	[190]	[161494526]	[161494545]
892_10125	chr1	221040050	221040450	+	1000	203.5	[9.257497]	[88]	[9.257497]	[181]	[221040208]	[221040301]
892_10128	chr12	12442127	12442527	+	1000	203.5	[]	[]	[9.257497]	[147]	[]	[12442362]
892_10129	chr12	111705694	111706094	+	1000	203.5	[9.257497]	[112]	[]	[]	[111705878]	[]
892_1013	chr1	156863087	156863487	+	1000	907.0	[9.257497, 9.257497]	[88, 110]	[]	[]	[156863251, 156863273]	[]
892_10130	chr16	21188253	21188653	+	1000	203.5	[9.257497]	[133]	[]	[]	[21188440]	[]
892_10131	chr17	28466474	28466874	+	1000	203.5	[9.257497, 9.257497]	[86, 91]	[]	[]	[28466646, 28466651]	[]
892_10132	chr18	59546197	59546597	+	1000	203.5	[9.257497]	[61]	[9.257497]	[150]	[59546348]	[59546437]
892_10133	chr19	42010269	42010669	+	1000	203.5	[]	[]	[9.257497]	[128]	[]	[42010460]
892_10134	chr2	46202396	46202796	+	1000	203.5	[9.257497]	[120]	[]	[]	[46202582]	[]
892_10136	chr20	44552043	44552443	+	1000	203.5	[9.257497]	[53]	[]	[]	[44552194]	[]
892_10137	chr21	21332489	21332889	+	1000	203.5	[9.257497]	[81]	[]	[]	[21332665]	[]
892_1014	chr5	1185755	1186155	+	1000	907.0	[9.257497, 9.257497]	[59, 102]	[]	[]	[1185908, 1185951]	[]
892_10143	chr8	21971092	21971492	+	1000	203.5	[]	[]	[9.257497]	[143]	[]	[21971328]
892_10148	chr1	14929380	14929780	+	1000	203.0	[]	[]	[9.257497]	[131]	[]	[14929598]
892_10150	chr1	244366711	244367111	+	1000	203.0	[]	[]	[9.257497]	[134]	[]	[244366930]
892_10152	chr11	10584174	10584574	+	1000	203.0	[]	[]	[9.257497]	[107]	[]	[10584372]
892_10154	chr11	48006578	48006978	+	1000	203.0	[9.257497]	[108]	[]	[]	[48006760]	[]
892_10155	chr12	18752464	18752864	+	1000	203.0	[]	[]	[9.257497]	[134]	[]	[18752677]
892_1016	chr3	33054294	33054694	+	1000	906.5	[9.257497]	[91]	[]	[]	[33054485]	[]
892_10160	chr17	75295173	75295573	+	1000	203.0	[9.257497]	[142]	[]	[]	[75295341]	[]
892_10164	chr2	151614884	151615284	+	1000	203.0	[9.257497, 9.257497]	[114, 157]	[]	[]	[151615076, 151615119]	[]
892_10165	chr2	197994720	197995120	+	1000	203.0	[9.257497]	[75]	[]	[]	[197994894]	[]
892_10166	chr2	241489135	241489535	+	1000	203.0	[9.257497, 9.257497]	[83, 123]	[]	[]	[241489299, 241489339]	[]
892_10167	chr21	14752263	14752663	+	1000	203.0	[]	[]	[9.257497, 9.257497]	[96, 139]	[]	[14752437, 14752480]
892_10168	chr3	13082054	13082454	+	1000	203.0	[9.257497]	[125]	[]	[]	[13082278]	[]
892_1017	chr16	20674110	20674510	+	1000	906.0	[]	[]	[9.257497]	[133]	[]	[20674319]
892_10170	chr6	26126035	26126435	+	1000	203.0	[]	[]	[9.257497]	[108]	[]	[26126227]
892_10173	chr1	16513981	16514381	+	1000	202.5	[]	[]	[9.257497]	[234]	[]	[16514223]
892_10177	chr1	198162188	198162588	+	1000	202.5	[9.257497, 9.257497, 9.257497]	[86, 110, 116]	[]	[]	[198162349, 198162373, 198162379]	[]
892_10178	chr1	234553465	234553865	+	1000	202.5	[9.257497]	[143]	[]	[]	[234553666]	[]
892_1018	chr2	88250321	88250721	+	1000	906.0	[9.257497]	[69]	[]	[]	[88250481]	[]
892_10180	chr10	22702422	22702822	+	1000	202.5	[9.257497]	[107]	[]	[]	[22702621]	[]
892_10183	chr10	103194137	103194537	+	1000	202.5	[]	[]	[9.257497]	[148]	[]	[103194362]
892_10187	chr13	32175268	32175668	+	1000	202.5	[9.257497]	[96]	[]	[]	[32175438]	[]
892_10188	chr13	46120092	46120492	+	1000	202.5	[9.257497]	[106]	[]	[]	[46120283]	[]
892_1019	chr1	87435501	87435901	+	1000	905.0	[9.257497]	[80]	[]	[]	[87435669]	[]
892_10191	chr2	174180365	174180765	+	1000	202.5	[]	[]	[9.257497]	[110]	[]	[174180547]
892_10199	chr6	158835659	158836059	+	1000	202.5	[9.257497]	[187]	[]	[]	[158835850]	[]
892_102	chr10	46001210	46001610	+	1000	1624.5	[]	[]	[9.257497, 9.257497]	[70, 99]	[]	[46001376, 46001405]
892_1020	chr11	57648159	57648559	+	1000	905.0	[]	[]	[9.257497]	[174]	[]	[57648408]
892_10201	chr7	24725516	24725916	+	1000	202.5	[]	[]	[9.257497]	[120]	[]	[24725713]
892_10204	chr8	8917721	8918121	+	1000	202.5	[9.257497]	[88]	[]	[]	[8917900]	[]
892_10206	chr9	98319138	98319538	+	1000	202.5	[9.257497]	[134]	[]	[]	[98319346]	[]
892_10208	chr9	130955102	130955502	+	1000	202.5	[9.257497]	[244]	[]	[]	[130955338]	[]
892_10209	chrX	148540145	148540545	+	1000	202.5	[9.257497]	[98]	[9.257497]	[132]	[148540321]	[148540355]
892_10211	chr1	31701025	31701425	+	1000	202.0	[9.257497]	[150]	[]	[]	[31701274]	[]
892_10214	chr1	113210326	113210726	+	1000	202.0	[9.257497]	[137]	[]	[]	[113210545]	[]
892_10216	chr1	198167669	198168069	+	1000	202.0	[]	[]	[9.257497]	[133]	[]	[198167878]
892_10218	chr11	66083380	66083780	+	1000	202.0	[]	[]	[9.257497]	[208]	[]	[66083631]
892_10219	chr12	12883230	12883630	+	1000	202.0	[9.257497]	[159]	[]	[]	[12883473]	[]
892_1022	chr11	12116428	12116828	+	1000	904.5	[]	[]	[9.257497]	[82]	[]	[12116605]
892_10222	chr16	54927120	54927520	+	1000	202.0	[9.257497]	[128]	[9.257497]	[84]	[54927315]	[54927271]
892_10227	chr5	14266727	14267127	+	1000	202.0	[]	[]	[9.257497]	[107]	[]	[14266922]
892_10228	chr5	78578422	78578822	+	1000	202.0	[9.257497]	[133]	[]	[]	[78578652]	[]
892_10229	chr5	159204167	159204567	+	1000	202.0	[]	[]	[9.257497]	[128]	[]	[159204377]
892_10231	chr6	13863811	13864211	+	1000	202.0	[]	[]	[9.257497]	[88]	[]	[13863994]
892_10232	chr6	27138795	27139195	+	1000	202.0	[]	[]	[9.257497]	[168]	[]	[27139013]
892_10233	chr7	72101499	72101899	+	1000	202.0	[9.257497, 9.257497]	[108, 192]	[9.257497]	[135]	[72101651, 72101735]	[72101678]
892_10237	chrX	153339616	153340016	+	1000	202.0	[]	[]	[9.257497]	[143]	[]	[153339844]
892_1024	chr16	15590915	15591315	+	1000	904.5	[9.257497]	[153]	[]	[]	[15591131]	[]
892_10241	chr11	13577828	13578228	+	1000	201.5	[9.257497]	[135]	[]	[]	[13578039]	[]
892_10242	chr11	18667127	18667527	+	1000	201.5	[9.257497]	[90]	[]	[]	[18667316]	[]
892_10243	chr11	34242083	34242483	+	1000	201.5	[9.257497]	[137]	[]	[]	[34242268]	[]
892_10244	chr12	127093379	127093779	+	1000	201.5	[9.257497]	[109]	[]	[]	[127093562]	[]
892_10245	chr14	55370937	55371337	+	1000	201.5	[]	[]	[9.257497, 9.257497]	[83, 123]	[]	[55371120, 55371160]
892_10246	chr15	84534831	84535231	+	1000	201.5	[]	[]	[9.257497]	[131]	[]	[84535058]
892_10249	chr16	16189772	16190172	+	1000	201.5	[9.257497]	[93]	[]	[]	[16189957]	[]
892_1025	chr15	38437959	38438359	+	1000	904.0	[9.257497]	[90]	[]	[]	[38438144]	[]
892_10252	chr17	76791286	76791686	+	1000	201.5	[]	[]	[9.257497]	[83]	[]	[76791462]
892_10253	chr19	9784391	9784791	+	1000	201.5	[9.257497]	[91]	[]	[]	[9784559]	[]
892_1026	chr5	76319747	76320147	+	1000	904.0	[9.257497, 9.257497]	[67, 113]	[]	[]	[76319903, 76319949]	[]
892_10262	chr4	108954872	108955272	+	1000	201.5	[]	[]	[9.257497]	[79]	[]	[108955033]
892_10264	chr6	16277403	16277803	+	1000	201.5	[]	[]	[9.257497]	[190]	[]	[16277626]
892_10266	chr6	42045577	42045977	+	1000	201.5	[]	[]	[9.257497]	[151]	[]	[42045753]
892_10267	chr7	10644919	10645319	+	1000	201.5	[9.257497]	[89]	[]	[]	[10645106]	[]
892_10268	chr7	87356418	87356818	+	1000	201.5	[]	[]	[9.257497, 9.257497, 9.257497]	[105, 125, 166]	[]	[87356603, 87356623, 87356664]
892_1027	chr11	12989483	12989883	+	1000	903.5	[]	[]	[9.257497]	[128]	[]	[12989692]
892_10271	chr9	98616207	98616607	+	1000	201.5	[]	[]	[9.257497]	[98]	[]	[98616367]
892_10272	chr9	125176647	125177047	+	1000	201.5	[9.257497]	[142]	[]	[]	[125176840]	[]
892_10277	chr1	181718026	181718426	+	1000	201.0	[]	[]	[9.257497]	[105]	[]	[181718225]
892_10278	chr10	35332177	35332577	+	1000	201.0	[9.257497]	[184]	[]	[]	[35332414]	[]
892_10279	chr10	96688833	96689233	+	1000	201.0	[]	[]	[9.257497]	[138]	[]	[96689049]
892_1028	chr6	119137101	119137501	+	1000	903.5	[]	[]	[9.257497]	[141]	[]	[119137337]
892_10280	chr11	12114540	12114940	+	1000	201.0	[]	[]	[9.257497]	[114]	[]	[12114725]
892_10284	chr11	112285994	112286394	+	1000	201.0	[]	[]	[9.257497, 9.257497]	[130, 186]	[]	[112286180, 112286236]
892_10285	chr11	117219999	117220399	+	1000	201.0	[]	[]	[9.257497, 9.257497]	[73, 150]	[]	[117220159, 117220236]
892_10287	chr17	42775569	42775969	+	1000	201.0	[]	[]	[9.257497]	[150]	[]	[42775765]
892_10289	chr2	62177658	62178058	+	1000	201.0	[9.257497, 9.257497]	[104, 121]	[9.257497]	[179]	[62177830, 62177847]	[62177905]
892_1029	chr2	235460665	235461065	+	1000	902.5	[]	[]	[9.257497]	[129]	[]	[235460888]
892_10291	chr20	50911574	50911974	+	1000	201.0	[]	[]	[9.257497, 9.257497]	[115, 130]	[]	[50911777, 50911792]
892_10294	chr3	165921030	165921430	+	1000	201.0	[9.257497]	[104]	[]	[]	[165921213]	[]
892_10295	chr3	195116415	195116815	+	1000	201.0	[9.257497]	[97]	[]	[]	[195116587]	[]
892_10296	chr4	102343889	102344289	+	1000	201.0	[9.257497]	[141]	[9.257497]	[100]	[102344082]	[102344041]
892_10297	chr4	185167296	185167696	+	1000	201.0	[9.257497]	[161]	[9.257497]	[221]	[185167458]	[185167518]
892_10298	chr6	88371414	88371814	+	1000	201.0	[]	[]	[9.257497]	[169]	[]	[88371654]
892_10299	chr6	146892583	146892983	+	1000	201.0	[9.257497]	[99]	[]	[]	[146892781]	[]
892_103	chr10	43417947	43418347	+	1000	1620.5	[9.257497]	[93]	[]	[]	[43418140]	[]
892_1030	chr5	173855579	173855979	+	1000	902.5	[9.257497]	[111]	[9.257497]	[98]	[173855774]	[173855761]
892_10301	chr7	127885920	127886320	+	1000	201.0	[]	[]	[9.257497]	[114]	[]	[127886072]
892_10302	chr7	136049107	136049507	+	1000	201.0	[9.257497]	[112]	[]	[]	[136049314]	[]
892_10304	chr9	6896532	6896932	+	1000	201.0	[9.257497]	[119]	[]	[]	[6896729]	[]
892_10306	chrX	125219801	125220201	+	1000	201.0	[9.257497]	[134]	[9.257497]	[105]	[125220019]	[125219990]
892_10308	chr1	21974607	21975007	+	1000	200.5	[9.257497]	[127]	[]	[]	[21974788]	[]
892_10309	chr1	26584203	26584603	+	1000	200.5	[9.257497]	[87]	[]	[]	[26584380]	[]
892_1031	chr8	96644298	96644698	+	1000	902.5	[9.257497]	[156]	[9.257497, 9.257497]	[106, 123]	[96644519]	[96644469, 96644486]
892_10310	chr10	96677424	96677824	+	1000	200.5	[9.257497]	[154]	[]	[]	[96677654]	[]
892_10313	chr12	716492	716892	+	1000	200.5	[]	[]	[9.257497]	[158]	[]	[716733]
892_1032	chr1	150977062	150977462	+	1000	901.0	[]	[]	[9.257497, 9.257497]	[112, 136]	[]	[150977251, 150977275]
892_10324	chr2	208556844	208557244	+	1000	200.5	[9.257497]	[160]	[]	[]	[208557042]	[]
892_10325	chr20	48771515	48771915	+	1000	200.5	[9.257497]	[76]	[]	[]	[48771669]	[]
892_10326	chr22	19169364	19169764	+	1000	200.5	[9.257497]	[277]	[]	[]	[19169591]	[]
892_10327	chr3	3191970	3192370	+	1000	200.5	[]	[]	[9.257497, 9.257497]	[94, 147]	[]	[3192133, 3192186]
892_1033	chr16	88773851	88774251	+	1000	901.0	[]	[]	[9.257497]	[118]	[]	[88774057]
892_10333	chr5	134187565	134187965	+	1000	200.5	[9.257497]	[135]	[]	[]	[134187748]	[]
892_10334	chr5	176420964	176421364	+	1000	200.5	[9.257497]	[116]	[]	[]	[176421156]	[]
892_10336	chr7	17939548	17939948	+	1000	200.5	[]	[]	[9.257497]	[142]	[]	[17939770]
892_10339	chr9	98240459	98240859	+	1000	200.5	[]	[]	[9.257497]	[175]	[]	[98240683]
892_1034	chr2	86214119	86214519	+	1000	901.0	[9.257497, 9.257497]	[90, 112]	[]	[]	[86214306, 86214328]	[]
892_10341	chr1	65224831	65225231	+	1000	200.0	[9.257497]	[132]	[9.257497]	[115]	[65225055]	[65225038]
892_10342	chr1	65469252	65469652	+	1000	200.0	[9.257497]	[110]	[9.257497]	[140]	[65469427]	[65469457]
892_10345	chr1	247906702	247907102	+	1000	200.0	[]	[]	[9.257497, 9.257497]	[200, 208]	[]	[247906942, 247906950]
892_10346	chr11	46508317	46508717	+	1000	200.0	[9.257497]	[142]	[]	[]	[46508543]	[]
892_10348	chr12	64457162	64457562	+	1000	200.0	[9.257497]	[208]	[]	[]	[64457326]	[]
892_1035	chr13	37959355	37959755	+	1000	900.5	[9.257497]	[60]	[]	[]	[37959512]	[]
892_10350	chr12	121189596	121189996	+	1000	200.0	[9.257497]	[87]	[]	[]	[121189779]	[]
892_10353	chr16	78428145	78428545	+	1000	200.0	[]	[]	[9.257497]	[136]	[]	[78428351]
892_10354	chr16	79863783	79864183	+	1000	200.0	[9.257497]	[91]	[]	[]	[79863973]	[]
892_10356	chr18	3585592	3585992	+	1000	200.0	[]	[]	[9.257497, 9.257497]	[96, 164]	[]	[3585759, 3585827]
892_1036	chr16	28925667	28926067	+	1000	900.5	[9.257497]	[82]	[]	[]	[28925849]	[]
892_10364	chr7	130207643	130208043	+	1000	200.0	[9.257497]	[306]	[]	[]	[130207868]	[]
892_10365	chr8	3228790	3229190	+	1000	200.0	[]	[]	[9.257497]	[159]	[]	[3229013]
892_1037	chr2	17122890	17123290	+	1000	900.5	[9.257497]	[127]	[9.257497]	[156]	[17123096]	[17123125]
892_10370	chr10	91838186	91838586	+	1000	199.5	[9.257497, 9.257497]	[62, 84]	[]	[]	[91838343, 91838365]	[]
892_10373	chr11	57144534	57144934	+	1000	199.5	[9.257497, 9.257497, 9.257497]	[91, 137, 170]	[]	[]	[57144685, 57144731, 57144764]	[]
892_10375	chr12	71594371	71594771	+	1000	199.5	[]	[]	[9.257497]	[93]	[]	[71594553]
892_10376	chr13	108572735	108573135	+	1000	199.5	[]	[]	[9.257497]	[143]	[]	[108572939]
892_10377	chr15	82798080	82798480	+	1000	199.5	[9.257497]	[126]	[]	[]	[82798295]	[]
892_10378	chr17	42516283	42516683	+	1000	199.5	[9.257497]	[104]	[]	[]	[42516462]	[]
892_1038	chr21	45067456	45067856	+	1000	899.5	[9.257497]	[101]	[]	[]	[45067651]	[]
892_10380	chr17	78862114	78862514	+	1000	199.5	[]	[]	[9.257497]	[170]	[]	[78862292]
892_10382	chr19	14425778	14426178	+	1000	199.5	[]	[]	[9.257497]	[130]	[]	[14425968]
892_10384	chr2	30251843	30252243	+	1000	199.5	[9.257497]	[166]	[]	[]	[30252091]	[]
892_10386	chr2	216789058	216789458	+	1000	199.5	[]	[]	[9.257497]	[109]	[]	[216789263]
892_10389	chr4	77861798	77862198	+	1000	199.5	[]	[]	[9.257497]	[199]	[]	[77862046]
892_1039	chr9	128845704	128846104	+	1000	899.5	[9.257497]	[102]	[]	[]	[128845892]	[]
892_10393	chr5	178182160	178182560	+	1000	199.5	[]	[]	[9.257497]	[108]	[]	[178182334]
892_10395	chr6	138008777	138009177	+	1000	199.5	[9.257497]	[136]	[9.257497]	[181]	[138008976]	[138009021]
892_10398	chrX	43328323	43328723	+	1000	199.5	[]	[]	[9.257497, 9.257497]	[110, 142]	[]	[43328533, 43328565]
892_104	chr2	157929922	157930322	+	1000	1614.5	[9.257497, 9.257497]	[91, 113]	[9.257497]	[64]	[157930109, 157930131]	[157930082]
892_10401	chr1	115179414	115179814	+	1000	199.0	[]	[]	[9.257497]	[80]	[]	[115179580]
892_10402	chr1	162419335	162419735	+	1000	199.0	[]	[]	[9.257497]	[99]	[]	[162419523]
892_10403	chr1	234851415	234851815	+	1000	199.0	[9.257497, 9.257497]	[160, 183]	[]	[]	[234851639, 234851662]	[]
892_10407	chr12	111437830	111438230	+	1000	199.0	[]	[]	[9.257497]	[104]	[]	[111438020]
892_10408	chr12	120894417	120894817	+	1000	199.0	[]	[]	[9.257497, 9.257497]	[155, 167]	[]	[120894641, 120894653]
892_1041	chr3	158743599	158743999	+	1000	898.5	[]	[]	[9.257497]	[128]	[]	[158743815]
892_10410	chr16	23640073	23640473	+	1000	199.0	[]	[]	[9.257497]	[110]	[]	[23640273]
892_10414	chr19	7764168	7764568	+	1000	199.0	[9.257497]	[80]	[9.257497]	[151]	[7764339]	[7764410]
892_10415	chr2	100284998	100285398	+	1000	199.0	[]	[]	[9.257497]	[129]	[]	[100285199]
892_10416	chr21	42545707	42546107	+	1000	199.0	[9.257497]	[135]	[9.257497]	[125]	[42545934]	[42545924]
892_10418	chr3	17444856	17445256	+	1000	199.0	[9.257497]	[135]	[]	[]	[17445083]	[]
892_10421	chr3	34679082	34679482	+	1000	199.0	[]	[]	[9.257497]	[129]	[]	[34679311]
892_10422	chr3	38018959	38019359	+	1000	199.0	[9.257497]	[81]	[]	[]	[38019118]	[]
892_10423	chr3	46948194	46948594	+	1000	199.0	[]	[]	[9.257497, 9.257497]	[93, 106]	[]	[46948374, 46948387]
892_10424	chr3	49171249	49171649	+	1000	199.0	[9.257497]	[100]	[]	[]	[49171433]	[]
892_10427	chr6	3162212	3162612	+	1000	199.0	[]	[]	[9.257497]	[129]	[]	[3162408]
892_1043	chr19	10299475	10299875	+	1000	898.0	[9.257497]	[82]	[]	[]	[10299655]	[]
892_10431	chr7	72682814	72683214	+	1000	199.0	[]	[]	[9.257497]	[147]	[]	[72683038]
892_10432	chr8	21965964	21966364	+	1000	199.0	[9.257497]	[131]	[]	[]	[21966178]	[]
892_10434	chrX	110374600	110375000	+	1000	199.0	[]	[]	[9.257497, 9.257497]	[67, 141]	[]	[110374759, 110374833]
892_10438	chr10	110610174	110610574	+	1000	198.5	[]	[]	[9.257497]	[142]	[]	[110610392]
892_1044	chr9	100145134	100145534	+	1000	898.0	[]	[]	[9.257497, 9.257497]	[77, 119]	[]	[100145309, 100145351]
892_10440	chr12	28132340	28132740	+	1000	198.5	[]	[]	[9.257497]	[139]	[]	[28132537]
892_10445	chr16	88509060	88509460	+	1000	198.5	[9.257497]	[81]	[]	[]	[88509239]	[]
892_10446	chr17	8436591	8436991	+	1000	198.5	[9.257497]	[132]	[]	[]	[8436815]	[]
