#PeakID(python identify_motif.py ./ENCODE_processed_files/SPI1_idr.fa SPI1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
685_10104	chr16	491285	491685	+	1000	67.0	[14.723354]	[99]	[]	[]	[491483]	[]
685_10105	chr16	1943188	1943588	+	1000	67.0	[]	[]	[8.531518]	[105]	[]	[1943387]
685_10106	chr16	20763671	20764071	+	1000	67.0	[8.512722]	[136]	[]	[]	[20763884]	[]
685_10108	chr16	29663384	29663784	+	1000	67.0	[5.7552567]	[137]	[]	[]	[29663611]	[]
685_10116	chr17	31095675	31096075	+	1000	67.0	[8.163278, 5.8463454]	[153, 173]	[7.7109637]	[138]	[31095899, 31095919]	[31095884]
685_10118	chr17	47204894	47205294	+	1000	67.0	[10.5516615, 6.320068]	[62, 70]	[13.928584]	[122]	[47205048, 47205056]	[47205108]
685_1012	chr15	100602138	100602538	+	1000	240.0	[16.079277]	[90]	[]	[]	[100602328]	[]
685_10121	chr17	67717487	67717887	+	1000	67.0	[]	[]	[6.0322456]	[99]	[]	[67717680]
685_10122	chr17	73291429	73291829	+	1000	67.0	[8.938899]	[95]	[]	[]	[73291621]	[]
685_10125	chr18	3305953	3306353	+	1000	67.0	[]	[]	[12.634854]	[104]	[]	[3306155]
685_10126	chr18	46173840	46174240	+	1000	67.0	[9.607723]	[92]	[]	[]	[46174026]	[]
685_10127	chr18	57630097	57630497	+	1000	67.0	[]	[]	[10.01642, 8.693066]	[106, 135]	[]	[57630300, 57630329]
685_10128	chr18	76169750	76170150	+	1000	67.0	[12.860388]	[92]	[]	[]	[76169941]	[]
685_1013	chr19	51531555	51531955	+	1000	240.0	[13.519802]	[89]	[9.431818]	[124]	[51531736]	[51531771]
685_10130	chr19	40407971	40408371	+	1000	67.0	[]	[]	[13.485565]	[106]	[]	[40408174]
685_10133	chr2	9952838	9953238	+	1000	67.0	[14.0685425]	[106]	[8.951996]	[91]	[9953031]	[9953016]
685_10137	chr2	27409404	27409804	+	1000	67.0	[6.9617367]	[93]	[]	[]	[27409595]	[]
685_10139	chr2	48510401	48510801	+	1000	67.0	[]	[]	[19.177654]	[107]	[]	[48510600]
685_1014	chr21	42199388	42199788	+	1000	240.0	[]	[]	[18.191957]	[100]	[]	[42199588]
685_10142	chr2	113857455	113857855	+	1000	67.0	[8.509892, 16.50427, 9.950342, 13.561402]	[66, 91, 141, 147]	[]	[]	[113857611, 113857636, 113857686, 113857692]	[]
685_10144	chr2	171523608	171524008	+	1000	67.0	[]	[]	[9.059027]	[117]	[]	[171523815]
685_10145	chr2	176493888	176494288	+	1000	67.0	[8.374338, 16.093534]	[89, 97]	[]	[]	[176494075, 176494083]	[]
685_10147	chr2	178848336	178848736	+	1000	67.0	[16.720299]	[109]	[]	[]	[178848538]	[]
685_10148	chr2	196240183	196240583	+	998	67.0	[]	[]	[6.998894, 9.284283]	[65, 81]	[]	[196240338, 196240354]
685_10149	chr2	206084300	206084700	+	1000	67.0	[]	[]	[15.990694, 6.4298124]	[91, 97]	[]	[206084485, 206084491]
685_1015	chr3	124620551	124620951	+	1000	240.0	[8.250244]	[89]	[6.296513]	[145]	[124620739]	[124620795]
685_10151	chr20	35837739	35838139	+	1000	67.0	[6.4403615]	[95]	[8.167936]	[114]	[35837933]	[35837952]
685_10153	chr20	59032147	59032547	+	1000	67.0	[10.186657]	[110]	[]	[]	[59032347]	[]
685_10154	chr21	44765737	44766137	+	1000	67.0	[7.0942583, 8.625419]	[77, 127]	[11.250467]	[104]	[44765910, 44765960]	[44765937]
685_10157	chr21	46622365	46622765	+	1000	67.0	[8.260473, 16.13724, 5.833838]	[66, 93, 133]	[]	[]	[46622531, 46622558, 46622598]	[]
685_10158	chr22	12602096	12602496	+	1000	67.0	[6.9611926, 6.2782936, 7.0460153]	[85, 91, 124]	[]	[]	[12602278, 12602284, 12602317]	[]
685_1016	chr10	97401122	97401522	+	1000	239.0	[]	[]	[19.689182, 6.792592, 11.146481]	[105, 111, 126]	[]	[97401324, 97401330, 97401345]
685_10160	chr22	22755890	22756290	+	1000	67.0	[9.059027]	[97]	[]	[]	[22756085]	[]
685_10168	chr3	47282418	47282818	+	1000	67.0	[5.66742, 6.6975274]	[99, 116]	[]	[]	[47282614, 47282631]	[]
685_10172	chr3	185646863	185647263	+	1000	67.0	[]	[]	[18.789831]	[98]	[]	[185647060]
685_10173	chr3	196502690	196503090	+	1000	67.0	[]	[]	[14.439913]	[84]	[]	[196502873]
685_10175	chr4	70839669	70840069	+	1000	67.0	[8.783906]	[116]	[]	[]	[70839880]	[]
685_10176	chr4	82373955	82374355	+	1000	67.0	[6.691271, 9.060135]	[108, 114]	[9.976365]	[65]	[82374159, 82374165]	[82374116]
685_10177	chr4	110184473	110184873	+	1000	67.0	[10.582012, 12.282226, 8.529593]	[77, 113, 136]	[]	[]	[110184640, 110184676, 110184699]	[]
685_10183	chr4	173168020	173168420	+	1000	67.0	[]	[]	[11.5493145]	[100]	[]	[173168220]
685_10184	chr5	6378376	6378776	+	1000	67.0	[]	[]	[8.910965, 7.511477, 6.3320265]	[85, 113, 119]	[]	[6378549, 6378577, 6378583]
685_10185	chr5	10733975	10734375	+	1000	67.0	[7.855325]	[109]	[11.790489, 5.7544]	[127, 132]	[10734163]	[10734181, 10734186]
685_10189	chr5	71432418	71432818	+	1000	67.0	[]	[]	[15.043165]	[109]	[]	[71432622]
685_1019	chr11	126420438	126420838	+	1000	239.0	[18.203526]	[100]	[]	[]	[126420634]	[]
685_10190	chr5	78649848	78650248	+	1000	67.0	[]	[]	[14.564423]	[109]	[]	[78650053]
685_10192	chr5	124656021	124656421	+	1000	67.0	[12.991065]	[89]	[]	[]	[124656209]	[]
685_10197	chr5	168784443	168784843	+	1000	67.0	[]	[]	[21.247185]	[117]	[]	[168784649]
685_10199	chr5	179698569	179698969	+	1000	67.0	[]	[]	[11.722843]	[92]	[]	[179698756]
685_10200	chr6	14039225	14039625	+	1000	67.0	[5.9858184]	[109]	[]	[]	[14039416]	[]
685_10202	chr6	27472584	27472984	+	1000	67.0	[]	[]	[11.108359]	[100]	[]	[27472783]
685_10203	chr6	28104569	28104969	+	1000	67.0	[]	[]	[5.8765697]	[109]	[]	[28104774]
685_10211	chr6	37751969	37752369	+	1000	67.0	[16.276268]	[93]	[]	[]	[37752147]	[]
685_10212	chr6	47023543	47023943	+	1000	67.0	[7.3950934]	[82]	[15.0778055, 10.4658985]	[111, 138]	[47023713]	[47023742, 47023769]
685_10215	chr6	90466513	90466913	+	1000	67.0	[12.491907]	[118]	[]	[]	[90466721]	[]
685_1022	chr18	2898389	2898789	+	1000	239.0	[]	[]	[18.62852]	[100]	[]	[2898585]
685_10220	chr6	145813858	145814258	+	1000	67.0	[9.465525]	[93]	[8.1952505]	[99]	[145814046]	[145814052]
685_10221	chr6	159042482	159042882	+	1000	67.0	[15.602871]	[94]	[12.435631]	[53]	[159042676]	[159042635]
685_10222	chr6	167091212	167091612	+	1000	67.0	[]	[]	[7.386539, 13.289122]	[81, 103]	[]	[167091388, 167091410]
685_10224	chr7	91140993	91141393	+	1000	67.0	[6.93207, 7.2684374, 11.186522]	[70, 84, 99]	[]	[]	[91141155, 91141169, 91141184]	[]
685_10229	chr7	121041821	121042221	+	1000	67.0	[]	[]	[11.293665]	[99]	[]	[121042015]
685_10234	chr8	122837649	122838049	+	1000	67.0	[6.6629057]	[85]	[16.22155]	[99]	[122837834]	[122837848]
685_10235	chr9	35649376	35649776	+	1000	67.0	[15.857894, 12.975431]	[121, 154]	[]	[]	[35649582, 35649615]	[]
685_10240	chr9	131635325	131635725	+	1000	67.0	[]	[]	[7.9496136]	[126]	[]	[131635536]
685_10242	chrX	20266812	20267212	+	1000	67.0	[]	[]	[10.836327]	[92]	[]	[20267004]
685_10246	chrX	155881098	155881498	+	1000	67.0	[8.648565]	[167]	[]	[]	[155881330]	[]
685_10247	chr1	10430590	10430990	+	1000	66.0	[8.779233]	[89]	[]	[]	[10430777]	[]
685_10249	chr1	30758713	30759113	+	1000	66.0	[10.3936205]	[99]	[]	[]	[30758911]	[]
685_1025	chr22	42933427	42933827	+	1000	239.0	[16.133993]	[92]	[]	[]	[42933618]	[]
685_10252	chr1	36492477	36492877	+	1000	66.0	[]	[]	[9.129482, 7.800345]	[92, 98]	[]	[36492668, 36492674]
685_10254	chr1	46247957	46248357	+	1000	66.0	[]	[]	[18.402313]	[105]	[]	[46248162]
685_10255	chr1	51966467	51966867	+	1000	66.0	[]	[]	[11.534216]	[85]	[]	[51966638]
685_10256	chr1	53197761	53198161	+	1000	66.0	[]	[]	[11.603651, 11.731118]	[110, 142]	[]	[53197961, 53197993]
685_10259	chr1	116380907	116381307	+	1000	66.0	[13.803943, 11.713658]	[99, 132]	[]	[]	[116381097, 116381130]	[]
685_1026	chr5	39076920	39077320	+	1000	239.0	[6.675593]	[93]	[16.787796, 6.6208634]	[103, 141]	[39077110]	[39077120, 39077158]
685_10263	chr1	149916176	149916576	+	1000	66.0	[7.3391213, 5.8366957, 13.5333395]	[64, 71, 97]	[]	[]	[149916336, 149916343, 149916369]	[]
685_10264	chr1	160031797	160032197	+	1000	66.0	[]	[]	[9.40183, 10.660225, 8.903875]	[79, 102, 108]	[]	[160031960, 160031983, 160031989]
685_10269	chr10	5491016	5491416	+	1000	66.0	[6.587031]	[78]	[15.990694, 7.1624103]	[92, 117]	[5491193]	[5491207, 5491232]
685_1027	chr7	47575994	47576394	+	1000	239.0	[16.720299]	[90]	[]	[]	[47576184]	[]
685_10272	chr10	42638108	42638508	+	1000	66.0	[11.257408]	[98]	[]	[]	[42638303]	[]
685_10273	chr10	69334150	69334550	+	1000	66.0	[]	[]	[9.693604]	[123]	[]	[69334356]
685_10278	chr10	99908507	99908907	+	1000	66.0	[15.206261]	[105]	[]	[]	[99908704]	[]
685_1028	chr10	11170890	11171290	+	1000	238.0	[8.63086, 13.515328]	[77, 89]	[11.803928]	[135]	[11171066, 11171078]	[11171124]
685_10281	chr11	10934970	10935370	+	1000	66.0	[8.048119, 9.553887]	[109, 117]	[]	[]	[10935168, 10935176]	[]
685_10282	chr11	57530680	57531080	+	1000	66.0	[7.533521, 11.039545]	[74, 99]	[]	[]	[57530852, 57530877]	[]
685_10284	chr11	64164766	64165166	+	1000	66.0	[16.525896]	[95]	[]	[]	[64164950]	[]
685_10285	chr11	70568075	70568475	+	1000	66.0	[]	[]	[19.689182]	[112]	[]	[70568281]
685_10287	chr11	73981651	73982051	+	1000	66.0	[]	[]	[6.49704]	[99]	[]	[73981847]
685_1029	chr11	3665686	3666086	+	1000	238.0	[]	[]	[12.057468, 7.715266]	[98, 140]	[]	[3665877, 3665919]
685_10291	chr12	6689461	6689861	+	1000	66.0	[11.745807, 14.165699]	[144, 161]	[]	[]	[6689669, 6689686]	[]
685_10297	chr12	56988322	56988722	+	1000	66.0	[]	[]	[5.633271, 8.423756, 6.5190215]	[164, 192, 198]	[]	[56988527, 56988555, 56988561]
685_10298	chr12	57694167	57694567	+	1000	66.0	[13.178816, 10.7553, 6.09815]	[90, 110, 113]	[]	[]	[57694357, 57694377, 57694380]	[]
685_10300	chr12	93745306	93745706	+	1000	66.0	[13.621922]	[135]	[]	[]	[93745515]	[]
685_10309	chr14	73743401	73743801	+	1000	66.0	[12.24647, 10.059597]	[184, 190]	[15.424449, 9.781335, 8.491159]	[109, 119, 172]	[73743641, 73743647]	[73743566, 73743576, 73743629]
685_10310	chr14	77593582	77593982	+	1000	66.0	[13.636181]	[89]	[7.5886755, 6.4915566]	[136, 146]	[77593766]	[77593813, 77593823]
685_10312	chr14	105326726	105327126	+	1000	66.0	[]	[]	[12.423825]	[113]	[]	[105326932]
685_10313	chr15	49620665	49621065	+	1000	66.0	[]	[]	[6.813699]	[136]	[]	[49620886]
685_10318	chr16	2155207	2155607	+	1000	66.0	[5.8765697]	[124]	[]	[]	[2155420]	[]
685_10319	chr16	3024045	3024445	+	1000	66.0	[7.45001]	[102]	[]	[]	[3024247]	[]
685_1032	chr6	44226236	44226636	+	1000	238.0	[11.693159, 13.231476]	[95, 123]	[]	[]	[44226430, 44226458]	[]
685_10325	chr17	42387633	42388033	+	1000	66.0	[12.235533]	[101]	[]	[]	[42387834]	[]
685_10327	chr17	43550717	43551117	+	1000	66.0	[13.939604]	[114]	[]	[]	[43550931]	[]
685_10329	chr17	50546967	50547367	+	1000	66.0	[]	[]	[9.496513, 11.326277]	[94, 99]	[]	[50547160, 50547165]
685_10336	chr19	17303270	17303670	+	1000	66.0	[]	[]	[8.14807]	[58]	[]	[17303425]
685_10338	chr19	28481088	28481488	+	1000	66.0	[]	[]	[7.547102, 12.299178]	[99, 140]	[]	[28481279, 28481320]
685_1034	chr7	105531981	105532381	+	1000	238.0	[11.564989, 11.995553]	[87, 112]	[]	[]	[105532161, 105532186]	[]
685_10340	chr19	42217731	42218131	+	1000	66.0	[]	[]	[7.080721]	[107]	[]	[42217929]
685_10343	chr19	47381847	47382247	+	1000	66.0	[]	[]	[15.4790535]	[125]	[]	[47382059]
685_10344	chr19	48741468	48741868	+	1000	66.0	[12.638813]	[139]	[]	[]	[48741686]	[]
685_10345	chr2	8893414	8893814	+	1000	66.0	[12.718113, 13.4944105]	[126, 164]	[]	[]	[8893623, 8893661]	[]
685_10348	chr2	27461103	27461503	+	1000	66.0	[]	[]	[6.2431827, 10.797091]	[86, 143]	[]	[27461277, 27461334]
685_1035	chr8	124197810	124198210	+	1000	238.0	[18.595427]	[96]	[]	[]	[124198002]	[]
685_10352	chr2	88200250	88200650	+	1000	66.0	[6.8097215]	[138]	[14.208943]	[90]	[88200482]	[88200434]
685_10353	chr2	113700246	113700646	+	1000	66.0	[]	[]	[13.22104]	[98]	[]	[113700444]
685_10355	chr2	175898701	175899101	+	1000	66.0	[16.720299]	[91]	[]	[]	[175898886]	[]
685_10358	chr2	190478581	190478981	+	1000	66.0	[]	[]	[11.173652]	[106]	[]	[190478785]
685_1036	chr1	36160863	36161263	+	1000	237.0	[13.998178]	[90]	[8.001074]	[70]	[36161052]	[36161032]
685_10361	chr2	233041964	233042364	+	1000	66.0	[6.5490365]	[147]	[6.901387, 18.107643]	[88, 109]	[233042206]	[233042147, 233042168]
685_10362	chr20	29080003	29080403	+	1000	66.0	[6.9611926, 6.2782936]	[99, 105]	[]	[]	[29080201, 29080207]	[]
685_10365	chr20	44586321	44586721	+	1000	66.0	[10.314591]	[93]	[]	[]	[44586513]	[]
685_10367	chr21	34092487	34092887	+	1000	66.0	[13.429721]	[88]	[]	[]	[34092675]	[]
685_10368	chr3	15601409	15601809	+	1000	66.0	[5.7337003, 7.756531]	[96, 100]	[]	[]	[15601601, 15601605]	[]
685_10372	chr3	44624722	44625122	+	1000	66.0	[]	[]	[6.9868484, 10.2878065]	[69, 124]	[]	[44624873, 44624928]
685_10374	chr3	46845505	46845905	+	1000	66.0	[15.990694, 6.0130677]	[110, 116]	[]	[]	[46845708, 46845714]	[]
685_10375	chr3	88149640	88150040	+	1000	66.0	[]	[]	[8.100501]	[92]	[]	[88149811]
685_10380	chr3	170717327	170717727	+	1000	66.0	[12.683474]	[89]	[6.9778457]	[115]	[170717494]	[170717520]
685_10381	chr3	171967106	171967506	+	1000	66.0	[7.596398]	[119]	[]	[]	[171967311]	[]
685_10387	chr4	152534459	152534859	+	1000	66.0	[]	[]	[8.954246, 8.432072]	[95, 103]	[]	[152534653, 152534661]
685_10390	chr5	39202935	39203335	+	1000	66.0	[11.681382]	[163]	[12.934462]	[123]	[39203162]	[39203122]
685_10394	chr5	126758256	126758656	+	1000	66.0	[16.53411]	[102]	[]	[]	[126758457]	[]
685_10395	chr5	127840087	127840487	+	1000	66.0	[6.2230353, 7.265729, 21.247185]	[103, 105, 111]	[]	[]	[127840276, 127840278, 127840284]	[]
685_10396	chr5	135133866	135134266	+	1000	66.0	[]	[]	[7.2214837, 6.192824, 5.6808624]	[74, 98, 130]	[]	[135134029, 135134053, 135134085]
685_10399	chr5	172733277	172733677	+	1000	66.0	[15.746171]	[96]	[]	[]	[172733472]	[]
685_1040	chr19	12881272	12881672	+	1000	237.0	[]	[]	[8.509892]	[99]	[]	[12881465]
685_10401	chr5	173833084	173833484	+	1000	66.0	[12.113983]	[99]	[]	[]	[173833274]	[]
685_10404	chr6	12008562	12008962	+	1000	66.0	[]	[]	[11.487691, 6.616604]	[103, 119]	[]	[12008759, 12008775]
685_10407	chr6	27146647	27147047	+	1000	66.0	[12.0641775]	[96]	[]	[]	[27146842]	[]
685_10411	chr6	41920868	41921268	+	1000	66.0	[]	[]	[8.39217]	[131]	[]	[41921092]
685_10413	chr6	44073707	44074107	+	1000	66.0	[7.3107224]	[136]	[11.250467]	[99]	[44073935]	[44073898]
685_10414	chr6	72619841	72620241	+	1000	66.0	[17.053406]	[94]	[]	[]	[72620021]	[]
685_10419	chr6	135951169	135951569	+	1000	66.0	[6.7977552, 19.177654, 12.460047]	[81, 87, 93]	[]	[]	[135951349, 135951355, 135951361]	[]
685_1042	chr6	105746109	105746509	+	1000	237.0	[]	[]	[8.595574, 11.305472]	[69, 94]	[]	[105746275, 105746300]
685_10420	chr6	146771009	146771409	+	1000	66.0	[]	[]	[10.302203, 8.583737]	[90, 131]	[]	[146771181, 146771222]
685_10425	chr7	13989438	13989838	+	1000	66.0	[]	[]	[12.566154]	[102]	[]	[13989635]
685_10426	chr7	16933903	16934303	+	1000	66.0	[]	[]	[15.006159, 11.976816, 6.155886, 5.990374, 10.897924, 6.118286]	[81, 95, 108, 133, 153, 159]	[]	[16934060, 16934074, 16934087, 16934112, 16934132, 16934138]
685_10427	chr7	23058665	23059065	+	1000	66.0	[10.86357]	[129]	[]	[]	[23058875]	[]
685_10429	chr7	44824948	44825348	+	1000	66.0	[11.227551, 8.38096, 5.931472, 11.317127]	[75, 88, 100, 114]	[]	[]	[44825120, 44825133, 44825145, 44825159]	[]
685_10430	chr7	75967440	75967840	+	1000	66.0	[]	[]	[15.727134]	[102]	[]	[75967637]
685_10431	chr7	132653363	132653763	+	1000	66.0	[16.133993]	[96]	[]	[]	[132653558]	[]
685_10432	chr7	137882308	137882708	+	1000	66.0	[6.1956577]	[79]	[]	[]	[137882473]	[]
685_10433	chr7	151059653	151060053	+	1000	66.0	[13.168882, 7.645727, 11.606431]	[65, 112, 118]	[]	[]	[151059804, 151059851, 151059857]	[]
685_10437	chr8	124956003	124956403	+	1000	66.0	[5.785794]	[95]	[]	[]	[124956197]	[]
685_10438	chr8	127911762	127912162	+	1000	66.0	[6.0845394]	[119]	[]	[]	[127911971]	[]
685_10441	chr9	19513660	19514060	+	1000	66.0	[]	[]	[18.789831]	[92]	[]	[19513851]
685_10446	chr9	131272970	131273370	+	1000	66.0	[]	[]	[6.6682835]	[164]	[]	[131273147]
685_10447	chr9	133477865	133478265	+	1000	66.0	[]	[]	[15.487197]	[101]	[]	[133478065]
685_10449	chrX	10165472	10165872	+	1000	66.0	[]	[]	[13.955902]	[96]	[]	[10165665]
685_10450	chrX	11341869	11342269	+	1000	66.0	[12.9944515]	[83]	[14.268748]	[101]	[11342050]	[11342068]
685_10452	chrX	136747007	136747407	+	787	66.0	[10.212694]	[97]	[5.8593917]	[109]	[136747194]	[136747206]
685_10461	chr1	56525531	56525931	+	1000	65.0	[7.317604, 6.104662]	[140, 148]	[11.737658, 9.399769]	[97, 127]	[56525767, 56525775]	[56525724, 56525754]
685_10464	chr1	109789200	109789600	+	1000	65.0	[]	[]	[14.535532, 5.721118]	[139, 168]	[]	[109789411, 109789440]
685_10470	chr1	173825037	173825437	+	1000	65.0	[]	[]	[8.005037, 5.6651855]	[100, 105]	[]	[173825232, 173825237]
685_10472	chr1	180252567	180252967	+	1000	65.0	[8.030552]	[73]	[5.806543]	[98]	[180252737]	[180252762]
685_10475	chr1	206486966	206487366	+	1000	65.0	[14.778071, 6.8071337]	[132, 162]	[]	[]	[206487180, 206487210]	[]
685_10476	chr1	209827714	209828114	+	1000	65.0	[5.6609216]	[131]	[]	[]	[209827930]	[]
685_1048	chr2	175418443	175418843	+	1000	236.0	[9.121191]	[88]	[]	[]	[175418631]	[]
685_10480	chr1	227335485	227335885	+	953	65.0	[14.703825]	[102]	[]	[]	[227335684]	[]
685_10481	chr1	228452128	228452528	+	1000	65.0	[15.642823]	[90]	[]	[]	[228452318]	[]
685_10490	chr10	43079833	43080233	+	1000	65.0	[8.591096, 12.879424]	[94, 102]	[]	[]	[43080020, 43080028]	[]
685_10494	chr10	97664472	97664872	+	1000	65.0	[7.6153526]	[93]	[]	[]	[97664640]	[]
685_10498	chr11	5291188	5291588	+	1000	65.0	[]	[]	[6.518026, 5.8888955]	[94, 143]	[]	[5291380, 5291429]
685_10504	chr11	88402091	88402491	+	1000	65.0	[]	[]	[11.054701]	[105]	[]	[88402290]
685_10505	chr12	6919576	6919976	+	1000	65.0	[15.424449]	[90]	[]	[]	[6919765]	[]
685_10517	chr15	43800293	43800693	+	1000	65.0	[8.460722]	[64]	[8.197966]	[88]	[43800454]	[43800478]
685_10526	chr15	90201080	90201480	+	1000	65.0	[12.728309, 9.6846485]	[84, 91]	[13.505642]	[126]	[90201258, 90201265]	[90201300]
685_10528	chr16	17258740	17259140	+	1000	65.0	[14.849025]	[98]	[]	[]	[17258935]	[]
685_1053	chr5	40835024	40835424	+	1000	236.0	[9.130006]	[89]	[11.298953, 7.2893353]	[104, 146]	[40835211]	[40835226, 40835268]
685_10532	chr16	73016014	73016414	+	1000	65.0	[]	[]	[13.67664]	[102]	[]	[73016213]
685_10534	chr16	83954435	83954835	+	1000	65.0	[13.590293]	[89]	[]	[]	[83954624]	[]
685_10535	chr16	84120024	84120424	+	1000	65.0	[8.350066]	[117]	[]	[]	[84120229]	[]
685_10539	chr17	8164160	8164560	+	1000	65.0	[]	[]	[6.4983416]	[114]	[]	[8164366]
685_1054	chr7	77698279	77698679	+	1000	236.0	[21.247185]	[107]	[]	[]	[77698485]	[]
685_10542	chr17	31374053	31374453	+	1000	65.0	[]	[]	[15.325211]	[106]	[]	[31374252]
685_10545	chr17	39636937	39637337	+	1000	65.0	[7.6474104]	[87]	[7.0315843]	[114]	[39637117]	[39637144]
