#PeakID(python scan_motif.py ./ENCODE_processed_files/IRF2_idr.fa IRF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_10195	chr8	124956077	124956477	+	1000	40.0	[3.7322407]	[160]	[]	[]	[124956264]	[]
642_10196	chr8	129999886	130000286	+	1000	40.0	[5.863081]	[107]	[]	[]	[130000041]	[]
642_102	chr21	36260475	36260875	+	1000	499.0	[]	[]	[12.261112, 16.66425, 3.6080077]	[86, 92, 131]	[]	[36260658, 36260664, 36260703]
642_10201	chr9	68747954	68748354	+	1000	40.0	[]	[]	[3.6080077, 5.863081]	[99, 120]	[]	[68748143, 68748164]
642_10202	chr9	97694101	97694501	+	1000	40.0	[18.919323]	[144]	[]	[]	[97694330]	[]
642_10204	chr9	99820777	99821177	+	1000	40.0	[16.66425, 5.6029005]	[92, 98]	[]	[]	[99820969, 99820975]	[]
642_10205	chr9	107548314	107548714	+	1000	40.0	[14.409177, 6.5886865]	[149, 155]	[]	[]	[107548549, 107548555]	[]
642_10213	chr9	130830966	130831366	+	1000	40.0	[3.4720602]	[144]	[]	[]	[130831197]	[]
642_10215	chr9	130851157	130851557	+	1000	40.0	[]	[]	[6.5886865]	[192]	[]	[130851381]
642_10222	chr9	131112373	131112773	+	1000	40.0	[3.2771003]	[186]	[]	[]	[131112587]	[]
642_10224	chr9	131205333	131205733	+	1000	40.0	[6.694453]	[178]	[]	[]	[131205559]	[]
642_10225	chr9	132351008	132351408	+	1000	40.0	[6.5886865, 3.3478272, 18.919323]	[85, 98, 113]	[]	[]	[132351183, 132351196, 132351211]	[]
642_10227	chrUn_GL000224v1	1271	1671	+	1000	40.0	[6.5886865]	[130]	[]	[]	[1500]	[]
642_1023	chr3	171491429	171491829	+	1000	121.0	[]	[]	[10.006039, 10.006039, 12.261112, 10.991825, 3.6080077]	[100, 106, 112, 118, 151]	[]	[171491625, 171491631, 171491637, 171491643, 171491676]
642_10230	chrX	48475772	48476172	+	1000	40.0	[7.7509656]	[131]	[]	[]	[48475924]	[]
642_10231	chrX	48574144	48574544	+	1000	40.0	[]	[]	[5.863081]	[130]	[]	[48574364]
642_10232	chrX	49012807	49013207	+	1000	40.0	[8.736752, 16.66425]	[97, 103]	[]	[]	[49013003, 49013009]	[]
642_10234	chrX	119970637	119971037	+	1000	40.0	[]	[]	[5.863081]	[83]	[]	[119970819]
642_10237	chrX	153032576	153032976	+	1000	40.0	[3.3478272, 12.521293]	[71, 88]	[]	[]	[153032734, 153032751]	[]
642_1024	chr5	49657069	49657469	+	1000	121.0	[]	[]	[10.006039]	[148]	[]	[49657317]
642_10242	chr1	15027437	15027837	+	1000	39.0	[4.3336134]	[127]	[]	[]	[15027662]	[]
642_10244	chr1	15823653	15824053	+	1000	39.0	[]	[]	[16.66425, 10.006039]	[139, 145]	[]	[15823874, 15823880]
642_10246	chr1	16266418	16266818	+	1000	39.0	[]	[]	[3.6080077]	[111]	[]	[16266616]
642_10249	chr1	22053344	22053744	+	1000	39.0	[]	[]	[4.3336134]	[170]	[]	[22053586]
642_10252	chr1	26104959	26105359	+	1000	39.0	[]	[]	[3.3478272]	[190]	[]	[26105206]
642_10259	chr1	28890247	28890647	+	1000	39.0	[]	[]	[12.521293, 13.246898]	[105, 111]	[]	[28890411, 28890417]
642_10262	chr1	35774562	35774962	+	1000	39.0	[]	[]	[5.3194, 7.7509656]	[119, 153]	[]	[35774715, 35774749]
642_10263	chr1	37860101	37860501	+	1000	39.0	[]	[]	[3.4720602]	[103]	[]	[37860295]
642_10265	chr1	39653489	39653889	+	1000	39.0	[3.3478272]	[75]	[5.863081]	[169]	[39653644]	[39653738]
642_10268	chr1	50973774	50974174	+	1000	39.0	[]	[]	[12.3853445]	[126]	[]	[50973972]
642_10272	chr1	77926577	77926977	+	1000	39.0	[12.261112, 10.266219, 10.266219]	[97, 132, 176]	[5.6029005]	[115]	[77926728, 77926763, 77926807]	[77926746]
642_10273	chr1	89022668	89023068	+	1000	39.0	[12.521293]	[114]	[]	[]	[89022855]	[]
642_10274	chr1	89823038	89823438	+	1000	39.0	[]	[]	[4.3336134]	[147]	[]	[89823259]
642_10286	chr1	125179309	125179709	+	1000	39.0	[]	[]	[3.3478272]	[157]	[]	[125179532]
642_10288	chr1	153533105	153533505	+	1000	39.0	[3.3478272]	[110]	[]	[]	[153533258]	[]
642_10290	chr1	153986702	153987102	+	1000	39.0	[4.3336134]	[128]	[]	[]	[153986924]	[]
642_10291	chr1	154479797	154480197	+	1000	39.0	[]	[]	[5.3194]	[111]	[]	[154479993]
642_10292	chr1	155139611	155140011	+	1000	39.0	[]	[]	[12.261112, 3.3478272]	[121, 127]	[]	[155139817, 155139823]
642_10294	chr1	155323094	155323494	+	1000	39.0	[13.246898]	[85]	[]	[]	[155323267]	[]
642_10296	chr1	161738657	161739057	+	1000	39.0	[4.3336134]	[146]	[]	[]	[161738871]	[]
642_103	chr1	161044801	161045201	+	1000	497.0	[4.3336134, 5.863081, 18.919323]	[81, 87, 93]	[]	[]	[161044977, 161044983, 161044989]	[]
642_1030	chr12	89333874	89334274	+	1000	120.0	[]	[]	[10.991825, 5.863081]	[110, 116]	[]	[89334082, 89334088]
642_10300	chr1	174114776	174115176	+	1000	39.0	[]	[]	[6.7129197]	[194]	[]	[174115020]
642_10307	chr1	196684575	196684975	+	1000	39.0	[18.919323]	[86]	[]	[]	[196684755]	[]
642_10310	chr1	201999604	202000004	+	1000	39.0	[]	[]	[3.4720602]	[102]	[]	[201999788]
642_10311	chr1	202343736	202344136	+	1000	39.0	[6.848867]	[75]	[]	[]	[202343901]	[]
642_10312	chr1	203005602	203006002	+	1000	39.0	[]	[]	[10.991825]	[90]	[]	[203005777]
642_10316	chr1	209784550	209784950	+	1000	39.0	[3.3478272]	[148]	[]	[]	[209784763]	[]
642_10317	chr1	212721425	212721825	+	1000	39.0	[]	[]	[10.266219]	[149]	[]	[212721637]
642_10318	chr1	213325047	213325447	+	1000	39.0	[]	[]	[6.5886865, 18.919323]	[144, 150]	[]	[213325267, 213325273]
642_10319	chr1	219660995	219661395	+	1000	39.0	[4.3336134, 4.457846]	[111, 115]	[]	[]	[219661168, 219661172]	[]
642_1032	chr19	41859541	41859941	+	1000	120.0	[3.3478272]	[146]	[]	[]	[41859760]	[]
642_10320	chr1	223796204	223796604	+	1000	39.0	[]	[]	[16.66425]	[145]	[]	[223796446]
642_10321	chr1	223847843	223848243	+	726	39.0	[10.266219]	[212]	[]	[]	[223848081]	[]
642_10323	chr1	228121188	228121588	+	1000	39.0	[6.1232615]	[86]	[]	[]	[228121349]	[]
642_10325	chr1	228500890	228501290	+	1000	39.0	[3.3478272]	[93]	[]	[]	[228501079]	[]
642_10326	chr1	234583720	234584120	+	1000	39.0	[6.848867]	[132]	[]	[]	[234583948]	[]
642_10328	chr1	235513776	235514176	+	1000	39.0	[]	[]	[7.7509656]	[138]	[]	[235514003]
642_1033	chr20	32681521	32681921	+	1000	120.0	[4.4393797]	[134]	[13.246898, 13.246898]	[104, 110]	[32681753]	[32681723, 32681729]
642_10331	chr1	244350916	244351316	+	1000	39.0	[5.7271333]	[117]	[3.4720602]	[93]	[244351127]	[244351103]
642_1034	chr3	9916891	9917291	+	1000	120.0	[10.266219]	[114]	[]	[]	[9917097]	[]
642_10348	chr10	73529323	73529723	+	1000	39.0	[5.863081]	[127]	[]	[]	[73529548]	[]
642_10349	chr10	73993246	73993646	+	1000	39.0	[]	[]	[5.7271333]	[235]	[]	[73993489]
642_10350	chr10	79048201	79048601	+	1000	39.0	[6.848867]	[173]	[]	[]	[79048450]	[]
642_10355	chr10	92698022	92698422	+	939	39.0	[15.607738]	[75]	[7.574473, 3.6080077, 3.3478272]	[90, 96, 129]	[92698193]	[92698208, 92698214, 92698247]
642_10356	chr10	95693894	95694294	+	1000	39.0	[]	[]	[5.9873137]	[174]	[]	[95694073]
642_10358	chr10	102435742	102436142	+	1000	39.0	[16.66425]	[120]	[]	[]	[102435957]	[]
642_1036	chr6	28399564	28399964	+	1000	120.0	[3.3478272]	[100]	[]	[]	[28399742]	[]
642_10360	chr10	117760254	117760654	+	1000	39.0	[]	[]	[3.4720602, 16.66425]	[72, 133]	[]	[117760417, 117760478]
642_10367	chr11	34359233	34359633	+	1000	39.0	[]	[]	[5.863081]	[88]	[]	[34359386]
642_10368	chr11	36149926	36150326	+	1000	39.0	[]	[]	[3.3478272]	[97]	[]	[36150085]
642_1037	chr6	157773401	157773801	+	1000	120.0	[10.006039, 10.266219]	[89, 95]	[]	[]	[157773587, 157773593]	[]
642_10371	chr11	47426119	47426519	+	1000	39.0	[]	[]	[3.3478272]	[132]	[]	[47426273]
642_10377	chr11	62892289	62892689	+	1000	39.0	[6.694453]	[109]	[16.66425]	[146]	[62892467]	[62892504]
642_10379	chr11	65505874	65506274	+	1000	39.0	[3.3478272, 10.006039]	[154, 217]	[4.3336134, 3.3478272, 10.006039]	[138, 165, 180]	[65506044, 65506107]	[65506028, 65506055, 65506070]
642_1038	chr7	106660894	106661294	+	1000	120.0	[]	[]	[13.246898]	[143]	[]	[106661136]
642_10383	chr11	69401712	69402112	+	1000	39.0	[3.2771003, 3.6080077]	[94, 109]	[]	[]	[69401890, 69401905]	[]
642_1039	chr8	29262808	29263208	+	1000	120.0	[]	[]	[12.521293]	[106]	[]	[29263013]
642_10393	chr11	126420333	126420733	+	1000	39.0	[3.3478272]	[60]	[]	[]	[126420485]	[]
642_104	chr1	241944796	241945196	+	1000	495.0	[]	[]	[18.919323, 5.6029005]	[104, 110]	[]	[241945000, 241945006]
642_1040	chr8	123838135	123838535	+	1000	120.0	[]	[]	[5.6029005, 12.521293]	[92, 98]	[]	[123838316, 123838322]
642_10404	chr12	50589807	50590207	+	1000	39.0	[]	[]	[6.7129197, 6.5886865, 6.7129197]	[138, 150, 156]	[]	[50589982, 50589994, 50590000]
642_10407	chr12	53371468	53371868	+	1000	39.0	[]	[]	[6.5886865]	[143]	[]	[53371708]
642_1041	chrUn_KI270467v1	1058	1458	+	1000	120.0	[]	[]	[7.7509656]	[101]	[]	[1258]
642_10412	chr12	71346388	71346788	+	1000	39.0	[]	[]	[5.6029005, 18.919323, 3.2771003]	[99, 105, 151]	[]	[71346576, 71346582, 71346628]
642_10415	chr12	93376398	93376798	+	1000	39.0	[]	[]	[7.7509656]	[125]	[]	[93376606]
642_10416	chr12	96699104	96699504	+	1000	39.0	[]	[]	[6.5886865, 6.1232615]	[117, 123]	[]	[96699308, 96699314]
642_10417	chr12	104467473	104467873	+	1000	39.0	[5.863081]	[163]	[]	[]	[104467706]	[]
642_10419	chr12	118373078	118373478	+	1000	39.0	[]	[]	[3.3478272, 4.3336134]	[140, 141]	[]	[118373271, 118373272]
642_1042	chrX	130082211	130082611	+	1000	120.0	[]	[]	[5.863081, 5.6029005, 12.521293]	[93, 98, 104]	[]	[130082397, 130082402, 130082408]
642_10426	chr13	24512710	24513110	+	1000	39.0	[]	[]	[6.5886865]	[147]	[]	[24512932]
642_10429	chr13	48094939	48095339	+	1000	39.0	[5.6029005]	[166]	[]	[]	[48095152]	[]
642_10430	chr13	51881261	51881661	+	1000	39.0	[4.593794, 6.5886865]	[119, 125]	[]	[]	[51881452, 51881458]	[]
642_10431	chr13	107994131	107994531	+	1000	39.0	[5.863081]	[179]	[]	[]	[107994358]	[]
642_10432	chr13	110712042	110712442	+	1000	39.0	[10.991825, 4.3336134]	[171, 191]	[]	[]	[110712244, 110712264]	[]
642_10434	chr14	24161023	24161423	+	1000	39.0	[3.6080077]	[118]	[]	[]	[24161228]	[]
642_10436	chr14	31561171	31561571	+	1000	39.0	[6.5886865]	[95]	[]	[]	[31561349]	[]
642_10437	chr14	34465266	34465666	+	1000	39.0	[5.6029005]	[179]	[]	[]	[34465505]	[]
642_1044	chr1	117606732	117607132	+	1000	119.0	[16.66425]	[108]	[]	[]	[117606926]	[]
642_10441	chr14	73754351	73754751	+	1000	39.0	[12.521293]	[98]	[]	[]	[73754544]	[]
642_10442	chr14	77457475	77457875	+	1000	39.0	[4.4393797]	[61]	[]	[]	[77457627]	[]
642_10443	chr14	77652111	77652511	+	1000	39.0	[]	[]	[18.919323]	[139]	[]	[77652337]
642_10445	chr15	26081989	26082389	+	1000	39.0	[]	[]	[5.9873137]	[162]	[]	[26082201]
642_10446	chr15	40847295	40847695	+	1000	39.0	[]	[]	[5.6029005]	[142]	[]	[40847512]
642_10449	chr15	49157085	49157485	+	1000	39.0	[15.607738, 12.261112, 3.2771003]	[65, 71, 113]	[3.3478272]	[100]	[49157242, 49157248, 49157290]	[49157277]
642_1045	chr1	125169897	125170297	+	1000	119.0	[]	[]	[10.006039]	[146]	[]	[125170140]
642_10450	chr15	50907752	50908152	+	1000	39.0	[5.863081]	[107]	[]	[]	[50907940]	[]
642_10454	chr15	65743601	65744001	+	1000	39.0	[3.4720602, 4.3336134]	[178, 210]	[]	[]	[65743808, 65743840]	[]
642_10457	chr15	66946705	66947105	+	1000	39.0	[]	[]	[16.66425]	[162]	[]	[66946954]
642_1046	chr1	154272244	154272644	+	1000	119.0	[12.521293]	[120]	[]	[]	[154272451]	[]
642_10464	chr15	92881341	92881741	+	1000	39.0	[]	[]	[16.66425]	[189]	[]	[92881533]
642_10466	chr16	3007207	3007607	+	1000	39.0	[10.006039]	[155]	[]	[]	[3007408]	[]
642_1047	chr11	22625655	22626055	+	1000	119.0	[]	[]	[12.261112, 5.863081]	[93, 99]	[]	[22625830, 22625836]
642_10470	chr16	10953912	10954312	+	1000	39.0	[]	[]	[6.694453]	[77]	[]	[10954067]
642_10472	chr16	15897788	15898188	+	1000	39.0	[]	[]	[12.521293]	[136]	[]	[15898004]
642_10475	chr16	31034134	31034534	+	1000	39.0	[5.7271333]	[114]	[]	[]	[31034326]	[]
642_1048	chr2	11830223	11830623	+	1000	119.0	[]	[]	[12.521293]	[146]	[]	[11830453]
642_10480	chr16	69530629	69531029	+	1000	39.0	[7.8751984]	[114]	[]	[]	[69530813]	[]
642_10483	chr16	81634771	81635171	+	1000	39.0	[3.2771003]	[106]	[]	[]	[81634956]	[]
642_1049	chr2	186951580	186951980	+	1000	119.0	[10.266219, 5.6029005]	[114, 120]	[]	[]	[186951787, 186951793]	[]
642_10496	chr17	38704850	38705250	+	1000	39.0	[10.991825, 4.457846]	[93, 126]	[]	[]	[38705042, 38705075]	[]
642_10499	chr17	44141630	44142030	+	1000	39.0	[]	[]	[4.3336134]	[171]	[]	[44141830]
642_105	chr16	46390348	46390748	+	1000	495.0	[3.3478272]	[123]	[]	[]	[46390570]	[]
642_1050	chr2	230564802	230565202	+	1000	119.0	[]	[]	[6.5886865, 13.246898, 12.261112, 5.6029005]	[116, 122, 128, 146]	[]	[230565012, 230565018, 230565024, 230565042]
642_10502	chr17	51260079	51260479	+	1000	39.0	[3.3478272]	[86]	[]	[]	[51260241]	[]
642_10510	chr17	80254764	80255164	+	1000	39.0	[]	[]	[5.863081]	[94]	[]	[80254916]
642_10511	chr17	81094794	81095194	+	1000	39.0	[3.3478272]	[61]	[3.3478272]	[152]	[81094946]	[81095037]
642_10513	chr17_GL000205v2_random	89371	89771	+	1000	39.0	[]	[]	[4.3336134]	[89]	[]	[89558]
642_10517	chr18	2605640	2606040	+	1000	39.0	[]	[]	[10.266219, 5.863081]	[169, 175]	[]	[2605878, 2605884]
642_1052	chr3	17739445	17739845	+	1000	119.0	[3.3478272, 5.6029005, 10.266219, 10.266219]	[69, 75, 80, 156]	[3.5372808, 4.3336134]	[96, 146]	[17739607, 17739613, 17739618, 17739694]	[17739634, 17739684]
642_10523	chr18	31819645	31820045	+	1000	39.0	[]	[]	[3.6080077]	[91]	[]	[31819833]
642_10524	chr18	32730477	32730877	+	740	39.0	[6.954633, 18.919323, 12.261112]	[114, 120, 126]	[]	[]	[32730684, 32730690, 32730696]	[]
642_10525	chr18	35240799	35241199	+	1000	39.0	[5.7271333]	[170]	[]	[]	[35241018]	[]
642_10526	chr18	49492286	49492686	+	1000	39.0	[6.5886865]	[128]	[]	[]	[49492473]	[]
642_1053	chr6	17706804	17707204	+	1000	119.0	[3.2771003]	[87]	[]	[]	[17706978]	[]
642_10533	chr19	5773715	5774115	+	1000	39.0	[]	[]	[3.3478272]	[159]	[]	[5773962]
642_10534	chr19	6601443	6601843	+	1000	39.0	[14.409177, 6.5886865]	[88, 94]	[]	[]	[6601615, 6601621]	[]
642_10541	chr19	11529070	11529470	+	1000	39.0	[5.6029005]	[96]	[]	[]	[11529223]	[]
642_10546	chr19	16828831	16829231	+	1000	39.0	[5.863081]	[106]	[]	[]	[16829029]	[]
642_10548	chr19	18022099	18022499	+	1000	39.0	[]	[]	[6.694453]	[133]	[]	[18022305]
642_10549	chr19	18388378	18388778	+	1000	39.0	[]	[]	[5.6029005]	[88]	[]	[18388551]
642_1055	chr6	86683078	86683478	+	1000	119.0	[3.3478272, 10.266219, 5.6029005]	[98, 104, 110]	[]	[]	[86683267, 86683273, 86683279]	[]
642_10551	chr19	39277518	39277918	+	1000	39.0	[]	[]	[6.848867, 13.246898, 5.863081]	[102, 108, 114]	[]	[39277712, 39277718, 39277724]
642_1056	chr8	67505772	67506172	+	1000	119.0	[]	[]	[5.6029005, 18.919323, 13.352664, 3.3478272]	[102, 108, 114, 134]	[]	[67505970, 67505976, 67505982, 67506002]
642_10562	chr19	49817823	49818223	+	1000	39.0	[]	[]	[6.1232615]	[181]	[]	[49818071]
642_10565	chr19	56314170	56314570	+	1000	39.0	[3.4720602]	[146]	[]	[]	[56314380]	[]
642_1057	chr9	120807624	120808024	+	1000	119.0	[]	[]	[12.521293, 10.006039]	[132, 144]	[]	[120807856, 120807868]
642_10573	chr2	30164998	30165398	+	1000	39.0	[10.991825]	[107]	[]	[]	[30165202]	[]
642_10575	chr2	33108737	33109137	+	1000	39.0	[3.6080077]	[101]	[]	[]	[33108907]	[]
642_10577	chr2	37323962	37324362	+	1000	39.0	[]	[]	[3.4720602]	[118]	[]	[37324169]
642_10578	chr2	37561657	37562057	+	1000	39.0	[]	[]	[5.6029005]	[108]	[]	[37561845]
642_10579	chr2	46461404	46461804	+	1000	39.0	[3.3478272]	[161]	[]	[]	[46461631]	[]
